element,z,atomicweight
H,1,1.00794
He,2,4.002602
Li,3,6.941
Be,4,9.012182
B,5,10.811
C,6,12.0107
N,7,14.00674
O,8,15.9994
F,9,18.9984032
Ne,10,20.1797
Na,11,22.98977
Mg,12,24.305
Al,13,26.981538
Si,14,28.0855
P,15,30.973761
S,16,32.066
Cl,17,35.4527
Ar,18,39.948
K,19,39.0983
Ca,20,40.078
Sc,21,44.95591
Ti,22,47.867
V,23,50.9415
Cr,24,51.9961
Mn,25,54.938049
Fe,26,55.845
Co,27,58.9332
Ni,28,58.6934
Cu,29,63.546
Zn,30,65.39
Ga,31,69.723
Ge,32,72.61
As,33,74.9216
Se,34,78.96
Br,35,79.904
Kr,36,83.8
Rb,37,85.4678
Sr,38,87.62
Y,39,88.90585
Zr,40,91.224
Nb,41,92.90638
Mo,42,95.94
Ru,44,101.07
Rh,45,102.9055
Pd,46,106.42
Ag,47,107.8682
Cd,48,112.411
In,49,114.818
Sn,50,118.71
Sb,51,121.76
Te,52,127.6
I,53,126.90447
Xe,54,131.29
Cs,55,132.90545
Ba,56,137.327
La,57,138.9055
Ce,58,140.116
Pr,59,140.90765
Nd,60,144.24
Sm,62,150.36
Eu,63,151.964
Gd,64,157.25
Tb,65,158.92534
Dy,66,162.5
Ho,67,164.93032
Er,68,167.26
Tm,69,168.93421
Yb,70,173.04
Lu,71,174.967
Hf,72,178.49
Ta,73,180.9479
W,74,183.84
Re,75,186.207
Os,76,190.23
Ir,77,192.217
Pt,78,195.078
Au,79,196.96655
Hg,80,200.59
Tl,81,204.3833
Pb,82,207.2
Bi,83,208.98038
Th,90,232.0381
U,92,238.02891
