ebin, xs
1.0000e-05, 4.0227e+04
1.0625e-05, 3.9026e+04
1.1250e-05, 3.7926e+04
1.1875e-05, 3.6915e+04
1.2500e-05, 3.5980e+04
1.3750e-05, 3.4306e+04
1.5000e-05, 3.2845e+04
1.6250e-05, 3.1557e+04
1.7500e-05, 3.0409e+04
1.8750e-05, 2.9378e+04
2.0000e-05, 2.8445e+04
2.1875e-05, 2.7199e+04
2.3750e-05, 2.6103e+04
2.5625e-05, 2.5130e+04
2.7500e-05, 2.4258e+04
2.9375e-05, 2.3471e+04
3.1250e-05, 2.2756e+04
3.3125e-05, 2.2103e+04
3.5000e-05, 2.1503e+04
3.8750e-05, 2.0436e+04
4.2500e-05, 1.9513e+04
4.6250e-05, 1.8706e+04
5.0000e-05, 1.7991e+04
5.3125e-05, 1.7453e+04
5.6250e-05, 1.6962e+04
5.9375e-05, 1.6509e+04
6.2500e-05, 1.6091e+04
6.8750e-05, 1.5343e+04
7.5000e-05, 1.4690e+04
8.1250e-05, 1.4113e+04
8.7500e-05, 1.3600e+04
9.3750e-05, 1.3139e+04
1.0000e-04, 1.2722e+04
1.0625e-04, 1.2342e+04
1.1250e-04, 1.1994e+04
1.1875e-04, 1.1674e+04
1.2500e-04, 1.1379e+04
1.3750e-04, 1.0849e+04
1.5000e-04, 1.0387e+04
1.6250e-04, 9.9800e+03
1.7500e-04, 9.6170e+03
1.8750e-04, 9.2910e+03
2.0000e-04, 8.9960e+03
2.1875e-04, 8.6019e+03
2.3750e-04, 8.2554e+03
2.5625e-04, 7.9477e+03
2.7500e-04, 7.6720e+03
2.9375e-04, 7.4232e+03
3.1250e-04, 7.1971e+03
3.3125e-04, 6.9905e+03
3.5000e-04, 6.8007e+03
3.8750e-04, 6.4633e+03
4.2500e-04, 6.1716e+03
4.6250e-04, 5.9162e+03
5.0000e-04, 5.6900e+03
5.3125e-04, 5.5202e+03
5.6250e-04, 5.3647e+03
5.9375e-04, 5.2216e+03
6.2500e-04, 5.0894e+03
6.8750e-04, 4.8526e+03
7.5000e-04, 4.6461e+03
8.1250e-04, 4.4638e+03
8.7500e-04, 4.3015e+03
9.3750e-04, 4.1557e+03
1.0000e-03, 4.0238e+03
1.0625e-03, 3.9037e+03
1.1250e-03, 3.7937e+03
1.1875e-03, 3.6925e+03
1.2500e-03, 3.5991e+03
1.3750e-03, 3.4316e+03
1.5000e-03, 3.2856e+03
1.6250e-03, 3.1567e+03
1.7500e-03, 3.0419e+03
1.8750e-03, 2.9388e+03
2.0000e-03, 2.8455e+03
2.1875e-03, 2.7208e+03
2.3750e-03, 2.6112e+03
2.5625e-03, 2.5139e+03
2.7500e-03, 2.4267e+03
2.9375e-03, 2.3480e+03
3.1250e-03, 2.2766e+03
3.3125e-03, 2.2112e+03
3.5000e-03, 2.1512e+03
3.8750e-03, 2.0445e+03
4.2500e-03, 1.9522e+03
4.6250e-03, 1.8714e+03
5.0000e-03, 1.7998e+03
5.3125e-03, 1.7461e+03
5.6250e-03, 1.6969e+03
5.9375e-03, 1.6517e+03
6.2500e-03, 1.6099e+03
6.8750e-03, 1.5350e+03
7.5000e-03, 1.4697e+03
8.1250e-03, 1.4120e+03
8.7500e-03, 1.3606e+03
9.3750e-03, 1.3144e+03
1.0000e-02, 1.2727e+03
1.0625e-02, 1.2347e+03
1.1250e-02, 1.1999e+03
1.1875e-02, 1.1680e+03
1.2500e-02, 1.1385e+03
1.3750e-02, 1.0855e+03
1.5000e-02, 1.0393e+03
1.6250e-02, 9.9853e+02
1.7500e-02, 9.6217e+02
1.8750e-02, 9.2952e+02
2.0000e-02, 8.9999e+02
2.1325e-02, 8.7157e+02
2.2650e-02, 8.4568e+02
2.3975e-02, 8.2197e+02
2.5300e-02, 8.0014e+02
2.6844e-02, 7.7678e+02
2.8387e-02, 7.5537e+02
2.9931e-02, 7.3565e+02
3.1475e-02, 7.1741e+02
3.4563e-02, 6.8465e+02
3.7650e-02, 6.5593e+02
4.0738e-02, 6.3052e+02
4.3825e-02, 6.0785e+02
4.6913e-02, 5.8747e+02
5.0000e-02, 5.6900e+02
5.3125e-02, 5.5198e+02
5.6250e-02, 5.3641e+02
5.9375e-02, 5.2211e+02
6.2500e-02, 5.0894e+02
6.8750e-02, 4.8529e+02
7.5000e-02, 4.6458e+02
8.1250e-02, 4.4630e+02
8.7500e-02, 4.3003e+02
9.3750e-02, 4.1542e+02
1.0000e-01, 4.0220e+02
1.0625e-01, 3.9017e+02
1.1250e-01, 3.7915e+02
1.1875e-01, 3.6904e+02
1.2500e-01, 3.5974e+02
1.3750e-01, 3.4303e+02
1.5000e-01, 3.2838e+02
1.6250e-01, 3.1547e+02
1.7500e-01, 3.0396e+02
1.8750e-01, 2.9364e+02
2.0000e-01, 2.8433e+02
2.1875e-01, 2.7188e+02
2.3750e-01, 2.6090e+02
2.5625e-01, 2.5115e+02
2.7500e-01, 2.4241e+02
2.9375e-01, 2.3453e+02
3.1250e-01, 2.2737e+02
3.3125e-01, 2.2083e+02
3.5000e-01, 2.1486e+02
3.8750e-01, 2.0422e+02
4.2500e-01, 1.9498e+02
5.0000e-01, 1.7974e+02
5.5000e-01, 1.7137e+02
5.6250e-01, 1.6967e+02
5.6875e-01, 1.6976e+02
5.7500e-01, 1.7316e+02
5.7812e-01, 1.7778e+02
5.8125e-01, 1.8573e+02
5.8437e-01, 1.9820e+02
5.8750e-01, 2.1620e+02
5.9062e-01, 2.4018e+02
5.9375e-01, 2.6981e+02
6.0000e-01, 3.3997e+02
6.0000e-01, 3.3997e+02
6.0005e-01, 3.4054e+02
6.0010e-01, 3.4111e+02
6.0020e-01, 3.4225e+02
6.0039e-01, 3.4452e+02
6.0078e-01, 3.4906e+02
6.0156e-01, 3.5809e+02
6.0313e-01, 3.7578e+02
6.0625e-01, 4.0873e+02
6.0938e-01, 4.3690e+02
6.1250e-01, 4.5925e+02
6.1563e-01, 4.7567e+02
6.1875e-01, 4.8676e+02
6.2500e-01, 4.9723e+02
6.3750e-01, 4.9764e+02
6.5000e-01, 4.9303e+02
6.9375e-01, 4.7729e+02
7.3750e-01, 4.6343e+02
8.2500e-01, 4.3794e+02
1.0000e+00, 3.9757e+02
1.0000e+00, 3.9757e+02
1.0000e+00, 3.9757e+02
1.0004e+00, 3.9749e+02
1.0008e+00, 3.9741e+02
1.0016e+00, 3.9725e+02
1.0032e+00, 3.9692e+02
1.0065e+00, 3.9628e+02
1.0129e+00, 3.9502e+02
1.0259e+00, 3.9254e+02
1.0518e+00, 3.8765e+02
1.1036e+00, 3.7804e+02
1.2071e+00, 3.6106e+02
1.4142e+00, 3.3296e+02
1.7071e+00, 3.0238e+02
2.0000e+00, 2.7885e+02
2.2500e+00, 2.6245e+02
2.5000e+00, 2.4857e+02
2.7500e+00, 2.3666e+02
3.0000e+00, 2.2627e+02
3.2500e+00, 2.1707e+02
3.5000e+00, 2.0890e+02
4.0000e+00, 1.9493e+02
4.5000e+00, 1.8337e+02
5.0000e+00, 1.7362e+02
5.7500e+00, 1.6140e+02
6.5000e+00, 1.5138e+02
7.0000e+00, 1.4562e+02
7.7500e+00, 1.3803e+02
8.5000e+00, 1.3148e+02
9.2500e+00, 1.2575e+02
1.0000e+01, 1.2070e+02
1.2071e+01, 1.0918e+02
1.4142e+01, 1.0035e+02
1.7071e+01, 9.0768e+01
2.0000e+01, 8.3422e+01
2.2500e+01, 7.8273e+01
2.5000e+01, 7.3933e+01
2.7500e+01, 7.0216e+01
