ebin, xs
1.0000e-05, 1.1747e+01
1.0625e-05, 1.1396e+01
1.1250e-05, 1.1075e+01
1.1875e-05, 1.0780e+01
1.2500e-05, 1.0507e+01
1.3750e-05, 1.0018e+01
1.5000e-05, 9.5914e+00
1.6250e-05, 9.2151e+00
1.7500e-05, 8.8799e+00
1.8750e-05, 8.5788e+00
2.0000e-05, 8.3064e+00
2.1875e-05, 7.9424e+00
2.3750e-05, 7.6225e+00
2.5625e-05, 7.3383e+00
2.7500e-05, 7.0837e+00
2.9375e-05, 6.8539e+00
3.1250e-05, 6.6451e+00
3.3125e-05, 6.4543e+00
3.5000e-05, 6.2790e+00
3.8750e-05, 5.9675e+00
4.2500e-05, 5.6981e+00
4.6250e-05, 5.4622e+00
5.0000e-05, 5.2534e+00
5.3125e-05, 5.0966e+00
5.6250e-05, 4.9530e+00
5.9375e-05, 4.8209e+00
6.2500e-05, 4.6988e+00
6.8750e-05, 4.4801e+00
7.5000e-05, 4.2894e+00
8.1250e-05, 4.1211e+00
8.7500e-05, 3.9712e+00
9.3750e-05, 3.8366e+00
1.0000e-04, 3.7147e+00
1.0625e-04, 3.6038e+00
1.1250e-04, 3.5023e+00
1.1875e-04, 3.4089e+00
1.2500e-04, 3.3226e+00
1.3750e-04, 3.1679e+00
1.5000e-04, 3.0331e+00
1.6250e-04, 2.9141e+00
1.7500e-04, 2.8081e+00
1.8750e-04, 2.7129e+00
2.0000e-04, 2.6267e+00
2.1875e-04, 2.5116e+00
2.3750e-04, 2.4104e+00
2.5625e-04, 2.3206e+00
2.7500e-04, 2.2401e+00
2.9375e-04, 2.1674e+00
3.1250e-04, 2.1014e+00
3.3125e-04, 2.0410e+00
3.5000e-04, 1.9856e+00
3.8750e-04, 1.8871e+00
4.2500e-04, 1.8019e+00
4.6250e-04, 1.7273e+00
5.0000e-04, 1.6613e+00
5.3125e-04, 1.6117e+00
5.6250e-04, 1.5663e+00
5.9375e-04, 1.5245e+00
6.2500e-04, 1.4859e+00
6.8750e-04, 1.4167e+00
7.5000e-04, 1.3564e+00
8.1250e-04, 1.3032e+00
8.7500e-04, 1.2558e+00
9.3750e-04, 1.2132e+00
1.0000e-03, 1.1747e+00
1.0625e-03, 1.1396e+00
1.1250e-03, 1.1075e+00
1.1875e-03, 1.0780e+00
1.2500e-03, 1.0507e+00
1.3750e-03, 1.0018e+00
1.5000e-03, 9.5914e-01
1.6250e-03, 9.2151e-01
1.7500e-03, 8.8799e-01
1.8750e-03, 8.5788e-01
2.0000e-03, 8.3064e-01
2.1875e-03, 7.9425e-01
2.3750e-03, 7.6225e-01
2.5625e-03, 7.3383e-01
2.7500e-03, 7.0837e-01
2.9375e-03, 6.8539e-01
3.1250e-03, 6.6451e-01
3.3125e-03, 6.4543e-01
3.5000e-03, 6.2791e-01
3.8750e-03, 5.9675e-01
4.2500e-03, 5.6981e-01
4.6250e-03, 5.4622e-01
5.0000e-03, 5.2534e-01
5.3125e-03, 5.0965e-01
5.6250e-03, 4.9529e-01
5.9375e-03, 4.8208e-01
6.2500e-03, 4.6988e-01
6.8750e-03, 4.4801e-01
7.5000e-03, 4.2893e-01
8.1250e-03, 4.1211e-01
