ebin, xs
1.0000e-05, 3.9430e+04
1.0625e-05, 3.8252e+04
1.1250e-05, 3.7174e+04
1.1875e-05, 3.6183e+04
1.2500e-05, 3.5266e+04
1.3750e-05, 3.3625e+04
1.5000e-05, 3.2193e+04
1.6250e-05, 3.0930e+04
1.7500e-05, 2.9804e+04
1.8750e-05, 2.8794e+04
2.0000e-05, 2.7879e+04
2.1875e-05, 2.6657e+04
2.3750e-05, 2.5583e+04
2.5625e-05, 2.4629e+04
2.7500e-05, 2.3774e+04
2.9375e-05, 2.3002e+04
3.1250e-05, 2.2301e+04
3.3125e-05, 2.1661e+04
3.5000e-05, 2.1072e+04
3.8750e-05, 2.0026e+04
4.2500e-05, 1.9121e+04
4.6250e-05, 1.8329e+04
5.0000e-05, 1.7628e+04
5.3125e-05, 1.7101e+04
5.6250e-05, 1.6619e+04
5.9375e-05, 1.6175e+04
6.2500e-05, 1.5765e+04
6.8750e-05, 1.5031e+04
7.5000e-05, 1.4390e+04
8.1250e-05, 1.3825e+04
8.7500e-05, 1.3322e+04
9.3750e-05, 1.2869e+04
1.0000e-04, 1.2460e+04
1.0625e-04, 1.2087e+04
1.1250e-04, 1.1746e+04
1.1875e-04, 1.1432e+04
1.2500e-04, 1.1142e+04
1.3750e-04, 1.0623e+04
1.5000e-04, 1.0170e+04
1.6250e-04, 9.7696e+03
1.7500e-04, 9.4133e+03
1.8750e-04, 9.0932e+03
2.0000e-04, 8.8036e+03
2.1875e-04, 8.4166e+03
2.3750e-04, 8.0763e+03
2.5625e-04, 7.7741e+03
2.7500e-04, 7.5033e+03
2.9375e-04, 7.2588e+03
3.1250e-04, 7.0366e+03
3.3125e-04, 6.8336e+03
3.5000e-04, 6.6470e+03
3.8750e-04, 6.3153e+03
4.2500e-04, 6.0285e+03
4.6250e-04, 5.7772e+03
5.0000e-04, 5.5547e+03
5.3125e-04, 5.3876e+03
5.6250e-04, 5.2345e+03
5.9375e-04, 5.0936e+03
6.2500e-04, 4.9634e+03
6.8750e-04, 4.7301e+03
7.5000e-04, 4.5266e+03
8.1250e-04, 4.3469e+03
8.7500e-04, 4.1867e+03
9.3750e-04, 4.0428e+03
1.0000e-03, 3.9126e+03
1.0625e-03, 3.7939e+03
1.1250e-03, 3.6853e+03
1.1875e-03, 3.5853e+03
1.2500e-03, 3.4928e+03
1.3750e-03, 3.3271e+03
1.5000e-03, 3.1825e+03
1.6250e-03, 3.0547e+03
1.7500e-03, 2.9408e+03
1.8750e-03, 2.8385e+03
2.0000e-03, 2.7458e+03
2.1875e-03, 2.6218e+03
2.3750e-03, 2.5127e+03
2.5625e-03, 2.4157e+03
2.7500e-03, 2.3287e+03
2.9375e-03, 2.2501e+03
3.1250e-03, 2.1786e+03
3.3125e-03, 2.1132e+03
3.5000e-03, 2.0531e+03
3.6875e-03, 1.9976e+03
3.8750e-03, 1.9461e+03
4.2500e-03, 1.8535e+03
4.6250e-03, 1.7722e+03
5.0000e-03, 1.7001e+03
5.3125e-03, 1.6460e+03
5.6250e-03, 1.5963e+03
5.9375e-03, 1.5506e+03
6.2500e-03, 1.5083e+03
6.8750e-03, 1.4324e+03
7.5000e-03, 1.3661e+03
8.1250e-03, 1.3075e+03
8.7500e-03, 1.2552e+03
9.3750e-03, 1.2081e+03
1.0000e-02, 1.1655e+03
1.0625e-02, 1.1267e+03
1.1250e-02, 1.0912e+03
1.1875e-02, 1.0585e+03
1.2500e-02, 1.0284e+03
1.3125e-02, 1.0004e+03
1.3750e-02, 9.7430e+02
1.5000e-02, 9.2714e+02
1.6250e-02, 8.8552e+02
1.7500e-02, 8.4845e+02
1.8750e-02, 8.1520e+02
2.0000e-02, 7.8517e+02
2.1325e-02, 7.5632e+02
2.2650e-02, 7.3012e+02
2.3975e-02, 7.0619e+02
2.5300e-02, 6.8424e+02
2.6651e-02, 6.6364e+02
2.8002e-02, 6.4462e+02
2.9352e-02, 6.2699e+02
3.0703e-02, 6.1061e+02
3.2054e-02, 5.9534e+02
3.3405e-02, 5.8108e+02
3.6106e-02, 5.5522e+02
3.8808e-02, 5.3239e+02
4.1509e-02, 5.1202e+02
4.4211e-02, 4.9375e+02
4.6913e-02, 4.7728e+02
5.0000e-02, 4.6038e+02
5.3125e-02, 4.4507e+02
5.6250e-02, 4.3132e+02
5.9375e-02, 4.1893e+02
6.2500e-02, 4.0773e+02
6.5625e-02, 3.9759e+02
6.8750e-02, 3.8840e+02
7.1875e-02, 3.8006e+02
7.5000e-02, 3.7250e+02
7.8125e-02, 3.6565e+02
8.1250e-02, 3.5947e+02
8.7500e-02, 3.4880e+02
9.3750e-02, 3.4015e+02
1.0000e-01, 3.3333e+02
1.0625e-01, 3.2818e+02
1.1250e-01, 3.2459e+02
1.1875e-01, 3.2247e+02
1.2500e-01, 3.2180e+02
1.3125e-01, 3.2256e+02
1.3750e-01, 3.2479e+02
1.4375e-01, 3.2856e+02
1.5000e-01, 3.3394e+02
1.5625e-01, 3.4110e+02
1.6250e-01, 3.5018e+02
1.6875e-01, 3.6141e+02
1.7188e-01, 3.6793e+02
1.7500e-01, 3.7512e+02
1.7813e-01, 3.8305e+02
1.8125e-01, 3.9176e+02
1.8438e-01, 4.0133e+02
1.8750e-01, 4.1181e+02
1.9062e-01, 4.2331e+02
1.9375e-01, 4.3591e+02
1.9687e-01, 4.4973e+02
2.0000e-01, 4.6490e+02
2.0355e-01, 4.8398e+02
2.0711e-01, 5.0525e+02
2.1066e-01, 5.2901e+02
2.1422e-01, 5.5562e+02
2.1777e-01, 5.8548e+02
2.2133e-01, 6.1910e+02
2.2311e-01, 6.3750e+02
2.2488e-01, 6.5707e+02
2.2666e-01, 6.7791e+02
2.2844e-01, 7.0012e+02
2.3151e-01, 7.4206e+02
2.3458e-01, 7.8912e+02
2.3611e-01, 8.1481e+02
2.3765e-01, 8.4209e+02
2.3918e-01, 8.7109e+02
2.4072e-01, 9.0194e+02
2.4225e-01, 9.3480e+02
2.4379e-01, 9.6982e+02
2.4532e-01, 1.0072e+03
2.4686e-01, 1.0471e+03
2.4839e-01, 1.0899e+03
2.4993e-01, 1.1356e+03
2.5146e-01, 1.1846e+03
2.5300e-01, 1.2372e+03
2.5429e-01, 1.2845e+03
2.5607e-01, 1.3544e+03
2.5785e-01, 1.4305e+03
2.5962e-01, 1.5135e+03
2.6140e-01, 1.6040e+03
2.6318e-01, 1.7029e+03
2.6496e-01, 1.8108e+03
2.6673e-01, 1.9287e+03
2.6851e-01, 2.0573e+03
2.7029e-01, 2.1977e+03
2.7207e-01, 2.3506e+03
2.7384e-01, 2.5166e+03
2.7562e-01, 2.6963e+03
2.7740e-01, 2.8899e+03
2.7918e-01, 3.0974e+03
2.8095e-01, 3.3179e+03
2.8273e-01, 3.5503e+03
2.8465e-01, 3.8126e+03
2.8657e-01, 4.0826e+03
2.8850e-01, 4.3555e+03
2.9042e-01, 4.6250e+03
2.9234e-01, 4.8841e+03
2.9426e-01, 5.1247e+03
2.9619e-01, 5.3386e+03
2.9811e-01, 5.5177e+03
2.9986e-01, 5.6442e+03
3.0160e-01, 5.7314e+03
3.0335e-01, 5.7760e+03
3.0510e-01, 5.7765e+03
3.0632e-01, 5.7505e+03
3.0755e-01, 5.7032e+03
3.0877e-01, 5.6354e+03
3.0999e-01, 5.5483e+03
3.1122e-01, 5.4435e+03
3.1244e-01, 5.3226e+03
3.1366e-01, 5.1875e+03
3.1489e-01, 5.0404e+03
3.1697e-01, 4.7685e+03
3.1904e-01, 4.4781e+03
3.2112e-01, 4.1787e+03
3.2320e-01, 3.8788e+03
3.2528e-01, 3.5853e+03
3.2736e-01, 3.3038e+03
3.2944e-01, 3.0378e+03
3.3151e-01, 2.7898e+03
3.3337e-01, 2.5848e+03
3.3522e-01, 2.3953e+03
3.3707e-01, 2.2209e+03
3.3893e-01, 2.0612e+03
3.4078e-01, 1.9153e+03
3.4263e-01, 1.7823e+03
3.4449e-01, 1.6613e+03
3.4634e-01, 1.5512e+03
3.4819e-01, 1.4510e+03
3.5005e-01, 1.3599e+03
3.5190e-01, 1.2770e+03
3.5375e-01, 1.2014e+03
3.5561e-01, 1.1325e+03
3.5746e-01, 1.0697e+03
3.5931e-01, 1.0122e+03
3.6117e-01, 9.5960e+02
3.6260e-01, 9.2199e+02
3.6403e-01, 8.8681e+02
3.6546e-01, 8.5387e+02
3.6690e-01, 8.2302e+02
3.6833e-01, 7.9408e+02
3.6976e-01, 7.6693e+02
3.7119e-01, 7.4143e+02
3.7262e-01, 7.1746e+02
3.7406e-01, 6.9493e+02
3.7549e-01, 6.7372e+02
3.7835e-01, 6.3495e+02
3.8122e-01, 6.0050e+02
3.8408e-01, 5.6985e+02
3.8593e-01, 5.5181e+02
3.8779e-01, 5.3507e+02
3.8964e-01, 5.1951e+02
3.9149e-01, 5.0506e+02
3.9335e-01, 4.9163e+02
3.9520e-01, 4.7916e+02
3.9705e-01, 4.6757e+02
3.9891e-01, 4.5682e+02
4.0262e-01, 4.3759e+02
4.0632e-01, 4.2111e+02
4.1003e-01, 4.0707e+02
4.1374e-01, 3.9523e+02
4.1677e-01, 3.8703e+02
4.1980e-01, 3.8008e+02
4.2283e-01, 3.7430e+02
4.2587e-01, 3.6963e+02
4.2890e-01, 3.6602e+02
4.3193e-01, 3.6343e+02
4.3496e-01, 3.6183e+02
4.3800e-01, 3.6121e+02
4.4069e-01, 3.6148e+02
4.4339e-01, 3.6251e+02
4.4608e-01, 3.6432e+02
4.4878e-01, 3.6692e+02
4.5148e-01, 3.7032e+02
4.5417e-01, 3.7456e+02
4.5687e-01, 3.7966e+02
4.5956e-01, 3.8568e+02
4.6327e-01, 3.9552e+02
4.6698e-01, 4.0734e+02
4.7068e-01, 4.2133e+02
4.7439e-01, 4.3773e+02
4.7810e-01, 4.5685e+02
4.8180e-01, 4.7906e+02
4.8551e-01, 5.0483e+02
4.8736e-01, 5.1921e+02
4.8922e-01, 5.3469e+02
4.9191e-01, 5.5935e+02
4.9461e-01, 5.8683e+02
5.0000e-01, 6.5169e+02
5.0633e-01, 7.4897e+02
5.0949e-01, 8.0858e+02
5.1266e-01, 8.7731e+02
5.1582e-01, 9.5689e+02
5.1899e-01, 1.0494e+03
5.2215e-01, 1.1573e+03
5.2531e-01, 1.2836e+03
5.2950e-01, 1.4842e+03
5.3368e-01, 1.7307e+03
5.3787e-01, 2.0308e+03
5.3996e-01, 2.2028e+03
5.4205e-01, 2.3896e+03
5.4415e-01, 2.5909e+03
5.4624e-01, 2.8057e+03
5.4833e-01, 3.0321e+03
5.5042e-01, 3.2674e+03
5.5461e-01, 3.7489e+03
5.5879e-01, 4.2099e+03
5.6220e-01, 4.5346e+03
5.6560e-01, 4.7842e+03
5.6900e-01, 4.9350e+03
5.7240e-01, 4.9716e+03
5.7648e-01, 4.8602e+03
5.8056e-01, 4.5958e+03
5.8464e-01, 4.2151e+03
5.8872e-01, 3.7647e+03
5.9280e-01, 3.2910e+03
5.9688e-01, 2.8319e+03
6.0096e-01, 2.4127e+03
6.0504e-01, 2.0460e+03
6.0911e-01, 1.7351e+03
6.1319e-01, 1.4766e+03
6.1597e-01, 1.3274e+03
6.1874e-01, 1.1972e+03
6.2152e-01, 1.0836e+03
6.2429e-01, 9.8440e+02
6.2706e-01, 8.9762e+02
6.2984e-01, 8.2154e+02
6.3261e-01, 7.5463e+02
6.3539e-01, 6.9558e+02
6.4094e-01, 5.9679e+02
6.4648e-01, 5.1817e+02
6.5203e-01, 4.5469e+02
6.5758e-01, 4.0277e+02
6.6313e-01, 3.5981e+02
6.6868e-01, 3.2390e+02
6.7423e-01, 2.9361e+02
6.7977e-01, 2.6785e+02
6.8532e-01, 2.4577e+02
6.9087e-01, 2.2672e+02
6.9642e-01, 2.1018e+02
7.0197e-01, 1.9575e+02
7.1307e-01, 1.7190e+02
7.2416e-01, 1.5310e+02
7.3526e-01, 1.3804e+02
7.4636e-01, 1.2584e+02
7.5587e-01, 1.1718e+02
7.6538e-01, 1.0987e+02
7.8440e-01, 9.8376e+01
8.0343e-01, 9.0050e+01
8.2245e-01, 8.4114e+01
8.4147e-01, 7.9967e+01
8.6050e-01, 7.7202e+01
8.7952e-01, 7.5680e+01
8.9854e-01, 7.5290e+01
9.2391e-01, 7.6453e+01
9.4927e-01, 7.9606e+01
9.7464e-01, 8.5014e+01
1.0000e+00, 9.3123e+01
1.0165e+00, 1.0029e+02
1.0330e+00, 1.0945e+02
1.0496e+00, 1.2111e+02
1.0661e+00, 1.3602e+02
1.0826e+00, 1.5527e+02
1.0909e+00, 1.6700e+02
1.0991e+00, 1.8053e+02
1.1074e+00, 1.9625e+02
1.1157e+00, 2.1465e+02
1.1239e+00, 2.3633e+02
1.1322e+00, 2.6209e+02
1.1400e+00, 2.9101e+02
1.1477e+00, 3.2568e+02
1.1555e+00, 3.6770e+02
1.1633e+00, 4.1927e+02
1.1710e+00, 4.8349e+02
1.1788e+00, 5.6485e+02
1.1827e+00, 6.1393e+02
1.1866e+00, 6.7001e+02
1.1905e+00, 7.3449e+02
1.1944e+00, 8.0904e+02
1.1992e+00, 9.1963e+02
1.2041e+00, 1.0543e+03
1.2090e+00, 1.2196e+03
1.2114e+00, 1.3161e+03
1.2138e+00, 1.4233e+03
1.2162e+00, 1.5424e+03
1.2187e+00, 1.6746e+03
1.2211e+00, 1.8210e+03
1.2235e+00, 1.9829e+03
1.2260e+00, 2.1612e+03
1.2284e+00, 2.3568e+03
1.2308e+00, 2.5701e+03
1.2332e+00, 2.8011e+03
1.2363e+00, 3.1124e+03
1.2393e+00, 3.4478e+03
1.2423e+00, 3.8031e+03
1.2453e+00, 4.1718e+03
1.2514e+00, 4.9135e+03
1.2574e+00, 5.5842e+03
1.2610e+00, 5.9079e+03
1.2646e+00, 6.1507e+03
1.2682e+00, 6.2971e+03
1.2718e+00, 6.3371e+03
1.2747e+00, 6.2905e+03
1.2775e+00, 6.1762e+03
1.2815e+00, 5.9196e+03
1.2854e+00, 5.5661e+03
1.2894e+00, 5.1413e+03
1.2933e+00, 4.6733e+03
1.3012e+00, 3.7115e+03
1.3051e+00, 3.2588e+03
1.3090e+00, 2.8431e+03
1.3120e+00, 2.5586e+03
1.3149e+00, 2.3001e+03
1.3179e+00, 2.0675e+03
1.3209e+00, 1.8597e+03
1.3238e+00, 1.6752e+03
1.3268e+00, 1.5122e+03
1.3298e+00, 1.3684e+03
1.3327e+00, 1.2418e+03
1.3357e+00, 1.1304e+03
1.3386e+00, 1.0322e+03
1.3416e+00, 9.4552e+02
1.3446e+00, 8.6887e+02
