ebin, xs
1.0000e-05, 3.3210e+01
1.0625e-05, 3.2218e+01
1.1250e-05, 3.1311e+01
1.1875e-05, 3.0476e+01
1.2500e-05, 2.9704e+01
1.3750e-05, 2.8322e+01
1.5000e-05, 2.7116e+01
1.6250e-05, 2.6052e+01
1.7500e-05, 2.5104e+01
1.8750e-05, 2.4253e+01
2.0000e-05, 2.3483e+01
2.1875e-05, 2.2454e+01
2.3750e-05, 2.1549e+01
2.5625e-05, 2.0746e+01
2.7500e-05, 2.0026e+01
2.9375e-05, 1.9377e+01
3.1250e-05, 1.8786e+01
3.3125e-05, 1.8247e+01
3.5000e-05, 1.7751e+01
3.8750e-05, 1.6871e+01
4.2500e-05, 1.6109e+01
4.6250e-05, 1.5442e+01
5.0000e-05, 1.4852e+01
5.3125e-05, 1.4408e+01
5.6250e-05, 1.4003e+01
5.9375e-05, 1.3629e+01
6.2500e-05, 1.3284e+01
6.8750e-05, 1.2666e+01
7.5000e-05, 1.2127e+01
8.1250e-05, 1.1651e+01
8.7500e-05, 1.1227e+01
9.3750e-05, 1.0846e+01
1.0000e-04, 1.0502e+01
1.0625e-04, 1.0188e+01
1.1250e-04, 9.9013e+00
1.1875e-04, 9.6372e+00
1.2500e-04, 9.3932e+00
1.3750e-04, 8.9560e+00
1.5000e-04, 8.5748e+00
1.6250e-04, 8.2384e+00
1.7500e-04, 7.9387e+00
1.8750e-04, 7.6695e+00
2.0000e-04, 7.4260e+00
2.1875e-04, 7.1006e+00
2.3750e-04, 6.8145e+00
2.5625e-04, 6.5605e+00
2.7500e-04, 6.3329e+00
2.9375e-04, 6.1274e+00
3.1250e-04, 5.9408e+00
3.3125e-04, 5.7702e+00
3.5000e-04, 5.6135e+00
3.8750e-04, 5.3350e+00
4.2500e-04, 5.0942e+00
4.6250e-04, 4.8833e+00
5.0000e-04, 4.6966e+00
5.3125e-04, 4.5564e+00
5.6250e-04, 4.4280e+00
5.9375e-04, 4.3099e+00
6.2500e-04, 4.2008e+00
6.8750e-04, 4.0053e+00
7.5000e-04, 3.8348e+00
8.1250e-04, 3.6843e+00
8.7500e-04, 3.5503e+00
9.3750e-04, 3.4299e+00
1.0000e-03, 3.3210e+00
1.0625e-03, 3.2218e+00
1.1250e-03, 3.1311e+00
1.1875e-03, 3.0476e+00
1.2500e-03, 2.9704e+00
1.3750e-03, 2.8322e+00
1.5000e-03, 2.7116e+00
1.6250e-03, 2.6052e+00
1.7500e-03, 2.5104e+00
1.8750e-03, 2.4253e+00
2.0000e-03, 2.3483e+00
2.1875e-03, 2.2454e+00
2.3750e-03, 2.1550e+00
2.5625e-03, 2.0746e+00
2.7500e-03, 2.0026e+00
2.9375e-03, 1.9377e+00
3.1250e-03, 1.8786e+00
3.3125e-03, 1.8247e+00
3.5000e-03, 1.7752e+00
3.8750e-03, 1.6871e+00
4.2500e-03, 1.6109e+00
4.6250e-03, 1.5442e+00
5.0000e-03, 1.4852e+00
5.3125e-03, 1.4408e+00
5.6250e-03, 1.4002e+00
5.9375e-03, 1.3629e+00
6.2500e-03, 1.3284e+00
6.8750e-03, 1.2665e+00
7.5000e-03, 1.2126e+00
8.1250e-03, 1.1650e+00
8.7500e-03, 1.1227e+00
9.3750e-03, 1.0846e+00
1.0000e-02, 1.0501e+00
1.0625e-02, 1.0188e+00
1.1250e-02, 9.9009e-01
1.1875e-02, 9.6368e-01
1.2500e-02, 9.3928e-01
1.3750e-02, 8.9556e-01
1.5000e-02, 8.5743e-01
1.6250e-02, 8.2378e-01
1.7500e-02, 7.9381e-01
1.8750e-02, 7.6688e-01
2.0000e-02, 7.4253e-01
2.1325e-02, 7.1909e-01
2.2650e-02, 6.9774e-01
2.3975e-02, 6.7820e-01
2.5300e-02, 6.6021e-01
2.6844e-02, 6.4096e-01
2.8387e-02, 6.2330e-01
