ebin, xs
1.0000e-05, 2.2634e+02
1.0625e-05, 2.1959e+02
1.1250e-05, 2.1340e+02
1.1875e-05, 2.0771e+02
1.2500e-05, 2.0245e+02
1.3750e-05, 1.9303e+02
1.5000e-05, 1.8481e+02
1.6250e-05, 1.7756e+02
1.7500e-05, 1.7110e+02
1.8750e-05, 1.6530e+02
2.0000e-05, 1.6005e+02
2.1875e-05, 1.5304e+02
2.3750e-05, 1.4687e+02
2.5625e-05, 1.4140e+02
2.7500e-05, 1.3649e+02
2.9375e-05, 1.3206e+02
3.1250e-05, 1.2804e+02
3.3125e-05, 1.2436e+02
3.5000e-05, 1.2099e+02
3.8750e-05, 1.1498e+02
4.2500e-05, 1.0979e+02
4.6250e-05, 1.0525e+02
5.0000e-05, 1.0122e+02
5.3125e-05, 9.8202e+01
5.6250e-05, 9.5435e+01
5.9375e-05, 9.2890e+01
6.2500e-05, 9.0538e+01
6.8750e-05, 8.6324e+01
7.5000e-05, 8.2649e+01
8.1250e-05, 7.9407e+01
8.7500e-05, 7.6518e+01
9.3750e-05, 7.3924e+01
1.0000e-04, 7.1576e+01
1.0625e-04, 6.9439e+01
1.1250e-04, 6.7483e+01
1.1875e-04, 6.5683e+01
1.2500e-04, 6.4020e+01
1.3750e-04, 6.1041e+01
1.5000e-04, 5.8442e+01
1.6250e-04, 5.6149e+01
1.7500e-04, 5.4107e+01
1.8750e-04, 5.2272e+01
2.0000e-04, 5.0612e+01
2.1875e-04, 4.8394e+01
2.3750e-04, 4.6445e+01
2.5625e-04, 4.4713e+01
2.7500e-04, 4.3162e+01
2.9375e-04, 4.1762e+01
3.1250e-04, 4.0490e+01
3.3125e-04, 3.9327e+01
3.5000e-04, 3.8259e+01
3.8750e-04, 3.6361e+01
4.2500e-04, 3.4720e+01
4.6250e-04, 3.3282e+01
5.0000e-04, 3.2010e+01
5.3125e-04, 3.1054e+01
5.6250e-04, 3.0179e+01
5.9375e-04, 2.9374e+01
6.2500e-04, 2.8631e+01
6.8750e-04, 2.7298e+01
7.5000e-04, 2.6136e+01
8.1250e-04, 2.5111e+01
8.7500e-04, 2.4197e+01
9.3750e-04, 2.3377e+01
1.0000e-03, 2.2635e+01
1.0625e-03, 2.1959e+01
1.1250e-03, 2.1340e+01
1.1875e-03, 2.0771e+01
1.2500e-03, 2.0245e+01
1.3750e-03, 1.9303e+01
1.5000e-03, 1.8481e+01
1.6250e-03, 1.7756e+01
1.7500e-03, 1.7110e+01
1.8750e-03, 1.6530e+01
2.0000e-03, 1.6006e+01
2.1875e-03, 1.5304e+01
2.3750e-03, 1.4688e+01
2.5625e-03, 1.4140e+01
2.7500e-03, 1.3650e+01
2.9375e-03, 1.3207e+01
3.1250e-03, 1.2805e+01
3.3125e-03, 1.2437e+01
3.5000e-03, 1.2099e+01
3.8750e-03, 1.1499e+01
4.2500e-03, 1.0980e+01
4.6250e-03, 1.0526e+01
5.0000e-03, 1.0123e+01
5.3125e-03, 9.8210e+00
5.6250e-03, 9.5443e+00
5.9375e-03, 9.2898e+00
6.2500e-03, 9.0546e+00
6.8750e-03, 8.6332e+00
7.5000e-03, 8.2657e+00
8.1250e-03, 7.9414e+00
8.7500e-03, 7.6526e+00
9.3750e-03, 7.3931e+00
1.0000e-02, 7.1584e+00
1.0625e-02, 6.9448e+00
1.1250e-02, 6.7492e+00
1.1875e-02, 6.5693e+00
1.2500e-02, 6.4031e+00
1.3750e-02, 6.1053e+00
1.5000e-02, 5.8454e+00
1.6250e-02, 5.6161e+00
1.7500e-02, 5.4118e+00
1.8750e-02, 5.2283e+00
2.0000e-02, 5.0623e+00
2.1325e-02, 4.9025e+00
2.2650e-02, 4.7571e+00
2.3975e-02, 4.6239e+00
2.5300e-02, 4.5014e+00
2.6844e-02, 4.3704e+00
2.8387e-02, 4.2502e+00
3.1475e-02, 4.0367e+00
3.4563e-02, 3.8524e+00
3.7650e-02, 3.6911e+00
4.0738e-02, 3.5484e+00
4.3825e-02, 3.4211e+00
4.6913e-02, 3.3067e+00
5.0000e-02, 3.2030e+00
5.3125e-02, 3.1075e+00
5.6250e-02, 3.0201e+00
5.9375e-02, 2.9398e+00
6.2500e-02, 2.8657e+00
6.8750e-02, 2.7328e+00
7.5000e-02, 2.6166e+00
8.1250e-02, 2.5141e+00
8.7500e-02, 2.4227e+00
9.3750e-02, 2.3407e+00
1.0000e-01, 2.2665e+00
1.0625e-01, 2.1990e+00
1.1250e-01, 2.1372e+00
1.1875e-01, 2.0805e+00
1.2500e-01, 2.0282e+00
1.3750e-01, 1.9344e+00
1.5000e-01, 1.8523e+00
1.6250e-01, 1.7799e+00
1.7500e-01, 1.7154e+00
1.8750e-01, 1.6575e+00
2.0000e-01, 1.6053e+00
2.1875e-01, 1.5354e+00
2.3750e-01, 1.4739e+00
2.5625e-01, 1.4193e+00
2.7500e-01, 1.3704e+00
2.9375e-01, 1.3262e+00
3.1250e-01, 1.2862e+00
3.3125e-01, 1.2496e+00
3.5000e-01, 1.2162e+00
3.8750e-01, 1.1567e+00
4.2500e-01, 1.1050e+00
5.0000e-01, 1.0200e+00
6.2500e-01, 9.1405e-01
7.5000e-01, 8.3585e-01
8.7500e-01, 7.7545e-01
