ebin, xs
1.0000e-05, 4.9193e+03
1.0625e-05, 4.7724e+03
1.1250e-05, 4.6379e+03
1.1875e-05, 4.5142e+03
1.2500e-05, 4.3999e+03
1.3750e-05, 4.1952e+03
1.5000e-05, 4.0166e+03
1.6250e-05, 3.8590e+03
1.7500e-05, 3.7186e+03
1.8750e-05, 3.5925e+03
2.0000e-05, 3.4785e+03
2.1875e-05, 3.3261e+03
2.3750e-05, 3.1921e+03
2.5625e-05, 3.0731e+03
2.7500e-05, 2.9665e+03
2.9375e-05, 2.8702e+03
3.1250e-05, 2.7828e+03
3.3125e-05, 2.7029e+03
3.5000e-05, 2.6295e+03
3.8750e-05, 2.4990e+03
4.2500e-05, 2.3862e+03
4.6250e-05, 2.2874e+03
5.0000e-05, 2.2000e+03
5.3125e-05, 2.1343e+03
5.6250e-05, 2.0742e+03
5.9375e-05, 2.0189e+03
6.2500e-05, 1.9678e+03
6.8750e-05, 1.8762e+03
7.5000e-05, 1.7963e+03
8.1250e-05, 1.7258e+03
8.7500e-05, 1.6631e+03
9.3750e-05, 1.6067e+03
1.0000e-04, 1.5557e+03
1.0625e-04, 1.5092e+03
1.1250e-04, 1.4667e+03
1.1875e-04, 1.4276e+03
1.2500e-04, 1.3914e+03
1.3750e-04, 1.3267e+03
1.5000e-04, 1.2702e+03
1.6250e-04, 1.2204e+03
1.7500e-04, 1.1760e+03
1.8750e-04, 1.1361e+03
2.0000e-04, 1.1001e+03
2.1875e-04, 1.0519e+03
2.3750e-04, 1.0095e+03
2.5625e-04, 9.7187e+02
2.7500e-04, 9.3816e+02
2.9375e-04, 9.0773e+02
3.1250e-04, 8.8009e+02
3.3125e-04, 8.5482e+02
3.5000e-04, 8.3161e+02
3.8750e-04, 7.9036e+02
4.2500e-04, 7.5470e+02
4.6250e-04, 7.2346e+02
5.0000e-04, 6.9581e+02
5.3125e-04, 6.7505e+02
5.6250e-04, 6.5603e+02
5.9375e-04, 6.3854e+02
6.2500e-04, 6.2238e+02
6.8750e-04, 5.9343e+02
7.5000e-04, 5.6818e+02
8.1250e-04, 5.4590e+02
8.7500e-04, 5.2606e+02
9.3750e-04, 5.0823e+02
1.0000e-03, 4.9210e+02
1.0625e-03, 4.7742e+02
1.1250e-03, 4.6398e+02
1.1875e-03, 4.5162e+02
1.2500e-03, 4.4019e+02
