ebin, xs
1.0000e-05, 2.7696e-01
1.0625e-05, 2.6869e-01
1.1250e-05, 2.6112e-01
1.1875e-05, 2.5416e-01
1.2500e-05, 2.4772e-01
1.3749e-05, 2.3620e-01
1.4998e-05, 2.2616e-01
1.5000e-05, 2.2614e-01
1.5005e-05, 2.2610e-01
1.5010e-05, 2.2606e-01
1.5020e-05, 2.2599e-01
1.5039e-05, 2.2584e-01
1.5078e-05, 2.2555e-01
1.5156e-05, 2.2497e-01
1.5312e-05, 2.2382e-01
1.5625e-05, 2.2157e-01
1.6250e-05, 2.1727e-01
1.7500e-05, 2.0936e-01
1.8750e-05, 2.0226e-01
2.0000e-05, 1.9584e-01
2.1875e-05, 1.8726e-01
2.3750e-05, 1.7972e-01
2.5625e-05, 1.7302e-01
2.7500e-05, 1.6701e-01
2.9356e-05, 1.6165e-01
3.1212e-05, 1.5677e-01
3.3069e-05, 1.5230e-01
3.4925e-05, 1.4820e-01
3.5000e-05, 1.4804e-01
3.5234e-05, 1.4755e-01
3.5469e-05, 1.4706e-01
3.5937e-05, 1.4610e-01
3.6875e-05, 1.4423e-01
3.8750e-05, 1.4070e-01
4.2500e-05, 1.3435e-01
4.6250e-05, 1.2878e-01
5.0000e-05, 1.2386e-01
5.3125e-05, 1.2016e-01
5.6250e-05, 1.1678e-01
5.9375e-05, 1.1366e-01
6.2500e-05, 1.1078e-01
6.8750e-05, 1.0563e-01
7.5000e-05, 1.0113e-01
8.1250e-05, 9.7165e-02
8.7500e-05, 9.3630e-02
9.3750e-05, 9.0456e-02
1.0000e-04, 8.7583e-02
1.0625e-04, 8.4968e-02
1.1250e-04, 8.2574e-02
1.1875e-04, 8.0372e-02
1.2500e-04, 7.8337e-02
1.3749e-04, 7.4694e-02
1.4998e-04, 7.1517e-02
1.5000e-04, 7.1511e-02
1.5005e-04, 7.1500e-02
1.5010e-04, 7.1488e-02
1.5020e-04, 7.1465e-02
1.5039e-04, 7.1419e-02
1.5078e-04, 7.1326e-02
1.5156e-04, 7.1142e-02
1.5312e-04, 7.0778e-02
1.5625e-04, 7.0067e-02
1.6250e-04, 6.8706e-02
1.7500e-04, 6.6207e-02
1.8750e-04, 6.3962e-02
2.0000e-04, 6.1931e-02
2.1875e-04, 5.9217e-02
2.3750e-04, 5.6832e-02
2.5625e-04, 5.4713e-02
2.7500e-04, 5.2815e-02
2.9356e-04, 5.1118e-02
3.1213e-04, 4.9574e-02
3.3069e-04, 4.8163e-02
3.4925e-04, 4.6866e-02
3.5000e-04, 4.6815e-02
3.5234e-04, 4.6659e-02
3.5469e-04, 4.6505e-02
3.5937e-04, 4.6201e-02
3.6875e-04, 4.5610e-02
3.8750e-04, 4.4493e-02
4.2500e-04, 4.2484e-02
4.6250e-04, 4.0726e-02
5.0000e-04, 3.9169e-02
5.3125e-04, 3.7999e-02
5.6250e-04, 3.6929e-02
5.9375e-04, 3.5944e-02
6.2500e-04, 3.5034e-02
6.8750e-04, 3.3403e-02
7.5000e-04, 3.1981e-02
8.1250e-04, 3.0727e-02
8.7500e-04, 2.9609e-02
9.3750e-04, 2.8605e-02
1.0000e-03, 2.7697e-02
1.0625e-03, 2.6870e-02
1.1250e-03, 2.6113e-02
1.1875e-03, 2.5416e-02
1.2500e-03, 2.4773e-02
1.3749e-03, 2.3621e-02
1.4998e-03, 2.2616e-02
1.5000e-03, 2.2614e-02
1.5005e-03, 2.2611e-02
1.5010e-03, 2.2607e-02
1.5020e-03, 2.2600e-02
1.5039e-03, 2.2585e-02
1.5078e-03, 2.2556e-02
1.5156e-03, 2.2497e-02
1.5313e-03, 2.2382e-02
1.5625e-03, 2.2157e-02
1.6250e-03, 2.1727e-02
1.7500e-03, 2.0937e-02
1.8750e-03, 2.0227e-02
2.0000e-03, 1.9585e-02
2.1875e-03, 1.8727e-02
2.3750e-03, 1.7972e-02
2.5625e-03, 1.7302e-02
2.7500e-03, 1.6702e-02
2.9356e-03, 1.6165e-02
3.1212e-03, 1.5677e-02
3.3069e-03, 1.5231e-02
