ebin, xs
1.0000e-05, 1.8104e+02
1.0625e-05, 1.7563e+02
1.1250e-05, 1.7069e+02
1.1875e-05, 1.6613e+02
1.2500e-05, 1.6193e+02
1.3750e-05, 1.5439e+02
1.5000e-05, 1.4782e+02
1.6250e-05, 1.4202e+02
1.7500e-05, 1.3685e+02
1.8750e-05, 1.3221e+02
2.0000e-05, 1.2801e+02
2.1875e-05, 1.2241e+02
2.3750e-05, 1.1747e+02
2.5625e-05, 1.1309e+02
2.7500e-05, 1.0917e+02
2.9375e-05, 1.0563e+02
3.1250e-05, 1.0241e+02
3.3125e-05, 9.9471e+01
3.5000e-05, 9.6770e+01
3.8750e-05, 9.1968e+01
4.2500e-05, 8.7817e+01
4.6250e-05, 8.4182e+01
5.0000e-05, 8.0964e+01
5.3125e-05, 7.8546e+01
5.6250e-05, 7.6333e+01
5.9375e-05, 7.4297e+01
6.2500e-05, 7.2416e+01
6.8750e-05, 6.9046e+01
7.5000e-05, 6.6106e+01
8.1250e-05, 6.3513e+01
8.7500e-05, 6.1203e+01
9.3750e-05, 5.9127e+01
1.0000e-04, 5.7250e+01
1.0625e-04, 5.5541e+01
1.1250e-04, 5.3976e+01
1.1875e-04, 5.2536e+01
1.2500e-04, 5.1206e+01
1.3750e-04, 4.8823e+01
1.5000e-04, 4.6744e+01
1.6250e-04, 4.4910e+01
1.7500e-04, 4.3277e+01
1.8750e-04, 4.1809e+01
2.0000e-04, 4.0482e+01
2.1875e-04, 3.8708e+01
2.3750e-04, 3.7148e+01
2.5625e-04, 3.5764e+01
2.7500e-04, 3.4523e+01
2.9375e-04, 3.3403e+01
3.1250e-04, 3.2385e+01
3.3125e-04, 3.1455e+01
3.5000e-04, 3.0601e+01
3.8750e-04, 2.9083e+01
4.2500e-04, 2.7770e+01
4.6250e-04, 2.6620e+01
5.0000e-04, 2.5603e+01
5.3125e-04, 2.4838e+01
5.6250e-04, 2.4138e+01
5.9375e-04, 2.3494e+01
6.2500e-04, 2.2899e+01
6.8750e-04, 2.1834e+01
7.5000e-04, 2.0904e+01
8.1250e-04, 2.0084e+01
8.7500e-04, 1.9353e+01
9.3750e-04, 1.8697e+01
1.0000e-03, 1.8103e+01
1.0625e-03, 1.7563e+01
1.1250e-03, 1.7068e+01
1.1875e-03, 1.6613e+01
1.2500e-03, 1.6192e+01
1.3750e-03, 1.5439e+01
1.5000e-03, 1.4781e+01
1.6250e-03, 1.4201e+01
1.7500e-03, 1.3685e+01
1.8750e-03, 1.3221e+01
2.0000e-03, 1.2801e+01
2.1875e-03, 1.2240e+01
2.3750e-03, 1.1747e+01
2.5625e-03, 1.1309e+01
2.7500e-03, 1.0917e+01
2.9375e-03, 1.0562e+01
3.1250e-03, 1.0241e+01
3.3125e-03, 9.9465e+00
3.5000e-03, 9.6764e+00
3.8750e-03, 9.1962e+00
4.2500e-03, 8.7810e+00
4.6250e-03, 8.4173e+00
5.0000e-03, 8.0954e+00
5.3125e-03, 7.8537e+00
5.6250e-03, 7.6323e+00
5.9375e-03, 7.4287e+00
6.2500e-03, 7.2405e+00
6.8750e-03, 6.9035e+00
7.5000e-03, 6.6094e+00
8.1250e-03, 6.3499e+00
8.7500e-03, 6.1187e+00
9.3750e-03, 5.9111e+00
1.0000e-02, 5.7233e+00
1.0625e-02, 5.5523e+00
1.1250e-02, 5.3959e+00
1.1875e-02, 5.2520e+00
1.2500e-02, 5.1190e+00
1.3750e-02, 4.8808e+00
1.5000e-02, 4.6728e+00
1.6250e-02, 4.4893e+00
1.7500e-02, 4.3257e+00
1.8750e-02, 4.1787e+00
2.0000e-02, 4.0458e+00
2.1325e-02, 3.9179e+00
2.2650e-02, 3.8014e+00
2.3975e-02, 3.6947e+00
2.5300e-02, 3.5965e+00
2.6844e-02, 3.4915e+00
2.8387e-02, 3.3952e+00
2.9931e-02, 3.3065e+00
3.1475e-02, 3.2244e+00
3.4563e-02, 3.0770e+00
3.7650e-02, 2.9479e+00
4.0738e-02, 2.8336e+00
4.3825e-02, 2.7317e+00
4.6913e-02, 2.6399e+00
5.0000e-02, 2.5569e+00
5.3125e-02, 2.4803e+00
5.6250e-02, 2.4102e+00
5.9375e-02, 2.3459e+00
6.2500e-02, 2.2865e+00
6.8750e-02, 2.1800e+00
7.5000e-02, 2.0868e+00
8.1250e-02, 2.0045e+00
8.7500e-02, 1.9312e+00
9.3750e-02, 1.8653e+00
1.0000e-01, 1.8058e+00
1.0625e-01, 1.7515e+00
1.1250e-01, 1.7019e+00
1.1875e-01, 1.6563e+00
1.2500e-01, 1.6143e+00
1.3750e-01, 1.5389e+00
1.5000e-01, 1.4729e+00
1.6250e-01, 1.4146e+00
1.7500e-01, 1.3626e+00
1.8750e-01, 1.3160e+00
2.0000e-01, 1.2739e+00
2.1875e-01, 1.2176e+00
2.3750e-01, 1.1680e+00
2.5625e-01, 1.1238e+00
2.7500e-01, 1.0843e+00
2.9375e-01, 1.0486e+00
3.1250e-01, 1.0162e+00
3.3125e-01, 9.8653e-01
3.5000e-01, 9.5947e-01
3.8750e-01, 9.1117e-01
4.2500e-01, 8.6917e-01
5.0000e-01, 7.9992e-01
6.2500e-01, 7.1329e-01
7.5000e-01, 6.4907e-01
8.7500e-01, 5.9917e-01
1.0000e+00, 5.5884e-01
1.2500e+00, 4.9674e-01
1.5000e+00, 4.5068e-01
1.7500e+00, 4.1478e-01
2.0000e+00, 3.8568e-01
2.3750e+00, 3.5077e-01
2.7500e+00, 3.2311e-01
3.1250e+00, 3.0040e-01
3.5000e+00, 2.8134e-01
4.2500e+00, 2.5086e-01
5.0000e+00, 2.2730e-01
5.6250e+00, 2.1126e-01
6.2500e+00, 1.9758e-01
7.5000e+00, 1.7535e-01
8.7500e+00, 1.5791e-01
1.0000e+01, 1.4374e-01
1.1250e+01, 1.3191e-01
1.2500e+01, 1.2186e-01
1.5000e+01, 1.0561e-01
1.7500e+01, 9.2969e-02
2.0000e+01, 8.2800e-02
2.1875e+01, 7.6370e-02
2.3750e+01, 7.0760e-02
2.7500e+01, 6.1411e-02
3.1250e+01, 5.3935e-02
3.5000e+01, 4.7829e-02
3.8750e+01, 4.2759e-02
4.2500e+01, 3.8489e-02
4.6250e+01, 3.4853e-02
5.0000e+01, 3.1728e-02
5.6250e+01, 2.7406e-02
6.2500e+01, 2.3932e-02
6.8750e+01, 2.1098e-02
7.5000e+01, 1.8756e-02
8.1250e+01, 1.6798e-02
8.7500e+01, 1.5148e-02
9.3750e+01, 1.3746e-02
1.0000e+02, 1.2551e-02
1.1008e+02, 1.1023e-02
1.1512e+02, 1.0426e-02
1.1764e+02, 1.0247e-02
1.2016e+02, 1.0202e-02
1.2184e+02, 1.0466e-02
1.2268e+02, 1.0837e-02
1.2352e+02, 1.1592e-02
1.2384e+02, 1.2066e-02
1.2415e+02, 1.2749e-02
1.2447e+02, 1.3738e-02
1.2478e+02, 1.5202e-02
1.2510e+02, 1.7581e-02
1.2525e+02, 1.9382e-02
1.2541e+02, 2.1843e-02
1.2557e+02, 2.5343e-02
1.2573e+02, 3.0637e-02
1.2580e+02, 3.4433e-02
1.2588e+02, 3.9538e-02
1.2596e+02, 4.6984e-02
1.2600e+02, 5.2267e-02
1.2604e+02, 5.9290e-02
1.2607e+02, 6.7197e-02
1.2611e+02, 7.7802e-02
1.2614e+02, 9.2337e-02
1.2617e+02, 1.1251e-01
1.2620e+02, 1.4068e-01
1.2624e+02, 1.8000e-01
1.2625e+02, 2.0508e-01
1.2627e+02, 2.3457e-01
1.2629e+02, 2.6914e-01
1.2630e+02, 3.0954e-01
1.2632e+02, 3.5689e-01
1.2634e+02, 4.1148e-01
1.2635e+02, 4.7450e-01
1.2637e+02, 5.4693e-01
1.2639e+02, 6.2976e-01
1.2640e+02, 7.2400e-01
1.2642e+02, 8.3064e-01
1.2643e+02, 9.5065e-01
1.2645e+02, 1.0849e+00
1.2647e+02, 1.2343e+00
1.2648e+02, 1.3993e+00
1.2650e+02, 1.5806e+00
1.2653e+02, 1.9930e+00
1.2657e+02, 2.4705e+00
1.2661e+02, 3.1801e+00
1.2665e+02, 3.9636e+00
1.2674e+02, 5.5632e+00
1.2678e+02, 6.2099e+00
1.2681e+02, 6.7263e+00
1.2686e+02, 7.0910e+00
1.2689e+02, 7.2113e+00
1.2690e+02, 7.2147e+00
1.2693e+02, 7.1559e+00
1.2696e+02, 6.9266e+00
1.2700e+02, 6.5408e+00
1.2704e+02, 5.8819e+00
1.2709e+02, 5.0919e+00
1.2714e+02, 4.0332e+00
1.2720e+02, 3.0197e+00
1.2723e+02, 2.5593e+00
1.2726e+02, 2.1409e+00
1.2728e+02, 1.7687e+00
1.2731e+02, 1.4453e+00
1.2733e+02, 1.2513e+00
1.2735e+02, 1.0783e+00
1.2737e+02, 9.2535e-01
1.2739e+02, 7.9187e-01
1.2741e+02, 6.7502e-01
1.2743e+02, 5.7453e-01
1.2744e+02, 4.8779e-01
1.2746e+02, 4.1419e-01
1.2748e+02, 3.5147e-01
1.2750e+02, 2.9888e-01
1.2752e+02, 2.5455e-01
1.2754e+02, 2.1774e-01
1.2756e+02, 1.8698e-01
1.2758e+02, 1.6163e-01
1.2760e+02, 1.4056e-01
1.2762e+02, 1.2327e-01
1.2765e+02, 9.7084e-02
1.2769e+02, 7.9224e-02
1.2773e+02, 6.6818e-02
1.2777e+02, 5.7985e-02
1.2784e+02, 4.6540e-02
1.2792e+02, 3.9440e-02
1.2801e+02, 3.3519e-02
