ebin, xs
1.0000e-05, 5.0416e-01
1.0625e-05, 4.8911e-01
1.1250e-05, 4.7533e-01
1.1875e-05, 4.6265e-01
1.2500e-05, 4.5093e-01
1.3750e-05, 4.2995e-01
1.5000e-05, 4.1164e-01
1.6250e-05, 3.9549e-01
1.7500e-05, 3.8111e-01
1.8750e-05, 3.6818e-01
2.0000e-05, 3.5649e-01
2.1875e-05, 3.4087e-01
2.3750e-05, 3.2714e-01
2.5625e-05, 3.1494e-01
2.7500e-05, 3.0402e-01
2.9375e-05, 2.9416e-01
3.1250e-05, 2.8519e-01
3.3125e-05, 2.7700e-01
3.5000e-05, 2.6948e-01
3.8750e-05, 2.5611e-01
4.2500e-05, 2.4455e-01
4.6250e-05, 2.3443e-01
5.0000e-05, 2.2546e-01
5.3125e-05, 2.1873e-01
5.6250e-05, 2.1257e-01
5.9375e-05, 2.0690e-01
6.2500e-05, 2.0166e-01
6.8750e-05, 1.9228e-01
7.5000e-05, 1.8409e-01
8.1250e-05, 1.7687e-01
8.7500e-05, 1.7043e-01
9.3750e-05, 1.6465e-01
1.0000e-04, 1.5943e-01
1.0625e-04, 1.5467e-01
1.1250e-04, 1.5031e-01
1.1875e-04, 1.4630e-01
1.2500e-04, 1.4259e-01
1.3750e-04, 1.3596e-01
1.5000e-04, 1.3017e-01
1.6250e-04, 1.2506e-01
1.7500e-04, 1.2051e-01
1.8750e-04, 1.1643e-01
2.0000e-04, 1.1273e-01
2.1875e-04, 1.0779e-01
2.3750e-04, 1.0345e-01
2.5625e-04, 9.9589e-02
2.7500e-04, 9.6134e-02
2.9375e-04, 9.3015e-02
3.1250e-04, 9.0181e-02
3.3125e-04, 8.7591e-02
3.5000e-04, 8.5212e-02
3.8750e-04, 8.0983e-02
4.2500e-04, 7.7328e-02
4.6250e-04, 7.4126e-02
5.0000e-04, 7.1291e-02
5.3125e-04, 6.9162e-02
5.6250e-04, 6.7213e-02
5.9375e-04, 6.5420e-02
6.2500e-04, 6.3763e-02
6.8750e-04, 6.0795e-02
7.5000e-04, 5.8206e-02
8.1250e-04, 5.5922e-02
8.7500e-04, 5.3887e-02
9.3750e-04, 5.2060e-02
1.0000e-03, 5.0406e-02
1.0625e-03, 4.8900e-02
1.1250e-03, 4.7522e-02
1.1875e-03, 4.6254e-02
1.2500e-03, 4.5083e-02
1.3750e-03, 4.2984e-02
1.5000e-03, 4.1153e-02
1.6250e-03, 3.9538e-02
1.7500e-03, 3.8099e-02
1.8750e-03, 3.6806e-02
2.0000e-03, 3.5637e-02
2.1875e-03, 3.4075e-02
2.3750e-03, 3.2701e-02
