ebin, xs
1.0000e-05, 1.7008e+00
1.0625e-05, 1.6500e+00
1.1250e-05, 1.6035e+00
1.1875e-05, 1.5608e+00
1.2500e-05, 1.5213e+00
1.3750e-05, 1.4505e+00
1.5000e-05, 1.3887e+00
1.6250e-05, 1.3342e+00
1.7500e-05, 1.2857e+00
1.8750e-05, 1.2421e+00
2.0000e-05, 1.2027e+00
2.1875e-05, 1.1500e+00
2.3750e-05, 1.1036e+00
2.5625e-05, 1.0625e+00
2.7500e-05, 1.0256e+00
2.9375e-05, 9.9236e-01
3.1250e-05, 9.6213e-01
3.3125e-05, 9.3450e-01
3.5000e-05, 9.0913e-01
3.8750e-05, 8.6402e-01
4.2500e-05, 8.2502e-01
4.6250e-05, 7.9087e-01
5.0000e-05, 7.6063e-01
5.3125e-05, 7.3792e-01
5.6250e-05, 7.1713e-01
5.9375e-05, 6.9800e-01
6.2500e-05, 6.8033e-01
6.8750e-05, 6.4867e-01
7.5000e-05, 6.2105e-01
8.1250e-05, 5.9669e-01
8.7500e-05, 5.7498e-01
9.3750e-05, 5.5549e-01
1.0000e-04, 5.3785e-01
1.0625e-04, 5.2179e-01
1.1250e-04, 5.0709e-01
1.1875e-04, 4.9356e-01
1.2500e-04, 4.8107e-01
1.3750e-04, 4.5868e-01
1.5000e-04, 4.3915e-01
1.6250e-04, 4.2192e-01
1.7500e-04, 4.0658e-01
1.8750e-04, 3.9279e-01
2.0000e-04, 3.8032e-01
2.1875e-04, 3.6365e-01
2.3750e-04, 3.4900e-01
2.5625e-04, 3.3599e-01
2.7500e-04, 3.2434e-01
2.9375e-04, 3.1381e-01
3.1250e-04, 3.0425e-01
3.3125e-04, 2.9552e-01
3.5000e-04, 2.8749e-01
3.8750e-04, 2.7323e-01
4.2500e-04, 2.6089e-01
4.6250e-04, 2.5009e-01
5.0000e-04, 2.4053e-01
5.3125e-04, 2.3335e-01
5.6250e-04, 2.2678e-01
5.9375e-04, 2.2073e-01
6.2500e-04, 2.1514e-01
6.8750e-04, 2.0513e-01
7.5000e-04, 1.9639e-01
8.1250e-04, 1.8869e-01
8.7500e-04, 1.8182e-01
9.3750e-04, 1.7566e-01
1.0000e-03, 1.7008e-01
1.0625e-03, 1.6500e-01
1.1250e-03, 1.6035e-01
1.1875e-03, 1.5608e-01
1.2500e-03, 1.5213e-01
1.3750e-03, 1.4505e-01
1.5000e-03, 1.3887e-01
1.6250e-03, 1.3342e-01
1.7500e-03, 1.2857e-01
1.8750e-03, 1.2421e-01
2.0000e-03, 1.2027e-01
2.1875e-03, 1.1500e-01
2.3750e-03, 1.1036e-01
2.5625e-03, 1.0625e-01
2.7500e-03, 1.0256e-01
2.9375e-03, 9.9238e-02
3.1250e-03, 9.6216e-02
3.3125e-03, 9.3453e-02
3.5000e-03, 9.0916e-02
3.8750e-03, 8.6405e-02
4.2500e-03, 8.2505e-02
4.6250e-03, 7.9089e-02
5.0000e-03, 7.6064e-02
5.3125e-03, 7.3793e-02
5.6250e-03, 7.1714e-02
5.9375e-03, 6.9801e-02
6.2500e-03, 6.8034e-02
6.8750e-03, 6.4869e-02
7.5000e-03, 6.2107e-02
8.1250e-03, 5.9669e-02
8.7500e-03, 5.7497e-02
9.3750e-03, 5.5546e-02
1.0000e-02, 5.3782e-02
1.0625e-02, 5.2176e-02
1.1250e-02, 5.0707e-02
1.1875e-02, 4.9356e-02
1.2500e-02, 4.8108e-02
1.3750e-02, 4.5871e-02
1.5000e-02, 4.3918e-02
1.6250e-02, 4.2194e-02
1.7500e-02, 4.0657e-02
1.8750e-02, 3.9277e-02
2.0000e-02, 3.8029e-02
2.1325e-02, 3.6828e-02
2.2650e-02, 3.5734e-02
2.3975e-02, 3.4733e-02
2.5300e-02, 3.3812e-02
2.6844e-02, 3.2828e-02
2.8387e-02, 3.1926e-02
3.1475e-02, 3.0323e-02
3.4563e-02, 2.8936e-02
3.7650e-02, 2.7723e-02
4.0738e-02, 2.6650e-02
4.3825e-02, 2.5693e-02
4.6913e-02, 2.4832e-02
5.0000e-02, 2.4053e-02
5.3125e-02, 2.3334e-02
5.6250e-02, 2.2677e-02
5.9375e-02, 2.2073e-02
6.2500e-02, 2.1517e-02
6.8750e-02, 2.0518e-02
7.5000e-02, 1.9644e-02
8.1250e-02, 1.8872e-02
8.7500e-02, 1.8185e-02
9.3750e-02, 1.7568e-02
1.0000e-01, 1.7009e-02
1.0625e-01, 1.6501e-02
1.1250e-01, 1.6036e-02
1.1875e-01, 1.5609e-02
1.2500e-01, 1.5216e-02
1.3750e-01, 1.4511e-02
1.5000e-01, 1.3892e-02
1.6250e-01, 1.3346e-02
1.7500e-01, 1.2861e-02
1.8750e-01, 1.2424e-02
2.0000e-01, 1.2031e-02
2.1875e-01, 1.1505e-02
2.3750e-01, 1.1041e-02
2.5625e-01, 1.0630e-02
2.7500e-01, 1.0261e-02
2.9375e-01, 9.9279e-03
3.1250e-01, 9.6255e-03
3.3125e-01, 9.3493e-03
3.5000e-01, 9.0972e-03
3.8750e-01, 8.6475e-03
4.2500e-01, 8.2572e-03
5.0000e-01, 7.6141e-03
6.2500e-01, 6.8117e-03
7.5000e-01, 6.2189e-03
8.7500e-01, 5.7594e-03
1.0000e+00, 5.3892e-03
1.2500e+00, 4.8217e-03
1.5000e+00, 4.4032e-03
1.7500e+00, 4.0787e-03
2.0000e+00, 3.8171e-03
2.3750e+00, 3.5052e-03
2.7500e+00, 3.2599e-03
3.1250e+00, 3.0599e-03
3.5000e+00, 2.8933e-03
4.2500e+00, 2.6291e-03
5.0000e+00, 2.4273e-03
6.2500e+00, 2.1761e-03
7.5000e+00, 1.9910e-03
8.7500e+00, 1.8477e-03
1.0000e+01, 1.7324e-03
1.2500e+01, 1.5568e-03
1.5000e+01, 1.4278e-03
1.7500e+01, 1.3282e-03
2.0000e+01, 1.2483e-03
2.3750e+01, 1.1538e-03
2.7500e+01, 1.0800e-03
3.1250e+01, 1.0205e-03
3.5000e+01, 9.7137e-04
4.2500e+01, 8.9460e-04
5.0000e+01, 8.3722e-04
6.2500e+01, 7.6808e-04
7.5000e+01, 7.1959e-04
8.7500e+01, 6.8414e-04
1.0000e+02, 6.5758e-04
1.2500e+02, 6.2219e-04
1.5000e+02, 6.0251e-04
1.7500e+02, 5.9351e-04
2.0000e+02, 5.9263e-04
2.3750e+02, 6.0385e-04
2.7500e+02, 6.2884e-04
3.1250e+02, 6.6805e-04
3.5000e+02, 7.2375e-04
3.8750e+02, 8.0015e-04
4.2500e+02, 9.0429e-04
4.6250e+02, 1.0477e-03
4.8125e+02, 1.1398e-03
5.0000e+02, 1.2499e-03
5.1860e+02, 1.3817e-03
5.3721e+02, 1.5424e-03
5.5581e+02, 1.7409e-03
5.7442e+02, 1.9898e-03
5.9302e+02, 2.3075e-03
6.1162e+02, 2.7224e-03
6.2093e+02, 2.9792e-03
6.3023e+02, 3.2788e-03
6.3953e+02, 3.6312e-03
6.4883e+02, 4.0496e-03
6.5755e+02, 4.5186e-03
6.6627e+02, 5.0831e-03
6.7499e+02, 5.7691e-03
6.8371e+02, 6.6141e-03
6.9243e+02, 7.6484e-03
6.9679e+02, 8.2730e-03
7.0115e+02, 8.9807e-03
7.0551e+02, 9.7867e-03
7.0988e+02, 1.0711e-02
7.1424e+02, 1.1777e-02
7.1860e+02, 1.3019e-02
7.2325e+02, 1.4585e-02
7.2790e+02, 1.6460e-02
7.3255e+02, 1.8733e-02
7.3720e+02, 2.1525e-02
7.4185e+02, 2.4999e-02
7.4418e+02, 2.7063e-02
7.4650e+02, 2.9409e-02
7.4883e+02, 3.2080e-02
7.5115e+02, 3.5138e-02
7.5348e+02, 3.8663e-02
7.5580e+02, 4.2755e-02
7.5813e+02, 4.7543e-02
7.6045e+02, 5.3193e-02
7.6263e+02, 5.9471e-02
7.6481e+02, 6.6950e-02
7.6699e+02, 7.5958e-02
7.6917e+02, 8.6933e-02
7.7026e+02, 9.3153e-02
7.7136e+02, 1.0025e-01
7.7245e+02, 1.0821e-01
7.7354e+02, 1.1716e-01
7.7463e+02, 1.2728e-01
7.7572e+02, 1.3877e-01
7.7681e+02, 1.5190e-01
7.7790e+02, 1.6699e-01
7.7899e+02, 1.8446e-01
7.8008e+02, 2.0482e-01
7.8117e+02, 2.2876e-01
7.8226e+02, 2.5707e-01
7.8280e+02, 2.7303e-01
7.8335e+02, 2.9070e-01
7.8389e+02, 3.1023e-01
7.8444e+02, 3.3179e-01
7.8498e+02, 3.5568e-01
7.8553e+02, 3.8223e-01
7.8607e+02, 4.1185e-01
7.8662e+02, 4.4504e-01
7.8742e+02, 5.0141e-01
7.8821e+02, 5.6912e-01
7.8901e+02, 6.5137e-01
7.8941e+02, 6.9926e-01
7.8981e+02, 7.5254e-01
7.9021e+02, 8.1207e-01
7.9061e+02, 8.7883e-01
7.9101e+02, 9.5401e-01
7.9141e+02, 1.0391e+00
7.9181e+02, 1.1357e+00
7.9221e+02, 1.2460e+00
7.9261e+02, 1.3723e+00
7.9301e+02, 1.5175e+00
7.9341e+02, 1.6863e+00
7.9381e+02, 1.8842e+00
7.9421e+02, 2.1175e+00
7.9461e+02, 2.3942e+00
7.9501e+02, 2.7245e+00
7.9541e+02, 3.1216e+00
7.9581e+02, 3.6019e+00
7.9621e+02, 4.1859e+00
7.9643e+02, 4.5579e+00
7.9665e+02, 4.9725e+00
7.9686e+02, 5.4341e+00
7.9708e+02, 5.9471e+00
7.9730e+02, 6.5151e+00
