ebin, xs
1.0000e-05, 3.0098e+04
1.0625e-05, 2.9199e+04
1.1250e-05, 2.8377e+04
1.1875e-05, 2.7620e+04
1.2500e-05, 2.6921e+04
1.3750e-05, 2.5668e+04
1.5000e-05, 2.4575e+04
1.6250e-05, 2.3611e+04
1.7500e-05, 2.2753e+04
1.8750e-05, 2.1981e+04
2.0000e-05, 2.1283e+04
2.1875e-05, 2.0351e+04
2.3750e-05, 1.9531e+04
2.5625e-05, 1.8803e+04
2.7500e-05, 1.8151e+04
2.9375e-05, 1.7563e+04
3.1250e-05, 1.7028e+04
3.3125e-05, 1.6539e+04
3.5000e-05, 1.6090e+04
3.8750e-05, 1.5292e+04
4.2500e-05, 1.4602e+04
4.6250e-05, 1.3998e+04
5.0000e-05, 1.3463e+04
5.3125e-05, 1.3061e+04
5.6250e-05, 1.2693e+04
5.9375e-05, 1.2355e+04
6.2500e-05, 1.2042e+04
6.8750e-05, 1.1482e+04
7.5000e-05, 1.0994e+04
8.1250e-05, 1.0563e+04
8.7500e-05, 1.0179e+04
9.3750e-05, 9.8342e+03
1.0000e-04, 9.5223e+03
1.0625e-04, 9.2382e+03
1.1250e-04, 8.9783e+03
1.1875e-04, 8.7391e+03
1.2500e-04, 8.5181e+03
1.3750e-04, 8.1222e+03
1.5000e-04, 7.7769e+03
1.6250e-04, 7.4723e+03
1.7500e-04, 7.2010e+03
1.8750e-04, 6.9573e+03
2.0000e-04, 6.7368e+03
2.1875e-04, 6.4422e+03
2.3750e-04, 6.1833e+03
2.5625e-04, 5.9534e+03
2.7500e-04, 5.7474e+03
2.9375e-04, 5.5615e+03
3.1250e-04, 5.3926e+03
3.3125e-04, 5.2383e+03
3.5000e-04, 5.0965e+03
3.8750e-04, 4.8446e+03
4.2500e-04, 4.6268e+03
4.6250e-04, 4.4362e+03
5.0000e-04, 4.2674e+03
5.3125e-04, 4.1407e+03
5.6250e-04, 4.0247e+03
5.9375e-04, 3.9180e+03
6.2500e-04, 3.8194e+03
6.8750e-04, 3.6428e+03
7.5000e-04, 3.4889e+03
8.1250e-04, 3.3531e+03
8.7500e-04, 3.2322e+03
9.3750e-04, 3.1237e+03
1.0000e-03, 3.0255e+03
1.0625e-03, 2.9362e+03
1.1250e-03, 2.8544e+03
1.1875e-03, 2.7792e+03
1.2500e-03, 2.7097e+03
1.3750e-03, 2.5854e+03
1.5000e-03, 2.4770e+03
1.6250e-03, 2.3814e+03
1.7500e-03, 2.2964e+03
1.8750e-03, 2.2200e+03
2.0000e-03, 2.1510e+03
2.1875e-03, 2.0588e+03
2.3750e-03, 1.9779e+03
2.5625e-03, 1.9062e+03
2.7500e-03, 1.8420e+03
2.9375e-03, 1.7841e+03
3.1250e-03, 1.7316e+03
3.3125e-03, 1.6836e+03
3.5000e-03, 1.6397e+03
3.8750e-03, 1.5617e+03
4.2500e-03, 1.4944e+03
4.6250e-03, 1.4356e+03
5.0000e-03, 1.3837e+03
5.3125e-03, 1.3449e+03
5.6250e-03, 1.3094e+03
5.9375e-03, 1.2769e+03
6.2500e-03, 1.2469e+03
6.8750e-03, 1.1934e+03
7.5000e-03, 1.1470e+03
8.1250e-03, 1.1063e+03
8.7500e-03, 1.0702e+03
9.3750e-03, 1.0380e+03
1.0000e-02, 1.0092e+03
1.0625e-02, 9.8308e+02
1.1250e-02, 9.5939e+02
1.2500e-02, 9.1791e+02
1.3750e-02, 8.8275e+02
1.5000e-02, 8.5260e+02
1.6250e-02, 8.2652e+02
1.7500e-02, 8.0378e+02
1.8750e-02, 7.8382e+02
2.0000e-02, 7.6622e+02
2.1325e-02, 7.4975e+02
2.2650e-02, 7.3521e+02
2.3975e-02, 7.2236e+02
2.5300e-02, 7.1098e+02
2.7616e-02, 6.9417e+02
2.9931e-02, 6.8060e+02
3.2247e-02, 6.6966e+02
3.4563e-02, 6.6099e+02
3.6878e-02, 6.5432e+02
3.9194e-02, 6.4943e+02
4.1509e-02, 6.4614e+02
4.3825e-02, 6.4429e+02
4.6913e-02, 6.4388e+02
5.0000e-02, 6.4566e+02
5.3125e-02, 6.4952e+02
5.6250e-02, 6.5538e+02
5.9375e-02, 6.6317e+02
6.2500e-02, 6.7288e+02
6.5625e-02, 6.8451e+02
6.8750e-02, 6.9810e+02
7.1875e-02, 7.1373e+02
7.5000e-02, 7.3148e+02
7.8125e-02, 7.5148e+02
8.1250e-02, 7.7386e+02
8.4375e-02, 7.9882e+02
8.7500e-02, 8.2658e+02
9.0625e-02, 8.5737e+02
9.3750e-02, 8.9150e+02
9.6875e-02, 9.2932e+02
1.0000e-01, 9.7123e+02
1.0240e-01, 1.0066e+03
1.0571e-01, 1.0601e+03
1.0901e-01, 1.1200e+03
1.1231e-01, 1.1872e+03
1.1562e-01, 1.2629e+03
1.1727e-01, 1.3043e+03
1.1892e-01, 1.3483e+03
1.2057e-01, 1.3952e+03
1.2223e-01, 1.4451e+03
1.2388e-01, 1.4984e+03
1.2553e-01, 1.5552e+03
1.2718e-01, 1.6160e+03
1.2883e-01, 1.6811e+03
1.3109e-01, 1.7774e+03
1.3334e-01, 1.8836e+03
1.3559e-01, 2.0008e+03
1.3784e-01, 2.1307e+03
1.3897e-01, 2.2009e+03
1.4010e-01, 2.2750e+03
1.4122e-01, 2.3533e+03
1.4235e-01, 2.4360e+03
1.4348e-01, 2.5235e+03
1.4460e-01, 2.6162e+03
1.4573e-01, 2.7143e+03
1.4685e-01, 2.8184e+03
1.4851e-01, 2.9828e+03
1.5016e-01, 3.1625e+03
1.5098e-01, 3.2587e+03
1.5181e-01, 3.3595e+03
1.5264e-01, 3.4650e+03
1.5346e-01, 3.5756e+03
1.5429e-01, 3.6915e+03
1.5511e-01, 3.8132e+03
1.5594e-01, 3.9409e+03
1.5677e-01, 4.0750e+03
1.5759e-01, 4.2158e+03
1.5842e-01, 4.3637e+03
1.5924e-01, 4.5192e+03
1.6007e-01, 4.6826e+03
1.6082e-01, 4.8385e+03
1.6157e-01, 5.0017e+03
1.6232e-01, 5.1726e+03
1.6307e-01, 5.3514e+03
1.6382e-01, 5.5388e+03
1.6458e-01, 5.7348e+03
1.6533e-01, 5.9401e+03
1.6608e-01, 6.1549e+03
1.6683e-01, 6.3795e+03
1.6758e-01, 6.6145e+03
1.6833e-01, 6.8600e+03
1.6908e-01, 7.1163e+03
1.6983e-01, 7.3839e+03
1.7058e-01, 7.6627e+03
1.7133e-01, 7.9531e+03
1.7208e-01, 8.2549e+03
1.7325e-01, 8.7468e+03
1.7442e-01, 9.2658e+03
1.7558e-01, 9.8107e+03
1.7675e-01, 1.0379e+04
1.7792e-01, 1.0968e+04
1.7908e-01, 1.1573e+04
1.8025e-01, 1.2188e+04
1.8142e-01, 1.2806e+04
1.8297e-01, 1.3623e+04
1.8453e-01, 1.4409e+04
1.8609e-01, 1.5141e+04
1.8764e-01, 1.5792e+04
1.8920e-01, 1.6338e+04
1.8998e-01, 1.6564e+04
1.9076e-01, 1.6755e+04
1.9153e-01, 1.6910e+04
1.9231e-01, 1.7026e+04
1.9309e-01, 1.7101e+04
1.9387e-01, 1.7136e+04
1.9500e-01, 1.7114e+04
1.9594e-01, 1.7029e+04
1.9687e-01, 1.6885e+04
1.9781e-01, 1.6686e+04
1.9875e-01, 1.6433e+04
2.0000e-01, 1.6021e+04
2.0082e-01, 1.5709e+04
2.0164e-01, 1.5367e+04
2.0328e-01, 1.4610e+04
2.0492e-01, 1.3780e+04
2.0655e-01, 1.2905e+04
2.0819e-01, 1.2013e+04
2.0983e-01, 1.1125e+04
2.1147e-01, 1.0262e+04
2.1311e-01, 9.4365e+03
2.1465e-01, 8.7033e+03
2.1619e-01, 8.0171e+03
2.1773e-01, 7.3803e+03
2.1927e-01, 6.7932e+03
2.2081e-01, 6.2549e+03
2.2236e-01, 5.7634e+03
2.2390e-01, 5.3158e+03
2.2544e-01, 4.9090e+03
2.2698e-01, 4.5396e+03
2.2852e-01, 4.2045e+03
2.3006e-01, 3.9004e+03
2.3160e-01, 3.6243e+03
2.3314e-01, 3.3734e+03
2.3468e-01, 3.1451e+03
2.3622e-01, 2.9373e+03
2.3776e-01, 2.7476e+03
2.3931e-01, 2.5744e+03
2.4085e-01, 2.4159e+03
2.4239e-01, 2.2706e+03
2.4393e-01, 2.1372e+03
2.4547e-01, 2.0146e+03
2.4701e-01, 1.9016e+03
2.4855e-01, 1.7974e+03
2.5009e-01, 1.7011e+03
2.5156e-01, 1.6158e+03
2.5303e-01, 1.5365e+03
2.5450e-01, 1.4626e+03
2.5598e-01, 1.3937e+03
2.5745e-01, 1.3294e+03
2.5892e-01, 1.2691e+03
2.6039e-01, 1.2128e+03
2.6186e-01, 1.1599e+03
2.6333e-01, 1.1103e+03
2.6480e-01, 1.0637e+03
2.6627e-01, 1.0198e+03
2.6774e-01, 9.7852e+02
2.6921e-01, 9.3958e+02
2.7068e-01, 9.0285e+02
2.7216e-01, 8.6816e+02
2.7363e-01, 8.3536e+02
2.7517e-01, 8.0289e+02
2.7671e-01, 7.7221e+02
2.7825e-01, 7.4321e+02
2.7979e-01, 7.1576e+02
2.8287e-01, 6.6511e+02
2.8595e-01, 6.1952e+02
2.8904e-01, 5.7833e+02
2.9212e-01, 5.4103e+02
2.9520e-01, 5.0714e+02
2.9828e-01, 4.7626e+02
3.0164e-01, 4.4563e+02
3.0500e-01, 4.1780e+02
3.0837e-01, 3.9246e+02
3.1173e-01, 3.6933e+02
3.1509e-01, 3.4815e+02
3.1845e-01, 3.2874e+02
3.2181e-01, 3.1088e+02
3.2518e-01, 2.9443e+02
3.2826e-01, 2.8046e+02
3.3134e-01, 2.6744e+02
3.3442e-01, 2.5531e+02
3.3750e-01, 2.4397e+02
3.4059e-01, 2.3338e+02
3.4367e-01, 2.2345e+02
3.4675e-01, 2.1415e+02
3.4983e-01, 2.0542e+02
3.5291e-01, 1.9722e+02
3.5599e-01, 1.8950e+02
3.5908e-01, 1.8223e+02
3.6216e-01, 1.7538e+02
3.6524e-01, 1.6892e+02
3.6832e-01, 1.6281e+02
3.7449e-01, 1.5157e+02
3.8065e-01, 1.4149e+02
3.8681e-01, 1.3241e+02
3.9298e-01, 1.2421e+02
3.9914e-01, 1.1678e+02
4.0530e-01, 1.1003e+02
4.1147e-01, 1.0389e+02
4.1763e-01, 9.8284e+01
4.2379e-01, 9.3154e+01
4.2856e-01, 8.9484e+01
4.3332e-01, 8.6048e+01
4.3808e-01, 8.2830e+01
4.4285e-01, 7.9811e+01
4.4761e-01, 7.6975e+01
4.5237e-01, 7.4308e+01
4.6190e-01, 6.9426e+01
4.7142e-01, 6.5085e+01
4.8095e-01, 6.1226e+01
5.0000e-01, 5.4649e+01
5.1562e-01, 5.0168e+01
5.3125e-01, 4.6383e+01
5.4688e-01, 4.3169e+01
5.6250e-01, 4.0456e+01
5.9375e-01, 3.6113e+01
6.2500e-01, 3.2880e+01
6.5625e-01, 3.0518e+01
6.8750e-01, 2.8832e+01
7.1875e-01, 2.7693e+01
7.5000e-01, 2.7015e+01
7.8125e-01, 2.6743e+01
8.2812e-01, 2.7045e+01
8.7500e-01, 2.8197e+01
9.0625e-01, 2.9488e+01
9.3750e-01, 3.1268e+01
9.6875e-01, 3.3642e+01
1.0000e+00, 3.6743e+01
1.0225e+00, 3.9568e+01
1.0450e+00, 4.3058e+01
1.0676e+00, 4.7387e+01
1.0901e+00, 5.2832e+01
1.1126e+00, 5.9808e+01
1.1351e+00, 6.8914e+01
1.1464e+00, 7.4570e+01
1.1576e+00, 8.1233e+01
1.1689e+00, 8.9177e+01
1.1802e+00, 9.8759e+01
1.1902e+00, 1.0906e+02
1.2002e+00, 1.2155e+02
1.2102e+00, 1.3694e+02
1.2202e+00, 1.5628e+02
1.2302e+00, 1.8116e+02
1.2352e+00, 1.9643e+02
1.2402e+00, 2.1416e+02
1.2452e+00, 2.3496e+02
1.2502e+00, 2.5958e+02
1.2552e+00, 2.8910e+02
1.2602e+00, 3.2492e+02
1.2634e+00, 3.5136e+02
1.2665e+00, 3.8164e+02
1.2696e+00, 4.1651e+02
1.2728e+00, 4.5689e+02
1.2759e+00, 5.0388e+02
1.2790e+00, 5.5880e+02
1.2821e+00, 6.2317e+02
1.2853e+00, 6.9870e+02
1.2881e+00, 7.7778e+02
1.2909e+00, 8.6877e+02
1.2937e+00, 9.7301e+02
1.2965e+00, 1.0917e+03
1.2993e+00, 1.2255e+03
1.3022e+00, 1.3748e+03
1.3050e+00, 1.5392e+03
1.3078e+00, 1.7173e+03
1.3112e+00, 1.9476e+03
1.3146e+00, 2.1879e+03
1.3180e+00, 2.4293e+03
1.3214e+00, 2.6610e+03
1.3256e+00, 2.9126e+03
1.3297e+00, 3.1097e+03
1.3339e+00, 3.2336e+03
1.3380e+00, 3.2719e+03
1.3424e+00, 3.2147e+03
1.3454e+00, 3.1218e+03
1.3484e+00, 2.9909e+03
1.3514e+00, 2.8286e+03
1.3544e+00, 2.6430e+03
1.3604e+00, 2.2345e+03
1.3664e+00, 1.8258e+03
1.3712e+00, 1.5225e+03
1.3761e+00, 1.2609e+03
1.3810e+00, 1.0448e+03
1.3834e+00, 9.5323e+02
1.3859e+00, 8.7198e+02
1.3883e+00, 8.0018e+02
1.3908e+00, 7.3700e+02
1.3932e+00, 6.8158e+02
1.3957e+00, 6.3309e+02
1.4005e+00, 5.5368e+02
1.4054e+00, 4.9319e+02
1.4099e+00, 4.5081e+02
1.4143e+00, 4.1780e+02
1.4187e+00, 3.9218e+02
1.4232e+00, 3.7251e+02
1.4276e+00, 3.5769e+02
1.4321e+00, 3.4694e+02
1.4409e+00, 3.3546e+02
1.4463e+00, 3.3406e+02
1.4516e+00, 3.3632e+02
1.4569e+00, 3.4209e+02
1.4622e+00, 3.5136e+02
1.4676e+00, 3.6423e+02
1.4729e+00, 3.8094e+02
1.4782e+00, 4.0190e+02
1.4836e+00, 4.2768e+02
1.4907e+00, 4.7091e+02
1.4978e+00, 5.2674e+02
1.5049e+00, 5.9916e+02
1.5084e+00, 6.4338e+02
1.5120e+00, 6.9424e+02
1.5155e+00, 7.5305e+02
1.5191e+00, 8.2143e+02
1.5226e+00, 9.0144e+02
1.5262e+00, 9.9564e+02
1.5297e+00, 1.1073e+03
1.5333e+00, 1.2403e+03
1.5368e+00, 1.3996e+03
1.5404e+00, 1.5909e+03
1.5439e+00, 1.8210e+03
1.5475e+00, 2.0970e+03
1.5510e+00, 2.4266e+03
1.5546e+00, 2.8168e+03
1.5581e+00, 3.2735e+03
1.5617e+00, 3.7993e+03
