ebin, xs
1.0000e-05, 1.1892e+02
1.0625e-05, 1.1537e+02
1.1250e-05, 1.1212e+02
1.1875e-05, 1.0913e+02
1.2500e-05, 1.0637e+02
1.3750e-05, 1.0142e+02
1.5000e-05, 9.7100e+01
1.6250e-05, 9.3291e+01
1.7500e-05, 8.9897e+01
1.8750e-05, 8.6849e+01
2.0000e-05, 8.4091e+01
2.1875e-05, 8.0406e+01
2.3750e-05, 7.7167e+01
2.5625e-05, 7.4290e+01
2.7500e-05, 7.1713e+01
2.9375e-05, 6.9387e+01
3.1250e-05, 6.7273e+01
3.3125e-05, 6.5341e+01
3.5000e-05, 6.3567e+01
3.8750e-05, 6.0413e+01
4.2500e-05, 5.7686e+01
4.6250e-05, 5.5298e+01
5.0000e-05, 5.3184e+01
5.3125e-05, 5.1596e+01
5.6250e-05, 5.0142e+01
5.9375e-05, 4.8805e+01
6.2500e-05, 4.7569e+01
6.8750e-05, 4.5355e+01
7.5000e-05, 4.3424e+01
8.1250e-05, 4.1721e+01
8.7500e-05, 4.0203e+01
9.3750e-05, 3.8840e+01
1.0000e-04, 3.7607e+01
1.0625e-04, 3.6484e+01
1.1250e-04, 3.5456e+01
1.1875e-04, 3.4510e+01
1.2500e-04, 3.3636e+01
1.3750e-04, 3.2071e+01
1.5000e-04, 3.0706e+01
1.6250e-04, 2.9501e+01
1.7500e-04, 2.8428e+01
1.8750e-04, 2.7464e+01
2.0000e-04, 2.6592e+01
2.1875e-04, 2.5427e+01
2.3750e-04, 2.4402e+01
2.5625e-04, 2.3493e+01
2.7500e-04, 2.2678e+01
2.9375e-04, 2.1942e+01
3.1250e-04, 2.1274e+01
3.3125e-04, 2.0663e+01
3.5000e-04, 2.0102e+01
3.8750e-04, 1.9104e+01
4.2500e-04, 1.8242e+01
4.6250e-04, 1.7487e+01
5.0000e-04, 1.6818e+01
5.3125e-04, 1.6316e+01
5.6250e-04, 1.5856e+01
5.9375e-04, 1.5434e+01
6.2500e-04, 1.5043e+01
6.8750e-04, 1.4343e+01
7.5000e-04, 1.3732e+01
8.1250e-04, 1.3193e+01
8.7500e-04, 1.2713e+01
9.3750e-04, 1.2282e+01
1.0000e-03, 1.1892e+01
1.0625e-03, 1.1537e+01
1.1250e-03, 1.1212e+01
1.1875e-03, 1.0913e+01
1.2500e-03, 1.0637e+01
1.3750e-03, 1.0142e+01
1.5000e-03, 9.7102e+00
1.6250e-03, 9.3293e+00
1.7500e-03, 8.9899e+00
1.8750e-03, 8.6851e+00
2.0000e-03, 8.4094e+00
2.1875e-03, 8.0409e+00
2.3750e-03, 7.7170e+00
2.5625e-03, 7.4294e+00
2.7500e-03, 7.1716e+00
2.9375e-03, 6.9390e+00
3.1250e-03, 6.7276e+00
3.3125e-03, 6.5345e+00
3.5000e-03, 6.3571e+00
3.8750e-03, 6.0417e+00
4.2500e-03, 5.7690e+00
4.6250e-03, 5.5302e+00
5.0000e-03, 5.3188e+00
5.3125e-03, 5.1600e+00
5.6250e-03, 5.0146e+00
5.9375e-03, 4.8809e+00
6.2500e-03, 4.7573e+00
6.8750e-03, 4.5359e+00
7.5000e-03, 4.3428e+00
8.1250e-03, 4.1724e+00
8.7500e-03, 4.0207e+00
9.3750e-03, 3.8843e+00
1.0000e-02, 3.7610e+00
1.0625e-02, 3.6488e+00
1.1250e-02, 3.5460e+00
1.1875e-02, 3.4515e+00
1.2500e-02, 3.3642e+00
1.3750e-02, 3.2077e+00
1.5000e-02, 3.0712e+00
1.6250e-02, 2.9507e+00
1.7500e-02, 2.8433e+00
1.8750e-02, 2.7469e+00
2.0000e-02, 2.6597e+00
2.1325e-02, 2.5757e+00
2.2650e-02, 2.4993e+00
2.3975e-02, 2.4294e+00
2.5300e-02, 2.3650e+00
2.6844e-02, 2.2961e+00
2.8387e-02, 2.2330e+00
3.1475e-02, 2.1209e+00
3.4563e-02, 2.0240e+00
3.7650e-02, 1.9392e+00
4.0738e-02, 1.8643e+00
