ebin, xs
1.0000e-05, 1.9426e-01
1.0625e-05, 1.8846e-01
1.1250e-05, 1.8315e-01
1.1875e-05, 1.7826e-01
1.2500e-05, 1.7375e-01
1.3750e-05, 1.6566e-01
1.5000e-05, 1.5861e-01
1.6250e-05, 1.5239e-01
1.7500e-05, 1.4684e-01
1.8750e-05, 1.4187e-01
2.0000e-05, 1.3736e-01
2.1875e-05, 1.3134e-01
2.3750e-05, 1.2605e-01
2.5625e-05, 1.2135e-01
2.7500e-05, 1.1714e-01
2.9375e-05, 1.1334e-01
3.1250e-05, 1.0989e-01
3.3125e-05, 1.0673e-01
3.5000e-05, 1.0383e-01
3.7500e-05, 1.0031e-01
4.0000e-05, 9.7128e-02
4.2500e-05, 9.4228e-02
4.6250e-05, 9.0328e-02
5.0000e-05, 8.6874e-02
5.3125e-05, 8.4280e-02
5.6250e-05, 8.1906e-02
5.9375e-05, 7.9721e-02
6.2500e-05, 7.7703e-02
6.8750e-05, 7.4087e-02
7.5000e-05, 7.0933e-02
8.0000e-05, 6.8680e-02
8.7500e-05, 6.5671e-02
9.3750e-05, 6.3444e-02
1.0000e-04, 6.1429e-02
1.0625e-04, 5.9595e-02
1.1250e-04, 5.7916e-02
1.1875e-04, 5.6371e-02
1.2500e-04, 5.4944e-02
1.3750e-04, 5.2387e-02
1.5000e-04, 5.0157e-02
1.6250e-04, 4.8189e-02
1.7500e-04, 4.6436e-02
1.8750e-04, 4.4862e-02
2.0000e-04, 4.3437e-02
2.1875e-04, 4.1534e-02
2.3750e-04, 3.9861e-02
2.5625e-04, 3.8375e-02
2.7500e-04, 3.7043e-02
2.9375e-04, 3.5842e-02
3.1250e-04, 3.4750e-02
3.3125e-04, 3.3752e-02
3.5000e-04, 3.2835e-02
3.7500e-04, 3.1722e-02
4.0000e-04, 3.0715e-02
4.2500e-04, 2.9798e-02
4.6250e-04, 2.8564e-02
5.0000e-04, 2.7472e-02
5.3125e-04, 2.6652e-02
5.6250e-04, 2.5901e-02
5.9375e-04, 2.5210e-02
6.2500e-04, 2.4572e-02
6.8750e-04, 2.3428e-02
7.5000e-04, 2.2431e-02
8.0000e-04, 2.1719e-02
8.7500e-04, 2.0767e-02
9.3750e-04, 2.0063e-02
1.0000e-03, 1.9426e-02
1.0625e-03, 1.8846e-02
1.1250e-03, 1.8315e-02
1.1875e-03, 1.7826e-02
1.2500e-03, 1.7375e-02
1.3750e-03, 1.6566e-02
1.5000e-03, 1.5861e-02
