ebin, xs
1.0000e-05, 3.7246e+01
1.0625e-05, 3.6134e+01
1.1250e-05, 3.5116e+01
1.1875e-05, 3.4179e+01
1.2500e-05, 3.3314e+01
1.3750e-05, 3.1763e+01
1.5000e-05, 3.0411e+01
1.6250e-05, 2.9218e+01
1.7500e-05, 2.8155e+01
1.8750e-05, 2.7200e+01
2.0000e-05, 2.6337e+01
2.1401e-05, 2.5460e+01
2.2803e-05, 2.4665e+01
2.4204e-05, 2.3940e+01
2.5606e-05, 2.3276e+01
2.7007e-05, 2.2664e+01
2.8409e-05, 2.2098e+01
3.1212e-05, 2.1082e+01
3.4015e-05, 2.0195e+01
3.6818e-05, 1.9411e+01
3.9621e-05, 1.8712e+01
4.2424e-05, 1.8083e+01
4.6212e-05, 1.7326e+01
5.0000e-05, 1.6657e+01
5.3125e-05, 1.6159e+01
5.6250e-05, 1.5704e+01
5.9375e-05, 1.5285e+01
6.2500e-05, 1.4898e+01
6.8750e-05, 1.4205e+01
7.5000e-05, 1.3600e+01
8.1250e-05, 1.3067e+01
8.7500e-05, 1.2591e+01
9.3750e-05, 1.2164e+01
1.0000e-04, 1.1778e+01
1.0823e-04, 1.1322e+01
1.1645e-04, 1.0914e+01
1.2468e-04, 1.0548e+01
1.3291e-04, 1.0217e+01
1.4113e-04, 9.9143e+00
1.4936e-04, 9.6374e+00
1.5759e-04, 9.3825e+00
1.6581e-04, 9.1468e+00
1.8277e-04, 8.7122e+00
1.9972e-04, 8.3343e+00
2.0000e-04, 8.3284e+00
2.0066e-04, 8.3146e+00
2.0133e-04, 8.3009e+00
2.0265e-04, 8.2737e+00
2.0531e-04, 8.2201e+00
2.1061e-04, 8.1159e+00
2.2122e-04, 7.9189e+00
2.4244e-04, 7.5644e+00
2.6366e-04, 7.2536e+00
2.8488e-04, 6.9782e+00
3.0610e-04, 6.7320e+00
3.2733e-04, 6.5101e+00
3.4855e-04, 6.3088e+00
3.6977e-04, 6.1251e+00
4.0233e-04, 5.8720e+00
4.3488e-04, 5.6479e+00
4.6744e-04, 5.4477e+00
5.0000e-04, 5.2674e+00
5.4058e-04, 5.0658e+00
5.8116e-04, 4.8857e+00
6.2175e-04, 4.7236e+00
6.6233e-04, 4.5766e+00
7.0291e-04, 4.4425e+00
7.4349e-04, 4.3196e+00
7.8407e-04, 4.2063e+00
8.2466e-04, 4.1015e+00
9.1233e-04, 3.8994e+00
1.0000e-03, 3.7246e+00
1.0836e-03, 3.5781e+00
1.1671e-03, 3.4476e+00
1.2507e-03, 3.3304e+00
1.3343e-03, 3.2244e+00
1.3382e-03, 3.2197e+00
1.3525e-03, 3.2027e+00
1.3668e-03, 3.1859e+00
1.3953e-03, 3.1532e+00
1.4524e-03, 3.0906e+00
1.5665e-03, 2.9759e+00
1.5709e-03, 2.9717e+00
1.5876e-03, 2.9560e+00
1.6044e-03, 2.9405e+00
1.6379e-03, 2.9103e+00
1.7049e-03, 2.8525e+00
1.8390e-03, 2.7465e+00
1.8444e-03, 2.7425e+00
1.8630e-03, 2.7288e+00
1.8816e-03, 2.7153e+00
1.9189e-03, 2.6888e+00
1.9933e-03, 2.6381e+00
2.0000e-03, 2.6337e+00
2.0199e-03, 2.6207e+00
2.0398e-03, 2.6079e+00
2.0795e-03, 2.5828e+00
2.1591e-03, 2.5348e+00
2.1684e-03, 2.5293e+00
2.1913e-03, 2.5161e+00
2.2142e-03, 2.5031e+00
2.2600e-03, 2.4776e+00
2.3515e-03, 2.4289e+00
2.5346e-03, 2.3395e+00
2.5421e-03, 2.3361e+00
2.5615e-03, 2.3272e+00
