ebin, xs
1.0000e-05, 3.8329e+00
1.0625e-05, 3.7184e+00
1.1250e-05, 3.6137e+00
1.1875e-05, 3.5173e+00
1.2500e-05, 3.4282e+00
1.3750e-05, 3.2687e+00
1.5000e-05, 3.1295e+00
1.6250e-05, 3.0068e+00
1.7500e-05, 2.8974e+00
1.8750e-05, 2.7991e+00
2.0000e-05, 2.7103e+00
2.1875e-05, 2.5915e+00
2.3750e-05, 2.4871e+00
2.5625e-05, 2.3944e+00
2.7500e-05, 2.3113e+00
2.9375e-05, 2.2363e+00
3.1250e-05, 2.1682e+00
3.3125e-05, 2.1060e+00
3.5000e-05, 2.0488e+00
3.8750e-05, 1.9471e+00
4.2500e-05, 1.8592e+00
4.6250e-05, 1.7823e+00
5.0000e-05, 1.7141e+00
5.3125e-05, 1.6629e+00
5.6250e-05, 1.6161e+00
5.9375e-05, 1.5730e+00
6.2500e-05, 1.5332e+00
6.8750e-05, 1.4618e+00
7.5000e-05, 1.3996e+00
8.1250e-05, 1.3447e+00
8.7500e-05, 1.2958e+00
9.3750e-05, 1.2518e+00
1.0000e-04, 1.2121e+00
1.0625e-04, 1.1759e+00
1.1250e-04, 1.1427e+00
1.1875e-04, 1.1123e+00
1.2500e-04, 1.0841e+00
1.3750e-04, 1.0337e+00
1.5000e-04, 9.8965e-01
1.6250e-04, 9.5082e-01
1.7500e-04, 9.1623e-01
1.8750e-04, 8.8517e-01
2.0000e-04, 8.5706e-01
2.1875e-04, 8.1950e-01
2.3750e-04, 7.8649e-01
2.5625e-04, 7.5717e-01
2.7500e-04, 7.3090e-01
2.9375e-04, 7.0719e-01
3.1250e-04, 6.8564e-01
3.3125e-04, 6.6596e-01
3.5000e-04, 6.4787e-01
3.8750e-04, 6.1573e-01
4.2500e-04, 5.8793e-01
4.6250e-04, 5.6360e-01
5.0000e-04, 5.4205e-01
5.3125e-04, 5.2586e-01
5.6250e-04, 5.1105e-01
5.9375e-04, 4.9742e-01
6.2500e-04, 4.8482e-01
6.8750e-04, 4.6226e-01
7.5000e-04, 4.4258e-01
8.1250e-04, 4.2522e-01
8.7500e-04, 4.0975e-01
9.3750e-04, 3.9585e-01
1.0000e-03, 3.8328e-01
1.0625e-03, 3.7184e-01
1.1250e-03, 3.6136e-01
1.1875e-03, 3.5173e-01
1.2500e-03, 3.4282e-01
1.3750e-03, 3.2687e-01
1.5000e-03, 3.1295e-01
1.6250e-03, 3.0067e-01
1.7500e-03, 2.8974e-01
1.8750e-03, 2.7991e-01
2.0000e-03, 2.7102e-01
2.1875e-03, 2.5915e-01
2.3750e-03, 2.4871e-01
2.5625e-03, 2.3944e-01
2.7500e-03, 2.3113e-01
2.9375e-03, 2.2363e-01
3.1250e-03, 2.1682e-01
3.3125e-03, 2.1059e-01
3.5000e-03, 2.0487e-01
3.8750e-03, 1.9471e-01
4.2500e-03, 1.8592e-01
4.6250e-03, 1.7822e-01
5.0000e-03, 1.7141e-01
5.3125e-03, 1.6629e-01
5.6250e-03, 1.6160e-01
5.9375e-03, 1.5729e-01
6.2500e-03, 1.5331e-01
6.8750e-03, 1.4617e-01
7.5000e-03, 1.3995e-01
8.1250e-03, 1.3446e-01
8.7500e-03, 1.2956e-01
9.3750e-03, 1.2517e-01
1.0000e-02, 1.2119e-01
1.0625e-02, 1.1757e-01
1.1250e-02, 1.1426e-01
1.1875e-02, 1.1121e-01
1.2500e-02, 1.0840e-01
1.3750e-02, 1.0336e-01
1.5000e-02, 9.8955e-02
1.6250e-02, 9.5070e-02
1.7500e-02, 9.1608e-02
1.8750e-02, 8.8498e-02
2.0000e-02, 8.5685e-02
2.1325e-02, 8.2978e-02
2.2650e-02, 8.0514e-02
2.3975e-02, 7.8257e-02
2.5300e-02, 7.6182e-02
2.6844e-02, 7.3963e-02
2.8387e-02, 7.1927e-02
3.1475e-02, 6.8312e-02
3.4563e-02, 6.5187e-02
3.7650e-02, 6.2452e-02
4.0738e-02, 6.0034e-02
4.3825e-02, 5.7877e-02
4.6913e-02, 5.5936e-02
5.0000e-02, 5.4179e-02
5.3125e-02, 5.2559e-02
5.6250e-02, 5.1077e-02
5.9375e-02, 4.9716e-02
6.2500e-02, 4.8460e-02
6.8750e-02, 4.6207e-02
7.5000e-02, 4.4237e-02
8.1250e-02, 4.2497e-02
8.7500e-02, 4.0947e-02
9.3750e-02, 3.9555e-02
1.0000e-01, 3.8296e-02
1.0625e-01, 3.7149e-02
1.1250e-01, 3.6101e-02
1.1875e-01, 3.5138e-02
1.2500e-01, 3.4251e-02
1.3750e-01, 3.2658e-02
1.5000e-01, 3.1262e-02
1.6250e-01, 3.0031e-02
1.7500e-01, 2.8935e-02
1.8750e-01, 2.7950e-02
2.0000e-01, 2.7063e-02
2.1875e-01, 2.5875e-02
2.3750e-01, 2.4828e-02
2.5625e-01, 2.3897e-02
2.7500e-01, 2.3064e-02
2.9375e-01, 2.2312e-02
3.1250e-01, 2.1628e-02
3.3125e-01, 2.1004e-02
3.5000e-01, 2.0435e-02
3.8750e-01, 1.9419e-02
4.2500e-01, 1.8535e-02
5.0000e-01, 1.7080e-02
6.2500e-01, 1.5263e-02
7.5000e-01, 1.3918e-02
8.7500e-01, 1.2876e-02
1.0000e+00, 1.2035e-02
1.2500e+00, 1.0743e-02
1.5000e+00, 9.7884e-03
1.7500e+00, 9.0472e-03
2.0000e+00, 8.4485e-03
2.3750e+00, 7.7330e-03
2.7500e+00, 7.1692e-03
3.1250e+00, 6.7085e-03
3.5000e+00, 6.3236e-03
4.2500e+00, 5.7124e-03
5.0000e+00, 5.2446e-03
6.2500e+00, 4.6621e-03
7.5000e+00, 4.2346e-03
8.7500e+00, 3.9072e-03
1.0000e+01, 3.6495e-03
1.1250e+01, 3.4440e-03
1.2500e+01, 3.2810e-03
1.3750e+01, 3.1551e-03
1.5000e+01, 3.0644e-03
1.6250e+01, 3.0107e-03
1.7500e+01, 3.0004e-03
1.8750e+01, 3.0466e-03
2.0000e+01, 3.1745e-03
2.1258e+01, 3.4347e-03
2.1887e+01, 3.6458e-03
2.2516e+01, 3.9379e-03
2.2830e+01, 4.1199e-03
2.3144e+01, 4.3468e-03
2.3459e+01, 4.6012e-03
2.3773e+01, 4.9194e-03
2.4088e+01, 5.3070e-03
2.4402e+01, 5.7829e-03
2.4717e+01, 6.3749e-03
2.5031e+01, 7.1218e-03
2.5276e+01, 7.8452e-03
2.5520e+01, 8.7342e-03
2.5765e+01, 9.8379e-03
2.6009e+01, 1.1212e-02
2.6254e+01, 1.3005e-02
2.6376e+01, 1.4103e-02
2.6499e+01, 1.5371e-02
2.6621e+01, 1.6847e-02
2.6743e+01, 1.8577e-02
2.6865e+01, 2.0624e-02
2.6988e+01, 2.3069e-02
2.7101e+01, 2.5787e-02
2.7215e+01, 2.9046e-02
2.7328e+01, 3.3006e-02
2.7442e+01, 3.7915e-02
2.7555e+01, 4.4101e-02
2.7612e+01, 4.7810e-02
2.7669e+01, 5.2029e-02
2.7726e+01, 5.6860e-02
2.7783e+01, 6.2423e-02
2.7839e+01, 6.8878e-02
2.7896e+01, 7.6424e-02
2.7957e+01, 8.6073e-02
2.8018e+01, 9.7723e-02
2.8079e+01, 1.1199e-01
2.8141e+01, 1.2976e-01
2.8171e+01, 1.4034e-01
2.8202e+01, 1.5233e-01
2.8232e+01, 1.6600e-01
2.8263e+01, 1.8170e-01
2.8293e+01, 1.9984e-01
2.8324e+01, 2.2101e-01
2.8355e+01, 2.4594e-01
2.8385e+01, 2.7569e-01
2.8420e+01, 3.1747e-01
2.8438e+01, 3.4242e-01
2.8455e+01, 3.7083e-01
2.8473e+01, 4.0349e-01
2.8490e+01, 4.4141e-01
2.8507e+01, 4.8599e-01
2.8525e+01, 5.3910e-01
2.8542e+01, 6.0323e-01
2.8560e+01, 6.8178e-01
2.8577e+01, 7.7926e-01
2.8595e+01, 9.0161e-01
2.8612e+01, 1.0565e+00
2.8621e+01, 1.1493e+00
2.8630e+01, 1.2538e+00
2.8639e+01, 1.3721e+00
2.8647e+01, 1.5056e+00
2.8656e+01, 1.6562e+00
2.8665e+01, 1.8260e+00
2.8674e+01, 2.0303e+00
2.8683e+01, 2.2611e+00
2.8693e+01, 2.5216e+00
2.8702e+01, 2.8147e+00
2.8711e+01, 3.1431e+00
2.8720e+01, 3.5098e+00
2.8730e+01, 3.9173e+00
2.8739e+01, 4.3680e+00
2.8758e+01, 5.4065e+00
2.8776e+01, 6.6352e+00
2.8795e+01, 8.0525e+00
2.8813e+01, 9.6418e+00
2.8857e+01, 1.3833e+01
2.8901e+01, 1.7938e+01
2.8925e+01, 1.9747e+01
2.8949e+01, 2.1003e+01
2.8964e+01, 2.1451e+01
2.8979e+01, 2.1597e+01
2.8993e+01, 2.1463e+01
2.9007e+01, 2.1080e+01
2.9021e+01, 2.0464e+01
2.9035e+01, 1.9636e+01
2.9063e+01, 1.7439e+01
2.9091e+01, 1.4800e+01
2.9145e+01, 9.6363e+00
2.9158e+01, 8.4755e+00
2.9172e+01, 7.4010e+00
2.9185e+01, 6.4213e+00
2.9199e+01, 5.5406e+00
2.9212e+01, 4.7941e+00
2.9224e+01, 4.1351e+00
2.9237e+01, 3.5593e+00
2.9250e+01, 3.0607e+00
2.9263e+01, 2.6325e+00
2.9276e+01, 2.2674e+00
2.9288e+01, 1.9579e+00
2.9301e+01, 1.6971e+00
2.9314e+01, 1.4777e+00
2.9327e+01, 1.2938e+00
2.9340e+01, 1.1397e+00
2.9352e+01, 1.0105e+00
2.9365e+01, 9.0209e-01
2.9378e+01, 8.1071e-01
2.9391e+01, 7.3337e-01
2.9404e+01, 6.6760e-01
2.9416e+01, 6.1384e-01
2.9428e+01, 5.6715e-01
2.9452e+01, 4.9039e-01
2.9477e+01, 4.3017e-01
2.9501e+01, 3.8176e-01
2.9525e+01, 3.4198e-01
2.9550e+01, 3.0870e-01
2.9574e+01, 2.8045e-01
2.9598e+01, 2.5617e-01
2.9623e+01, 2.3510e-01
2.9647e+01, 2.1667e-01
2.9696e+01, 1.8602e-01
2.9744e+01, 1.6168e-01
2.9793e+01, 1.4198e-01
2.9837e+01, 1.2736e-01
2.9880e+01, 1.1497e-01
2.9924e+01, 1.0437e-01
2.9967e+01, 9.5228e-02
3.0011e+01, 8.7281e-02
3.0054e+01, 8.0323e-02
3.0141e+01, 6.8757e-02
3.0229e+01, 5.9582e-02
3.0316e+01, 5.2183e-02
3.0403e+01, 4.6130e-02
3.0490e+01, 4.1116e-02
3.0572e+01, 3.7141e-02
3.0654e+01, 3.3745e-02
3.0736e+01, 3.0820e-02
3.0818e+01, 2.8285e-02
3.0900e+01, 2.6074e-02
3.0982e+01, 2.4138e-02
3.1146e+01, 2.0900e-02
3.1310e+01, 1.8307e-02
3.1474e+01, 1.6206e-02
3.1638e+01, 1.4482e-02
3.1801e+01, 1.3050e-02
3.1996e+01, 1.1641e-02
3.2191e+01, 1.0483e-02
3.2386e+01, 9.5305e-03
3.2580e+01, 8.7127e-03
3.2775e+01, 8.0129e-03
3.2970e+01, 7.4090e-03
3.3359e+01, 6.4338e-03
3.3748e+01, 5.6834e-03
3.4138e+01, 5.0921e-03
3.4527e+01, 4.6172e-03
3.4917e+01, 4.2324e-03
3.5695e+01, 3.6447e-03
3.6474e+01, 3.2196e-03
3.7253e+01, 2.8999e-03
3.8032e+01, 2.6519e-03
3.9589e+01, 2.2973e-03
4.1147e+01, 2.0553e-03
4.2704e+01, 1.8772e-03
4.4262e+01, 1.7394e-03
4.7377e+01, 1.5388e-03
5.0000e+01, 1.4163e-03
5.3125e+01, 1.3026e-03
5.6250e+01, 1.2115e-03
6.2500e+01, 1.0704e-03
6.8750e+01, 9.6320e-04
7.5000e+01, 8.7722e-04
8.1250e+01, 8.0590e-04
8.7500e+01, 7.4545e-04
1.0000e+02, 6.4783e-04
1.1250e+02, 5.7215e-04
1.2500e+02, 5.1180e-04
1.3750e+02, 4.6269e-04
1.5000e+02, 4.2211e-04
1.7500e+02, 3.5953e-04
2.0000e+02, 3.1429e-04
2.3750e+02, 2.6746e-04
2.7500e+02, 2.3712e-04
3.1250e+02, 2.1783e-04
3.5000e+02, 2.0665e-04
3.8750e+02, 2.0212e-04
4.2500e+02, 2.0387e-04
4.6250e+02, 2.1270e-04
5.0000e+02, 2.3137e-04
5.2208e+02, 2.4958e-04
5.3312e+02, 2.6175e-04
5.5520e+02, 2.9567e-04
5.7728e+02, 3.5156e-04
5.9937e+02, 4.5600e-04
6.1041e+02, 5.4825e-04
6.2145e+02, 6.9756e-04
6.3180e+02, 9.4634e-04
6.3697e+02, 1.1502e-03
6.4215e+02, 1.4539e-03
6.4732e+02, 1.9364e-03
6.4991e+02, 2.2546e-03
6.5250e+02, 2.7124e-03
6.5509e+02, 3.3454e-03
6.5767e+02, 4.2566e-03
6.6026e+02, 5.6040e-03
6.6156e+02, 6.5591e-03
6.6285e+02, 7.8085e-03
6.6397e+02, 9.2194e-03
6.6509e+02, 1.1069e-02
6.6621e+02, 1.3551e-02
6.6733e+02, 1.6895e-02
6.6846e+02, 2.1805e-02
6.6902e+02, 2.5141e-02
6.6958e+02, 2.9322e-02
6.7014e+02, 3.4654e-02
6.7070e+02, 4.1570e-02
6.7126e+02, 5.0775e-02
6.7182e+02, 6.3555e-02
6.7214e+02, 7.3352e-02
6.7247e+02, 8.5665e-02
6.7279e+02, 1.0144e-01
6.7311e+02, 1.2217e-01
6.7328e+02, 1.3511e-01
6.7344e+02, 1.5033e-01
6.7360e+02, 1.6846e-01
6.7376e+02, 1.9036e-01
6.7392e+02, 2.1738e-01
6.7408e+02, 2.5174e-01
6.7425e+02, 2.9778e-01
6.7433e+02, 3.2776e-01
6.7441e+02, 3.6476e-01
6.7448e+02, 4.0484e-01
6.7455e+02, 4.5529e-01
6.7462e+02, 5.2010e-01
6.7469e+02, 6.0484e-01
6.7476e+02, 7.1715e-01
6.7479e+02, 7.8687e-01
6.7483e+02, 8.6741e-01
6.7486e+02, 9.6106e-01
6.7490e+02, 1.0694e+00
6.7493e+02, 1.1950e+00
6.7497e+02, 1.3406e+00
6.7500e+02, 1.5098e+00
6.7504e+02, 1.7048e+00
6.7507e+02, 1.9307e+00
6.7511e+02, 2.1901e+00
6.7514e+02, 2.4893e+00
6.7518e+02, 2.8313e+00
6.7521e+02, 3.2222e+00
6.7525e+02, 3.6678e+00
6.7528e+02, 4.1754e+00
6.7532e+02, 4.7486e+00
6.7535e+02, 5.3971e+00
6.7539e+02, 6.1241e+00
6.7542e+02, 6.9404e+00
6.7546e+02, 7.8483e+00
6.7549e+02, 8.8565e+00
6.7553e+02, 9.9715e+00
6.7559e+02, 1.2334e+01
6.7566e+02, 1.5113e+01
6.7572e+02, 1.8331e+01
6.7579e+02, 2.1995e+01
6.7585e+02, 2.6096e+01
6.7592e+02, 3.0602e+01
6.7605e+02, 4.0573e+01
6.7620e+02, 5.2954e+01
6.7635e+02, 6.4454e+01
6.7643e+02, 6.9564e+01
6.7651e+02, 7.3558e+01
6.7660e+02, 7.6453e+01
6.7666e+02, 7.7286e+01
6.7669e+02, 7.7393e+01
6.7676e+02, 7.6854e+01
6.7683e+02, 7.5110e+01
6.7690e+02, 7.2398e+01
6.7696e+02, 6.8786e+01
6.7708e+02, 6.0924e+01
6.7720e+02, 5.1740e+01
6.7743e+02, 3.2981e+01
6.7749e+02, 2.8738e+01
6.7755e+02, 2.4807e+01
6.7761e+02, 2.1208e+01
6.7766e+02, 1.7973e+01
6.7772e+02, 1.5397e+01
6.7777e+02, 1.3104e+01
6.7782e+02, 1.1084e+01
6.7787e+02, 9.3257e+00
6.7792e+02, 7.8031e+00
6.7798e+02, 6.5021e+00
6.7803e+02, 5.3959e+00
6.7808e+02, 4.4671e+00
6.7813e+02, 3.6902e+00
6.7818e+02, 3.0468e+00
6.7824e+02, 2.5175e+00
6.7829e+02, 2.0857e+00
6.7834e+02, 1.7339e+00
6.7839e+02, 1.4498e+00
6.7844e+02, 1.2204e+00
6.7849e+02, 1.0362e+00
6.7853e+02, 9.2205e-01
6.7857e+02, 8.2521e-01
6.7861e+02, 7.4298e-01
6.7865e+02, 6.7304e-01
6.7873e+02, 5.6244e-01
6.7881e+02, 4.8095e-01
6.7886e+02, 4.3829e-01
6.7891e+02, 4.0267e-01
6.7901e+02, 3.4692e-01
6.7912e+02, 3.0522e-01
6.7922e+02, 2.7265e-01
6.7932e+02, 2.4622e-01
6.7943e+02, 2.2414e-01
6.7965e+02, 1.8706e-01
