ebin, xs
1.0000e-05, 3.7520e+02
1.0625e-05, 3.6400e+02
1.1250e-05, 3.5374e+02
1.1875e-05, 3.4431e+02
1.2500e-05, 3.3559e+02
1.3750e-05, 3.1997e+02
1.5000e-05, 3.0635e+02
1.6250e-05, 2.9433e+02
1.7500e-05, 2.8362e+02
1.8750e-05, 2.7401e+02
2.0000e-05, 2.6531e+02
2.1875e-05, 2.5368e+02
2.3750e-05, 2.4346e+02
2.5625e-05, 2.3438e+02
2.7500e-05, 2.2625e+02
2.9375e-05, 2.1891e+02
3.1250e-05, 2.1224e+02
3.3125e-05, 2.0615e+02
3.5000e-05, 2.0055e+02
3.8750e-05, 1.9060e+02
4.2500e-05, 1.8200e+02
4.6250e-05, 1.7446e+02
5.0000e-05, 1.6779e+02
5.3125e-05, 1.6278e+02
5.6250e-05, 1.5820e+02
5.9375e-05, 1.5398e+02
6.2500e-05, 1.5008e+02
6.8750e-05, 1.4310e+02
7.5000e-05, 1.3700e+02
8.1250e-05, 1.3163e+02
8.7500e-05, 1.2684e+02
9.3750e-05, 1.2254e+02
1.0000e-04, 1.1865e+02
1.0625e-04, 1.1511e+02
1.1250e-04, 1.1186e+02
1.1875e-04, 1.0888e+02
1.2500e-04, 1.0612e+02
1.3750e-04, 1.0118e+02
1.5000e-04, 9.6876e+01
1.6250e-04, 9.3075e+01
1.7500e-04, 8.9689e+01
1.8750e-04, 8.6648e+01
2.0000e-04, 8.3897e+01
2.1875e-04, 8.0221e+01
2.3750e-04, 7.6989e+01
2.5625e-04, 7.4119e+01
2.7500e-04, 7.1547e+01
2.9375e-04, 6.9226e+01
3.1250e-04, 6.7117e+01
3.3125e-04, 6.5190e+01
3.5000e-04, 6.3420e+01
3.8750e-04, 6.0273e+01
4.2500e-04, 5.7552e+01
4.6250e-04, 5.5170e+01
5.0000e-04, 5.3061e+01
5.3125e-04, 5.1476e+01
5.6250e-04, 5.0026e+01
5.9375e-04, 4.8692e+01
6.2500e-04, 4.7459e+01
6.8750e-04, 4.5250e+01
7.5000e-04, 4.3324e+01
8.1250e-04, 4.1624e+01
8.7500e-04, 4.0110e+01
9.3750e-04, 3.8750e+01
1.0000e-03, 3.7519e+01
1.0625e-03, 3.6399e+01
1.1250e-03, 3.5374e+01
1.1875e-03, 3.4430e+01
1.2500e-03, 3.3558e+01
1.3750e-03, 3.1997e+01
1.5000e-03, 3.0634e+01
1.6250e-03, 2.9433e+01
1.7500e-03, 2.8362e+01
1.8750e-03, 2.7400e+01
2.0000e-03, 2.6530e+01
2.1875e-03, 2.5368e+01
2.3750e-03, 2.4346e+01
2.5625e-03, 2.3438e+01
2.7500e-03, 2.2625e+01
2.9375e-03, 2.1891e+01
3.1250e-03, 2.1224e+01
3.3125e-03, 2.0615e+01
3.5000e-03, 2.0055e+01
3.8750e-03, 1.9060e+01
4.2500e-03, 1.8200e+01
4.6250e-03, 1.7446e+01
5.0000e-03, 1.6779e+01
5.3125e-03, 1.6278e+01
5.6250e-03, 1.5819e+01
5.9375e-03, 1.5397e+01
6.2500e-03, 1.5007e+01
6.8750e-03, 1.4309e+01
7.5000e-03, 1.3699e+01
8.1250e-03, 1.3162e+01
8.7500e-03, 1.2683e+01
9.3750e-03, 1.2252e+01
1.0000e-02, 1.1863e+01
1.0625e-02, 1.1509e+01
1.1250e-02, 1.1185e+01
1.1875e-02, 1.0887e+01
1.2500e-02, 1.0611e+01
1.3750e-02, 1.0118e+01
1.5000e-02, 9.6867e+00
1.6250e-02, 9.3064e+00
1.7500e-02, 8.9674e+00
1.8750e-02, 8.6630e+00
2.0000e-02, 8.3876e+00
2.1325e-02, 8.1226e+00
2.2650e-02, 7.8813e+00
2.3975e-02, 7.6605e+00
2.5300e-02, 7.4573e+00
2.6844e-02, 7.2401e+00
2.8387e-02, 7.0409e+00
3.1475e-02, 6.6871e+00
3.4563e-02, 6.3811e+00
3.7650e-02, 6.1134e+00
4.0738e-02, 5.8766e+00
4.3825e-02, 5.6654e+00
4.6913e-02, 5.4755e+00
5.0000e-02, 5.3035e+00
5.3125e-02, 5.1449e+00
5.6250e-02, 4.9999e+00
5.9375e-02, 4.8666e+00
6.2500e-02, 4.7437e+00
6.8750e-02, 4.5232e+00
7.5000e-02, 4.3303e+00
8.1250e-02, 4.1599e+00
8.7500e-02, 4.0082e+00
9.3750e-02, 3.8719e+00
1.0000e-01, 3.7487e+00
1.0625e-01, 3.6365e+00
1.1250e-01, 3.5338e+00
1.1875e-01, 3.4395e+00
1.2500e-01, 3.3527e+00
1.3750e-01, 3.1968e+00
1.5000e-01, 3.0602e+00
1.6250e-01, 2.9397e+00
1.7500e-01, 2.8323e+00
1.8750e-01, 2.7360e+00
2.0000e-01, 2.6491e+00
2.1875e-01, 2.5328e+00
2.3750e-01, 2.4303e+00
2.5625e-01, 2.3392e+00
2.7500e-01, 2.2577e+00
2.9375e-01, 2.1840e+00
3.1250e-01, 2.1171e+00
3.3125e-01, 2.0560e+00
3.5000e-01, 2.0003e+00
3.8750e-01, 1.9008e+00
4.2500e-01, 1.8143e+00
5.0000e-01, 1.6719e+00
6.2500e-01, 1.4940e+00
7.5000e-01, 1.3624e+00
8.7500e-01, 1.2604e+00
1.0000e+00, 1.1781e+00
1.2500e+00, 1.0516e+00
1.5000e+00, 9.5828e-01
1.7500e+00, 8.8577e-01
2.0000e+00, 8.2723e-01
2.3750e+00, 7.5729e-01
2.7500e+00, 7.0220e-01
3.1250e+00, 6.5722e-01
3.5000e+00, 6.1966e-01
4.2500e+00, 5.6005e-01
5.0000e+00, 5.1447e-01
6.2500e+00, 4.5774e-01
7.5000e+00, 4.1606e-01
8.7500e+00, 3.8398e-01
1.0000e+01, 3.5843e-01
1.1250e+01, 3.3756e-01
1.2500e+01, 3.2025e-01
1.5000e+01, 2.9342e-01
1.7500e+01, 2.7403e-01
2.0000e+01, 2.5997e-01
2.3750e+01, 2.4640e-01
2.7500e+01, 2.4020e-01
3.1250e+01, 2.4075e-01
3.5000e+01, 2.4859e-01
3.6875e+01, 2.5578e-01
3.8750e+01, 2.6571e-01
4.0625e+01, 2.7896e-01
4.2500e+01, 2.9643e-01
4.4375e+01, 3.1941e-01
4.6250e+01, 3.4985e-01
4.8125e+01, 3.9063e-01
4.9062e+01, 4.1629e-01
5.0000e+01, 4.4669e-01
5.1013e+01, 4.8607e-01
5.2026e+01, 5.3412e-01
5.3040e+01, 5.9355e-01
5.4053e+01, 6.6822e-01
5.5066e+01, 7.6332e-01
5.5573e+01, 8.2098e-01
5.6080e+01, 8.8772e-01
5.6586e+01, 9.6506e-01
5.7093e+01, 1.0554e+00
5.7599e+01, 1.1618e+00
5.8106e+01, 1.2884e+00
5.8510e+01, 1.4074e+00
5.8913e+01, 1.5466e+00
5.9317e+01, 1.7103e+00
5.9721e+01, 1.9042e+00
6.0125e+01, 2.1348e+00
6.0528e+01, 2.4156e+00
6.0730e+01, 2.5802e+00
6.0932e+01, 2.7627e+00
6.1033e+01, 2.8620e+00
6.1134e+01, 2.9672e+00
6.1235e+01, 3.0789e+00
6.1336e+01, 3.1975e+00
6.1403e+01, 3.2806e+00
6.1470e+01, 3.3673e+00
6.1538e+01, 3.4577e+00
6.1605e+01, 3.5520e+00
6.1672e+01, 3.6505e+00
6.1739e+01, 3.7533e+00
6.1807e+01, 3.8608e+00
6.1874e+01, 3.9732e+00
6.1906e+01, 4.0278e+00
6.1977e+01, 4.1554e+00
6.2048e+01, 4.2893e+00
6.2119e+01, 4.4302e+00
6.2191e+01, 4.5785e+00
6.2242e+01, 4.6905e+00
6.2294e+01, 4.8068e+00
6.2345e+01, 4.9277e+00
6.2396e+01, 5.0535e+00
6.2448e+01, 5.1844e+00
6.2499e+01, 5.3206e+00
6.2551e+01, 5.4624e+00
6.2602e+01, 5.6102e+00
6.2646e+01, 5.7402e+00
6.2689e+01, 5.8750e+00
6.2733e+01, 6.0147e+00
6.2776e+01, 6.1595e+00
6.2864e+01, 6.4661e+00
6.2951e+01, 6.7969e+00
6.3038e+01, 7.1547e+00
6.3125e+01, 7.5425e+00
6.3212e+01, 7.9637e+00
6.3299e+01, 8.4223e+00
6.3386e+01, 8.9230e+00
6.3473e+01, 9.4710e+00
6.3560e+01, 1.0073e+01
6.3647e+01, 1.0735e+01
6.3734e+01, 1.1466e+01
6.3821e+01, 1.2277e+01
6.3908e+01, 1.3180e+01
6.3996e+01, 1.4188e+01
6.4083e+01, 1.5319e+01
6.4170e+01, 1.6594e+01
6.4257e+01, 1.8039e+01
6.4344e+01, 1.9685e+01
6.4431e+01, 2.1573e+01
6.4518e+01, 2.3752e+01
6.4605e+01, 2.6286e+01
6.4692e+01, 2.9258e+01
6.4779e+01, 3.2776e+01
6.4866e+01, 3.6986e+01
6.4910e+01, 3.9408e+01
6.4953e+01, 4.2082e+01
6.4997e+01, 4.5045e+01
6.5040e+01, 4.8338e+01
6.5084e+01, 5.2016e+01
6.5128e+01, 5.6142e+01
6.5171e+01, 6.0792e+01
6.5215e+01, 6.6061e+01
6.5258e+01, 7.2069e+01
6.5302e+01, 7.8967e+01
6.5345e+01, 8.6948e+01
6.5389e+01, 9.6263e+01
6.5432e+01, 1.0725e+02
6.5476e+01, 1.2036e+02
6.5519e+01, 1.3624e+02
6.5563e+01, 1.5577e+02
6.5585e+01, 1.6731e+02
6.5606e+01, 1.8030e+02
6.5628e+01, 1.9503e+02
6.5650e+01, 2.1182e+02
6.5672e+01, 2.3111e+02
6.5694e+01, 2.5339e+02
6.5715e+01, 2.7929e+02
6.5737e+01, 3.0958e+02
6.5753e+01, 3.3491e+02
6.5769e+01, 3.6346e+02
6.5785e+01, 3.9569e+02
6.5800e+01, 4.3214e+02
6.5816e+01, 4.7342e+02
6.5832e+01, 5.2009e+02
6.5848e+01, 5.7287e+02
6.5864e+01, 6.3247e+02
6.5880e+01, 6.9968e+02
6.5895e+01, 7.7517e+02
6.5911e+01, 8.5973e+02
6.5927e+01, 9.5406e+02
6.5943e+01, 1.0588e+03
6.5959e+01, 1.1745e+03
6.5990e+01, 1.4399e+03
6.6012e+01, 1.6490e+03
6.6034e+01, 1.8787e+03
6.6077e+01, 2.3903e+03
6.6165e+01, 3.4816e+03
6.6198e+01, 3.8515e+03
6.6232e+01, 4.1429e+03
6.6266e+01, 4.3289e+03
6.6300e+01, 4.3916e+03
6.6338e+01, 4.3060e+03
6.6377e+01, 4.0652e+03
6.6415e+01, 3.6989e+03
6.6454e+01, 3.2495e+03
6.6544e+01, 2.1218e+03
6.6566e+01, 1.8656e+03
6.6589e+01, 1.6294e+03
6.6612e+01, 1.4154e+03
6.6634e+01, 1.2247e+03
6.6654e+01, 1.0785e+03
6.6673e+01, 9.4886e+02
6.6693e+01, 8.3487e+02
6.6712e+01, 7.3534e+02
6.6732e+01, 6.4891e+02
6.6751e+01, 5.7420e+02
6.6771e+01, 5.0984e+02
6.6790e+01, 4.5449e+02
6.6810e+01, 4.0694e+02
6.6829e+01, 3.6606e+02
6.6849e+01, 3.3086e+02
6.6868e+01, 3.0048e+02
6.6888e+01, 2.7417e+02
6.6907e+01, 2.5128e+02
6.6927e+01, 2.3128e+02
6.6946e+01, 2.1373e+02
6.6981e+01, 1.8723e+02
6.7016e+01, 1.6570e+02
6.7051e+01, 1.4791e+02
6.7086e+01, 1.3303e+02
6.7120e+01, 1.2040e+02
6.7155e+01, 1.0958e+02
