ebin, xs
1.0000e-05, 1.0534e+03
1.0625e-05, 1.0220e+03
1.1250e-05, 9.9319e+02
1.1875e-05, 9.6670e+02
1.2500e-05, 9.4223e+02
1.3750e-05, 8.9838e+02
1.5000e-05, 8.6013e+02
1.6250e-05, 8.2639e+02
1.7500e-05, 7.9633e+02
1.8750e-05, 7.6932e+02
2.0000e-05, 7.4489e+02
2.1875e-05, 7.1225e+02
2.3750e-05, 6.8356e+02
2.5625e-05, 6.5808e+02
2.7500e-05, 6.3525e+02
2.9375e-05, 6.1464e+02
3.1250e-05, 5.9591e+02
3.3125e-05, 5.7880e+02
3.5000e-05, 5.6308e+02
3.8750e-05, 5.3514e+02
4.2500e-05, 5.1099e+02
4.6250e-05, 4.8983e+02
5.0000e-05, 4.7111e+02
5.3125e-05, 4.5704e+02
5.6250e-05, 4.4416e+02
5.9375e-05, 4.3232e+02
6.2500e-05, 4.2137e+02
6.8750e-05, 4.0176e+02
7.5000e-05, 3.8465e+02
8.1250e-05, 3.6956e+02
8.7500e-05, 3.5612e+02
9.3750e-05, 3.4404e+02
1.0000e-04, 3.3312e+02
1.0625e-04, 3.2317e+02
1.1250e-04, 3.1406e+02
1.1875e-04, 3.0569e+02
1.2500e-04, 2.9795e+02
1.3750e-04, 2.8408e+02
1.5000e-04, 2.7198e+02
1.6250e-04, 2.6131e+02
1.7500e-04, 2.5181e+02
1.8750e-04, 2.4327e+02
2.0000e-04, 2.3554e+02
2.1875e-04, 2.2522e+02
2.3750e-04, 2.1614e+02
2.5625e-04, 2.0808e+02
2.7500e-04, 2.0086e+02
2.9375e-04, 1.9434e+02
3.1250e-04, 1.8842e+02
3.3125e-04, 1.8301e+02
3.5000e-04, 1.7804e+02
3.8750e-04, 1.6920e+02
4.2500e-04, 1.6156e+02
4.6250e-04, 1.5487e+02
5.0000e-04, 1.4895e+02
5.3125e-04, 1.4450e+02
5.6250e-04, 1.4042e+02
5.9375e-04, 1.3668e+02
6.2500e-04, 1.3321e+02
6.8750e-04, 1.2701e+02
7.5000e-04, 1.2160e+02
8.1250e-04, 1.1683e+02
8.7500e-04, 1.1257e+02
9.3750e-04, 1.0875e+02
1.0000e-03, 1.0530e+02
1.0625e-03, 1.0215e+02
1.1250e-03, 9.9270e+01
1.1875e-03, 9.6620e+01
1.2500e-03, 9.4171e+01
1.3750e-03, 8.9784e+01
1.5000e-03, 8.5957e+01
1.6250e-03, 8.2581e+01
1.7500e-03, 7.9572e+01
1.8750e-03, 7.6870e+01
2.0000e-03, 7.4425e+01
2.1875e-03, 7.1158e+01
2.3750e-03, 6.8285e+01
2.5625e-03, 6.5734e+01
2.7500e-03, 6.3449e+01
2.9375e-03, 6.1386e+01
3.1250e-03, 5.9511e+01
