ebin, xs
1.0000e-05, 2.1944e+03
1.0625e-05, 2.1289e+03
1.1250e-05, 2.0689e+03
1.1875e-05, 2.0138e+03
1.2500e-05, 1.9628e+03
1.3750e-05, 1.8714e+03
1.5000e-05, 1.7918e+03
1.6250e-05, 1.7215e+03
1.7500e-05, 1.6588e+03
1.8750e-05, 1.6026e+03
2.0000e-05, 1.5517e+03
2.1875e-05, 1.4837e+03
2.3750e-05, 1.4239e+03
2.5625e-05, 1.3709e+03
2.7500e-05, 1.3233e+03
2.9375e-05, 1.2804e+03
3.1250e-05, 1.2414e+03
3.3125e-05, 1.2057e+03
3.5000e-05, 1.1730e+03
3.8750e-05, 1.1148e+03
4.2500e-05, 1.0645e+03
4.6250e-05, 1.0204e+03
5.0000e-05, 9.8138e+02
5.3125e-05, 9.5208e+02
5.6250e-05, 9.2526e+02
5.9375e-05, 9.0058e+02
6.2500e-05, 8.7778e+02
6.8750e-05, 8.3693e+02
7.5000e-05, 8.0130e+02
8.1250e-05, 7.6986e+02
8.7500e-05, 7.4186e+02
9.3750e-05, 7.1670e+02
1.0000e-04, 6.9394e+02
1.0625e-04, 6.7322e+02
1.1250e-04, 6.5426e+02
1.1875e-04, 6.3681e+02
1.2500e-04, 6.2068e+02
1.3750e-04, 5.9180e+02
1.5000e-04, 5.6660e+02
1.6250e-04, 5.4437e+02
1.7500e-04, 5.2457e+02
1.8750e-04, 5.0678e+02
2.0000e-04, 4.9069e+02
2.1875e-04, 4.6919e+02
2.3750e-04, 4.5029e+02
2.5625e-04, 4.3350e+02
2.7500e-04, 4.1846e+02
2.9375e-04, 4.0489e+02
3.1250e-04, 3.9255e+02
3.3125e-04, 3.8128e+02
3.5000e-04, 3.7093e+02
3.8750e-04, 3.5252e+02
4.2500e-04, 3.3661e+02
4.6250e-04, 3.2268e+02
5.0000e-04, 3.1034e+02
5.3125e-04, 3.0107e+02
5.6250e-04, 2.9259e+02
5.9375e-04, 2.8479e+02
6.2500e-04, 2.7758e+02
6.8750e-04, 2.6466e+02
7.5000e-04, 2.5339e+02
8.1250e-04, 2.4345e+02
8.7500e-04, 2.3459e+02
9.3750e-04, 2.2664e+02
1.0000e-03, 2.1944e+02
1.0625e-03, 2.1289e+02
1.1250e-03, 2.0689e+02
1.1875e-03, 2.0137e+02
1.2500e-03, 1.9628e+02
1.3750e-03, 1.8714e+02
1.5000e-03, 1.7917e+02
1.6250e-03, 1.7214e+02
1.7500e-03, 1.6588e+02
1.8750e-03, 1.6026e+02
2.0000e-03, 1.5517e+02
2.1875e-03, 1.4837e+02
2.3750e-03, 1.4239e+02
2.5625e-03, 1.3708e+02
2.7500e-03, 1.3233e+02
2.9375e-03, 1.2803e+02
3.1250e-03, 1.2413e+02
