ebin, xs
1.0000e-05, 5.8747e+01
1.0625e-05, 5.6993e+01
1.1250e-05, 5.5387e+01
1.1875e-05, 5.3910e+01
1.2500e-05, 5.2545e+01
1.3750e-05, 5.0099e+01
1.5000e-05, 4.7967e+01
1.6250e-05, 4.6085e+01
1.7500e-05, 4.4408e+01
1.8750e-05, 4.2903e+01
2.0000e-05, 4.1540e+01
2.1875e-05, 3.9720e+01
2.3750e-05, 3.8120e+01
2.5625e-05, 3.6699e+01
2.7500e-05, 3.5426e+01
2.9375e-05, 3.4277e+01
3.1250e-05, 3.3232e+01
3.3125e-05, 3.2278e+01
3.5000e-05, 3.1402e+01
3.8750e-05, 2.9844e+01
4.2500e-05, 2.8497e+01
4.6250e-05, 2.7317e+01
5.0000e-05, 2.6273e+01
5.3125e-05, 2.5488e+01
5.6250e-05, 2.4770e+01
5.9375e-05, 2.4110e+01
6.2500e-05, 2.3499e+01
6.8750e-05, 2.2406e+01
7.5000e-05, 2.1452e+01
8.1250e-05, 2.0610e+01
8.7500e-05, 1.9861e+01
9.3750e-05, 1.9187e+01
1.0000e-04, 1.8578e+01
1.0625e-04, 1.8023e+01
1.1250e-04, 1.7516e+01
1.1875e-04, 1.7049e+01
1.2500e-04, 1.6617e+01
1.3750e-04, 1.5844e+01
1.5000e-04, 1.5169e+01
1.6250e-04, 1.4574e+01
1.7500e-04, 1.4044e+01
1.8750e-04, 1.3568e+01
2.0000e-04, 1.3137e+01
2.1875e-04, 1.2562e+01
2.3750e-04, 1.2056e+01
2.5625e-04, 1.1606e+01
2.7500e-04, 1.1204e+01
2.9375e-04, 1.0840e+01
3.1250e-04, 1.0510e+01
3.3125e-04, 1.0209e+01
3.5000e-04, 9.9314e+00
3.8750e-04, 9.4387e+00
4.2500e-04, 9.0128e+00
4.6250e-04, 8.6398e+00
5.0000e-04, 8.3096e+00
5.3125e-04, 8.0616e+00
5.6250e-04, 7.8345e+00
5.9375e-04, 7.6257e+00
6.2500e-04, 7.4327e+00
6.8750e-04, 7.0869e+00
7.5000e-04, 6.7854e+00
8.1250e-04, 6.5193e+00
8.7500e-04, 6.2823e+00
9.3750e-04, 6.0694e+00
1.0000e-03, 5.8769e+00
1.0625e-03, 5.7015e+00
1.1250e-03, 5.5410e+00
1.1875e-03, 5.3934e+00
1.2500e-03, 5.2569e+00
1.3750e-03, 5.0126e+00
1.5000e-03, 4.7994e+00
1.6250e-03, 4.6113e+00
1.7500e-03, 4.4438e+00
1.8750e-03, 4.2933e+00
2.0000e-03, 4.1572e+00
2.1875e-03, 3.9753e+00
2.3750e-03, 3.8154e+00
2.5625e-03, 3.6734e+00
