ebin, xs
1.0000e-05, 1.8698e+03
1.0625e-05, 1.8140e+03
1.1250e-05, 1.7629e+03
1.1875e-05, 1.7159e+03
1.2500e-05, 1.6724e+03
1.3750e-05, 1.5946e+03
1.5000e-05, 1.5267e+03
1.6250e-05, 1.4668e+03
1.7500e-05, 1.4134e+03
1.8750e-05, 1.3655e+03
2.0000e-05, 1.3222e+03
2.1875e-05, 1.2642e+03
2.3750e-05, 1.2133e+03
2.5625e-05, 1.1681e+03
2.7500e-05, 1.1275e+03
2.9375e-05, 1.0910e+03
3.1250e-05, 1.0577e+03
3.3125e-05, 1.0274e+03
3.5000e-05, 9.9946e+02
3.8750e-05, 9.4986e+02
4.2500e-05, 9.0699e+02
4.6250e-05, 8.6944e+02
5.0000e-05, 8.3620e+02
5.3125e-05, 8.1124e+02
5.6250e-05, 7.8838e+02
5.9375e-05, 7.6735e+02
6.2500e-05, 7.4792e+02
6.8750e-05, 7.1312e+02
7.5000e-05, 6.8276e+02
8.1250e-05, 6.5597e+02
8.7500e-05, 6.3211e+02
9.3750e-05, 6.1068e+02
1.0000e-04, 5.9129e+02
1.0625e-04, 5.7363e+02
1.1250e-04, 5.5747e+02
1.1875e-04, 5.4260e+02
1.2500e-04, 5.2886e+02
1.3750e-04, 5.0425e+02
1.5000e-04, 4.8278e+02
1.6250e-04, 4.6384e+02
1.7500e-04, 4.4697e+02
1.8750e-04, 4.3181e+02
2.0000e-04, 4.1810e+02
2.1875e-04, 3.9978e+02
2.3750e-04, 3.8368e+02
2.5625e-04, 3.6937e+02
2.7500e-04, 3.5656e+02
2.9375e-04, 3.4499e+02
3.1250e-04, 3.3448e+02
3.3125e-04, 3.2488e+02
3.5000e-04, 3.1606e+02
3.8750e-04, 3.0037e+02
4.2500e-04, 2.8682e+02
4.6250e-04, 2.7494e+02
5.0000e-04, 2.6443e+02
5.3125e-04, 2.5654e+02
5.6250e-04, 2.4931e+02
5.9375e-04, 2.4266e+02
6.2500e-04, 2.3652e+02
6.8750e-04, 2.2551e+02
7.5000e-04, 2.1591e+02
8.1250e-04, 2.0744e+02
8.7500e-04, 1.9989e+02
9.3750e-04, 1.9312e+02
1.0000e-03, 1.8698e+02
1.0625e-03, 1.8140e+02
1.1250e-03, 1.7629e+02
1.1875e-03, 1.7159e+02
1.2500e-03, 1.6724e+02
1.3750e-03, 1.5946e+02
1.5000e-03, 1.5267e+02
1.6250e-03, 1.4668e+02
1.7500e-03, 1.4135e+02
1.8750e-03, 1.3656e+02
2.0000e-03, 1.3222e+02
2.1875e-03, 1.2643e+02
2.3750e-03, 1.2133e+02
2.5625e-03, 1.1681e+02
2.7500e-03, 1.1276e+02
2.9375e-03, 1.0910e+02
3.1250e-03, 1.0578e+02
3.3125e-03, 1.0274e+02
3.5000e-03, 9.9951e+01
3.8750e-03, 9.4992e+01
4.2500e-03, 9.0705e+01
4.6250e-03, 8.6950e+01
5.0000e-03, 8.3626e+01
5.3125e-03, 8.1129e+01
5.6250e-03, 7.8843e+01
5.9375e-03, 7.6741e+01
6.2500e-03, 7.4798e+01
6.8750e-03, 7.1317e+01
7.5000e-03, 6.8281e+01
8.1250e-03, 6.5602e+01
8.7500e-03, 6.3216e+01
9.3750e-03, 6.1073e+01
1.0000e-02, 5.9134e+01
1.0625e-02, 5.7369e+01
1.1250e-02, 5.5753e+01
1.1875e-02, 5.4267e+01
1.2500e-02, 5.2893e+01
1.3750e-02, 5.0433e+01
1.5000e-02, 4.8286e+01
1.6250e-02, 4.6392e+01
1.7500e-02, 4.4704e+01
1.8750e-02, 4.3188e+01
2.0000e-02, 4.1817e+01
2.1325e-02, 4.0497e+01
2.2650e-02, 3.9296e+01
2.3975e-02, 3.8196e+01
2.5300e-02, 3.7184e+01
2.6844e-02, 3.6101e+01
2.8387e-02, 3.5107e+01
3.1475e-02, 3.3344e+01
3.4563e-02, 3.1821e+01
3.7650e-02, 3.0488e+01
4.0738e-02, 2.9310e+01
4.3825e-02, 2.8258e+01
4.6913e-02, 2.7312e+01
5.0000e-02, 2.6456e+01
5.3125e-02, 2.5667e+01
5.6250e-02, 2.4945e+01
5.9375e-02, 2.4282e+01
6.2500e-02, 2.3669e+01
6.8750e-02, 2.2570e+01
7.5000e-02, 2.1611e+01
8.1250e-02, 2.0764e+01
8.7500e-02, 2.0009e+01
9.3750e-02, 1.9331e+01
1.0000e-01, 1.8718e+01
1.0625e-01, 1.8160e+01
1.1250e-01, 1.7650e+01
1.1875e-01, 1.7181e+01
1.2500e-01, 1.6749e+01
1.3750e-01, 1.5973e+01
1.5000e-01, 1.5295e+01
1.6250e-01, 1.4696e+01
1.7500e-01, 1.4163e+01
1.8750e-01, 1.3685e+01
2.0000e-01, 1.3253e+01
2.1875e-01, 1.2676e+01
2.3750e-01, 1.2167e+01
2.5625e-01, 1.1715e+01
2.7500e-01, 1.1311e+01
2.9375e-01, 1.0946e+01
