ebin, xs
1.0000e-05, 2.0684e+01
1.0625e-05, 2.0066e+01
1.1250e-05, 1.9501e+01
1.1875e-05, 1.8981e+01
1.2500e-05, 1.8500e+01
1.3750e-05, 1.7639e+01
1.5000e-05, 1.6888e+01
1.6250e-05, 1.6226e+01
1.7500e-05, 1.5636e+01
1.8750e-05, 1.5105e+01
2.0000e-05, 1.4626e+01
2.1875e-05, 1.3985e+01
2.3750e-05, 1.3422e+01
2.5625e-05, 1.2921e+01
2.7500e-05, 1.2473e+01
2.9375e-05, 1.2068e+01
3.1250e-05, 1.1701e+01
3.3125e-05, 1.1365e+01
3.5000e-05, 1.1056e+01
3.8750e-05, 1.0507e+01
4.2500e-05, 1.0033e+01
4.6250e-05, 9.6179e+00
5.0000e-05, 9.2502e+00
5.3125e-05, 8.9740e+00
5.6250e-05, 8.7211e+00
5.9375e-05, 8.4885e+00
6.2500e-05, 8.2736e+00
6.8750e-05, 7.8886e+00
7.5000e-05, 7.5527e+00
8.1250e-05, 7.2564e+00
8.7500e-05, 6.9925e+00
9.3750e-05, 6.7554e+00
1.0000e-04, 6.5408e+00
1.0625e-04, 6.3456e+00
1.1250e-04, 6.1668e+00
1.1875e-04, 6.0023e+00
1.2500e-04, 5.8503e+00
1.3750e-04, 5.5781e+00
1.5000e-04, 5.3406e+00
1.6250e-04, 5.1311e+00
1.7500e-04, 4.9444e+00
1.8750e-04, 4.7768e+00
2.0000e-04, 4.6251e+00
2.1875e-04, 4.4224e+00
2.3750e-04, 4.2443e+00
2.5625e-04, 4.0860e+00
2.7500e-04, 3.9443e+00
2.9375e-04, 3.8163e+00
3.1250e-04, 3.7001e+00
3.3125e-04, 3.5938e+00
3.5000e-04, 3.4962e+00
3.8750e-04, 3.3228e+00
4.2500e-04, 3.1728e+00
4.6250e-04, 3.0414e+00
5.0000e-04, 2.9252e+00
5.3125e-04, 2.8378e+00
5.6250e-04, 2.7579e+00
5.9375e-04, 2.6843e+00
6.2500e-04, 2.6163e+00
6.8750e-04, 2.4946e+00
7.5000e-04, 2.3884e+00
8.1250e-04, 2.2947e+00
8.7500e-04, 2.2112e+00
9.3750e-04, 2.1362e+00
1.0000e-03, 2.0684e+00
1.0625e-03, 2.0066e+00
1.1250e-03, 1.9501e+00
1.1875e-03, 1.8981e+00
1.2500e-03, 1.8500e+00
1.3750e-03, 1.7639e+00
1.5000e-03, 1.6888e+00
1.6250e-03, 1.6226e+00
1.7500e-03, 1.5636e+00
1.8750e-03, 1.5106e+00
2.0000e-03, 1.4626e+00
2.1875e-03, 1.3985e+00
2.3750e-03, 1.3422e+00
2.5625e-03, 1.2921e+00
2.7500e-03, 1.2473e+00
2.9375e-03, 1.2068e+00
3.1250e-03, 1.1701e+00
3.3125e-03, 1.1365e+00
3.5000e-03, 1.1056e+00
3.8750e-03, 1.0508e+00
