ebin, xs
1.0000e-05, 1.4555e+03
1.0625e-05, 1.4120e+03
1.1250e-05, 1.3722e+03
1.1875e-05, 1.3356e+03
1.2500e-05, 1.3018e+03
1.3750e-05, 1.2412e+03
1.5000e-05, 1.1884e+03
1.6250e-05, 1.1418e+03
1.7500e-05, 1.1002e+03
1.8750e-05, 1.0629e+03
2.0000e-05, 1.0292e+03
2.1875e-05, 9.8407e+02
2.3750e-05, 9.4443e+02
2.5625e-05, 9.0922e+02
2.7500e-05, 8.7768e+02
2.9375e-05, 8.4920e+02
3.1250e-05, 8.2333e+02
3.3125e-05, 7.9969e+02
3.5000e-05, 7.7798e+02
3.8750e-05, 7.3938e+02
4.2500e-05, 7.0600e+02
4.6250e-05, 6.7678e+02
5.0000e-05, 6.5091e+02
5.3125e-05, 6.3147e+02
5.6250e-05, 6.1368e+02
5.9375e-05, 5.9731e+02
6.2500e-05, 5.8219e+02
6.8750e-05, 5.5510e+02
7.5000e-05, 5.3146e+02
8.1250e-05, 5.1061e+02
8.7500e-05, 4.9204e+02
9.3750e-05, 4.7536e+02
1.0000e-04, 4.6026e+02
1.0625e-04, 4.4652e+02
1.1250e-04, 4.3394e+02
1.1875e-04, 4.2237e+02
1.2500e-04, 4.1167e+02
1.3750e-04, 3.9252e+02
1.5000e-04, 3.7581e+02
1.6250e-04, 3.6106e+02
1.7500e-04, 3.4793e+02
1.8750e-04, 3.3613e+02
2.0000e-04, 3.2546e+02
2.1875e-04, 3.1120e+02
2.3750e-04, 2.9866e+02
2.5625e-04, 2.8753e+02
2.7500e-04, 2.7756e+02
2.9375e-04, 2.6855e+02
3.1250e-04, 2.6037e+02
3.3125e-04, 2.5290e+02
3.5000e-04, 2.4603e+02
3.8750e-04, 2.3382e+02
4.2500e-04, 2.2327e+02
4.6250e-04, 2.1403e+02
5.0000e-04, 2.0585e+02
5.3125e-04, 1.9970e+02
5.6250e-04, 1.9408e+02
5.9375e-04, 1.8890e+02
6.2500e-04, 1.8412e+02
6.8750e-04, 1.7555e+02
7.5000e-04, 1.6808e+02
8.1250e-04, 1.6149e+02
8.7500e-04, 1.5562e+02
9.3750e-04, 1.5034e+02
1.0000e-03, 1.4557e+02
1.0625e-03, 1.4122e+02
1.1250e-03, 1.3725e+02
1.1875e-03, 1.3359e+02
1.2500e-03, 1.3021e+02
1.3750e-03, 1.2415e+02
1.5000e-03, 1.1887e+02
1.6250e-03, 1.1421e+02
1.7500e-03, 1.1005e+02
1.8750e-03, 1.0632e+02
2.0000e-03, 1.0295e+02
2.1875e-03, 9.8442e+01
2.3750e-03, 9.4479e+01
2.5625e-03, 9.0960e+01
