ebin, xs
1.0000e-05, 1.0811e+02
1.0625e-05, 1.0488e+02
1.1250e-05, 1.0193e+02
1.1875e-05, 9.9211e+01
1.2500e-05, 9.6699e+01
1.3750e-05, 9.2199e+01
1.5000e-05, 8.8274e+01
1.6250e-05, 8.4811e+01
1.7500e-05, 8.1726e+01
1.8750e-05, 7.8955e+01
2.0000e-05, 7.6447e+01
2.1875e-05, 7.3098e+01
2.3750e-05, 7.0153e+01
2.5625e-05, 6.7538e+01
2.7500e-05, 6.5195e+01
2.9375e-05, 6.3080e+01
3.1250e-05, 6.1158e+01
3.3125e-05, 5.9402e+01
3.5000e-05, 5.7789e+01
3.8750e-05, 5.4921e+01
4.2500e-05, 5.2442e+01
4.6250e-05, 5.0271e+01
5.0000e-05, 4.8350e+01
5.3125e-05, 4.6906e+01
5.6250e-05, 4.5584e+01
5.9375e-05, 4.4369e+01
6.2500e-05, 4.3245e+01
6.8750e-05, 4.1233e+01
7.5000e-05, 3.9477e+01
8.1250e-05, 3.7928e+01
8.7500e-05, 3.6549e+01
9.3750e-05, 3.5310e+01
1.0000e-04, 3.4188e+01
1.0625e-04, 3.3167e+01
1.1250e-04, 3.2233e+01
1.1875e-04, 3.1373e+01
1.2500e-04, 3.0579e+01
1.3750e-04, 2.9156e+01
1.5000e-04, 2.7915e+01
1.6250e-04, 2.6819e+01
1.7500e-04, 2.5844e+01
1.8750e-04, 2.4968e+01
2.0000e-04, 2.4175e+01
2.1875e-04, 2.3115e+01
2.3750e-04, 2.2184e+01
2.5625e-04, 2.1357e+01
2.7500e-04, 2.0616e+01
2.9375e-04, 1.9947e+01
3.1250e-04, 1.9340e+01
3.3125e-04, 1.8784e+01
3.5000e-04, 1.8274e+01
3.8750e-04, 1.7368e+01
4.2500e-04, 1.6584e+01
4.6250e-04, 1.5897e+01
5.0000e-04, 1.5289e+01
5.3125e-04, 1.4833e+01
5.6250e-04, 1.4415e+01
5.9375e-04, 1.4031e+01
6.2500e-04, 1.3675e+01
6.8750e-04, 1.3039e+01
7.5000e-04, 1.2484e+01
8.1250e-04, 1.1994e+01
8.7500e-04, 1.1558e+01
