ebin, xs
1.0000e-05, 3.0916e+04
1.0625e-05, 2.9993e+04
1.1250e-05, 2.9148e+04
1.1875e-05, 2.8371e+04
1.2500e-05, 2.7652e+04
1.3750e-05, 2.6365e+04
1.5000e-05, 2.5243e+04
1.6250e-05, 2.4252e+04
1.7500e-05, 2.3370e+04
1.8750e-05, 2.2578e+04
2.0000e-05, 2.1861e+04
2.1875e-05, 2.0903e+04
2.3750e-05, 2.0061e+04
2.5625e-05, 1.9313e+04
2.7500e-05, 1.8643e+04
2.9375e-05, 1.8038e+04
3.1250e-05, 1.7488e+04
3.3125e-05, 1.6986e+04
3.5000e-05, 1.6525e+04
3.8750e-05, 1.5705e+04
4.2500e-05, 1.4996e+04
4.6250e-05, 1.4375e+04
5.0000e-05, 1.3826e+04
5.3125e-05, 1.3413e+04
5.6250e-05, 1.3035e+04
5.9375e-05, 1.2687e+04
6.2500e-05, 1.2366e+04
6.8750e-05, 1.1790e+04
7.5000e-05, 1.1288e+04
8.1250e-05, 1.0845e+04
8.7500e-05, 1.0451e+04
9.3750e-05, 1.0096e+04
1.0000e-04, 9.7757e+03
1.0625e-04, 9.4838e+03
1.1250e-04, 9.2165e+03
1.1875e-04, 8.9707e+03
1.2500e-04, 8.7435e+03
1.3750e-04, 8.3365e+03
1.5000e-04, 7.9815e+03
1.6250e-04, 7.6683e+03
1.7500e-04, 7.3892e+03
1.8750e-04, 7.1386e+03
2.0000e-04, 6.9118e+03
2.1875e-04, 6.6089e+03
2.3750e-04, 6.3425e+03
2.5625e-04, 6.1059e+03
2.7500e-04, 5.8940e+03
2.9375e-04, 5.7027e+03
3.1250e-04, 5.5289e+03
3.3125e-04, 5.3700e+03
3.5000e-04, 5.2241e+03
3.8750e-04, 4.9647e+03
4.2500e-04, 4.7405e+03
4.6250e-04, 4.5440e+03
5.0000e-04, 4.3702e+03
5.3125e-04, 4.2396e+03
5.6250e-04, 4.1200e+03
5.9375e-04, 4.0100e+03
6.2500e-04, 3.9083e+03
6.8750e-04, 3.7262e+03
7.5000e-04, 3.5674e+03
8.1250e-04, 3.4272e+03
8.7500e-04, 3.3024e+03
9.3750e-04, 3.1902e+03
1.0000e-03, 3.0887e+03
1.0625e-03, 2.9963e+03
1.1250e-03, 2.9117e+03
1.1875e-03, 2.8339e+03
1.2500e-03, 2.7620e+03
1.3750e-03, 2.6331e+03
1.5000e-03, 2.5207e+03
1.6250e-03, 2.4216e+03
1.7500e-03, 2.3332e+03
1.8750e-03, 2.2538e+03
2.0000e-03, 2.1820e+03
2.1875e-03, 2.0860e+03
2.3750e-03, 2.0016e+03
2.5625e-03, 1.9267e+03
2.7500e-03, 1.8595e+03
2.9375e-03, 1.7989e+03
3.1250e-03, 1.7438e+03
3.3125e-03, 1.6934e+03
3.5000e-03, 1.6472e+03
3.8750e-03, 1.5649e+03
4.2500e-03, 1.4937e+03
4.6250e-03, 1.4314e+03
5.0000e-03, 1.3761e+03
5.3125e-03, 1.3347e+03
5.6250e-03, 1.2967e+03
5.9375e-03, 1.2617e+03
6.2500e-03, 1.2294e+03
6.8750e-03, 1.1715e+03
7.5000e-03, 1.1210e+03
8.1250e-03, 1.0764e+03
8.7500e-03, 1.0366e+03
9.3750e-03, 1.0008e+03
1.0000e-02, 9.6846e+02
1.0625e-02, 9.3900e+02
1.1250e-02, 9.1202e+02
1.1875e-02, 8.8720e+02
1.2500e-02, 8.6425e+02
1.3750e-02, 8.2310e+02
1.5000e-02, 7.8714e+02
1.6250e-02, 7.5536e+02
1.7500e-02, 7.2701e+02
1.8750e-02, 7.0151e+02
2.0000e-02, 6.7843e+02
2.1325e-02, 6.5619e+02
2.2650e-02, 6.3592e+02
2.3975e-02, 6.1733e+02
2.5300e-02, 6.0021e+02
2.6844e-02, 5.8187e+02
2.8387e-02, 5.6504e+02
2.9931e-02, 5.4952e+02
3.1475e-02, 5.3514e+02
3.3791e-02, 5.1542e+02
3.6106e-02, 4.9756e+02
3.8422e-02, 4.8130e+02
4.0738e-02, 4.6641e+02
4.3053e-02, 4.5272e+02
4.5369e-02, 4.4007e+02
5.0000e-02, 4.1741e+02
5.3125e-02, 4.0379e+02
5.6250e-02, 3.9131e+02
5.9375e-02, 3.7982e+02
6.2500e-02, 3.6920e+02
6.8750e-02, 3.5009e+02
7.5000e-02, 3.3331e+02
8.1250e-02, 3.1843e+02
8.7500e-02, 3.0514e+02
9.3750e-02, 2.9316e+02
1.0000e-01, 2.8229e+02
1.0625e-01, 2.7237e+02
1.1250e-01, 2.6325e+02
1.1875e-01, 2.5485e+02
1.2500e-01, 2.4706e+02
1.3125e-01, 2.3983e+02
1.3750e-01, 2.3310e+02
1.5000e-01, 2.2086e+02
1.6250e-01, 2.0997e+02
1.7500e-01, 2.0024e+02
1.8750e-01, 1.9146e+02
2.0000e-01, 1.8353e+02
2.1875e-01, 1.7288e+02
2.3750e-01, 1.6346e+02
2.5625e-01, 1.5507e+02
2.7500e-01, 1.4754e+02
2.9375e-01, 1.4073e+02
3.1250e-01, 1.3454e+02
3.3125e-01, 1.2889e+02
3.5000e-01, 1.2370e+02
3.6875e-01, 1.1891e+02
3.8750e-01, 1.1449e+02
4.0625e-01, 1.1038e+02
4.2500e-01, 1.0655e+02
5.0000e-01, 9.3632e+01
5.6250e-01, 8.5007e+01
6.2500e-01, 7.7817e+01
6.8750e-01, 7.1768e+01
7.5000e-01, 6.6630e+01
8.1250e-01, 6.2233e+01
8.7500e-01, 5.8475e+01
1.0000e+00, 5.2414e+01
1.1250e+00, 4.7889e+01
1.2500e+00, 4.4612e+01
1.3750e+00, 4.2404e+01
1.5000e+00, 4.1196e+01
1.6250e+00, 4.1027e+01
1.7500e+00, 4.2041e+01
1.8125e+00, 4.3101e+01
1.8750e+00, 4.4667e+01
1.9375e+00, 4.6835e+01
2.0000e+00, 4.9756e+01
2.0483e+00, 5.2699e+01
2.0965e+00, 5.6459e+01
2.1448e+00, 6.1276e+01
2.1930e+00, 6.7529e+01
2.2413e+00, 7.5802e+01
2.2654e+00, 8.0965e+01
2.2895e+00, 8.7001e+01
2.3137e+00, 9.4090e+01
2.3378e+00, 1.0252e+02
2.3619e+00, 1.1274e+02
2.3861e+00, 1.2528e+02
2.4076e+00, 1.3905e+02
2.4292e+00, 1.5597e+02
2.4508e+00, 1.7710e+02
2.4724e+00, 2.0389e+02
2.4832e+00, 2.2006e+02
2.4940e+00, 2.3855e+02
2.5048e+00, 2.5982e+02
2.5156e+00, 2.8447e+02
2.5264e+00, 3.1325e+02
2.5372e+00, 3.4711e+02
2.5480e+00, 3.8723e+02
2.5588e+00, 4.3509e+02
2.5689e+00, 4.8889e+02
2.5791e+00, 5.5311e+02
2.5892e+00, 6.3006e+02
2.5994e+00, 7.2228e+02
2.6067e+00, 7.9931e+02
2.6140e+00, 8.8647e+02
2.6213e+00, 9.8446e+02
2.6285e+00, 1.0936e+03
2.6358e+00, 1.2135e+03
2.6431e+00, 1.3431e+03
2.6504e+00, 1.4803e+03
2.6577e+00, 1.6218e+03
2.6642e+00, 1.7488e+03
2.6708e+00, 1.8718e+03
2.6838e+00, 2.0874e+03
2.6904e+00, 2.1709e+03
2.6969e+00, 2.2325e+03
2.7035e+00, 2.2693e+03
2.7100e+00, 2.2793e+03
2.7175e+00, 2.2573e+03
2.7250e+00, 2.2013e+03
2.7324e+00, 2.1149e+03
2.7399e+00, 2.0039e+03
2.7494e+00, 1.8369e+03
2.7590e+00, 1.6546e+03
2.7685e+00, 1.4698e+03
2.7780e+00, 1.2926e+03
2.7875e+00, 1.1297e+03
2.7971e+00, 9.8462e+02
2.8066e+00, 8.5848e+02
2.8161e+00, 7.5056e+02
2.8240e+00, 6.7411e+02
2.8318e+00, 6.0773e+02
2.8397e+00, 5.5020e+02
2.8476e+00, 5.0034e+02
2.8554e+00, 4.5706e+02
2.8633e+00, 4.1940e+02
2.8711e+00, 3.8654e+02
2.8790e+00, 3.5779e+02
2.8947e+00, 3.1029e+02
2.9104e+00, 2.7321e+02
2.9262e+00, 2.4394e+02
2.9419e+00, 2.2062e+02
2.9634e+00, 1.9596e+02
2.9849e+00, 1.7753e+02
3.0064e+00, 1.6369e+02
3.0279e+00, 1.5334e+02
3.0494e+00, 1.4574e+02
3.0709e+00, 1.4041e+02
3.0924e+00, 1.3698e+02
3.1139e+00, 1.3523e+02
3.1536e+00, 1.3591e+02
3.1934e+00, 1.4140e+02
3.2331e+00, 1.5196e+02
3.2529e+00, 1.5942e+02
3.2728e+00, 1.6856e+02
3.2992e+00, 1.8385e+02
3.3257e+00, 2.0350e+02
3.3522e+00, 2.2877e+02
3.3787e+00, 2.6145e+02
3.3919e+00, 2.8138e+02
3.4051e+00, 3.0431e+02
3.4184e+00, 3.3085e+02
3.4316e+00, 3.6178e+02
3.4448e+00, 3.9807e+02
3.4581e+00, 4.4093e+02
3.4713e+00, 4.9197e+02
3.4845e+00, 5.5323e+02
3.4986e+00, 6.3259e+02
3.5127e+00, 7.3087e+02
3.5267e+00, 8.5375e+02
3.5408e+00, 1.0086e+03
3.5478e+00, 1.1008e+03
3.5549e+00, 1.2045e+03
3.5619e+00, 1.3209e+03
3.5689e+00, 1.4513e+03
3.5760e+00, 1.5967e+03
3.5830e+00, 1.7578e+03
3.5970e+00, 2.1273e+03
3.6074e+00, 2.4363e+03
3.6178e+00, 2.7668e+03
3.6385e+00, 3.4285e+03
3.6489e+00, 3.7155e+03
3.6593e+00, 3.9403e+03
3.6696e+00, 4.0814e+03
3.6800e+00, 4.1244e+03
3.6879e+00, 4.0882e+03
3.7001e+00, 3.9205e+03
3.7124e+00, 3.6397e+03
3.7246e+00, 3.2824e+03
3.7368e+00, 2.8890e+03
3.7491e+00, 2.4953e+03
3.7613e+00, 2.1278e+03
3.7735e+00, 1.8019e+03
3.7858e+00, 1.5234e+03
3.7927e+00, 1.3864e+03
3.7996e+00, 1.2636e+03
3.8066e+00, 1.1540e+03
3.8135e+00, 1.0563e+03
3.8274e+00, 8.9233e+02
3.8412e+00, 7.6262e+02
3.8551e+00, 6.5953e+02
3.8690e+00, 5.7701e+02
3.8829e+00, 5.1038e+02
3.8967e+00, 4.5614e+02
3.9159e+00, 3.9673e+02
3.9351e+00, 3.5122e+02
3.9543e+00, 3.1628e+02
3.9735e+00, 2.8966e+02
3.9927e+00, 2.6982e+02
4.0119e+00, 2.5577e+02
4.0311e+00, 2.4693e+02
4.0503e+00, 2.4309e+02
4.0653e+00, 2.4366e+02
4.0802e+00, 2.4760e+02
4.0951e+00, 2.5535e+02
4.1101e+00, 2.6764e+02
4.1250e+00, 2.8553e+02
4.1399e+00, 3.1069e+02
4.1549e+00, 3.4566e+02
4.1624e+00, 3.6797e+02
4.1698e+00, 3.9432e+02
4.1800e+00, 4.3807e+02
4.1901e+00, 4.9340e+02
4.2002e+00, 5.6366e+02
4.2053e+00, 6.0564e+02
4.2104e+00, 6.5294e+02
4.2154e+00, 7.0619e+02
4.2205e+00, 7.6600e+02
4.2256e+00, 8.3299e+02
4.2306e+00, 9.0773e+02
4.2357e+00, 9.9075e+02
4.2408e+00, 1.0824e+03
4.2458e+00, 1.1829e+03
4.2509e+00, 1.2921e+03
4.2570e+00, 1.4342e+03
4.2630e+00, 1.5872e+03
4.2691e+00, 1.7492e+03
4.2752e+00, 1.9172e+03
4.2873e+00, 2.2556e+03
4.2995e+00, 2.5643e+03
4.3071e+00, 2.7238e+03
4.3147e+00, 2.8443e+03
4.3224e+00, 2.9178e+03
4.3300e+00, 2.9392e+03
4.3402e+00, 2.8846e+03
4.3477e+00, 2.7870e+03
4.3552e+00, 2.6476e+03
4.3627e+00, 2.4751e+03
4.3702e+00, 2.2795e+03
4.3852e+00, 1.8593e+03
4.4002e+00, 1.4568e+03
4.4100e+00, 1.2245e+03
4.4199e+00, 1.0239e+03
4.4297e+00, 8.5577e+02
4.4395e+00, 7.1783e+02
4.4494e+00, 6.0622e+02
4.4592e+00, 5.1653e+02
4.4690e+00, 4.4453e+02
4.4789e+00, 3.8652e+02
4.4881e+00, 3.4210e+02
4.4973e+00, 3.0528e+02
4.5065e+00, 2.7448e+02
4.5157e+00, 2.4849e+02
4.5250e+00, 2.2635e+02
4.5342e+00, 2.0733e+02
4.5434e+00, 1.9086e+02
4.5526e+00, 1.7650e+02
4.5710e+00, 1.5273e+02
4.5895e+00, 1.3396e+02
4.6079e+00, 1.1883e+02
4.6264e+00, 1.0642e+02
4.6472e+00, 9.4869e+01
4.6681e+00, 8.5354e+01
4.6890e+00, 7.7414e+01
4.7099e+00, 7.0712e+01
4.7308e+00, 6.4988e+01
4.7517e+00, 6.0047e+01
4.7935e+00, 5.1946e+01
4.8353e+00, 4.5613e+01
4.8771e+00, 4.0558e+01
4.9189e+00, 3.6446e+01
4.9607e+00, 3.3046e+01
5.0000e+00, 3.0349e+01
5.0525e+00, 2.7348e+01
5.1049e+00, 2.4885e+01
5.1574e+00, 2.2800e+01
5.2099e+00, 2.1016e+01
5.2623e+00, 1.9484e+01
5.3148e+00, 1.8160e+01
5.4197e+00, 1.5992e+01
5.5246e+00, 1.4305e+01
5.6296e+00, 1.2968e+01
5.7345e+00, 1.1895e+01
5.8394e+00, 1.1035e+01
6.0073e+00, 9.9846e+00
6.1752e+00, 9.2496e+00
6.3431e+00, 8.7940e+00
6.5110e+00, 8.6068e+00
6.6002e+00, 8.6313e+00
6.6894e+00, 8.7717e+00
6.7786e+00, 9.0501e+00
6.8677e+00, 9.5127e+00
6.9569e+00, 1.0233e+01
7.0015e+00, 1.0722e+01
7.0461e+00, 1.1326e+01
7.0907e+00, 1.2088e+01
7.1353e+00, 1.3053e+01
7.1799e+00, 1.4284e+01
7.2245e+00, 1.5876e+01
7.2586e+00, 1.7421e+01
7.2927e+00, 1.9350e+01
7.3268e+00, 2.1803e+01
7.3609e+00, 2.4994e+01
7.3780e+00, 2.6961e+01
7.3950e+00, 2.9248e+01
7.4121e+00, 3.1925e+01
7.4291e+00, 3.5087e+01
7.4462e+00, 3.8857e+01
7.4632e+00, 4.3404e+01
7.4803e+00, 4.8961e+01
7.4973e+00, 5.5853e+01
7.5131e+00, 6.3802e+01
7.5288e+00, 7.3801e+01
7.5367e+00, 7.9787e+01
7.5445e+00, 8.6575e+01
7.5524e+00, 9.4299e+01
7.5603e+00, 1.0311e+02
7.5682e+00, 1.1318e+02
7.5760e+00, 1.2470e+02
7.5839e+00, 1.3788e+02
7.5918e+00, 1.5294e+02
7.5996e+00, 1.7009e+02
7.6075e+00, 1.8956e+02
7.6154e+00, 2.1150e+02
7.6232e+00, 2.3606e+02
7.6390e+00, 2.9314e+02
7.6469e+00, 3.2543e+02
7.6547e+00, 3.5982e+02
7.6629e+00, 3.9709e+02
7.6710e+00, 4.3534e+02
7.6791e+00, 4.7363e+02
7.6873e+00, 5.1088e+02
7.7035e+00, 5.7740e+02
7.7198e+00, 6.2516e+02
7.7299e+00, 6.4176e+02
7.7400e+00, 6.4693e+02
7.7484e+00, 6.4224e+02
7.7568e+00, 6.2958e+02
7.7652e+00, 6.0958e+02
7.7736e+00, 5.8315e+02
7.7848e+00, 5.4025e+02
7.7959e+00, 4.9123e+02
7.8182e+00, 3.8708e+02
7.8293e+00, 3.3713e+02
7.8405e+00, 2.9103e+02
7.8516e+00, 2.4976e+02
7.8627e+00, 2.1375e+02
7.8703e+00, 1.9234e+02
7.8778e+00, 1.7322e+02
7.8854e+00, 1.5625e+02
7.8929e+00, 1.4124e+02
7.9004e+00, 1.2801e+02
7.9080e+00, 1.1637e+02
7.9155e+00, 1.0613e+02
7.9231e+00, 9.7126e+01
7.9306e+00, 8.9193e+01
7.9382e+00, 8.2191e+01
7.9532e+00, 7.0498e+01
7.9683e+00, 6.1228e+01
7.9834e+00, 5.3779e+01
7.9996e+00, 4.7318e+01
8.0157e+00, 4.2054e+01
8.0319e+00, 3.7706e+01
8.0480e+00, 3.4074e+01
8.0642e+00, 3.1007e+01
8.0803e+00, 2.8394e+01
8.0965e+00, 2.6148e+01
8.1127e+00, 2.4203e+01
8.1450e+00, 2.1016e+01
8.1773e+00, 1.8531e+01
8.2096e+00, 1.6554e+01
8.2419e+00, 1.4955e+01
8.2786e+00, 1.3490e+01
8.3152e+00, 1.2303e+01
8.3518e+00, 1.1331e+01
8.3884e+00, 1.0525e+01
8.4251e+00, 9.8518e+00
8.4617e+00, 9.2812e+00
8.5349e+00, 8.3716e+00
8.6082e+00, 7.6938e+00
8.6815e+00, 7.1834e+00
8.7547e+00, 6.7966e+00
8.8280e+00, 6.5054e+00
8.9141e+00, 6.2643e+00
9.0003e+00, 6.1050e+00
9.0865e+00, 6.0145e+00
9.1727e+00, 5.9921e+00
9.2632e+00, 6.0451e+00
9.3537e+00, 6.1833e+00
9.4441e+00, 6.4162e+00
9.5346e+00, 6.7873e+00
9.6251e+00, 7.3693e+00
9.6704e+00, 7.7703e+00
9.7156e+00, 8.2738e+00
9.7609e+00, 8.9193e+00
9.8061e+00, 9.7685e+00
9.8513e+00, 1.0915e+01
9.8740e+00, 1.1645e+01
9.8966e+00, 1.2517e+01
9.9224e+00, 1.3741e+01
9.9483e+00, 1.5299e+01
9.9741e+00, 1.7333e+01
9.9871e+00, 1.8597e+01
1.0000e+01, 2.0076e+01
1.0018e+01, 2.2553e+01
1.0035e+01, 2.5724e+01
1.0044e+01, 2.7651e+01
1.0053e+01, 2.9856e+01
1.0062e+01, 3.2390e+01
1.0071e+01, 3.5308e+01
1.0080e+01, 3.8675e+01
1.0089e+01, 4.2550e+01
1.0097e+01, 4.7007e+01
1.0106e+01, 5.2115e+01
1.0115e+01, 5.7941e+01
1.0124e+01, 6.4537e+01
1.0133e+01, 7.1942e+01
1.0142e+01, 8.0165e+01
1.0161e+01, 1.0077e+02
1.0180e+01, 1.2409e+02
1.0200e+01, 1.4871e+02
1.0220e+01, 1.7044e+02
1.0230e+01, 1.7900e+02
1.0240e+01, 1.8546e+02
1.0250e+01, 1.8948e+02
1.0260e+01, 1.9084e+02
1.0274e+01, 1.8837e+02
1.0287e+01, 1.8122e+02
1.0298e+01, 1.7250e+02
1.0309e+01, 1.6173e+02
1.0331e+01, 1.3657e+02
1.0352e+01, 1.1056e+02
1.0363e+01, 9.8451e+01
1.0374e+01, 8.7366e+01
1.0391e+01, 7.2505e+01
1.0400e+01, 6.6204e+01
1.0408e+01, 6.0648e+01
1.0417e+01, 5.5784e+01
1.0425e+01, 5.1575e+01
1.0434e+01, 4.7959e+01
1.0442e+01, 4.4877e+01
1.0451e+01, 4.2270e+01
1.0459e+01, 4.0089e+01
1.0476e+01, 3.6806e+01
1.0493e+01, 3.4703e+01
1.0510e+01, 3.3551e+01
1.0525e+01, 3.3205e+01
1.0546e+01, 3.3674e+01
1.0566e+01, 3.5234e+01
1.0587e+01, 3.8010e+01
1.0597e+01, 3.9941e+01
1.0608e+01, 4.2300e+01
1.0618e+01, 4.5163e+01
1.0628e+01, 4.8613e+01
1.0639e+01, 5.2768e+01
1.0649e+01, 5.7751e+01
1.0660e+01, 6.3725e+01
1.0670e+01, 7.0853e+01
1.0680e+01, 7.9339e+01
1.0691e+01, 8.9363e+01
1.0701e+01, 1.0113e+02
1.0711e+01, 1.1478e+02
1.0722e+01, 1.3044e+02
1.0732e+01, 1.4810e+02
1.0753e+01, 1.8895e+02
1.0763e+01, 2.1149e+02
1.0773e+01, 2.3470e+02
1.0793e+01, 2.7685e+02
1.0812e+01, 3.1307e+02
1.0821e+01, 3.2709e+02
1.0831e+01, 3.3750e+02
1.0840e+01, 3.4380e+02
1.0850e+01, 3.4571e+02
1.0860e+01, 3.4284e+02
1.0870e+01, 3.3510e+02
1.0880e+01, 3.2289e+02
1.0890e+01, 3.0687e+02
1.0909e+01, 2.7090e+02
1.0927e+01, 2.3023e+02
1.0945e+01, 1.8967e+02
1.0964e+01, 1.5276e+02
1.0979e+01, 1.2543e+02
1.0987e+01, 1.1347e+02
1.0995e+01, 1.0266e+02
1.1003e+01, 9.2928e+01
1.1011e+01, 8.4248e+01
1.1019e+01, 7.6529e+01
1.1026e+01, 6.9689e+01
1.1034e+01, 6.3638e+01
1.1042e+01, 5.8305e+01
1.1050e+01, 5.3601e+01
1.1058e+01, 4.9451e+01
1.1073e+01, 4.2538e+01
1.1089e+01, 3.7105e+01
1.1107e+01, 3.2180e+01
1.1126e+01, 2.8335e+01
1.1144e+01, 2.5278e+01
1.1162e+01, 2.2808e+01
1.1180e+01, 2.0779e+01
1.1198e+01, 1.9092e+01
1.1216e+01, 1.7673e+01
1.1235e+01, 1.6468e+01
1.1271e+01, 1.4546e+01
1.1307e+01, 1.3100e+01
1.1344e+01, 1.1987e+01
1.1380e+01, 1.1113e+01
1.1440e+01, 1.0047e+01
1.1499e+01, 9.2946e+00
1.1559e+01, 8.7611e+00
1.1618e+01, 8.3871e+00
1.1678e+01, 8.1321e+00
1.1737e+01, 7.9644e+00
1.1856e+01, 7.8338e+00
1.1934e+01, 7.8755e+00
1.2012e+01, 8.0108e+00
1.2089e+01, 8.2455e+00
