ebin, xs
1.0000e-05, 1.3795e+02
1.0625e-05, 1.3383e+02
1.1250e-05, 1.3006e+02
1.1875e-05, 1.2659e+02
1.2500e-05, 1.2338e+02
1.3750e-05, 1.1764e+02
1.5000e-05, 1.1263e+02
1.6250e-05, 1.0821e+02
1.7500e-05, 1.0428e+02
1.8750e-05, 1.0074e+02
2.0000e-05, 9.7542e+01
2.1875e-05, 9.3268e+01
2.3750e-05, 8.9511e+01
2.5625e-05, 8.6174e+01
2.7500e-05, 8.3184e+01
2.9375e-05, 8.0486e+01
3.1250e-05, 7.8034e+01
3.3125e-05, 7.5793e+01
3.5000e-05, 7.3735e+01
3.8750e-05, 7.0076e+01
4.2500e-05, 6.6913e+01
4.6250e-05, 6.4143e+01
5.0000e-05, 6.1691e+01
5.3125e-05, 5.9849e+01
5.6250e-05, 5.8163e+01
5.9375e-05, 5.6612e+01
6.2500e-05, 5.5178e+01
6.8750e-05, 5.2610e+01
7.5000e-05, 5.0371e+01
8.1250e-05, 4.8395e+01
8.7500e-05, 4.6634e+01
9.3750e-05, 4.5053e+01
1.0000e-04, 4.3622e+01
1.0625e-04, 4.2320e+01
1.1250e-04, 4.1127e+01
1.1875e-04, 4.0031e+01
1.2500e-04, 3.9017e+01
1.3750e-04, 3.7201e+01
1.5000e-04, 3.5617e+01
1.6250e-04, 3.4220e+01
1.7500e-04, 3.2975e+01
1.8750e-04, 3.1857e+01
2.0000e-04, 3.0846e+01
2.1875e-04, 2.9494e+01
2.3750e-04, 2.8306e+01
2.5625e-04, 2.7251e+01
2.7500e-04, 2.6305e+01
2.9375e-04, 2.5452e+01
3.1250e-04, 2.4676e+01
3.3125e-04, 2.3968e+01
3.5000e-04, 2.3317e+01
3.8750e-04, 2.2160e+01
4.2500e-04, 2.1160e+01
4.6250e-04, 2.0284e+01
5.0000e-04, 1.9508e+01
5.3125e-04, 1.8926e+01
5.6250e-04, 1.8393e+01
5.9375e-04, 1.7902e+01
6.2500e-04, 1.7449e+01
6.8750e-04, 1.6637e+01
7.5000e-04, 1.5928e+01
8.1250e-04, 1.5304e+01
8.7500e-04, 1.4747e+01
9.3750e-04, 1.4247e+01
1.0000e-03, 1.3794e+01
1.0625e-03, 1.3383e+01
1.1250e-03, 1.3006e+01
1.1875e-03, 1.2659e+01
1.2500e-03, 1.2338e+01
1.3750e-03, 1.1764e+01
1.5000e-03, 1.1263e+01
1.6250e-03, 1.0821e+01
1.7500e-03, 1.0428e+01
1.8750e-03, 1.0074e+01
2.0000e-03, 9.7542e+00
2.1875e-03, 9.3268e+00
2.3750e-03, 8.9510e+00
2.5625e-03, 8.6174e+00
2.7500e-03, 8.3184e+00
2.9375e-03, 8.0486e+00
3.1250e-03, 7.8034e+00
3.3125e-03, 7.5794e+00
3.5000e-03, 7.3736e+00
