ebin, xs
1.0000e-05, 1.0022e+04
1.0625e-05, 9.7229e+03
1.1250e-05, 9.4490e+03
1.1875e-05, 9.1970e+03
1.2500e-05, 8.9642e+03
1.3750e-05, 8.5470e+03
1.5000e-05, 8.1832e+03
1.6250e-05, 7.8622e+03
1.7500e-05, 7.5763e+03
1.8750e-05, 7.3194e+03
2.0000e-05, 7.0870e+03
2.1875e-05, 6.7766e+03
2.3750e-05, 6.5036e+03
2.5625e-05, 6.2612e+03
2.7500e-05, 6.0441e+03
2.9375e-05, 5.8480e+03
3.1250e-05, 5.6699e+03
3.3125e-05, 5.5072e+03
3.5000e-05, 5.3577e+03
3.8750e-05, 5.0919e+03
4.2500e-05, 4.8622e+03
4.6250e-05, 4.6609e+03
5.0000e-05, 4.4828e+03
5.3125e-05, 4.3490e+03
5.6250e-05, 4.2266e+03
5.9375e-05, 4.1139e+03
6.2500e-05, 4.0098e+03
6.8750e-05, 3.8233e+03
7.5000e-05, 3.6606e+03
8.1250e-05, 3.5171e+03
8.7500e-05, 3.3892e+03
9.3750e-05, 3.2743e+03
1.0000e-04, 3.1704e+03
1.0625e-04, 3.0758e+03
1.1250e-04, 2.9892e+03
1.1875e-04, 2.9096e+03
1.2500e-04, 2.8360e+03
1.3750e-04, 2.7041e+03
1.5000e-04, 2.5891e+03
1.6250e-04, 2.4876e+03
1.7500e-04, 2.3972e+03
1.8750e-04, 2.3160e+03
2.0000e-04, 2.2425e+03
2.1875e-04, 2.1443e+03
2.3750e-04, 2.0581e+03
2.5625e-04, 1.9814e+03
2.7500e-04, 1.9128e+03
2.9375e-04, 1.8508e+03
3.1250e-04, 1.7945e+03
3.3125e-04, 1.7430e+03
3.5000e-04, 1.6957e+03
3.8750e-04, 1.6117e+03
4.2500e-04, 1.5390e+03
4.6250e-04, 1.4754e+03
5.0000e-04, 1.4191e+03
5.3125e-04, 1.3767e+03
5.6250e-04, 1.3380e+03
5.9375e-04, 1.3024e+03
6.2500e-04, 1.2694e+03
6.8750e-04, 1.2104e+03
7.5000e-04, 1.1590e+03
8.1250e-04, 1.1136e+03
8.7500e-04, 1.0731e+03
9.3750e-04, 1.0368e+03
1.0000e-03, 1.0039e+03
1.0625e-03, 9.7397e+02
1.1250e-03, 9.4657e+02
1.1875e-03, 9.2136e+02
1.2500e-03, 8.9807e+02
1.3750e-03, 8.5634e+02
1.5000e-03, 8.1994e+02
1.6250e-03, 7.8782e+02
1.7500e-03, 7.5920e+02
1.8750e-03, 7.3349e+02
2.0000e-03, 7.1024e+02
2.1875e-03, 6.7916e+02
2.3750e-03, 6.5184e+02
2.5625e-03, 6.2757e+02
2.7500e-03, 6.0583e+02
2.9375e-03, 5.8621e+02
3.1250e-03, 5.6839e+02
3.3125e-03, 5.5209e+02
3.5000e-03, 5.3713e+02
3.8750e-03, 5.1052e+02
4.2500e-03, 4.8751e+02
4.6250e-03, 4.6735e+02
5.0000e-03, 4.4950e+02
5.3125e-03, 4.3609e+02
5.6250e-03, 4.2383e+02
5.9375e-03, 4.1254e+02
6.2500e-03, 4.0212e+02
6.8750e-03, 3.8344e+02
7.5000e-03, 3.6713e+02
8.1250e-03, 3.5274e+02
8.7500e-03, 3.3992e+02
9.3750e-03, 3.2840e+02
1.0000e-02, 3.1798e+02
1.0625e-02, 3.0850e+02
1.1250e-02, 2.9983e+02
1.1875e-02, 2.9185e+02
1.2500e-02, 2.8449e+02
1.3750e-02, 2.7128e+02
1.5000e-02, 2.5975e+02
1.6250e-02, 2.4956e+02
1.7500e-02, 2.4049e+02
1.8750e-02, 2.3234e+02
2.0000e-02, 2.2496e+02
