ebin, xs
1.0000e-05, 6.7663e+05
1.0625e-05, 6.5642e+05
1.1250e-05, 6.3792e+05
1.1875e-05, 6.2090e+05
1.2500e-05, 6.0517e+05
1.3750e-05, 5.7700e+05
1.5000e-05, 5.5242e+05
1.6250e-05, 5.3074e+05
1.7500e-05, 5.1142e+05
1.8750e-05, 4.9407e+05
2.0000e-05, 4.7837e+05
2.1875e-05, 4.5740e+05
2.3750e-05, 4.3896e+05
2.5625e-05, 4.2258e+05
2.7500e-05, 4.0791e+05
2.9375e-05, 3.9466e+05
3.1250e-05, 3.8263e+05
3.3125e-05, 3.7163e+05
3.5000e-05, 3.6153e+05
3.8750e-05, 3.4357e+05
4.2500e-05, 3.2804e+05
4.6250e-05, 3.1444e+05
5.0000e-05, 3.0240e+05
5.3125e-05, 2.9336e+05
5.6250e-05, 2.8508e+05
5.9375e-05, 2.7746e+05
6.2500e-05, 2.7042e+05
6.8750e-05, 2.5781e+05
7.5000e-05, 2.4681e+05
8.1250e-05, 2.3710e+05
8.7500e-05, 2.2845e+05
9.3750e-05, 2.2068e+05
1.0000e-04, 2.1365e+05
1.0625e-04, 2.0725e+05
1.1250e-04, 2.0139e+05
1.1875e-04, 1.9600e+05
1.2500e-04, 1.9102e+05
1.3750e-04, 1.8209e+05
1.5000e-04, 1.7430e+05
1.6250e-04, 1.6743e+05
1.7500e-04, 1.6131e+05
1.8750e-04, 1.5580e+05
2.0000e-04, 1.5083e+05
2.1875e-04, 1.4417e+05
2.3750e-04, 1.3832e+05
2.5625e-04, 1.3312e+05
2.7500e-04, 1.2846e+05
2.9375e-04, 1.2426e+05
3.1250e-04, 1.2044e+05
3.3125e-04, 1.1694e+05
3.5000e-04, 1.1373e+05
3.8750e-04, 1.0802e+05
4.2500e-04, 1.0308e+05
4.6250e-04, 9.8753e+04
5.0000e-04, 9.4918e+04
5.3125e-04, 9.2037e+04
5.6250e-04, 8.9398e+04
5.9375e-04, 8.6968e+04
6.2500e-04, 8.4722e+04
6.8750e-04, 8.0696e+04
7.5000e-04, 7.7181e+04
8.1250e-04, 7.4077e+04
8.7500e-04, 7.1309e+04
9.3645e-04, 6.8860e+04
9.9789e-04, 6.6639e+04
1.0000e-03, 6.6566e+04
1.0078e-03, 6.6299e+04
1.0156e-03, 6.6035e+04
1.0313e-03, 6.5516e+04
1.0625e-03, 6.4512e+04
1.1290e-03, 6.2515e+04
1.1955e-03, 6.0685e+04
1.2500e-03, 5.9294e+04
1.3750e-03, 5.6418e+04
1.5000e-03, 5.3905e+04
1.5906e-03, 5.2269e+04
1.6250e-03, 5.1684e+04
1.7500e-03, 4.9702e+04
1.8679e-03, 4.8015e+04
1.9858e-03, 4.6478e+04
2.0000e-03, 4.6302e+04
2.0469e-03, 4.5733e+04
2.0938e-03, 4.5184e+04
2.2344e-03, 4.3638e+04
2.3750e-03, 4.2229e+04
2.4732e-03, 4.1316e+04
2.6116e-03, 4.0116e+04
2.7500e-03, 3.9005e+04
2.9375e-03, 3.7625e+04
3.1250e-03, 3.6368e+04
3.1713e-03, 3.6075e+04
3.3356e-03, 3.5081e+04
3.5000e-03, 3.4156e+04
3.6875e-03, 3.3176e+04
3.8750e-03, 3.2265e+04
4.2500e-03, 3.0623e+04
4.6250e-03, 2.9179e+04
5.0000e-03, 2.7895e+04
5.3125e-03, 2.6927e+04
5.6250e-03, 2.6038e+04
5.9375e-03, 2.5217e+04
6.2500e-03, 2.4457e+04
6.8750e-03, 2.3089e+04
7.5000e-03, 2.1890e+04
8.1250e-03, 2.0825e+04
8.7500e-03, 1.9873e+04
9.3750e-03, 1.9013e+04
1.0000e-02, 1.8231e+04
1.0625e-02, 1.7517e+04
1.1250e-02, 1.6860e+04
1.1875e-02, 1.6254e+04
1.2500e-02, 1.5693e+04
1.3125e-02, 1.5171e+04
1.3750e-02, 1.4683e+04
1.5000e-02, 1.3799e+04
1.6250e-02, 1.3015e+04
1.7500e-02, 1.2315e+04
1.8750e-02, 1.1685e+04
2.0000e-02, 1.1114e+04
2.1325e-02, 1.0564e+04
2.2650e-02, 1.0064e+04
2.3975e-02, 9.6057e+03
2.5300e-02, 9.1846e+03
2.7061e-02, 8.6749e+03
2.8822e-02, 8.2142e+03
3.0583e-02, 7.7958e+03
3.2344e-02, 7.4142e+03
3.4105e-02, 7.0649e+03
3.5866e-02, 6.7440e+03
