ebin, xs
1.0000e-05, 4.8180e-01
1.0603e-05, 4.6789e-01
1.1207e-05, 4.5512e-01
1.2414e-05, 4.3243e-01
1.2500e-05, 4.3094e-01
1.2812e-05, 4.2565e-01
1.3125e-05, 4.2055e-01
1.3750e-05, 4.1088e-01
1.5000e-05, 3.9339e-01
1.6233e-05, 3.7815e-01
1.7466e-05, 3.6456e-01
1.7500e-05, 3.6421e-01
1.7578e-05, 3.6340e-01
1.7656e-05, 3.6259e-01
1.7812e-05, 3.6100e-01
1.8125e-05, 3.5787e-01
1.8750e-05, 3.5186e-01
2.0000e-05, 3.4069e-01
2.2080e-05, 3.2424e-01
2.4161e-05, 3.0996e-01
2.5826e-05, 2.9981e-01
2.7491e-05, 2.9058e-01
2.7500e-05, 2.9054e-01
2.7529e-05, 2.9038e-01
2.7559e-05, 2.9023e-01
2.7617e-05, 2.8992e-01
2.7734e-05, 2.8931e-01
2.7969e-05, 2.8809e-01
2.8438e-05, 2.8571e-01
2.9375e-05, 2.8111e-01
3.1250e-05, 2.7255e-01
3.3125e-05, 2.6472e-01
3.5000e-05, 2.5753e-01
3.8750e-05, 2.4476e-01
4.2500e-05, 2.3371e-01
4.6250e-05, 2.2403e-01
5.0000e-05, 2.1547e-01
5.2891e-05, 2.0950e-01
5.5782e-05, 2.0400e-01
6.1564e-05, 1.9418e-01
6.2500e-05, 1.9272e-01
6.5625e-05, 1.8808e-01
6.8750e-05, 1.8375e-01
6.8874e-05, 1.8359e-01
6.9257e-05, 1.8308e-01
6.9640e-05, 1.8257e-01
7.0405e-05, 1.8158e-01
7.1937e-05, 1.7964e-01
7.5000e-05, 1.7593e-01
8.1250e-05, 1.6903e-01
8.7500e-05, 1.6288e-01
9.3750e-05, 1.5736e-01
1.0000e-04, 1.5236e-01
1.0625e-04, 1.4781e-01
1.1250e-04, 1.4365e-01
1.1875e-04, 1.3981e-01
1.2500e-04, 1.3627e-01
1.3726e-04, 1.3005e-01
1.3750e-04, 1.2993e-01
1.3828e-04, 1.2956e-01
1.3906e-04, 1.2920e-01
1.4062e-04, 1.2848e-01
1.4375e-04, 1.2708e-01
1.5000e-04, 1.2440e-01
1.6250e-04, 1.1952e-01
1.7500e-04, 1.1517e-01
1.8750e-04, 1.1127e-01
2.0000e-04, 1.0773e-01
2.1342e-04, 1.0429e-01
2.2684e-04, 1.0116e-01
2.4027e-04, 9.8293e-02
2.5369e-04, 9.5657e-02
2.7500e-04, 9.1876e-02
2.9170e-04, 8.9208e-02
3.0839e-04, 8.6759e-02
3.4179e-04, 8.2412e-02
3.5000e-04, 8.1439e-02
3.6875e-04, 7.9342e-02
3.8750e-04, 7.7398e-02
4.2500e-04, 7.3905e-02
4.6250e-04, 7.0845e-02
5.0000e-04, 6.8137e-02
5.3125e-04, 6.6103e-02
5.6250e-04, 6.4240e-02
5.6349e-04, 6.4184e-02
5.6733e-04, 6.3966e-02
5.7118e-04, 6.3750e-02
5.7887e-04, 6.3325e-02
5.9424e-04, 6.2501e-02
6.2500e-04, 6.0944e-02
6.7300e-04, 5.8730e-02
7.2100e-04, 5.6741e-02
7.5000e-04, 5.5634e-02
8.1250e-04, 5.3451e-02
8.7500e-04, 5.1507e-02
9.3750e-04, 4.9760e-02
1.0000e-03, 4.8180e-02
1.0591e-03, 4.6817e-02
1.1182e-03, 4.5564e-02
1.2363e-03, 4.3332e-02
1.2500e-03, 4.3094e-02
1.2813e-03, 4.2565e-02
1.3125e-03, 4.2055e-02
1.3750e-03, 4.1088e-02
1.3769e-03, 4.1060e-02
1.3846e-03, 4.0946e-02
1.3923e-03, 4.0832e-02
1.4077e-03, 4.0608e-02
1.4384e-03, 4.0172e-02
1.5000e-03, 3.9339e-02
1.6240e-03, 3.7807e-02
1.7481e-03, 3.6441e-02
1.7500e-03, 3.6421e-02
1.7539e-03, 3.6380e-02
1.7578e-03, 3.6340e-02
1.7656e-03, 3.6259e-02
1.7813e-03, 3.6100e-02
1.8125e-03, 3.5787e-02
1.8750e-03, 3.5186e-02
2.0000e-03, 3.4069e-02
2.1920e-03, 3.2542e-02
2.3840e-03, 3.1204e-02
2.5670e-03, 3.0072e-02
2.7500e-03, 2.9054e-02
2.9375e-03, 2.8111e-02
3.1250e-03, 2.7255e-02
3.3125e-03, 2.6472e-02
3.5000e-03, 2.5753e-02
3.8750e-03, 2.4476e-02
4.2500e-03, 2.3371e-02
4.6250e-03, 2.2403e-02
5.0000e-03, 2.1547e-02
5.3125e-03, 2.0903e-02
5.6250e-03, 2.0315e-02
5.9375e-03, 1.9773e-02
6.2500e-03, 1.9272e-02
6.8618e-03, 1.8393e-02
6.8750e-03, 1.8375e-02
6.9141e-03, 1.8323e-02
6.9531e-03, 1.8272e-02
7.0313e-03, 1.8170e-02
7.1875e-03, 1.7971e-02
7.5000e-03, 1.7593e-02
8.1184e-03, 1.6910e-02
8.1250e-03, 1.6903e-02
8.1445e-03, 1.6882e-02
8.1641e-03, 1.6862e-02
8.2031e-03, 1.6822e-02
8.2813e-03, 1.6743e-02
8.4375e-03, 1.6587e-02
8.7500e-03, 1.6288e-02
9.3750e-03, 1.5736e-02
1.0000e-02, 1.5236e-02
1.0590e-02, 1.4806e-02
1.1180e-02, 1.4410e-02
1.2359e-02, 1.3705e-02
1.2500e-02, 1.3627e-02
1.2812e-02, 1.3460e-02
1.3125e-02, 1.3299e-02
1.3750e-02, 1.2993e-02
1.5000e-02, 1.2440e-02
1.6250e-02, 1.1952e-02
1.7500e-02, 1.1517e-02
1.8750e-02, 1.1127e-02
2.0000e-02, 1.0773e-02
2.1325e-02, 1.0433e-02
2.2650e-02, 1.0124e-02
2.2679e-02, 1.0117e-02
2.2761e-02, 1.0099e-02
2.2843e-02, 1.0081e-02
2.3007e-02, 1.0045e-02
2.3334e-02, 9.9741e-03
2.3990e-02, 9.8369e-03
2.5300e-02, 9.5788e-03
2.6709e-02, 9.3227e-03
2.8118e-02, 9.0862e-03
3.0935e-02, 8.6625e-03
3.4292e-02, 8.2276e-03
3.7649e-02, 7.8522e-03
3.7650e-02, 7.8521e-03
3.7658e-02, 7.8513e-03
3.7666e-02, 7.8504e-03
3.7682e-02, 7.8487e-03
3.7714e-02, 7.8454e-03
3.7779e-02, 7.8387e-03
3.7907e-02, 7.8254e-03
3.8165e-02, 7.7990e-03
3.8680e-02, 7.7469e-03
3.9710e-02, 7.6457e-03
4.1770e-02, 7.4549e-03
4.5889e-02, 7.1124e-03
5.0000e-02, 6.8137e-03
5.3125e-02, 6.6103e-03
5.6250e-02, 6.4241e-03
5.9375e-02, 6.2527e-03
6.2500e-02, 6.0944e-03
6.8750e-02, 5.8108e-03
7.5000e-02, 5.5634e-03
8.1250e-02, 5.3451e-03
8.7500e-02, 5.1507e-03
9.3750e-02, 4.9761e-03
1.0000e-01, 4.8181e-03
1.0625e-01, 4.6742e-03
1.1250e-01, 4.5425e-03
1.2500e-01, 4.3094e-03
1.3750e-01, 4.1089e-03
1.5000e-01, 3.9340e-03
1.6250e-01, 3.7796e-03
1.7500e-01, 3.6422e-03
1.8750e-01, 3.5187e-03
2.0000e-01, 3.4070e-03
2.1320e-01, 3.2999e-03
2.2640e-01, 3.2022e-03
2.5280e-01, 3.0304e-03
2.7500e-01, 2.9055e-03
3.0539e-01, 2.7572e-03
3.3577e-01, 2.6295e-03
3.5000e-01, 2.5755e-03
3.8750e-01, 2.4477e-03
4.2500e-01, 2.3372e-03
5.0000e-01, 2.1548e-03
6.2500e-01, 1.9273e-03
7.5000e-01, 1.7594e-03
8.7500e-01, 1.6289e-03
1.0000e+00, 1.5238e-03
1.2500e+00, 1.3629e-03
1.5000e+00, 1.2442e-03
1.7500e+00, 1.1520e-03
2.0000e+00, 1.0776e-03
2.2735e+00, 1.0108e-03
2.5470e+00, 9.5495e-04
2.7500e+00, 9.1903e-04
3.4029e+00, 8.2621e-04
3.5000e+00, 8.1468e-04
3.8750e+00, 7.7428e-04
4.2500e+00, 7.3935e-04
4.5000e+00, 7.1852e-04
5.0000e+00, 6.8170e-04
6.2500e+00, 6.0980e-04
7.5000e+00, 5.5674e-04
8.7500e+00, 5.1549e-04
1.0000e+01, 4.8224e-04
1.1250e+01, 4.5473e-04
1.1262e+01, 4.5449e-04
1.1301e+01, 4.5371e-04
1.1340e+01, 4.5294e-04
1.1417e+01, 4.5140e-04
1.1572e+01, 4.4839e-04
1.1881e+01, 4.4254e-04
1.2500e+01, 4.3148e-04
1.5000e+01, 3.9397e-04
1.5015e+01, 3.9378e-04
1.5054e+01, 3.9327e-04
1.5092e+01, 3.9277e-04
1.5170e+01, 3.9176e-04
1.5325e+01, 3.8978e-04
1.5636e+01, 3.8590e-04
1.6257e+01, 3.7850e-04
1.7500e+01, 3.6484e-04
