ebin, xs
1.0000e-05, 6.6133e+01
1.0625e-05, 6.4159e+01
1.1250e-05, 6.2351e+01
1.1875e-05, 6.0688e+01
1.2500e-05, 5.9152e+01
1.3750e-05, 5.6399e+01
1.5000e-05, 5.3998e+01
1.6250e-05, 5.1879e+01
1.7500e-05, 4.9992e+01
1.8750e-05, 4.8297e+01
2.0000e-05, 4.6763e+01
2.1875e-05, 4.4714e+01
2.3750e-05, 4.2913e+01
2.5625e-05, 4.1313e+01
2.7500e-05, 3.9880e+01
2.9375e-05, 3.8586e+01
3.1250e-05, 3.7411e+01
3.3125e-05, 3.6337e+01
3.5000e-05, 3.5350e+01
3.8750e-05, 3.3596e+01
4.2500e-05, 3.2079e+01
4.6250e-05, 3.0751e+01
5.0000e-05, 2.9576e+01
5.3125e-05, 2.8693e+01
5.6250e-05, 2.7884e+01
5.9375e-05, 2.7141e+01
6.2500e-05, 2.6453e+01
6.8750e-05, 2.5222e+01
7.5000e-05, 2.4149e+01
8.1250e-05, 2.3201e+01
8.7500e-05, 2.2357e+01
9.3750e-05, 2.1599e+01
1.0000e-04, 2.0913e+01
1.0625e-04, 2.0289e+01
1.1250e-04, 1.9717e+01
1.1875e-04, 1.9191e+01
1.2500e-04, 1.8705e+01
1.3750e-04, 1.7835e+01
1.5000e-04, 1.7076e+01
1.6250e-04, 1.6406e+01
1.7500e-04, 1.5809e+01
1.8750e-04, 1.5273e+01
2.0000e-04, 1.4788e+01
2.1875e-04, 1.4140e+01
2.3750e-04, 1.3570e+01
2.5625e-04, 1.3064e+01
2.7500e-04, 1.2611e+01
2.9375e-04, 1.2202e+01
3.1250e-04, 1.1830e+01
3.3125e-04, 1.1491e+01
3.5000e-04, 1.1179e+01
3.8750e-04, 1.0624e+01
4.2500e-04, 1.0144e+01
4.6250e-04, 9.7244e+00
5.0000e-04, 9.3527e+00
5.3125e-04, 9.0734e+00
5.6250e-04, 8.8178e+00
5.9375e-04, 8.5826e+00
6.2500e-04, 8.3653e+00
6.8750e-04, 7.9760e+00
7.5000e-04, 7.6364e+00
8.1250e-04, 7.3368e+00
8.7500e-04, 7.0700e+00
9.3750e-04, 6.8302e+00
1.0000e-03, 6.6133e+00
1.0625e-03, 6.4159e+00
1.1250e-03, 6.2351e+00
1.1875e-03, 6.0688e+00
1.2500e-03, 5.9152e+00
1.3750e-03, 5.6399e+00
1.5000e-03, 5.3998e+00
1.6250e-03, 5.1880e+00
1.7500e-03, 4.9992e+00
1.8750e-03, 4.8297e+00
2.0000e-03, 4.6764e+00
2.1875e-03, 4.4715e+00
2.3750e-03, 4.2913e+00
2.5625e-03, 4.1314e+00
2.7500e-03, 3.9880e+00
2.9375e-03, 3.8587e+00
3.1250e-03, 3.7411e+00
3.3125e-03, 3.6337e+00
3.5000e-03, 3.5350e+00
3.8750e-03, 3.3596e+00
4.2500e-03, 3.2080e+00
4.6250e-03, 3.0752e+00
5.0000e-03, 2.9576e+00
5.3125e-03, 2.8693e+00
5.6250e-03, 2.7884e+00
5.9375e-03, 2.7141e+00
6.2500e-03, 2.6453e+00
6.8750e-03, 2.5222e+00
7.5000e-03, 2.4148e+00
8.1250e-03, 2.3201e+00
8.7500e-03, 2.2357e+00
9.3750e-03, 2.1598e+00
1.0000e-02, 2.0913e+00
1.0625e-02, 2.0288e+00
1.1250e-02, 1.9717e+00
1.1875e-02, 1.9191e+00
1.2500e-02, 1.8705e+00
1.3750e-02, 1.7835e+00
1.5000e-02, 1.7075e+00
1.6250e-02, 1.6405e+00
1.7500e-02, 1.5808e+00
1.8750e-02, 1.5272e+00
2.0000e-02, 1.4787e+00
2.1325e-02, 1.4320e+00
2.2650e-02, 1.3895e+00
2.3975e-02, 1.3506e+00
2.5300e-02, 1.3148e+00
2.6844e-02, 1.2764e+00
2.8387e-02, 1.2413e+00
3.1475e-02, 1.1789e+00
3.4563e-02, 1.1250e+00
3.7650e-02, 1.0778e+00
4.0738e-02, 1.0361e+00
4.3825e-02, 9.9893e-01
4.6913e-02, 9.6546e-01
5.0000e-02, 9.3516e-01
5.3125e-02, 9.0723e-01
5.6250e-02, 8.8169e-01
5.9375e-02, 8.5820e-01
6.2500e-02, 8.3651e-01
6.8750e-02, 7.9763e-01
7.5000e-02, 7.6366e-01
8.1250e-02, 7.3367e-01
8.7500e-02, 7.0694e-01
9.3750e-02, 6.8294e-01
1.0000e-01, 6.6123e-01
1.0625e-01, 6.4148e-01
1.1250e-01, 6.2341e-01
1.1875e-01, 6.0681e-01
1.2500e-01, 5.9149e-01
1.3750e-01, 5.6401e-01
1.5000e-01, 5.3998e-01
1.6250e-01, 5.1877e-01
1.7500e-01, 4.9987e-01
1.8750e-01, 4.8292e-01
2.0000e-01, 4.6761e-01
2.1875e-01, 4.4714e-01
2.3750e-01, 4.2910e-01
2.5625e-01, 4.1308e-01
