ebin, xs
1.0000e-05, 8.7043e+01
1.0625e-05, 8.4444e+01
1.1250e-05, 8.2065e+01
1.1875e-05, 7.9876e+01
1.2500e-05, 7.7853e+01
1.3750e-05, 7.4230e+01
1.5000e-05, 7.1070e+01
1.6250e-05, 6.8282e+01
1.7500e-05, 6.5798e+01
1.8750e-05, 6.3567e+01
2.0000e-05, 6.1548e+01
2.1875e-05, 5.8852e+01
2.3750e-05, 5.6481e+01
2.5625e-05, 5.4375e+01
2.7500e-05, 5.2489e+01
2.9375e-05, 5.0786e+01
3.1250e-05, 4.9239e+01
3.3125e-05, 4.7825e+01
3.5000e-05, 4.6526e+01
3.8750e-05, 4.4218e+01
4.2500e-05, 4.2222e+01
4.6250e-05, 4.0474e+01
5.0000e-05, 3.8927e+01
5.3125e-05, 3.7764e+01
5.6250e-05, 3.6700e+01
5.9375e-05, 3.5722e+01
6.2500e-05, 3.4817e+01
6.8750e-05, 3.3197e+01
7.5000e-05, 3.1783e+01
8.1250e-05, 3.0537e+01
8.7500e-05, 2.9426e+01
9.3750e-05, 2.8428e+01
1.0000e-04, 2.7525e+01
1.0625e-04, 2.6703e+01
1.1250e-04, 2.5951e+01
1.1875e-04, 2.5259e+01
1.2500e-04, 2.4619e+01
1.3750e-04, 2.3474e+01
1.5000e-04, 2.2474e+01
1.6250e-04, 2.1593e+01
1.7500e-04, 2.0807e+01
1.8750e-04, 2.0102e+01
2.0000e-04, 1.9463e+01
2.1875e-04, 1.8610e+01
2.3750e-04, 1.7861e+01
2.5625e-04, 1.7195e+01
2.7500e-04, 1.6598e+01
2.9375e-04, 1.6060e+01
3.1250e-04, 1.5571e+01
3.3125e-04, 1.5124e+01
3.5000e-04, 1.4713e+01
3.8750e-04, 1.3983e+01
4.2500e-04, 1.3352e+01
4.6250e-04, 1.2799e+01
5.0000e-04, 1.2310e+01
5.3125e-04, 1.1942e+01
5.6250e-04, 1.1606e+01
5.9375e-04, 1.1296e+01
6.2500e-04, 1.1010e+01
6.8750e-04, 1.0498e+01
7.5000e-04, 1.0051e+01
8.1250e-04, 9.6565e+00
8.7500e-04, 9.3053e+00
9.3750e-04, 8.9897e+00
1.0000e-03, 8.7043e+00
1.0625e-03, 8.4444e+00
1.1250e-03, 8.2065e+00
1.1875e-03, 7.9876e+00
1.2500e-03, 7.7854e+00
1.3750e-03, 7.4231e+00
1.5000e-03, 7.1070e+00
1.6250e-03, 6.8282e+00
1.7500e-03, 6.5799e+00
1.8750e-03, 6.3568e+00
2.0000e-03, 6.1549e+00
2.1875e-03, 5.8852e+00
2.3750e-03, 5.6482e+00
2.5625e-03, 5.4376e+00
2.7500e-03, 5.2490e+00
2.9375e-03, 5.0787e+00
3.1250e-03, 4.9240e+00
3.3125e-03, 4.7826e+00
3.5000e-03, 4.6527e+00
3.8750e-03, 4.4219e+00
4.2500e-03, 4.2223e+00
4.6250e-03, 4.0475e+00
5.0000e-03, 3.8927e+00
5.3125e-03, 3.7765e+00
5.6250e-03, 3.6701e+00
5.9375e-03, 3.5722e+00
6.2500e-03, 3.4817e+00
6.8750e-03, 3.3197e+00
7.5000e-03, 3.1783e+00
8.1250e-03, 3.0536e+00
8.7500e-03, 2.9425e+00
9.3750e-03, 2.8428e+00
1.0000e-02, 2.7525e+00
1.0625e-02, 2.6703e+00
1.1250e-02, 2.5951e+00
1.1875e-02, 2.5259e+00
1.2500e-02, 2.4620e+00
1.3750e-02, 2.3474e+00
1.5000e-02, 2.2475e+00
1.6250e-02, 2.1593e+00
1.7500e-02, 2.0807e+00
1.8750e-02, 2.0101e+00
2.0000e-02, 1.9463e+00
2.1325e-02, 1.8848e+00
2.2650e-02, 1.8289e+00
2.3975e-02, 1.7776e+00
2.5300e-02, 1.7305e+00
2.6844e-02, 1.6801e+00
2.8387e-02, 1.6338e+00
3.1475e-02, 1.5517e+00
3.4563e-02, 1.4808e+00
3.7650e-02, 1.4187e+00
4.0738e-02, 1.3639e+00
4.3825e-02, 1.3149e+00
4.6913e-02, 1.2708e+00
5.0000e-02, 1.2310e+00
5.3125e-02, 1.1942e+00
5.6250e-02, 1.1606e+00
5.9375e-02, 1.1297e+00
6.2500e-02, 1.1011e+00
6.8750e-02, 1.0500e+00
7.5000e-02, 1.0053e+00
8.1250e-02, 9.6580e-01
8.7500e-02, 9.3064e-01
9.3750e-02, 8.9905e-01
1.0000e-01, 8.7048e-01
1.0625e-01, 8.4449e-01
1.1250e-01, 8.2071e-01
1.1875e-01, 7.9887e-01
1.2500e-01, 7.7871e-01
1.3750e-01, 7.4257e-01
1.5000e-01, 7.1094e-01
1.6250e-01, 6.8303e-01
1.7500e-01, 6.5816e-01
1.8750e-01, 6.3586e-01
2.0000e-01, 6.1572e-01
2.1875e-01, 5.8880e-01
2.3750e-01, 5.6506e-01
2.5625e-01, 5.4399e-01
2.7500e-01, 5.2511e-01
2.9375e-01, 5.0807e-01
3.1250e-01, 4.9260e-01
3.3125e-01, 4.7848e-01
3.5000e-01, 4.6558e-01
3.8750e-01, 4.4258e-01
4.2500e-01, 4.2259e-01
5.0000e-01, 3.8971e-01
6.2500e-01, 3.4865e-01
7.5000e-01, 3.1829e-01
8.7500e-01, 2.9479e-01
1.0000e+00, 2.7586e-01
1.2500e+00, 2.4680e-01
1.5000e+00, 2.2537e-01
1.7500e+00, 2.0878e-01
2.0000e+00, 1.9540e-01
2.3750e+00, 1.7944e-01
2.7500e+00, 1.6690e-01
3.1250e+00, 1.5667e-01
3.5000e+00, 1.4815e-01
4.2500e+00, 1.3465e-01
5.0000e+00, 1.2436e-01
6.2500e+00, 1.1156e-01
7.5000e+00, 1.0216e-01
8.7500e+00, 9.4909e-02
1.0000e+01, 8.9104e-02
1.2500e+01, 8.0321e-02
1.5000e+01, 7.3967e-02
1.7500e+01, 6.9157e-02
2.0000e+01, 6.5400e-02
2.3750e+01, 6.1140e-02
2.7500e+01, 5.8059e-02
3.1250e+01, 5.5838e-02
3.5000e+01, 5.4303e-02
4.2500e+01, 5.2931e-02
4.6250e+01, 5.3028e-02
5.0000e+01, 5.3666e-02
5.6250e+01, 5.6076e-02
5.9375e+01, 5.8042e-02
6.2500e+01, 6.0656e-02
6.5625e+01, 6.4065e-02
6.8750e+01, 6.8479e-02
7.1875e+01, 7.4204e-02
7.5000e+01, 8.1687e-02
7.8125e+01, 9.1565e-02
7.9688e+01, 9.7703e-02
8.1250e+01, 1.0490e-01
8.2812e+01, 1.1337e-01
8.4375e+01, 1.2341e-01
8.5938e+01, 1.3542e-01
8.7500e+01, 1.4996e-01
8.8965e+01, 1.6653e-01
9.0430e+01, 1.8684e-01
9.1895e+01, 2.1208e-01
9.3359e+01, 2.4397e-01
9.4092e+01, 2.6246e-01
9.4824e+01, 2.8414e-01
9.5557e+01, 3.0902e-01
9.6289e+01, 3.3774e-01
9.7021e+01, 3.7115e-01
9.7754e+01, 4.1031e-01
9.8486e+01, 4.5665e-01
9.9219e+01, 5.1202e-01
1.0000e+02, 5.8373e-01
1.0062e+02, 6.5299e-01
1.0124e+02, 7.3635e-01
