ebin, xs
1.0000e-05, 7.0951e+01
1.0625e-05, 6.8833e+01
1.1250e-05, 6.6893e+01
1.1875e-05, 6.5109e+01
1.2500e-05, 6.3461e+01
1.3750e-05, 6.0507e+01
1.5000e-05, 5.7931e+01
1.6250e-05, 5.5659e+01
1.7500e-05, 5.3634e+01
1.8750e-05, 5.1815e+01
2.0000e-05, 5.0170e+01
2.1875e-05, 4.7972e+01
2.3750e-05, 4.6039e+01
2.5625e-05, 4.4323e+01
2.7500e-05, 4.2785e+01
2.9375e-05, 4.1397e+01
3.1250e-05, 4.0136e+01
3.3125e-05, 3.8984e+01
3.5000e-05, 3.7925e+01
3.8750e-05, 3.6043e+01
4.2500e-05, 3.4416e+01
4.6250e-05, 3.2992e+01
5.0000e-05, 3.1730e+01
5.3125e-05, 3.0783e+01
5.6250e-05, 2.9916e+01
5.9375e-05, 2.9118e+01
6.2500e-05, 2.8380e+01
6.8750e-05, 2.7060e+01
7.5000e-05, 2.5908e+01
8.1250e-05, 2.4891e+01
8.7500e-05, 2.3986e+01
9.3750e-05, 2.3173e+01
1.0000e-04, 2.2437e+01
1.0625e-04, 2.1767e+01
1.1250e-04, 2.1154e+01
1.1875e-04, 2.0589e+01
1.2500e-04, 2.0068e+01
1.3750e-04, 1.9134e+01
1.5000e-04, 1.8320e+01
1.6250e-04, 1.7601e+01
1.7500e-04, 1.6961e+01
1.8750e-04, 1.6385e+01
2.0000e-04, 1.5865e+01
2.1875e-04, 1.5170e+01
2.3750e-04, 1.4559e+01
2.5625e-04, 1.4016e+01
2.7500e-04, 1.3530e+01
2.9375e-04, 1.3091e+01
3.1250e-04, 1.2692e+01
3.3125e-04, 1.2328e+01
3.5000e-04, 1.1993e+01
3.8750e-04, 1.1398e+01
4.2500e-04, 1.0883e+01
4.6250e-04, 1.0433e+01
5.0000e-04, 1.0034e+01
5.3125e-04, 9.7343e+00
5.6250e-04, 9.4601e+00
5.9375e-04, 9.2078e+00
6.2500e-04, 8.9746e+00
6.8750e-04, 8.5569e+00
7.5000e-04, 8.1926e+00
8.1250e-04, 7.8712e+00
8.7500e-04, 7.5849e+00
9.3750e-04, 7.3277e+00
1.0000e-03, 7.0950e+00
1.0625e-03, 6.8832e+00
1.1250e-03, 6.6893e+00
1.1875e-03, 6.5109e+00
1.2500e-03, 6.3460e+00
1.3750e-03, 6.0507e+00
1.5000e-03, 5.7931e+00
1.6250e-03, 5.5658e+00
1.7500e-03, 5.3634e+00
1.8750e-03, 5.1815e+00
2.0000e-03, 5.0170e+00
2.1875e-03, 4.7971e+00
2.3750e-03, 4.6039e+00
2.5625e-03, 4.4323e+00
2.7500e-03, 4.2785e+00
2.9375e-03, 4.1397e+00
3.1250e-03, 4.0136e+00
3.3125e-03, 3.8984e+00
3.5000e-03, 3.7925e+00
3.8750e-03, 3.6043e+00
4.2500e-03, 3.4416e+00
4.6250e-03, 3.2991e+00
5.0000e-03, 3.1730e+00
5.3125e-03, 3.0782e+00
5.6250e-03, 2.9915e+00
5.9375e-03, 2.9117e+00
6.2500e-03, 2.8380e+00
6.8750e-03, 2.7059e+00
7.5000e-03, 2.5907e+00
8.1250e-03, 2.4890e+00
8.7500e-03, 2.3984e+00
9.3750e-03, 2.3170e+00
1.0000e-02, 2.2434e+00
1.0625e-02, 2.1764e+00
1.1250e-02, 2.1151e+00
1.1875e-02, 2.0588e+00
1.2500e-02, 2.0067e+00
1.3750e-02, 1.9133e+00
1.5000e-02, 1.8319e+00
1.6250e-02, 1.7599e+00
