ebin, xs
1.0000e-05, 7.3983e+02
1.0625e-05, 7.1774e+02
1.1250e-05, 6.9751e+02
1.1875e-05, 6.7891e+02
1.2500e-05, 6.6172e+02
1.3750e-05, 6.3093e+02
1.5000e-05, 6.0407e+02
1.6250e-05, 5.8037e+02
1.7500e-05, 5.5926e+02
1.8750e-05, 5.4029e+02
2.0000e-05, 5.2314e+02
2.1875e-05, 5.0021e+02
2.3750e-05, 4.8006e+02
2.5625e-05, 4.6217e+02
2.7500e-05, 4.4613e+02
2.9375e-05, 4.3166e+02
3.1250e-05, 4.1851e+02
3.3125e-05, 4.0649e+02
3.5000e-05, 3.9545e+02
3.8750e-05, 3.7583e+02
4.2500e-05, 3.5887e+02
4.6250e-05, 3.4401e+02
5.0000e-05, 3.3086e+02
5.3125e-05, 3.2098e+02
5.6250e-05, 3.1194e+02
5.9375e-05, 3.0362e+02
6.2500e-05, 2.9593e+02
6.8750e-05, 2.8216e+02
7.5000e-05, 2.7015e+02
8.1250e-05, 2.5955e+02
8.7500e-05, 2.5011e+02
9.3750e-05, 2.4163e+02
1.0000e-04, 2.3395e+02
1.0625e-04, 2.2697e+02
1.1250e-04, 2.2057e+02
1.1875e-04, 2.1469e+02
1.2500e-04, 2.0925e+02
1.3750e-04, 1.9952e+02
1.5000e-04, 1.9102e+02
1.6250e-04, 1.8353e+02
1.7500e-04, 1.7685e+02
1.8750e-04, 1.7085e+02
2.0000e-04, 1.6543e+02
2.1875e-04, 1.5818e+02
2.3750e-04, 1.5181e+02
2.5625e-04, 1.4615e+02
2.7500e-04, 1.4108e+02
2.9375e-04, 1.3650e+02
3.1250e-04, 1.3234e+02
3.3125e-04, 1.2854e+02
3.5000e-04, 1.2505e+02
3.8750e-04, 1.1885e+02
4.2500e-04, 1.1348e+02
4.6250e-04, 1.0879e+02
5.0000e-04, 1.0463e+02
5.3125e-04, 1.0150e+02
5.6250e-04, 9.8643e+01
5.9375e-04, 9.6012e+01
6.2500e-04, 9.3581e+01
6.8750e-04, 8.9226e+01
7.5000e-04, 8.5427e+01
8.1250e-04, 8.2076e+01
8.7500e-04, 7.9090e+01
9.3750e-04, 7.6408e+01
1.0000e-03, 7.3982e+01
1.0625e-03, 7.1773e+01
1.1250e-03, 6.9751e+01
1.1875e-03, 6.7890e+01
1.2500e-03, 6.6171e+01
1.3750e-03, 6.3092e+01
1.5000e-03, 6.0406e+01
1.6250e-03, 5.8036e+01
1.7500e-03, 5.5925e+01
1.8750e-03, 5.4029e+01
2.0000e-03, 5.2313e+01
2.1875e-03, 5.0021e+01
2.3750e-03, 4.8006e+01
2.5625e-03, 4.6216e+01
2.7500e-03, 4.4613e+01
2.9375e-03, 4.3165e+01
3.1250e-03, 4.1850e+01
3.3125e-03, 4.0649e+01
3.5000e-03, 3.9545e+01
3.8750e-03, 3.7582e+01
4.2500e-03, 3.5886e+01
4.6250e-03, 3.4400e+01
5.0000e-03, 3.3085e+01
5.3125e-03, 3.2097e+01
5.6250e-03, 3.1192e+01
5.9375e-03, 3.0360e+01
6.2500e-03, 2.9591e+01
6.8750e-03, 2.8214e+01
7.5000e-03, 2.7012e+01
8.1250e-03, 2.5952e+01
8.7500e-03, 2.5008e+01
9.3750e-03, 2.4160e+01
1.0000e-02, 2.3393e+01
1.0625e-02, 2.2694e+01
1.1250e-02, 2.2055e+01
1.1875e-02, 2.1467e+01
1.2500e-02, 2.0923e+01
1.3750e-02, 1.9949e+01
1.5000e-02, 1.9100e+01
1.6250e-02, 1.8350e+01
1.7500e-02, 1.7682e+01
1.8750e-02, 1.7082e+01
2.0000e-02, 1.6539e+01
2.1325e-02, 1.6017e+01
2.2650e-02, 1.5541e+01
2.3975e-02, 1.5105e+01
2.5300e-02, 1.4705e+01
2.6844e-02, 1.4276e+01
2.8387e-02, 1.3883e+01
3.1475e-02, 1.3185e+01
3.4563e-02, 1.2582e+01
3.7650e-02, 1.2054e+01
4.0738e-02, 1.1587e+01
4.3825e-02, 1.1171e+01
4.6913e-02, 1.0796e+01
5.0000e-02, 1.0457e+01
5.3125e-02, 1.0145e+01
5.6250e-02, 9.8587e+00
5.9375e-02, 9.5959e+00
6.2500e-02, 9.3532e+00
6.8750e-02, 8.9181e+00
7.5000e-02, 8.5379e+00
8.1250e-02, 8.2021e+00
8.7500e-02, 7.9029e+00
9.3750e-02, 7.6342e+00
1.0000e-01, 7.3912e+00
1.0625e-01, 7.1699e+00
1.1250e-01, 6.9676e+00
1.1875e-01, 6.7817e+00
1.2500e-01, 6.6103e+00
1.3750e-01, 6.3027e+00
1.5000e-01, 6.0335e+00
1.6250e-01, 5.7958e+00
1.7500e-01, 5.5841e+00
1.8750e-01, 5.3941e+00
2.0000e-01, 5.2227e+00
2.1875e-01, 4.9934e+00
2.3750e-01, 4.7912e+00
2.5625e-01, 4.6116e+00
2.7500e-01, 4.4507e+00
2.9375e-01, 4.3055e+00
3.1250e-01, 4.1736e+00
3.3125e-01, 4.0532e+00
3.5000e-01, 3.9432e+00
3.8750e-01, 3.7470e+00
4.2500e-01, 3.5764e+00
5.0000e-01, 3.2956e+00
6.2500e-01, 2.9447e+00
7.5000e-01, 2.6850e+00
8.7500e-01, 2.4838e+00
1.0000e+00, 2.3215e+00
1.2500e+00, 2.0720e+00
1.5000e+00, 1.8877e+00
1.7500e+00, 1.7447e+00
2.0000e+00, 1.6292e+00
2.3750e+00, 1.4912e+00
2.7500e+00, 1.3826e+00
3.1250e+00, 1.2939e+00
3.5000e+00, 1.2198e+00
4.2500e+00, 1.1023e+00
5.0000e+00, 1.0126e+00
6.2500e+00, 9.0100e-01
7.5000e+00, 8.1918e-01
8.7500e+00, 7.5633e-01
1.0000e+01, 7.0637e-01
1.1250e+01, 6.6562e-01
1.2500e+01, 6.3186e-01
1.5000e+01, 5.7951e-01
1.7500e+01, 5.4152e-01
2.0000e+01, 5.1354e-01
2.3750e+01, 4.8504e-01
2.7500e+01, 4.6861e-01
3.1250e+01, 4.6158e-01
3.5000e+01, 4.6266e-01
3.8750e+01, 4.7135e-01
