ebin, xs
1.0000e-05, 1.6735e+01
1.0625e-05, 1.6235e+01
1.1250e-05, 1.5777e+01
1.1875e-05, 1.5357e+01
1.2500e-05, 1.4968e+01
1.3750e-05, 1.4271e+01
1.5000e-05, 1.3664e+01
1.6250e-05, 1.3128e+01
1.7500e-05, 1.2650e+01
1.8750e-05, 1.2221e+01
2.0000e-05, 1.1833e+01
2.1875e-05, 1.1315e+01
2.3750e-05, 1.0859e+01
2.5625e-05, 1.0454e+01
2.7500e-05, 1.0091e+01
2.9375e-05, 9.7639e+00
3.1250e-05, 9.4665e+00
3.3125e-05, 9.1947e+00
3.5000e-05, 8.9450e+00
3.8750e-05, 8.5011e+00
4.2500e-05, 8.1174e+00
4.6250e-05, 7.7814e+00
5.0000e-05, 7.4839e+00
5.3125e-05, 7.2605e+00
5.6250e-05, 7.0559e+00
5.9375e-05, 6.8677e+00
6.2500e-05, 6.6938e+00
6.8750e-05, 6.3823e+00
7.5000e-05, 6.1106e+00
8.1250e-05, 5.8709e+00
8.7500e-05, 5.6573e+00
9.3750e-05, 5.4655e+00
1.0000e-04, 5.2919e+00
1.0625e-04, 5.1339e+00
1.1250e-04, 4.9893e+00
1.1875e-04, 4.8562e+00
1.2500e-04, 4.7332e+00
1.3750e-04, 4.5130e+00
1.5000e-04, 4.3208e+00
1.6250e-04, 4.1513e+00
1.7500e-04, 4.0003e+00
1.8750e-04, 3.8647e+00
2.0000e-04, 3.7420e+00
2.1875e-04, 3.5780e+00
2.3750e-04, 3.4339e+00
2.5625e-04, 3.3058e+00
2.7500e-04, 3.1911e+00
2.9375e-04, 3.0876e+00
3.1250e-04, 2.9936e+00
3.3125e-04, 2.9076e+00
3.5000e-04, 2.8287e+00
3.8750e-04, 2.6883e+00
4.2500e-04, 2.5670e+00
4.6250e-04, 2.4607e+00
5.0000e-04, 2.3666e+00
5.3125e-04, 2.2960e+00
5.6250e-04, 2.2313e+00
5.9375e-04, 2.1718e+00
6.2500e-04, 2.1168e+00
6.8750e-04, 2.0183e+00
7.5000e-04, 1.9323e+00
8.1250e-04, 1.8565e+00
8.7500e-04, 1.7890e+00
9.3750e-04, 1.7283e+00
1.0000e-03, 1.6735e+00
1.0625e-03, 1.6235e+00
1.1250e-03, 1.5777e+00
1.1875e-03, 1.5357e+00
1.2500e-03, 1.4968e+00
1.3750e-03, 1.4271e+00
1.5000e-03, 1.3664e+00
1.6250e-03, 1.3128e+00
1.7500e-03, 1.2650e+00
1.8750e-03, 1.2221e+00
2.0000e-03, 1.1833e+00
2.1875e-03, 1.1315e+00
2.3750e-03, 1.0859e+00
2.5625e-03, 1.0454e+00
2.7500e-03, 1.0091e+00
2.9375e-03, 9.7639e-01
3.1250e-03, 9.4665e-01
3.3125e-03, 9.1947e-01
3.5000e-03, 8.9450e-01
3.8750e-03, 8.5011e-01
4.2500e-03, 8.1174e-01
4.6250e-03, 7.7814e-01
5.0000e-03, 7.4839e-01
5.3125e-03, 7.2605e-01
5.6250e-03, 7.0559e-01
5.9375e-03, 6.8677e-01
6.2500e-03, 6.6938e-01
6.8750e-03, 6.3823e-01
7.5000e-03, 6.1106e-01
8.1250e-03, 5.8709e-01
8.7500e-03, 5.6573e-01
9.3750e-03, 5.4655e-01
1.0000e-02, 5.2919e-01
1.0625e-02, 5.1339e-01
1.1250e-02, 4.9893e-01
1.1875e-02, 4.8562e-01
1.2500e-02, 4.7332e-01
1.3750e-02, 4.5130e-01
1.5000e-02, 4.3208e-01
1.6250e-02, 4.1513e-01
1.7500e-02, 4.0003e-01
1.8750e-02, 3.8647e-01
2.0000e-02, 3.7419e-01
2.1325e-02, 3.6238e-01
2.2650e-02, 3.5162e-01
2.3975e-02, 3.4177e-01
2.5300e-02, 3.3270e-01
2.6844e-02, 3.2299e-01
2.8387e-02, 3.1409e-01
3.1475e-02, 2.9828e-01
3.4563e-02, 2.8465e-01
3.7650e-02, 2.7273e-01
4.0738e-02, 2.6219e-01
4.3825e-02, 2.5279e-01
4.6913e-02, 2.4433e-01
5.0000e-02, 2.3666e-01
5.3125e-02, 2.2960e-01
5.6250e-02, 2.2313e-01
5.9375e-02, 2.1718e-01
6.2500e-02, 2.1168e-01
6.8750e-02, 2.0183e-01
7.5000e-02, 1.9323e-01
8.1250e-02, 1.8565e-01
8.7500e-02, 1.7890e-01
9.3750e-02, 1.7283e-01
1.0000e-01, 1.6735e-01
1.0625e-01, 1.6235e-01
1.1250e-01, 1.5778e-01
1.1875e-01, 1.5357e-01
1.2500e-01, 1.4968e-01
1.3750e-01, 1.4271e-01
1.5000e-01, 1.3664e-01
1.6250e-01, 1.3128e-01
1.7500e-01, 1.2650e-01
1.8750e-01, 1.2221e-01
2.0000e-01, 1.1833e-01
2.1875e-01, 1.1315e-01
2.3750e-01, 1.0859e-01
2.5625e-01, 1.0454e-01
2.7500e-01, 1.0092e-01
2.9375e-01, 9.7646e-02
3.1250e-01, 9.4673e-02
3.3125e-01, 9.1956e-02
3.5000e-01, 8.9460e-02
3.8750e-01, 8.5024e-02
4.2500e-01, 8.1188e-02
5.0000e-01, 7.4855e-02
6.2500e-01, 6.6955e-02
7.5000e-01, 6.1124e-02
8.7500e-01, 5.6593e-02
1.0000e+00, 5.2939e-02
1.2500e+00, 4.7346e-02
1.5000e+00, 4.3219e-02
1.7500e+00, 4.0016e-02
2.0000e+00, 3.7434e-02
2.3750e+00, 3.4358e-02
2.7500e+00, 3.1932e-02
3.1250e+00, 2.9952e-02
3.5000e+00, 2.8297e-02
4.2500e+00, 2.5673e-02
5.0000e+00, 2.3672e-02
6.2500e+00, 2.1173e-02
7.5000e+00, 1.9324e-02
8.7500e+00, 1.7896e-02
1.0000e+01, 1.6744e-02
1.2500e+01, 1.4971e-02
1.5000e+01, 1.3663e-02
1.7500e+01, 1.2653e-02
2.0000e+01, 1.1837e-02
2.3750e+01, 1.0862e-02
2.7500e+01, 1.0097e-02
3.1250e+01, 9.4690e-03
3.5000e+01, 8.9456e-03
4.2500e+01, 8.1159e-03
5.0000e+01, 7.4828e-03
6.2500e+01, 6.6921e-03
7.5000e+01, 6.1075e-03
8.7500e+01, 5.6548e-03
1.0000e+02, 5.2899e-03
1.2500e+02, 4.7294e-03
1.5000e+02, 4.3160e-03
1.7500e+02, 3.9956e-03
2.0000e+02, 3.7371e-03
2.3750e+02, 3.4280e-03
2.7500e+02, 3.1849e-03
3.1250e+02, 2.9866e-03
3.5000e+02, 2.8211e-03
4.2500e+02, 2.5588e-03
5.0000e+02, 2.3582e-03
6.2500e+02, 2.1069e-03
7.5000e+02, 1.9215e-03
8.7500e+02, 1.7776e-03
1.0000e+03, 1.6618e-03
1.2500e+03, 1.4830e-03
1.5000e+03, 1.3513e-03
1.7500e+03, 1.2491e-03
2.0000e+03, 1.1669e-03
2.2500e+03, 1.0980e-03
2.5000e+03, 1.0398e-03
2.7500e+03, 9.8983e-04
3.0000e+03, 9.4629e-04
3.2500e+03, 9.0747e-04
3.5000e+03, 8.7297e-04
4.0000e+03, 8.1405e-04
4.5000e+03, 7.6479e-04
5.0000e+03, 7.2325e-04
5.5000e+03, 6.8721e-04
6.0000e+03, 6.5588e-04
6.5000e+03, 6.2801e-04
7.0000e+03, 6.0327e-04
8.0000e+03, 5.6067e-04
9.0000e+03, 5.2521e-04
1.0000e+04, 4.9511e-04
1.1000e+04, 4.7067e-04
1.2000e+04, 4.4633e-04
1.3000e+04, 4.2719e-04
1.4000e+04, 4.0814e-04
1.6000e+04, 3.7717e-04
1.8000e+04, 3.5138e-04
2.0000e+04, 3.2946e-04
2.2000e+04, 3.1053e-04
2.4000e+04, 2.9396e-04
2.6000e+04, 2.7929e-04
2.8000e+04, 2.6620e-04
3.0000e+04, 2.5442e-04
3.2500e+04, 2.4193e-04
3.5000e+04, 2.2947e-04
4.0000e+04, 2.0933e-04
4.5000e+04, 1.9266e-04
5.0000e+04, 1.7859e-04
5.5000e+04, 1.6653e-04
6.0000e+04, 1.5607e-04
6.5000e+04, 1.4690e-04
7.0000e+04, 1.3879e-04
7.5000e+04, 1.3156e-04
8.0000e+04, 1.2508e-04
8.5000e+04, 1.1923e-04
9.0000e+04, 1.1393e-04
9.5000e+04, 1.0911e-04
1.0000e+05, 1.0470e-04
1.1000e+05, 9.6929e-05
1.2000e+05, 9.0309e-05
1.3000e+05, 8.4611e-05
1.4000e+05, 7.9662e-05
1.5000e+05, 7.5331e-05
1.6000e+05, 7.1515e-05
1.7000e+05, 6.8135e-05
1.8000e+05, 6.5124e-05
1.9000e+05, 6.2430e-05
2.0000e+05, 6.0010e-05
2.2000e+05, 5.5854e-05
2.4000e+05, 5.2432e-05
2.6000e+05, 4.9587e-05
2.8000e+05, 4.7200e-05
3.0000e+05, 4.5183e-05
3.2000e+05, 4.3469e-05
3.4000e+05, 4.2005e-05
3.6000e+05, 4.0749e-05
3.8000e+05, 3.9669e-05
4.0000e+05, 3.8737e-05
4.2000e+05, 3.7932e-05
4.4000e+05, 3.7236e-05
4.6000e+05, 3.6633e-05
4.8000e+05, 3.6112e-05
5.0000e+05, 3.5662e-05
5.5000e+05, 3.4790e-05
6.0000e+05, 3.4200e-05
6.5000e+05, 3.3817e-05
7.0000e+05, 3.3588e-05
7.5000e+05, 3.3474e-05
8.0000e+05, 3.3447e-05
8.5000e+05, 3.3486e-05
9.0000e+05, 3.3573e-05
9.5000e+05, 3.3696e-05
1.0000e+06, 3.3845e-05
1.1000e+06, 3.4193e-05
1.2000e+06, 3.4571e-05
1.3000e+06, 3.4952e-05
1.4000e+06, 3.5319e-05
1.5000e+06, 3.5661e-05
1.6000e+06, 3.5972e-05
1.7000e+06, 3.6250e-05
1.8000e+06, 3.6492e-05
1.9000e+06, 3.6700e-05
2.0000e+06, 3.6875e-05
2.2000e+06, 3.7134e-05
2.4000e+06, 3.7284e-05
2.6000e+06, 3.7345e-05
2.8000e+06, 3.7333e-05
3.0000e+06, 3.7264e-05
3.2000e+06, 3.7150e-05
3.4000e+06, 3.7002e-05
3.6000e+06, 3.6829e-05
3.8000e+06, 3.6638e-05
4.0000e+06, 3.6434e-05
4.2000e+06, 3.6222e-05
4.4000e+06, 3.6005e-05
4.6000e+06, 3.5786e-05
4.8000e+06, 3.5568e-05
5.0000e+06, 3.5351e-05
5.2000e+06, 3.5138e-05
5.4000e+06, 3.4928e-05
5.6000e+06, 3.4723e-05
5.8000e+06, 3.4523e-05
6.0000e+06, 3.4328e-05
6.2000e+06, 3.4139e-05
6.4000e+06, 3.3955e-05
6.6000e+06, 3.3777e-05
6.8000e+06, 3.3604e-05
7.0000e+06, 3.3437e-05
7.5000e+06, 3.3041e-05
8.0000e+06, 3.2674e-05
8.5000e+06, 3.2333e-05
9.0000e+06, 3.2015e-05
9.5000e+06, 3.1718e-05
1.0000e+07, 3.1438e-05
1.0500e+07, 3.1172e-05
1.1000e+07, 3.0919e-05
1.1500e+07, 3.0676e-05
1.2000e+07, 3.0442e-05
1.2500e+07, 3.0215e-05
1.3000e+07, 2.9995e-05
1.3500e+07, 2.9778e-05
1.4000e+07, 2.9566e-05
1.4500e+07, 2.9357e-05
1.5000e+07, 2.9150e-05
1.5500e+07, 2.8944e-05
1.6000e+07, 2.8739e-05
1.6500e+07, 2.8536e-05
1.7000e+07, 2.8332e-05
1.7500e+07, 2.8129e-05
1.8000e+07, 2.7925e-05
1.8500e+07, 2.7722e-05
1.9000e+07, 2.7518e-05
1.9500e+07, 2.7313e-05
2.0000e+07, 2.7108e-05
