ebin, xs
1.0000e-05, 2.7660e-03
1.0625e-05, 2.6834e-03
1.1250e-05, 2.6078e-03
1.1875e-05, 2.5382e-03
1.2500e-05, 2.4740e-03
1.3750e-05, 2.3588e-03
1.5000e-05, 2.2584e-03
1.6250e-05, 2.1698e-03
1.7500e-05, 2.0909e-03
1.8750e-05, 2.0200e-03
2.0000e-05, 1.9558e-03
2.1875e-05, 1.8701e-03
2.3750e-05, 1.7948e-03
2.5625e-05, 1.7279e-03
2.7500e-05, 1.6679e-03
2.9375e-05, 1.6138e-03
3.1250e-05, 1.5647e-03
3.3125e-05, 1.5197e-03
3.5000e-05, 1.4785e-03
3.8750e-05, 1.4051e-03
4.2500e-05, 1.3417e-03
4.6250e-05, 1.2862e-03
5.0000e-05, 1.2370e-03
5.3125e-05, 1.2000e-03
5.6250e-05, 1.1662e-03
5.9375e-05, 1.1351e-03
6.2500e-05, 1.1064e-03
6.8750e-05, 1.0549e-03
7.5000e-05, 1.0100e-03
8.1250e-05, 9.7037e-04
8.7500e-05, 9.3507e-04
9.3750e-05, 9.0336e-04
1.0000e-04, 8.7468e-04
1.0625e-04, 8.4856e-04
1.1250e-04, 8.2465e-04
1.1875e-04, 8.0266e-04
1.2500e-04, 7.8234e-04
1.3750e-04, 7.4593e-04
1.5000e-04, 7.1417e-04
1.6250e-04, 6.8615e-04
1.7500e-04, 6.6119e-04
1.8750e-04, 6.3877e-04
2.0000e-04, 6.1849e-04
2.1875e-04, 5.9139e-04
2.3750e-04, 5.6757e-04
2.5625e-04, 5.4641e-04
2.7500e-04, 5.2745e-04
2.9375e-04, 5.1034e-04
3.1250e-04, 4.9479e-04
3.3125e-04, 4.8059e-04
3.5000e-04, 4.6754e-04
3.8750e-04, 4.4434e-04
4.2500e-04, 4.2428e-04
4.6250e-04, 4.0672e-04
5.0000e-04, 3.9117e-04
5.3125e-04, 3.7949e-04
5.6250e-04, 3.6880e-04
5.9375e-04, 3.5896e-04
6.2500e-04, 3.4987e-04
6.8750e-04, 3.3359e-04
7.5000e-04, 3.1939e-04
8.1250e-04, 3.0686e-04
8.7500e-04, 2.9570e-04
9.3750e-04, 2.8567e-04
1.0000e-03, 2.7660e-04
1.0625e-03, 2.6834e-04
1.1250e-03, 2.6078e-04
1.1875e-03, 2.5383e-04
1.2500e-03, 2.4740e-04
1.3750e-03, 2.3589e-04
1.5000e-03, 2.2584e-04
1.6250e-03, 2.1698e-04
1.7500e-03, 2.0909e-04
1.8750e-03, 2.0200e-04
2.0000e-03, 1.9559e-04
2.1875e-03, 1.8702e-04
2.3750e-03, 1.7948e-04
2.5625e-03, 1.7279e-04
2.7500e-03, 1.6680e-04
2.9375e-03, 1.6139e-04
3.1250e-03, 1.5647e-04
3.3125e-03, 1.5198e-04
3.5000e-03, 1.4785e-04
3.8750e-03, 1.4052e-04
4.2500e-03, 1.3418e-04
4.6250e-03, 1.2862e-04
5.0000e-03, 1.2371e-04
5.3125e-03, 1.2001e-04
5.6250e-03, 1.1663e-04
5.9375e-03, 1.1352e-04
6.2500e-03, 1.1065e-04
6.8750e-03, 1.0550e-04
7.5000e-03, 1.0101e-04
8.1250e-03, 9.7046e-05
8.7500e-03, 9.3517e-05
9.3750e-03, 9.0346e-05
1.0000e-02, 8.7478e-05
1.0625e-02, 8.4867e-05
1.1250e-02, 8.2476e-05
1.1875e-02, 8.0277e-05
1.2500e-02, 7.8245e-05
1.3750e-02, 7.4605e-05
1.5000e-02, 7.1430e-05
1.6250e-02, 6.8628e-05
1.7500e-02, 6.6133e-05
1.8750e-02, 6.3891e-05
2.0000e-02, 6.1863e-05
2.1325e-02, 5.9911e-05
2.2650e-02, 5.8133e-05
2.3975e-02, 5.6505e-05
2.5300e-02, 5.5006e-05
2.6844e-02, 5.3402e-05
2.8387e-02, 5.1930e-05
3.1475e-02, 4.9319e-05
3.4563e-02, 4.7066e-05
3.7650e-02, 4.5097e-05
4.0738e-02, 4.3355e-05
4.3825e-02, 4.1802e-05
4.6913e-02, 4.0404e-05
5.0000e-02, 3.9138e-05
5.3125e-02, 3.7970e-05
5.6250e-02, 3.6902e-05
5.9375e-02, 3.5919e-05
6.2500e-02, 3.5011e-05
6.8750e-02, 3.3384e-05
7.5000e-02, 3.1966e-05
8.1250e-02, 3.0714e-05
8.7500e-02, 2.9600e-05
9.3750e-02, 2.8599e-05
1.0000e-01, 2.7694e-05
1.0625e-01, 2.6870e-05
1.1250e-01, 2.6116e-05
1.1875e-01, 2.5422e-05
1.2500e-01, 2.4782e-05
1.3750e-01, 2.3634e-05
1.5000e-01, 2.2633e-05
1.6250e-01, 2.1750e-05
1.7500e-01, 2.0963e-05
1.8750e-01, 2.0257e-05
2.0000e-01, 1.9617e-05
2.1875e-01, 1.8763e-05
2.3750e-01, 1.8011e-05
2.5625e-01, 1.7344e-05
2.7500e-01, 1.6746e-05
2.9375e-01, 1.6207e-05
3.1250e-01, 1.5717e-05
3.3125e-01, 1.5270e-05
3.5000e-01, 1.4860e-05
3.8750e-01, 1.4131e-05
4.2500e-01, 1.3503e-05
5.0000e-01, 1.2464e-05
6.2500e-01, 1.1158e-05
7.5000e-01, 1.0187e-05
8.7500e-01, 9.4351e-06
1.0000e+00, 8.8369e-06
1.2500e+00, 7.9233e-06
1.5000e+00, 7.2431e-06
1.7500e+00, 6.7154e-06
2.0000e+00, 6.2951e-06
2.3750e+00, 5.7997e-06
2.7500e+00, 5.4083e-06
3.1250e+00, 5.0892e-06
3.5000e+00, 4.8255e-06
4.2500e+00, 4.4026e-06
5.0000e+00, 4.0792e-06
6.2500e+00, 3.6913e-06
7.5000e+00, 3.4021e-06
8.7500e+00, 3.1756e-06
