ebin, xs
1.0000e-05, 1.0713e+03
1.0625e-05, 1.0393e+03
1.1250e-05, 1.0100e+03
1.1875e-05, 9.8306e+02
1.2500e-05, 9.5817e+02
1.3750e-05, 9.1358e+02
1.5000e-05, 8.7469e+02
1.6250e-05, 8.4037e+02
1.7500e-05, 8.0980e+02
1.8750e-05, 7.8234e+02
2.0000e-05, 7.5750e+02
2.1875e-05, 7.2431e+02
2.3750e-05, 6.9513e+02
2.5625e-05, 6.6922e+02
2.7500e-05, 6.4600e+02
2.9375e-05, 6.2504e+02
3.1250e-05, 6.0600e+02
3.3125e-05, 5.8860e+02
3.5000e-05, 5.7262e+02
3.8750e-05, 5.4421e+02
4.2500e-05, 5.1964e+02
4.6250e-05, 4.9813e+02
5.0000e-05, 4.7909e+02
5.3125e-05, 4.6479e+02
5.6250e-05, 4.5169e+02
5.9375e-05, 4.3964e+02
6.2500e-05, 4.2851e+02
6.8750e-05, 4.0857e+02
7.5000e-05, 3.9118e+02
8.1250e-05, 3.7583e+02
8.7500e-05, 3.6216e+02
9.3750e-05, 3.4988e+02
1.0000e-04, 3.3877e+02
1.0625e-04, 3.2866e+02
1.1250e-04, 3.1940e+02
1.1875e-04, 3.1088e+02
1.2500e-04, 3.0301e+02
1.3750e-04, 2.8891e+02
1.5000e-04, 2.7661e+02
1.6250e-04, 2.6576e+02
1.7500e-04, 2.5609e+02
1.8750e-04, 2.4741e+02
2.0000e-04, 2.3955e+02
2.1875e-04, 2.2906e+02
2.3750e-04, 2.1983e+02
2.5625e-04, 2.1163e+02
2.7500e-04, 2.0429e+02
2.9375e-04, 1.9767e+02
3.1250e-04, 1.9164e+02
3.3125e-04, 1.8614e+02
3.5000e-04, 1.8109e+02
3.8750e-04, 1.7210e+02
4.2500e-04, 1.6434e+02
4.6250e-04, 1.5753e+02
5.0000e-04, 1.5151e+02
5.3125e-04, 1.4699e+02
5.6250e-04, 1.4285e+02
5.9375e-04, 1.3904e+02
6.2500e-04, 1.3552e+02
6.8750e-04, 1.2921e+02
7.5000e-04, 1.2371e+02
8.1250e-04, 1.1886e+02
8.7500e-04, 1.1454e+02
9.3750e-04, 1.1066e+02
1.0000e-03, 1.0714e+02
1.0625e-03, 1.0395e+02
1.1250e-03, 1.0102e+02
1.1875e-03, 9.8325e+01
1.2500e-03, 9.5836e+01
1.3750e-03, 9.1378e+01
1.5000e-03, 8.7490e+01
1.6250e-03, 8.4059e+01
1.7500e-03, 8.1003e+01
1.8750e-03, 7.8258e+01
2.0000e-03, 7.5775e+01
2.1875e-03, 7.2457e+01
2.3750e-03, 6.9540e+01
2.5625e-03, 6.6950e+01
2.7500e-03, 6.4629e+01
2.9375e-03, 6.2535e+01
3.1250e-03, 6.0632e+01
3.3125e-03, 5.8893e+01
3.5000e-03, 5.7296e+01
3.8750e-03, 5.4456e+01
4.2500e-03, 5.2001e+01
4.6250e-03, 4.9851e+01
5.0000e-03, 4.7948e+01
5.3125e-03, 4.6518e+01
5.6250e-03, 4.5210e+01
5.9375e-03, 4.4007e+01
6.2500e-03, 4.2895e+01
6.8750e-03, 4.0903e+01
7.5000e-03, 3.9165e+01
8.1250e-03, 3.7632e+01
8.7500e-03, 3.6266e+01
9.3750e-03, 3.5039e+01
1.0000e-02, 3.3929e+01
1.0625e-02, 3.2920e+01
1.1250e-02, 3.1996e+01
1.1875e-02, 3.1147e+01
1.2500e-02, 3.0362e+01
1.3750e-02, 2.8956e+01
1.5000e-02, 2.7729e+01
1.6250e-02, 2.6646e+01
1.7500e-02, 2.5681e+01
1.8750e-02, 2.4814e+01
2.0000e-02, 2.4030e+01
2.1325e-02, 2.3276e+01
2.2650e-02, 2.2590e+01
2.3975e-02, 2.1962e+01
2.5300e-02, 2.1384e+01
2.6844e-02, 2.0767e+01
2.8387e-02, 2.0201e+01
3.1475e-02, 1.9197e+01
3.4563e-02, 1.8328e+01
3.7650e-02, 1.7568e+01
4.0738e-02, 1.6897e+01
4.3825e-02, 1.6298e+01
4.6913e-02, 1.5760e+01
5.0000e-02, 1.5273e+01
5.3125e-02, 1.4824e+01
5.6250e-02, 1.4414e+01
5.9375e-02, 1.4038e+01
6.2500e-02, 1.3691e+01
6.8750e-02, 1.3069e+01
7.5000e-02, 1.2525e+01
8.1250e-02, 1.2045e+01
8.7500e-02, 1.1618e+01
9.3750e-02, 1.1236e+01
1.0000e-01, 1.0890e+01
1.0625e-01, 1.0576e+01
