ebin, xs
1.0000e-05, 2.4680e+02
1.0625e-05, 2.3943e+02
1.1250e-05, 2.3269e+02
1.1875e-05, 2.2648e+02
1.2500e-05, 2.2074e+02
1.3750e-05, 2.1047e+02
1.5000e-05, 2.0151e+02
1.6250e-05, 1.9361e+02
1.7500e-05, 1.8656e+02
1.8750e-05, 1.8024e+02
2.0000e-05, 1.7451e+02
2.1875e-05, 1.6687e+02
2.3750e-05, 1.6015e+02
2.5625e-05, 1.5417e+02
2.7500e-05, 1.4883e+02
2.9375e-05, 1.4400e+02
3.1250e-05, 1.3961e+02
3.3125e-05, 1.3560e+02
3.5000e-05, 1.3192e+02
3.8750e-05, 1.2537e+02
4.2500e-05, 1.1972e+02
4.6250e-05, 1.1476e+02
5.0000e-05, 1.1037e+02
5.3125e-05, 1.0708e+02
5.6250e-05, 1.0406e+02
5.9375e-05, 1.0128e+02
6.2500e-05, 9.8720e+01
6.8750e-05, 9.4126e+01
7.5000e-05, 9.0119e+01
8.1250e-05, 8.6583e+01
8.7500e-05, 8.3434e+01
9.3750e-05, 8.0605e+01
1.0000e-04, 7.8045e+01
1.0625e-04, 7.5715e+01
1.1250e-04, 7.3582e+01
1.1875e-04, 7.1619e+01
1.2500e-04, 6.9806e+01
1.3750e-04, 6.6557e+01
1.5000e-04, 6.3724e+01
1.6250e-04, 6.1224e+01
1.7500e-04, 5.8997e+01
1.8750e-04, 5.6996e+01
2.0000e-04, 5.5186e+01
2.1875e-04, 5.2768e+01
2.3750e-04, 5.0642e+01
2.5625e-04, 4.8754e+01
2.7500e-04, 4.7063e+01
2.9375e-04, 4.5536e+01
3.1250e-04, 4.4149e+01
3.3125e-04, 4.2881e+01
3.5000e-04, 4.1717e+01
3.8750e-04, 3.9647e+01
4.2500e-04, 3.7857e+01
4.6250e-04, 3.6290e+01
5.0000e-04, 3.4902e+01
5.3125e-04, 3.3860e+01
5.6250e-04, 3.2906e+01
5.9375e-04, 3.2029e+01
6.2500e-04, 3.1218e+01
6.8750e-04, 2.9765e+01
7.5000e-04, 2.8497e+01
8.1250e-04, 2.7379e+01
8.7500e-04, 2.6383e+01
9.3750e-04, 2.5489e+01
1.0000e-03, 2.4679e+01
1.0625e-03, 2.3943e+01
1.1250e-03, 2.3268e+01
1.1875e-03, 2.2647e+01
1.2500e-03, 2.2074e+01
1.3750e-03, 2.1047e+01
1.5000e-03, 2.0151e+01
1.6250e-03, 1.9360e+01
1.7500e-03, 1.8656e+01
1.8750e-03, 1.8023e+01
2.0000e-03, 1.7451e+01
2.1875e-03, 1.6686e+01
2.3750e-03, 1.6014e+01
2.5625e-03, 1.5417e+01
2.7500e-03, 1.4882e+01
2.9375e-03, 1.4399e+01
3.1250e-03, 1.3961e+01
3.3125e-03, 1.3560e+01
3.5000e-03, 1.3192e+01
3.8750e-03, 1.2537e+01
4.2500e-03, 1.1971e+01
4.6250e-03, 1.1475e+01
5.0000e-03, 1.1036e+01
5.3125e-03, 1.0707e+01
5.6250e-03, 1.0405e+01
5.9375e-03, 1.0127e+01
6.2500e-03, 9.8709e+00
6.8750e-03, 9.4115e+00
7.5000e-03, 9.0107e+00
8.1250e-03, 8.6569e+00
8.7500e-03, 8.3417e+00
9.3750e-03, 8.0585e+00
1.0000e-02, 7.8024e+00
1.0625e-02, 7.5694e+00
1.1250e-02, 7.3561e+00
1.1875e-02, 7.1600e+00
1.2500e-02, 6.9789e+00
1.3750e-02, 6.6542e+00
1.5000e-02, 6.3708e+00
1.6250e-02, 6.1205e+00
1.7500e-02, 5.8975e+00
1.8750e-02, 5.6972e+00
2.0000e-02, 5.5160e+00
2.1325e-02, 5.3416e+00
2.2650e-02, 5.1828e+00
2.3975e-02, 5.0373e+00
2.5300e-02, 4.9035e+00
2.6844e-02, 4.7603e+00
2.8387e-02, 4.6290e+00
2.9931e-02, 4.5082e+00
3.1475e-02, 4.3964e+00
3.4563e-02, 4.1955e+00
3.7650e-02, 4.0195e+00
4.0738e-02, 3.8637e+00
4.3825e-02, 3.7248e+00
4.6913e-02, 3.5997e+00
5.0000e-02, 3.4865e+00
5.3125e-02, 3.3821e+00
5.6250e-02, 3.2866e+00
5.9375e-02, 3.1989e+00
6.2500e-02, 3.1181e+00
6.8750e-02, 2.9730e+00
7.5000e-02, 2.8459e+00
8.1250e-02, 2.7338e+00
8.7500e-02, 2.6339e+00
9.3750e-02, 2.5441e+00
1.0000e-01, 2.4630e+00
1.0625e-01, 2.3891e+00
1.1250e-01, 2.3214e+00
1.1875e-01, 2.2593e+00
1.2500e-01, 2.2022e+00
1.3750e-01, 2.0995e+00
1.5000e-01, 2.0095e+00
1.6250e-01, 1.9300e+00
1.7500e-01, 1.8593e+00
1.8750e-01, 1.7958e+00
2.0000e-01, 1.7385e+00
2.1875e-01, 1.6618e+00
2.3750e-01, 1.5942e+00
2.5625e-01, 1.5342e+00
2.7500e-01, 1.4803e+00
2.9375e-01, 1.4318e+00
3.1250e-01, 1.3876e+00
3.3125e-01, 1.3473e+00
3.5000e-01, 1.3104e+00
3.8750e-01, 1.2447e+00
4.2500e-01, 1.1876e+00
5.0000e-01, 1.0934e+00
6.2500e-01, 9.7566e-01
7.5000e-01, 8.8848e-01
8.7500e-01, 8.2074e-01
1.0000e+00, 7.6605e-01
1.2500e+00, 6.8197e-01
1.5000e+00, 6.1972e-01
1.7500e+00, 5.7126e-01
2.0000e+00, 5.3206e-01
2.3750e+00, 4.8513e-01
2.7500e+00, 4.4806e-01
3.1250e+00, 4.1774e-01
3.5000e+00, 3.9237e-01
4.2500e+00, 3.5199e-01
5.0000e+00, 3.2102e-01
5.6250e+00, 3.0009e-01
6.2500e+00, 2.8237e-01
7.5000e+00, 2.5393e-01
8.7500e+00, 2.3203e-01
1.0000e+01, 2.1463e-01
1.1250e+01, 2.0048e-01
