ebin, xs
1.0000e-05, 3.2581e+03
1.0625e-05, 3.1608e+03
1.1250e-05, 3.0718e+03
1.1875e-05, 2.9898e+03
1.2500e-05, 2.9141e+03
1.3750e-05, 2.7785e+03
1.5000e-05, 2.6602e+03
1.6250e-05, 2.5559e+03
1.7500e-05, 2.4629e+03
1.8750e-05, 2.3794e+03
2.0000e-05, 2.3038e+03
2.1875e-05, 2.2029e+03
2.3750e-05, 2.1141e+03
2.5625e-05, 2.0353e+03
2.7500e-05, 1.9647e+03
2.9375e-05, 1.9010e+03
3.1250e-05, 1.8431e+03
3.3125e-05, 1.7901e+03
3.5000e-05, 1.7415e+03
3.8750e-05, 1.6551e+03
4.2500e-05, 1.5804e+03
4.6250e-05, 1.5150e+03
5.0000e-05, 1.4571e+03
5.3125e-05, 1.4136e+03
5.6250e-05, 1.3737e+03
5.9375e-05, 1.3371e+03
6.2500e-05, 1.3032e+03
6.8750e-05, 1.2426e+03
7.5000e-05, 1.1897e+03
8.1250e-05, 1.1430e+03
8.7500e-05, 1.1014e+03
9.3750e-05, 1.0641e+03
1.0000e-04, 1.0303e+03
1.0625e-04, 9.9954e+02
1.1250e-04, 9.7137e+02
1.1875e-04, 9.4547e+02
1.2500e-04, 9.2153e+02
1.3750e-04, 8.7864e+02
1.5000e-04, 8.4123e+02
1.6250e-04, 8.0823e+02
1.7500e-04, 7.7883e+02
1.8750e-04, 7.5242e+02
2.0000e-04, 7.2853e+02
2.1875e-04, 6.9661e+02
2.3750e-04, 6.6854e+02
2.5625e-04, 6.4362e+02
2.7500e-04, 6.2129e+02
2.9375e-04, 6.0113e+02
3.1250e-04, 5.8282e+02
3.3125e-04, 5.6608e+02
3.5000e-04, 5.5071e+02
3.8750e-04, 5.2338e+02
4.2500e-04, 4.9976e+02
4.6250e-04, 4.7907e+02
5.0000e-04, 4.6075e+02
5.3125e-04, 4.4699e+02
5.6250e-04, 4.3440e+02
5.9375e-04, 4.2281e+02
6.2500e-04, 4.1211e+02
6.8750e-04, 3.9293e+02
7.5000e-04, 3.7620e+02
8.1250e-04, 3.6144e+02
8.7500e-04, 3.4829e+02
9.3750e-04, 3.3648e+02
1.0000e-03, 3.2579e+02
1.0625e-03, 3.1606e+02
1.1250e-03, 3.0716e+02
1.1875e-03, 2.9897e+02
