ebin, xs
1.0000e-05, 3.0909e+02
1.0625e-05, 2.9986e+02
1.1250e-05, 2.9141e+02
1.1875e-05, 2.8364e+02
1.2500e-05, 2.7646e+02
1.3750e-05, 2.6359e+02
1.5000e-05, 2.5237e+02
1.6250e-05, 2.4247e+02
1.7500e-05, 2.3365e+02
1.8750e-05, 2.2573e+02
2.0000e-05, 2.1856e+02
2.1875e-05, 2.0898e+02
2.3750e-05, 2.0056e+02
2.5625e-05, 1.9309e+02
2.7500e-05, 1.8639e+02
2.9375e-05, 1.8034e+02
3.1250e-05, 1.7485e+02
3.3125e-05, 1.6983e+02
3.5000e-05, 1.6522e+02
3.8750e-05, 1.5702e+02
4.2500e-05, 1.4993e+02
4.6250e-05, 1.4372e+02
5.0000e-05, 1.3823e+02
5.3125e-05, 1.3410e+02
5.6250e-05, 1.3032e+02
5.9375e-05, 1.2685e+02
6.2500e-05, 1.2364e+02
6.8750e-05, 1.1788e+02
7.5000e-05, 1.1286e+02
8.1250e-05, 1.0844e+02
8.7500e-05, 1.0449e+02
9.3750e-05, 1.0095e+02
1.0000e-04, 9.7743e+01
1.0625e-04, 9.4825e+01
1.1250e-04, 9.2153e+01
1.1875e-04, 8.9695e+01
1.2500e-04, 8.7424e+01
1.3750e-04, 8.3356e+01
1.5000e-04, 7.9807e+01
1.6250e-04, 7.6676e+01
1.7500e-04, 7.3887e+01
1.8750e-04, 7.1382e+01
2.0000e-04, 6.9115e+01
2.1875e-04, 6.6087e+01
2.3750e-04, 6.3424e+01
2.5625e-04, 6.1060e+01
2.7500e-04, 5.8941e+01
2.9375e-04, 5.7029e+01
3.1250e-04, 5.5292e+01
3.3125e-04, 5.3704e+01
3.5000e-04, 5.2246e+01
3.8750e-04, 4.9654e+01
4.2500e-04, 4.7412e+01
4.6250e-04, 4.5450e+01
5.0000e-04, 4.3712e+01
5.3125e-04, 4.2407e+01
5.6250e-04, 4.1212e+01
5.9375e-04, 4.0113e+01
6.2500e-04, 3.9097e+01
6.8750e-04, 3.7278e+01
7.5000e-04, 3.5691e+01
8.1250e-04, 3.4291e+01
8.7500e-04, 3.3043e+01
9.3750e-04, 3.1923e+01
1.0000e-03, 3.0909e+01
1.0625e-03, 2.9986e+01
1.1250e-03, 2.9142e+01
1.1875e-03, 2.8364e+01
1.2500e-03, 2.7646e+01
1.3750e-03, 2.6360e+01
1.5000e-03, 2.5238e+01
1.6250e-03, 2.4248e+01
1.7500e-03, 2.3366e+01
1.8750e-03, 2.2573e+01
2.0000e-03, 2.1857e+01
2.1875e-03, 2.0899e+01
2.3750e-03, 2.0057e+01
2.5625e-03, 1.9309e+01
2.7500e-03, 1.8640e+01
2.9375e-03, 1.8035e+01
3.1250e-03, 1.7486e+01
3.3125e-03, 1.6984e+01
3.5000e-03, 1.6523e+01
3.8750e-03, 1.5703e+01
4.2500e-03, 1.4994e+01
4.6250e-03, 1.4373e+01
5.0000e-03, 1.3824e+01
5.3125e-03, 1.3411e+01
5.6250e-03, 1.3033e+01
5.9375e-03, 1.2686e+01
6.2500e-03, 1.2365e+01
6.8750e-03, 1.1789e+01
7.5000e-03, 1.1287e+01
8.1250e-03, 1.0844e+01
8.7500e-03, 1.0450e+01
9.3750e-03, 1.0095e+01
1.0000e-02, 9.7748e+00
1.0625e-02, 9.4831e+00
1.1250e-02, 9.2161e+00
1.1875e-02, 8.9705e+00
1.2500e-02, 8.7435e+00
1.3750e-02, 8.3370e+00
1.5000e-02, 7.9821e+00
1.6250e-02, 7.6689e+00
1.7500e-02, 7.3898e+00
1.8750e-02, 7.1391e+00
2.0000e-02, 6.9123e+00
2.1325e-02, 6.6941e+00
2.2650e-02, 6.4954e+00
2.3975e-02, 6.3136e+00
2.5300e-02, 6.1463e+00
2.6844e-02, 5.9674e+00
2.8387e-02, 5.8034e+00
3.1475e-02, 5.5120e+00
3.4563e-02, 5.2602e+00
3.7650e-02, 5.0397e+00
4.0738e-02, 4.8449e+00
4.3825e-02, 4.6710e+00
4.6913e-02, 4.5147e+00
5.0000e-02, 4.3731e+00
5.3125e-02, 4.2426e+00
5.6250e-02, 4.1232e+00
5.9375e-02, 4.0136e+00
6.2500e-02, 3.9124e+00
6.8750e-02, 3.7310e+00
7.5000e-02, 3.5723e+00
8.1250e-02, 3.4321e+00
8.7500e-02, 3.3074e+00
9.3750e-02, 3.1953e+00
1.0000e-01, 3.0939e+00
1.0625e-01, 3.0017e+00
1.1250e-01, 2.9173e+00
1.1875e-01, 2.8398e+00
1.2500e-01, 2.7684e+00
1.3750e-01, 2.6403e+00
1.5000e-01, 2.5281e+00
1.6250e-01, 2.4291e+00
1.7500e-01, 2.3410e+00
1.8750e-01, 2.2619e+00
2.0000e-01, 2.1905e+00
2.1875e-01, 2.0952e+00
2.3750e-01, 2.0111e+00
2.5625e-01, 1.9364e+00
2.7500e-01, 1.8696e+00
2.9375e-01, 1.8093e+00
3.1250e-01, 1.7545e+00
3.3125e-01, 1.7045e+00
3.5000e-01, 1.6589e+00
3.8750e-01, 1.5776e+00
4.2500e-01, 1.5069e+00
5.0000e-01, 1.3907e+00
6.2500e-01, 1.2460e+00
