ebin, xs
1.0000e-05, 9.8293e+03
1.0625e-05, 9.5359e+03
1.1250e-05, 9.2672e+03
1.1875e-05, 9.0200e+03
1.2500e-05, 8.7917e+03
1.3750e-05, 8.3825e+03
1.5000e-05, 8.0257e+03
1.6250e-05, 7.7108e+03
1.7500e-05, 7.4304e+03
1.8750e-05, 7.1784e+03
2.0000e-05, 6.9505e+03
2.1875e-05, 6.6459e+03
2.3750e-05, 6.3782e+03
2.5625e-05, 6.1405e+03
2.7500e-05, 5.9275e+03
2.9375e-05, 5.7352e+03
3.1250e-05, 5.5605e+03
3.3125e-05, 5.4008e+03
3.5000e-05, 5.2542e+03
3.8750e-05, 4.9935e+03
4.2500e-05, 4.7681e+03
4.6250e-05, 4.5708e+03
5.0000e-05, 4.3961e+03
5.3125e-05, 4.2648e+03
5.6250e-05, 4.1447e+03
5.9375e-05, 4.0341e+03
6.2500e-05, 3.9320e+03
6.8750e-05, 3.7491e+03
7.5000e-05, 3.5895e+03
8.1250e-05, 3.4487e+03
8.7500e-05, 3.3233e+03
9.3750e-05, 3.2106e+03
1.0000e-04, 3.1087e+03
1.0625e-04, 3.0159e+03
1.1250e-04, 2.9309e+03
1.1875e-04, 2.8528e+03
1.2500e-04, 2.7806e+03
1.3750e-04, 2.6512e+03
1.5000e-04, 2.5384e+03
1.6250e-04, 2.4389e+03
1.7500e-04, 2.3502e+03
1.8750e-04, 2.2705e+03
2.0000e-04, 2.1985e+03
2.1875e-04, 2.1022e+03
2.3750e-04, 2.0176e+03
2.5625e-04, 1.9424e+03
2.7500e-04, 1.8750e+03
2.9375e-04, 1.8143e+03
3.1250e-04, 1.7590e+03
3.3125e-04, 1.7086e+03
3.5000e-04, 1.6622e+03
3.8750e-04, 1.5798e+03
4.2500e-04, 1.5086e+03
4.6250e-04, 1.4462e+03
5.0000e-04, 1.3910e+03
5.3125e-04, 1.3495e+03
5.6250e-04, 1.3116e+03
5.9375e-04, 1.2766e+03
6.2500e-04, 1.2444e+03
6.8750e-04, 1.1865e+03
7.5000e-04, 1.1361e+03
8.1250e-04, 1.0916e+03
8.7500e-04, 1.0520e+03
9.3750e-04, 1.0164e+03
1.0000e-03, 9.8425e+02
1.0625e-03, 9.5494e+02
1.1250e-03, 9.2812e+02
1.1875e-03, 9.0344e+02
1.2500e-03, 8.8064e+02
1.3750e-03, 8.3980e+02
1.5000e-03, 8.0418e+02
1.6250e-03, 7.7276e+02
1.7500e-03, 7.4478e+02
1.8750e-03, 7.1965e+02
2.0000e-03, 6.9692e+02
2.1875e-03, 6.6655e+02
2.3750e-03, 6.3986e+02
2.5625e-03, 6.1617e+02
2.7500e-03, 5.9494e+02
2.9375e-03, 5.7579e+02
3.1250e-03, 5.5839e+02
3.3125e-03, 5.4250e+02
