ebin, xs
1.0000e-05, 4.9038e+04
1.0625e-05, 4.7574e+04
1.1250e-05, 4.6234e+04
1.1875e-05, 4.5001e+04
1.2500e-05, 4.3861e+04
1.3750e-05, 4.1820e+04
1.5000e-05, 4.0040e+04
1.6250e-05, 3.8469e+04
1.7500e-05, 3.7069e+04
1.8750e-05, 3.5812e+04
2.0000e-05, 3.4675e+04
2.1875e-05, 3.3156e+04
2.3750e-05, 3.1820e+04
2.5625e-05, 3.0634e+04
2.7500e-05, 2.9571e+04
2.9375e-05, 2.8611e+04
3.1250e-05, 2.7740e+04
3.3125e-05, 2.6943e+04
3.5000e-05, 2.6212e+04
3.8750e-05, 2.4911e+04
4.2500e-05, 2.3786e+04
4.6250e-05, 2.2802e+04
5.0000e-05, 2.1930e+04
5.3125e-05, 2.1275e+04
5.6250e-05, 2.0676e+04
5.9375e-05, 2.0124e+04
6.2500e-05, 1.9614e+04
6.8750e-05, 1.8702e+04
7.5000e-05, 1.7905e+04
8.1250e-05, 1.7203e+04
8.7500e-05, 1.6577e+04
9.3750e-05, 1.6015e+04
1.0000e-04, 1.5506e+04
1.0625e-04, 1.5043e+04
1.1250e-04, 1.4619e+04
1.1875e-04, 1.4229e+04
1.2500e-04, 1.3869e+04
1.3750e-04, 1.3223e+04
1.5000e-04, 1.2660e+04
1.6250e-04, 1.2163e+04
1.7500e-04, 1.1721e+04
1.8750e-04, 1.1323e+04
2.0000e-04, 1.0963e+04
2.1875e-04, 1.0483e+04
2.3750e-04, 1.0060e+04
2.5625e-04, 9.6851e+03
2.7500e-04, 9.3489e+03
2.9375e-04, 9.0455e+03
3.1250e-04, 8.7698e+03
3.3125e-04, 8.5178e+03
3.5000e-04, 8.2863e+03
3.8750e-04, 7.8749e+03
4.2500e-04, 7.5192e+03
4.6250e-04, 7.2076e+03
5.0000e-04, 6.9318e+03
5.3125e-04, 6.7247e+03
5.6250e-04, 6.5350e+03
5.9375e-04, 6.3605e+03
6.2500e-04, 6.1993e+03
6.8750e-04, 5.9104e+03
7.5000e-04, 5.6585e+03
