ebin, xs
1.0000e-05, 1.0703e+02
1.0625e-05, 1.0383e+02
1.1250e-05, 1.0090e+02
1.1875e-05, 9.8214e+01
1.2500e-05, 9.5727e+01
1.3750e-05, 9.1272e+01
1.5000e-05, 8.7386e+01
1.6250e-05, 8.3958e+01
1.7500e-05, 8.0904e+01
1.8750e-05, 7.8161e+01
2.0000e-05, 7.5679e+01
2.1875e-05, 7.2363e+01
2.3750e-05, 6.9447e+01
2.5625e-05, 6.6858e+01
2.7500e-05, 6.4539e+01
2.9375e-05, 6.2445e+01
3.1250e-05, 6.0543e+01
3.3125e-05, 5.8804e+01
3.5000e-05, 5.7208e+01
3.8750e-05, 5.4369e+01
4.2500e-05, 5.1915e+01
4.6250e-05, 4.9766e+01
5.0000e-05, 4.7863e+01
5.3125e-05, 4.6434e+01
5.6250e-05, 4.5126e+01
5.9375e-05, 4.3922e+01
6.2500e-05, 4.2810e+01
6.8750e-05, 4.0818e+01
7.5000e-05, 3.9080e+01
8.1250e-05, 3.7547e+01
8.7500e-05, 3.6181e+01
9.3750e-05, 3.4954e+01
1.0000e-04, 3.3845e+01
1.0625e-04, 3.2834e+01
1.1250e-04, 3.1909e+01
1.1875e-04, 3.1058e+01
1.2500e-04, 3.0271e+01
1.3750e-04, 2.8863e+01
1.5000e-04, 2.7634e+01
1.6250e-04, 2.6550e+01
1.7500e-04, 2.5584e+01
1.8750e-04, 2.4717e+01
2.0000e-04, 2.3932e+01
2.1875e-04, 2.2883e+01
2.3750e-04, 2.1961e+01
2.5625e-04, 2.1142e+01
2.7500e-04, 2.0409e+01
2.9375e-04, 1.9747e+01
3.1250e-04, 1.9145e+01
3.3125e-04, 1.8596e+01
3.5000e-04, 1.8091e+01
3.8750e-04, 1.7193e+01
4.2500e-04, 1.6417e+01
4.6250e-04, 1.5737e+01
5.0000e-04, 1.5136e+01
5.3125e-04, 1.4684e+01
5.6250e-04, 1.4270e+01
5.9375e-04, 1.3889e+01
6.2500e-04, 1.3538e+01
6.8750e-04, 1.2908e+01
7.5000e-04, 1.2358e+01
8.1250e-04, 1.1873e+01
8.7500e-04, 1.1442e+01
9.3750e-04, 1.1054e+01
1.0000e-03, 1.0703e+01
1.0625e-03, 1.0383e+01
1.1250e-03, 1.0090e+01
1.1875e-03, 9.8213e+00
1.2500e-03, 9.5727e+00
1.3750e-03, 9.1272e+00
1.5000e-03, 8.7386e+00
1.6250e-03, 8.3958e+00
1.7500e-03, 8.0904e+00
1.8750e-03, 7.8160e+00
2.0000e-03, 7.5678e+00
2.1875e-03, 7.2362e+00
2.3750e-03, 6.9447e+00
2.5625e-03, 6.6858e+00
2.7500e-03, 6.4539e+00
2.9375e-03, 6.2445e+00
3.1250e-03, 6.0543e+00
3.3125e-03, 5.8804e+00
3.5000e-03, 5.7207e+00
3.8750e-03, 5.4369e+00
4.2500e-03, 5.1914e+00
4.6250e-03, 4.9765e+00
5.0000e-03, 4.7862e+00
5.3125e-03, 4.6433e+00
5.6250e-03, 4.5125e+00
5.9375e-03, 4.3921e+00
6.2500e-03, 4.2809e+00
6.8750e-03, 4.0816e+00
7.5000e-03, 3.9078e+00
8.1250e-03, 3.7545e+00
8.7500e-03, 3.6179e+00
9.3750e-03, 3.4952e+00
1.0000e-02, 3.3842e+00
1.0625e-02, 3.2832e+00
1.1250e-02, 3.1906e+00
1.1875e-02, 3.1055e+00
1.2500e-02, 3.0269e+00
1.3750e-02, 2.8860e+00
1.5000e-02, 2.7631e+00
1.6250e-02, 2.6547e+00
1.7500e-02, 2.5581e+00
1.8750e-02, 2.4713e+00
2.0000e-02, 2.3928e+00
2.1325e-02, 2.3173e+00
2.2650e-02, 2.2485e+00
2.3975e-02, 2.1855e+00
2.5300e-02, 2.1275e+00
2.6844e-02, 2.0654e+00
2.8387e-02, 2.0085e+00
3.1475e-02, 1.9075e+00
3.4563e-02, 1.8203e+00
3.7650e-02, 1.7440e+00
4.0738e-02, 1.6765e+00
4.3825e-02, 1.6163e+00
4.6913e-02, 1.5621e+00
5.0000e-02, 1.5131e+00
5.3125e-02, 1.4679e+00
5.6250e-02, 1.4265e+00
5.9375e-02, 1.3885e+00
6.2500e-02, 1.3533e+00
6.8750e-02, 1.2904e+00
7.5000e-02, 1.2354e+00
8.1250e-02, 1.1868e+00
8.7500e-02, 1.1436e+00
9.3750e-02, 1.1047e+00
1.0000e-01, 1.0696e+00
1.0625e-01, 1.0376e+00
1.1250e-01, 1.0084e+00
1.1875e-01, 9.8147e-01
1.2500e-01, 9.5664e-01
1.3750e-01, 9.1213e-01
1.5000e-01, 8.7323e-01
1.6250e-01, 8.3888e-01
1.7500e-01, 8.0828e-01
1.8750e-01, 7.8082e-01
