ebin, xs
1.0000e-05, 4.4172e-02
1.0625e-05, 4.2853e-02
1.1250e-05, 4.1646e-02
1.1875e-05, 4.0535e-02
1.2500e-05, 3.9508e-02
1.3750e-05, 3.7670e-02
1.5000e-05, 3.6066e-02
1.6250e-05, 3.4651e-02
1.7500e-05, 3.3391e-02
1.8750e-05, 3.2259e-02
2.0000e-05, 3.1234e-02
2.1875e-05, 2.9866e-02
2.3750e-05, 2.8662e-02
2.5625e-05, 2.7594e-02
2.7500e-05, 2.6637e-02
2.9375e-05, 2.5773e-02
3.1250e-05, 2.4987e-02
3.3125e-05, 2.4270e-02
3.5000e-05, 2.3611e-02
3.8750e-05, 2.2439e-02
4.2500e-05, 2.1427e-02
4.6250e-05, 2.0540e-02
5.0000e-05, 1.9754e-02
5.3125e-05, 1.9164e-02
5.6250e-05, 1.8625e-02
5.9375e-05, 1.8128e-02
6.2500e-05, 1.7669e-02
6.8750e-05, 1.6847e-02
7.5000e-05, 1.6129e-02
8.1250e-05, 1.5497e-02
8.7500e-05, 1.4933e-02
9.3750e-05, 1.4427e-02
1.0000e-04, 1.3968e-02
1.0625e-04, 1.3551e-02
1.1250e-04, 1.3170e-02
1.1875e-04, 1.2818e-02
1.2500e-04, 1.2494e-02
1.3750e-04, 1.1912e-02
1.5000e-04, 1.1405e-02
1.6250e-04, 1.0958e-02
1.7500e-04, 1.0559e-02
1.8750e-04, 1.0201e-02
2.0000e-04, 9.8772e-03
2.1875e-04, 9.4444e-03
2.3750e-04, 9.0640e-03
2.5625e-04, 8.7261e-03
2.7500e-04, 8.4233e-03
2.9375e-04, 8.1501e-03
3.1250e-04, 7.9018e-03
3.3125e-04, 7.6749e-03
3.5000e-04, 7.4665e-03
3.8750e-04, 7.0960e-03
4.2500e-04, 6.7758e-03
4.6250e-04, 6.4953e-03
5.0000e-04, 6.2470e-03
5.3125e-04, 6.0604e-03
5.6250e-04, 5.8897e-03
5.9375e-04, 5.7326e-03
6.2500e-04, 5.5875e-03
