ebin, xs
1.0000e-05, 4.5525e+02
1.0625e-05, 4.4166e+02
1.1250e-05, 4.2921e+02
1.1875e-05, 4.1776e+02
1.2500e-05, 4.0719e+02
1.3750e-05, 3.8824e+02
1.5000e-05, 3.7171e+02
1.6250e-05, 3.5713e+02
1.7500e-05, 3.4413e+02
1.8750e-05, 3.3247e+02
2.0000e-05, 3.2191e+02
2.1875e-05, 3.0780e+02
2.3750e-05, 2.9540e+02
2.5625e-05, 2.8439e+02
2.7500e-05, 2.7452e+02
2.9375e-05, 2.6562e+02
3.1250e-05, 2.5753e+02
3.3125e-05, 2.5013e+02
3.5000e-05, 2.4334e+02
3.8750e-05, 2.3127e+02
4.2500e-05, 2.2083e+02
4.6250e-05, 2.1169e+02
5.0000e-05, 2.0359e+02
5.3125e-05, 1.9751e+02
5.6250e-05, 1.9195e+02
5.9375e-05, 1.8683e+02
6.2500e-05, 1.8210e+02
6.8750e-05, 1.7362e+02
7.5000e-05, 1.6623e+02
8.1250e-05, 1.5971e+02
8.7500e-05, 1.5390e+02
9.3750e-05, 1.4868e+02
1.0000e-04, 1.4396e+02
1.0625e-04, 1.3966e+02
1.1250e-04, 1.3573e+02
1.1875e-04, 1.3211e+02
1.2500e-04, 1.2876e+02
1.3750e-04, 1.2277e+02
1.5000e-04, 1.1754e+02
1.6250e-04, 1.1293e+02
1.7500e-04, 1.0882e+02
1.8750e-04, 1.0513e+02
2.0000e-04, 1.0180e+02
2.1875e-04, 9.7335e+01
2.3750e-04, 9.3414e+01
2.5625e-04, 8.9931e+01
2.7500e-04, 8.6811e+01
2.9375e-04, 8.3995e+01
3.1250e-04, 8.1436e+01
3.3125e-04, 7.9098e+01
3.5000e-04, 7.6950e+01
3.8750e-04, 7.3132e+01
4.2500e-04, 6.9831e+01
4.6250e-04, 6.6940e+01
5.0000e-04, 6.4380e+01
5.3125e-04, 6.2458e+01
5.6250e-04, 6.0698e+01
5.9375e-04, 5.9079e+01
6.2500e-04, 5.7583e+01
6.8750e-04, 5.4903e+01
7.5000e-04, 5.2566e+01
8.1250e-04, 5.0503e+01
8.7500e-04, 4.8666e+01
9.3750e-04, 4.7016e+01
1.0000e-03, 4.5523e+01
1.0625e-03, 4.4164e+01
1.1250e-03, 4.2919e+01
1.1875e-03, 4.1774e+01
1.2500e-03, 4.0717e+01
1.3750e-03, 3.8822e+01
1.5000e-03, 3.7169e+01
1.6250e-03, 3.5710e+01
1.7500e-03, 3.4411e+01
1.8750e-03, 3.3244e+01
2.0000e-03, 3.2188e+01
2.1875e-03, 3.0778e+01
2.3750e-03, 2.9538e+01
2.5625e-03, 2.8437e+01
2.7500e-03, 2.7450e+01
2.9375e-03, 2.6559e+01
3.1250e-03, 2.5750e+01
3.3125e-03, 2.5011e+01
3.5000e-03, 2.4331e+01
3.8750e-03, 2.3124e+01
4.2500e-03, 2.2080e+01
4.6250e-03, 2.1165e+01
5.0000e-03, 2.0356e+01
5.3125e-03, 1.9748e+01
5.6250e-03, 1.9191e+01
5.9375e-03, 1.8679e+01
6.2500e-03, 1.8206e+01
6.8750e-03, 1.7358e+01
7.5000e-03, 1.6618e+01
8.1250e-03, 1.5966e+01
8.7500e-03, 1.5384e+01
9.3750e-03, 1.4862e+01
1.0000e-02, 1.4390e+01
1.0625e-02, 1.3960e+01
1.1250e-02, 1.3566e+01
1.1875e-02, 1.3205e+01
1.2500e-02, 1.2870e+01
1.3750e-02, 1.2271e+01
1.5000e-02, 1.1748e+01
1.6250e-02, 1.1286e+01
1.7500e-02, 1.0875e+01
1.8750e-02, 1.0505e+01
2.0000e-02, 1.0171e+01
2.1325e-02, 9.8491e+00
2.2650e-02, 9.5561e+00
2.3975e-02, 9.2877e+00
2.5300e-02, 9.0408e+00
2.6844e-02, 8.7765e+00
2.8387e-02, 8.5343e+00
2.9931e-02, 8.3112e+00
3.1475e-02, 8.1048e+00
