ebin, xs
1.0000e-05, 2.2846e+00
1.0625e-05, 2.2164e+00
1.1250e-05, 2.1539e+00
1.1875e-05, 2.0965e+00
1.2500e-05, 2.0434e+00
1.3750e-05, 1.9483e+00
1.5000e-05, 1.8654e+00
1.6250e-05, 1.7922e+00
1.7500e-05, 1.7270e+00
1.8750e-05, 1.6684e+00
2.0000e-05, 1.6155e+00
2.1875e-05, 1.5447e+00
2.3750e-05, 1.4824e+00
2.5625e-05, 1.4272e+00
2.7500e-05, 1.3777e+00
2.9375e-05, 1.3330e+00
3.1250e-05, 1.2924e+00
3.3125e-05, 1.2553e+00
3.5000e-05, 1.2212e+00
3.7500e-05, 1.1798e+00
4.0000e-05, 1.1423e+00
4.2500e-05, 1.1082e+00
4.6250e-05, 1.0623e+00
5.0000e-05, 1.0217e+00
5.3125e-05, 9.9120e-01
5.6250e-05, 9.6328e-01
5.9375e-05, 9.3758e-01
6.2500e-05, 9.1384e-01
6.8750e-05, 8.7132e-01
7.5000e-05, 8.3422e-01
8.0000e-05, 8.0773e-01
8.7500e-05, 7.7234e-01
9.3750e-05, 7.4615e-01
1.0000e-04, 7.2246e-01
1.0625e-04, 7.0089e-01
1.1250e-04, 6.8114e-01
1.1875e-04, 6.6297e-01
1.2500e-04, 6.4618e-01
1.3750e-04, 6.1611e-01
1.5000e-04, 5.8988e-01
1.6000e-04, 5.7115e-01
1.7500e-04, 5.4613e-01
1.8750e-04, 5.2761e-01
2.0000e-04, 5.1085e-01
2.1875e-04, 4.8847e-01
2.3750e-04, 4.6879e-01
2.5625e-04, 4.5131e-01
2.7500e-04, 4.3566e-01
2.9750e-04, 4.1886e-01
3.2000e-04, 4.0386e-01
3.5000e-04, 3.8617e-01
3.8750e-04, 3.6701e-01
4.2500e-04, 3.5044e-01
4.6250e-04, 3.3593e-01
5.0000e-04, 3.2309e-01
5.3125e-04, 3.1344e-01
5.6250e-04, 3.0461e-01
5.9375e-04, 2.9649e-01
6.2500e-04, 2.8898e-01
6.4000e-04, 2.8558e-01
6.9500e-04, 2.7404e-01
7.5000e-04, 2.6380e-01
8.1250e-04, 2.5345e-01
8.7500e-04, 2.4423e-01
9.3750e-04, 2.3595e-01
1.0000e-03, 2.2846e-01
1.0625e-03, 2.2164e-01
1.1250e-03, 2.1539e-01
1.1875e-03, 2.0965e-01
1.2500e-03, 2.0434e-01
1.2800e-03, 2.0193e-01
1.3900e-03, 1.9378e-01
1.5000e-03, 1.8654e-01
1.6250e-03, 1.7922e-01
1.7500e-03, 1.7270e-01
1.8750e-03, 1.6684e-01
2.0000e-03, 1.6154e-01
2.1400e-03, 1.5617e-01
2.2800e-03, 1.5130e-01
2.4200e-03, 1.4686e-01
2.5600e-03, 1.4279e-01
2.7500e-03, 1.3777e-01
2.9375e-03, 1.3330e-01
3.1250e-03, 1.2924e-01
3.3125e-03, 1.2552e-01
3.5000e-03, 1.2212e-01
3.8750e-03, 1.1606e-01
4.2500e-03, 1.1082e-01
4.6250e-03, 1.0623e-01
5.0000e-03, 1.0217e-01
5.1200e-03, 1.0096e-01
5.4025e-03, 9.8289e-02
5.6850e-03, 9.5816e-02
6.2500e-03, 9.1382e-02
6.8750e-03, 8.7129e-02
7.5000e-03, 8.3420e-02
8.1250e-03, 8.0147e-02
8.7500e-03, 7.7232e-02
9.3750e-03, 7.4613e-02
1.0000e-02, 7.2244e-02
1.0625e-02, 7.0086e-02
1.1250e-02, 6.8112e-02
1.1875e-02, 6.6295e-02
1.2500e-02, 6.4616e-02
1.3750e-02, 6.1609e-02
1.5000e-02, 5.8986e-02
1.6250e-02, 5.6672e-02
1.7500e-02, 5.4611e-02
1.8750e-02, 5.2759e-02
2.0000e-02, 5.1084e-02
2.1325e-02, 4.9472e-02
2.2650e-02, 4.8003e-02
2.3975e-02, 4.6658e-02
2.5300e-02, 4.5420e-02
2.7230e-02, 4.3781e-02
2.9159e-02, 4.2308e-02
3.1089e-02, 4.0974e-02
3.3019e-02, 3.9759e-02
3.4948e-02, 3.8646e-02
3.6878e-02, 3.7621e-02
4.0738e-02, 3.5795e-02
4.3053e-02, 3.4819e-02
4.5369e-02, 3.3919e-02
5.0000e-02, 3.2311e-02
5.0600e-02, 3.2119e-02
5.2088e-02, 3.1657e-02
5.3575e-02, 3.1214e-02
5.6550e-02, 3.0382e-02
6.2500e-02, 2.8900e-02
6.8750e-02, 2.7556e-02
7.5000e-02, 2.6383e-02
8.1250e-02, 2.5348e-02
8.7500e-02, 2.4426e-02
9.3750e-02, 2.3598e-02
1.0000e-01, 2.2849e-02
1.0625e-01, 2.2166e-02
1.1250e-01, 2.1542e-02
1.1875e-01, 2.0967e-02
1.2500e-01, 2.0436e-02
