ebin, xs
1.0000e-05, 1.1560e+03
1.0625e-05, 1.1215e+03
1.1250e-05, 1.0899e+03
1.1875e-05, 1.0608e+03
1.2500e-05, 1.0339e+03
1.3750e-05, 9.8582e+02
1.5000e-05, 9.4385e+02
1.6250e-05, 9.0682e+02
1.7500e-05, 8.7384e+02
1.8750e-05, 8.4421e+02
2.0000e-05, 8.1740e+02
2.1875e-05, 7.8159e+02
2.3750e-05, 7.5010e+02
2.5625e-05, 7.2214e+02
2.7500e-05, 6.9708e+02
2.9375e-05, 6.7447e+02
3.1250e-05, 6.5392e+02
3.3125e-05, 6.3515e+02
3.5000e-05, 6.1790e+02
3.8750e-05, 5.8724e+02
4.2500e-05, 5.6074e+02
4.6250e-05, 5.3752e+02
5.0000e-05, 5.1697e+02
5.3125e-05, 5.0154e+02
5.6250e-05, 4.8741e+02
5.9375e-05, 4.7441e+02
6.2500e-05, 4.6240e+02
6.8750e-05, 4.4088e+02
7.5000e-05, 4.2211e+02
8.1250e-05, 4.0555e+02
8.7500e-05, 3.9080e+02
9.3750e-05, 3.7755e+02
1.0000e-04, 3.6556e+02
1.0625e-04, 3.5464e+02
1.1250e-04, 3.4465e+02
1.1875e-04, 3.3546e+02
1.2500e-04, 3.2697e+02
1.3750e-04, 3.1175e+02
1.5000e-04, 2.9848e+02
1.6250e-04, 2.8677e+02
1.7500e-04, 2.7634e+02
1.8750e-04, 2.6697e+02
2.0000e-04, 2.5849e+02
2.1875e-04, 2.4717e+02
2.3750e-04, 2.3721e+02
2.5625e-04, 2.2837e+02
2.7500e-04, 2.2045e+02
2.9375e-04, 2.1330e+02
3.1250e-04, 2.0680e+02
3.3125e-04, 2.0086e+02
3.5000e-04, 1.9541e+02
3.8750e-04, 1.8571e+02
4.2500e-04, 1.7733e+02
4.6250e-04, 1.6999e+02
5.0000e-04, 1.6349e+02
5.3125e-04, 1.5861e+02
5.6250e-04, 1.5414e+02
5.9375e-04, 1.5003e+02
6.2500e-04, 1.4624e+02
6.8750e-04, 1.3943e+02
7.5000e-04, 1.3350e+02
8.1250e-04, 1.2826e+02
8.7500e-04, 1.2360e+02
9.3750e-04, 1.1941e+02
1.0000e-03, 1.1562e+02
1.0625e-03, 1.1217e+02
1.1250e-03, 1.0901e+02
1.1875e-03, 1.0610e+02
1.2500e-03, 1.0342e+02
1.3750e-03, 9.8605e+01
1.5000e-03, 9.4409e+01
1.6250e-03, 9.0707e+01
1.7500e-03, 8.7410e+01
1.8750e-03, 8.4448e+01
2.0000e-03, 8.1768e+01
2.1875e-03, 7.8187e+01
2.3750e-03, 7.5040e+01
2.5625e-03, 7.2245e+01
2.7500e-03, 6.9741e+01
2.9375e-03, 6.7481e+01
3.1250e-03, 6.5428e+01
3.3125e-03, 6.3551e+01
3.5000e-03, 6.1828e+01
3.8750e-03, 5.8764e+01
4.2500e-03, 5.6115e+01
4.6250e-03, 5.3795e+01
5.0000e-03, 5.1741e+01
5.3125e-03, 5.0199e+01
5.6250e-03, 4.8787e+01
5.9375e-03, 4.7488e+01
6.2500e-03, 4.6289e+01
6.8750e-03, 4.4139e+01
7.5000e-03, 4.2264e+01
8.1250e-03, 4.0610e+01
8.7500e-03, 3.9136e+01
9.3750e-03, 3.7812e+01
1.0000e-02, 3.6615e+01
1.0625e-02, 3.5526e+01
1.1250e-02, 3.4529e+01
1.1875e-02, 3.3612e+01
1.2500e-02, 3.2766e+01
1.3750e-02, 3.1249e+01
1.5000e-02, 2.9925e+01
1.6250e-02, 2.8756e+01
1.7500e-02, 2.7715e+01
1.8750e-02, 2.6780e+01
2.0000e-02, 2.5934e+01
2.1325e-02, 2.5121e+01
2.2650e-02, 2.4380e+01
2.3975e-02, 2.3703e+01
2.5300e-02, 2.3080e+01
2.6844e-02, 2.2414e+01
2.8387e-02, 2.1803e+01
3.1475e-02, 2.0720e+01
3.4563e-02, 1.9783e+01
3.7650e-02, 1.8963e+01
4.0738e-02, 1.8239e+01
4.3825e-02, 1.7593e+01
4.6913e-02, 1.7013e+01
