ebin, xs
1.0000e-05, 2.5304e+00
1.0625e-05, 2.4548e+00
1.1250e-05, 2.3857e+00
1.1875e-05, 2.3220e+00
1.2500e-05, 2.2633e+00
1.3750e-05, 2.1579e+00
1.5000e-05, 2.0661e+00
1.6250e-05, 1.9850e+00
1.7500e-05, 1.9128e+00
1.8750e-05, 1.8479e+00
2.0000e-05, 1.7893e+00
2.1875e-05, 1.7109e+00
2.3750e-05, 1.6419e+00
2.5625e-05, 1.5807e+00
2.7500e-05, 1.5259e+00
2.9375e-05, 1.4764e+00
3.1250e-05, 1.4314e+00
3.3125e-05, 1.3903e+00
3.5000e-05, 1.3526e+00
3.8750e-05, 1.2854e+00
4.2500e-05, 1.2274e+00
4.6250e-05, 1.1766e+00
5.0000e-05, 1.1316e+00
5.3125e-05, 1.0978e+00
5.6250e-05, 1.0669e+00
5.9375e-05, 1.0385e+00
6.2500e-05, 1.0122e+00
6.8750e-05, 9.6505e-01
7.5000e-05, 9.2397e-01
8.1250e-05, 8.8772e-01
8.7500e-05, 8.5543e-01
9.3750e-05, 8.2642e-01
1.0000e-04, 8.0018e-01
1.0625e-04, 7.7629e-01
1.1250e-04, 7.5442e-01
1.1875e-04, 7.3430e-01
1.2500e-04, 7.1570e-01
1.3750e-04, 6.8240e-01
1.5000e-04, 6.5334e-01
1.6250e-04, 6.2771e-01
1.7500e-04, 6.0488e-01
1.8750e-04, 5.8437e-01
2.0000e-04, 5.6581e-01
2.1875e-04, 5.4102e-01
2.3750e-04, 5.1923e-01
2.5625e-04, 4.9987e-01
2.7500e-04, 4.8253e-01
2.9375e-04, 4.6687e-01
3.1250e-04, 4.5265e-01
3.3125e-04, 4.3965e-01
3.5000e-04, 4.2771e-01
3.8750e-04, 4.0649e-01
4.2500e-04, 3.8814e-01
4.6250e-04, 3.7208e-01
5.0000e-04, 3.5785e-01
5.3125e-04, 3.4717e-01
5.6250e-04, 3.3739e-01
5.9375e-04, 3.2839e-01
6.2500e-04, 3.2007e-01
6.8750e-04, 3.0518e-01
7.5000e-04, 2.9219e-01
8.1250e-04, 2.8072e-01
8.7500e-04, 2.7051e-01
9.3750e-04, 2.6134e-01
1.0000e-03, 2.5304e-01
1.0625e-03, 2.4548e-01
1.1250e-03, 2.3857e-01
1.1875e-03, 2.3221e-01
1.2500e-03, 2.2633e-01
1.3750e-03, 2.1579e-01
1.5000e-03, 2.0661e-01
1.6250e-03, 1.9850e-01
1.7500e-03, 1.9128e-01
1.8750e-03, 1.8479e-01
2.0000e-03, 1.7893e-01
2.1875e-03, 1.7109e-01
2.3750e-03, 1.6419e-01
2.5625e-03, 1.5807e-01
2.7500e-03, 1.5259e-01
2.9375e-03, 1.4764e-01
3.1250e-03, 1.4314e-01
3.3125e-03, 1.3903e-01
3.5000e-03, 1.3526e-01
3.8750e-03, 1.2854e-01
4.2500e-03, 1.2274e-01
4.6250e-03, 1.1766e-01
5.0000e-03, 1.1316e-01
5.3125e-03, 1.0978e-01
5.6250e-03, 1.0669e-01
5.9375e-03, 1.0384e-01
6.2500e-03, 1.0121e-01
6.8750e-03, 9.6504e-02
7.5000e-03, 9.2396e-02
8.1250e-03, 8.8771e-02
8.7500e-03, 8.5541e-02
9.3750e-03, 8.2641e-02
1.0000e-02, 8.0016e-02
1.0625e-02, 7.7627e-02
1.1250e-02, 7.5440e-02
1.1875e-02, 7.3428e-02
1.2500e-02, 7.1568e-02
1.3750e-02, 6.8238e-02
1.5000e-02, 6.5332e-02
1.6250e-02, 6.2769e-02
1.7500e-02, 6.0486e-02
1.8750e-02, 5.8435e-02
2.0000e-02, 5.6579e-02
2.1325e-02, 5.4794e-02
2.2650e-02, 5.3167e-02
2.3975e-02, 5.1678e-02
2.5300e-02, 5.0307e-02
2.6844e-02, 4.8839e-02
2.8387e-02, 4.7493e-02
3.1475e-02, 4.5104e-02
3.4563e-02, 4.3043e-02
3.7650e-02, 4.1239e-02
4.0738e-02, 3.9645e-02
4.3825e-02, 3.8222e-02
4.6913e-02, 3.6942e-02
5.0000e-02, 3.5783e-02
5.3125e-02, 3.4715e-02
5.6250e-02, 3.3737e-02
5.9375e-02, 3.2838e-02
6.2500e-02, 3.2007e-02
6.8750e-02, 3.0518e-02
7.5000e-02, 2.9219e-02
8.1250e-02, 2.8072e-02
8.7500e-02, 2.7050e-02
9.3750e-02, 2.6132e-02
1.0000e-01, 2.5302e-02
1.0625e-01, 2.4546e-02
1.1250e-01, 2.3855e-02
1.1875e-01, 2.3220e-02
1.2500e-01, 2.2633e-02
1.3750e-01, 2.1580e-02
1.5000e-01, 2.0662e-02
1.6250e-01, 1.9850e-02
1.7500e-01, 1.9128e-02
1.8750e-01, 1.8479e-02
2.0000e-01, 1.7893e-02
2.1875e-01, 1.7109e-02
2.3750e-01, 1.6420e-02
2.5625e-01, 1.5807e-02
2.7500e-01, 1.5258e-02
2.9375e-01, 1.4762e-02
3.1250e-01, 1.4313e-02
3.3125e-01, 1.3903e-02
3.5000e-01, 1.3526e-02
3.8750e-01, 1.2857e-02
4.2500e-01, 1.2276e-02
5.0000e-01, 1.1319e-02
6.2500e-01, 1.0124e-02
7.5000e-01, 9.2405e-03
8.7500e-01, 8.5574e-03
1.0000e+00, 8.0066e-03
1.2500e+00, 7.1590e-03
1.5000e+00, 6.5341e-03
1.7500e+00, 6.0506e-03
2.0000e+00, 5.6602e-03
2.3750e+00, 5.1941e-03
2.7500e+00, 4.8279e-03
3.1250e+00, 4.5282e-03
3.5000e+00, 4.2783e-03
4.2500e+00, 3.8819e-03
5.0000e+00, 3.5791e-03
6.2500e+00, 3.2013e-03
7.5000e+00, 2.9221e-03
8.7500e+00, 2.7056e-03
1.0000e+01, 2.5311e-03
1.2500e+01, 2.2637e-03
1.5000e+01, 2.0664e-03
1.7500e+01, 1.9133e-03
2.0000e+01, 1.7898e-03
2.3750e+01, 1.6425e-03
2.7500e+01, 1.5266e-03
3.1250e+01, 1.4321e-03
3.5000e+01, 1.3532e-03
4.2500e+01, 1.2281e-03
5.0000e+01, 1.1324e-03
6.2500e+01, 1.0131e-03
7.5000e+01, 9.2502e-04
8.7500e+01, 8.5662e-04
1.0000e+02, 8.0150e-04
1.2500e+02, 7.1718e-04
1.5000e+02, 6.5497e-04
1.7500e+02, 6.0668e-04
2.0000e+02, 5.6776e-04
2.3750e+02, 5.2138e-04
2.7500e+02, 4.8487e-04
3.1250e+02, 4.5516e-04
3.5000e+02, 4.3039e-04
4.2500e+02, 3.9112e-04
5.0000e+02, 3.6111e-04
6.2500e+02, 3.2377e-04
7.5000e+02, 2.9628e-04
8.7500e+02, 2.7498e-04
1.0000e+03, 2.5787e-04
1.2500e+03, 2.3181e-04
1.5000e+03, 2.1272e-04
1.7500e+03, 1.9798e-04
2.0000e+03, 1.8620e-04
2.7500e+03, 1.6150e-04
3.5000e+03, 1.4572e-04
4.2500e+03, 1.3474e-04
5.0000e+03, 1.2669e-04
6.2500e+03, 1.1732e-04
7.5000e+03, 1.1113e-04
8.7500e+03, 1.0701e-04
1.0000e+04, 1.0432e-04
1.2500e+04, 1.0194e-04
1.5000e+04, 1.0240e-04
1.6250e+04, 1.0346e-04
1.7500e+04, 1.0500e-04
2.0000e+04, 1.0942e-04
2.5352e+04, 1.2503e-04
3.0704e+04, 1.4897e-04
3.6056e+04, 1.8422e-04
4.1409e+04, 2.3651e-04
4.4000e+04, 2.7353e-04
4.5120e+04, 3.0227e-04
4.5679e+04, 3.5286e-04
4.5819e+04, 3.8676e-04
4.5959e+04, 4.7413e-04
4.6029e+04, 5.4807e-04
4.6099e+04, 7.0338e-04
4.6134e+04, 8.2642e-04
4.6169e+04, 1.0545e-03
4.6204e+04, 1.4563e-03
4.6222e+04, 1.7956e-03
4.6239e+04, 2.3245e-03
4.6263e+04, 3.6319e-03
4.6274e+04, 4.7918e-03
4.6286e+04, 6.7345e-03
4.6298e+04, 1.0470e-02
4.6304e+04, 1.3888e-02
4.6310e+04, 2.0325e-02
4.6312e+04, 2.6599e-02
4.6315e+04, 3.7848e-02
4.6318e+04, 5.9163e-02
4.6321e+04, 9.9871e-02
4.6324e+04, 1.7521e-01
4.6326e+04, 2.3241e-01
4.6327e+04, 3.0677e-01
4.6329e+04, 4.0151e-01
4.6330e+04, 5.1964e-01
4.6332e+04, 6.6359e-01
4.6333e+04, 8.3350e-01
4.6335e+04, 1.0679e+00
4.6336e+04, 1.3359e+00
4.6340e+04, 1.9378e+00
4.6343e+04, 2.5291e+00
4.6345e+04, 2.7743e+00
4.6347e+04, 2.9610e+00
4.6348e+04, 3.0491e+00
4.6349e+04, 3.0970e+00
4.6350e+04, 3.1060e+00
4.6352e+04, 3.0587e+00
4.6353e+04, 2.9651e+00
4.6354e+04, 2.8279e+00
4.6356e+04, 2.6517e+00
4.6357e+04, 2.4473e+00
4.6361e+04, 1.8022e+00
4.6363e+04, 1.4782e+00
4.6364e+04, 1.1792e+00
4.6366e+04, 9.1368e-01
4.6368e+04, 6.8964e-01
4.6370e+04, 5.0824e-01
4.6372e+04, 3.6758e-01
4.6374e+04, 2.6114e-01
4.6376e+04, 1.8366e-01
4.6377e+04, 1.2890e-01
4.6379e+04, 9.1307e-02
4.6381e+04, 6.5725e-02
4.6383e+04, 4.8643e-02
4.6387e+04, 2.9684e-02
4.6390e+04, 2.0403e-02
4.6394e+04, 1.5577e-02
4.6402e+04, 1.0518e-02
4.6410e+04, 7.7713e-03
4.6418e+04, 6.0413e-03
4.6433e+04, 3.9943e-03
4.6449e+04, 2.8782e-03
4.6465e+04, 2.2171e-03
4.6480e+04, 1.7951e-03
4.6511e+04, 1.2653e-03
4.6574e+04, 8.1155e-04
4.6636e+04, 6.1340e-04
4.6771e+04, 4.5904e-04
4.6907e+04, 4.0536e-04
4.7178e+04, 3.6006e-04
4.7719e+04, 3.4578e-04
4.8860e+04, 3.6068e-04
5.0000e+04, 3.8423e-04
5.3851e+04, 4.9615e-04
5.5777e+04, 5.7174e-04
5.7703e+04, 6.6537e-04
5.9628e+04, 7.8293e-04
6.1554e+04, 9.2920e-04
6.3480e+04, 1.1221e-03
6.5405e+04, 1.3783e-03
6.6538e+04, 1.5732e-03
6.7671e+04, 1.8084e-03
6.8803e+04, 2.0951e-03
6.9936e+04, 2.4485e-03
7.1069e+04, 2.9074e-03
7.1635e+04, 3.1754e-03
7.2202e+04, 3.4932e-03
7.2768e+04, 3.8398e-03
7.3334e+04, 4.2519e-03
7.3901e+04, 4.7105e-03
7.4467e+04, 5.2511e-03
7.5104e+04, 5.9813e-03
7.5740e+04, 6.8450e-03
7.6377e+04, 7.8936e-03
7.7014e+04, 9.1701e-03
7.7651e+04, 1.0707e-02
7.8287e+04, 1.2627e-02
7.8924e+04, 1.4933e-02
7.9561e+04, 1.7720e-02
8.0018e+04, 2.0072e-02
8.0475e+04, 2.2650e-02
8.1390e+04, 2.8168e-02
8.1847e+04, 3.0858e-02
8.2304e+04, 3.3120e-02
8.2761e+04, 3.4626e-02
8.3219e+04, 3.5446e-02
8.3500e+04, 3.5352e-02
8.3852e+04, 3.4672e-02
8.4203e+04, 3.3422e-02
8.4555e+04, 3.1857e-02
8.4907e+04, 2.9900e-02
8.6313e+04, 2.1724e-02
8.7017e+04, 1.8149e-02
8.7368e+04, 1.6554e-02
8.7720e+04, 1.5145e-02
8.8072e+04, 1.3820e-02
8.8423e+04, 1.2655e-02
8.9127e+04, 1.0674e-02
8.9619e+04, 9.5472e-03
9.0111e+04, 8.5609e-03
9.1095e+04, 6.9548e-03
9.2079e+04, 5.7588e-03
9.2572e+04, 5.2526e-03
9.3064e+04, 4.8253e-03
9.4048e+04, 4.0934e-03
9.5032e+04, 3.5251e-03
9.6016e+04, 3.0616e-03
9.7000e+04, 2.6803e-03
9.8500e+04, 2.2287e-03
1.0000e+05, 1.8839e-03
1.0210e+05, 1.5269e-03
1.0419e+05, 1.2634e-03
1.0629e+05, 1.0642e-03
1.0839e+05, 9.1038e-04
1.1258e+05, 6.9635e-04
1.1678e+05, 5.5202e-04
1.2127e+05, 4.4826e-04
1.2577e+05, 3.7509e-04
1.3475e+05, 2.8307e-04
1.4374e+05, 2.3030e-04
1.5273e+05, 2.0021e-04
1.6232e+05, 1.8396e-04
1.7190e+05, 1.7999e-04
1.7424e+05, 1.8281e-04
1.7540e+05, 1.9222e-04
1.7598e+05, 2.2663e-04
1.7613e+05, 2.4332e-04
1.7628e+05, 2.9214e-04
1.7635e+05, 3.4537e-04
1.7642e+05, 4.4914e-04
1.7649e+05, 6.6816e-04
1.7653e+05, 9.1172e-04
1.7657e+05, 1.3943e-03
1.7658e+05, 1.7334e-03
1.7660e+05, 2.2435e-03
1.7661e+05, 3.1039e-03
1.7662e+05, 3.8227e-03
1.7662e+05, 5.0274e-03
1.7663e+05, 7.4361e-03
1.7663e+05, 9.5240e-03
1.7664e+05, 1.2650e-02
1.7664e+05, 1.7334e-02
1.7664e+05, 2.4288e-02
1.7665e+05, 3.4446e-02
1.7665e+05, 4.8962e-02
1.7666e+05, 6.9166e-02
1.7666e+05, 9.6463e-02
1.7667e+05, 1.7724e-01
1.7667e+05, 2.9603e-01
1.7668e+05, 4.4360e-01
1.7669e+05, 6.2599e-01
1.7669e+05, 6.9305e-01
1.7670e+05, 7.3166e-01
1.7670e+05, 7.3876e-01
1.7671e+05, 7.0124e-01
1.7671e+05, 6.2235e-01
1.7672e+05, 5.1798e-01
