ebin, xs
1.0000e-05, 6.6788e+02
1.0625e-05, 6.4794e+02
1.1250e-05, 6.2968e+02
1.1875e-05, 6.1289e+02
1.2500e-05, 5.9737e+02
1.3750e-05, 5.6957e+02
1.5000e-05, 5.4532e+02
1.6250e-05, 5.2393e+02
1.7500e-05, 5.0487e+02
1.8750e-05, 4.8775e+02
2.0000e-05, 4.7226e+02
2.1875e-05, 4.5157e+02
2.3750e-05, 4.3338e+02
2.5625e-05, 4.1722e+02
2.7500e-05, 4.0275e+02
2.9375e-05, 3.8968e+02
3.1250e-05, 3.7781e+02
3.3125e-05, 3.6696e+02
3.5000e-05, 3.5700e+02
3.8750e-05, 3.3928e+02
4.2500e-05, 3.2397e+02
4.6250e-05, 3.1056e+02
5.0000e-05, 2.9868e+02
5.3125e-05, 2.8977e+02
5.6250e-05, 2.8160e+02
5.9375e-05, 2.7409e+02
6.2500e-05, 2.6715e+02
6.8750e-05, 2.5472e+02
7.5000e-05, 2.4388e+02
8.1250e-05, 2.3431e+02
8.7500e-05, 2.2578e+02
9.3750e-05, 2.1813e+02
1.0000e-04, 2.1120e+02
1.0625e-04, 2.0490e+02
1.1250e-04, 1.9912e+02
1.1875e-04, 1.9381e+02
1.2500e-04, 1.8890e+02
1.3750e-04, 1.8011e+02
1.5000e-04, 1.7245e+02
1.6250e-04, 1.6568e+02
1.7500e-04, 1.5965e+02
1.8750e-04, 1.5424e+02
2.0000e-04, 1.4934e+02
2.1875e-04, 1.4280e+02
2.3750e-04, 1.3705e+02
2.5625e-04, 1.3194e+02
2.7500e-04, 1.2736e+02
2.9375e-04, 1.2323e+02
3.1250e-04, 1.1947e+02
3.3125e-04, 1.1604e+02
3.5000e-04, 1.1289e+02
3.8750e-04, 1.0729e+02
4.2500e-04, 1.0245e+02
4.6250e-04, 9.8207e+01
5.0000e-04, 9.4453e+01
5.3125e-04, 9.1632e+01
5.6250e-04, 8.9051e+01
5.9375e-04, 8.6676e+01
6.2500e-04, 8.4481e+01
6.8750e-04, 8.0549e+01
7.5000e-04, 7.7120e+01
8.1250e-04, 7.4095e+01
8.7500e-04, 7.1400e+01
9.3750e-04, 6.8979e+01
1.0000e-03, 6.6788e+01
1.0625e-03, 6.4794e+01
1.1250e-03, 6.2969e+01
1.1875e-03, 6.1289e+01
1.2500e-03, 5.9737e+01
1.3750e-03, 5.6957e+01
1.5000e-03, 5.4533e+01
1.6250e-03, 5.2393e+01
1.7500e-03, 5.0488e+01
1.8750e-03, 4.8776e+01
2.0000e-03, 4.7227e+01
2.1875e-03, 4.5158e+01
2.3750e-03, 4.3339e+01
2.5625e-03, 4.1723e+01
2.7500e-03, 4.0275e+01
2.9375e-03, 3.8969e+01
3.1250e-03, 3.7782e+01
3.3125e-03, 3.6697e+01
3.5000e-03, 3.5701e+01
3.8750e-03, 3.3929e+01
4.2500e-03, 3.2398e+01
4.6250e-03, 3.1057e+01
5.0000e-03, 2.9869e+01
5.3125e-03, 2.8977e+01
5.6250e-03, 2.8161e+01
5.9375e-03, 2.7410e+01
6.2500e-03, 2.6716e+01
6.8750e-03, 2.5472e+01
7.5000e-03, 2.4388e+01
8.1250e-03, 2.3431e+01
8.7500e-03, 2.2579e+01
9.3750e-03, 2.1813e+01
1.0000e-02, 2.1120e+01
1.0625e-02, 2.0490e+01
1.1250e-02, 1.9913e+01
1.1875e-02, 1.9382e+01
1.2500e-02, 1.8891e+01
1.3750e-02, 1.8012e+01
1.5000e-02, 1.7245e+01
1.6250e-02, 1.6569e+01
1.7500e-02, 1.5966e+01
1.8750e-02, 1.5424e+01
2.0000e-02, 1.4934e+01
2.1325e-02, 1.4463e+01
2.2650e-02, 1.4034e+01
2.3975e-02, 1.3641e+01
2.5300e-02, 1.3279e+01
2.6844e-02, 1.2892e+01
2.8387e-02, 1.2537e+01
3.1475e-02, 1.1907e+01
3.4563e-02, 1.1363e+01
3.7650e-02, 1.0887e+01
4.0738e-02, 1.0466e+01
4.3825e-02, 1.0090e+01
4.6913e-02, 9.7520e+00
5.0000e-02, 9.4460e+00
5.3125e-02, 9.1640e+00
5.6250e-02, 8.9061e+00
5.9375e-02, 8.6690e+00
6.2500e-02, 8.4499e+00
6.8750e-02, 8.0573e+00
7.5000e-02, 7.7144e+00
8.1250e-02, 7.4116e+00
8.7500e-02, 7.1418e+00
9.3750e-02, 6.8995e+00
1.0000e-01, 6.6804e+00
1.0625e-01, 6.4809e+00
1.1250e-01, 6.2985e+00
1.1875e-01, 6.1310e+00
1.2500e-01, 5.9763e+00
1.3750e-01, 5.6990e+00
1.5000e-01, 5.4564e+00
1.6250e-01, 5.2423e+00
1.7500e-01, 5.0516e+00
1.8750e-01, 4.8805e+00
2.0000e-01, 4.7260e+00
2.1875e-01, 4.5194e+00
2.3750e-01, 4.3374e+00
2.5625e-01, 4.1758e+00
2.7500e-01, 4.0310e+00
2.9375e-01, 3.9003e+00
3.1250e-01, 3.7817e+00
3.3125e-01, 3.6734e+00
3.5000e-01, 3.5745e+00
3.8750e-01, 3.3981e+00
4.2500e-01, 3.2448e+00
5.0000e-01, 2.9927e+00
6.2500e-01, 2.6779e+00
7.5000e-01, 2.4452e+00
8.7500e-01, 2.2652e+00
1.0000e+00, 2.1203e+00
1.2500e+00, 1.8981e+00
1.5000e+00, 1.7346e+00
1.7500e+00, 1.6081e+00
2.0000e+00, 1.5063e+00
2.3750e+00, 1.3851e+00
2.7500e+00, 1.2901e+00
3.1250e+00, 1.2127e+00
3.5000e+00, 1.1484e+00
4.2500e+00, 1.0470e+00
5.0000e+00, 9.7005e-01
6.2500e+00, 8.7294e-01
7.5000e+00, 8.0169e-01
8.7500e+00, 7.4680e-01
1.0000e+01, 7.0293e-01
1.2500e+01, 6.3715e-01
1.5000e+01, 5.8968e-01
1.7500e+01, 5.5370e-01
2.0000e+01, 5.2546e-01
2.3750e+01, 4.9296e-01
2.7500e+01, 4.6862e-01
3.0000e+01, 4.5556e-01
3.5000e+01, 4.3270e-01
4.2500e+01, 4.0817e-01
5.0000e+01, 3.9151e-01
6.0000e+01, 3.7733e-01
6.2500e+01, 3.7486e-01
6.8750e+01, 3.7020e-01
7.5000e+01, 3.6742e-01
8.1250e+01, 3.6627e-01
8.7500e+01, 3.6658e-01
1.0000e+02, 3.7108e-01
1.1250e+02, 3.7960e-01
1.2500e+02, 3.9291e-01
1.3750e+02, 4.1136e-01
1.5000e+02, 4.3567e-01
1.6250e+02, 4.6695e-01
1.6875e+02, 4.8571e-01
1.7500e+02, 5.0695e-01
1.8125e+02, 5.3098e-01
1.8750e+02, 5.5822e-01
1.9375e+02, 5.8919e-01
2.0000e+02, 6.2451e-01
2.0754e+02, 6.7359e-01
2.1509e+02, 7.3206e-01
2.2263e+02, 8.0219e-01
2.3017e+02, 8.8713e-01
2.3395e+02, 9.3482e-01
2.3772e+02, 9.8910e-01
2.4149e+02, 1.0495e+00
2.4526e+02, 1.1170e+00
2.4903e+02, 1.1926e+00
2.5280e+02, 1.2779e+00
2.5658e+02, 1.3745e+00
2.6035e+02, 1.4845e+00
2.6512e+02, 1.6481e+00
2.6990e+02, 1.8446e+00
2.7229e+02, 1.9551e+00
2.7468e+02, 2.0821e+00
2.7707e+02, 2.2182e+00
2.7946e+02, 2.3724e+00
2.8423e+02, 2.7334e+00
2.8901e+02, 3.1950e+00
2.9379e+02, 3.7853e+00
2.9618e+02, 4.1487e+00
2.9857e+02, 4.5692e+00
3.0133e+02, 5.1449e+00
3.0410e+02, 5.8357e+00
3.0686e+02, 6.6765e+00
3.0963e+02, 7.7141e+00
3.1240e+02, 9.0001e+00
3.1378e+02, 9.7686e+00
3.1516e+02, 1.0628e+01
3.1655e+02, 1.1598e+01
3.1793e+02, 1.2707e+01
3.1931e+02, 1.3961e+01
3.2069e+02, 1.5383e+01
3.2195e+02, 1.6864e+01
3.2321e+02, 1.8524e+01
3.2446e+02, 2.0394e+01
3.2572e+02, 2.2523e+01
3.2697e+02, 2.4887e+01
3.2823e+02, 2.7548e+01
3.2949e+02, 3.0472e+01
3.3074e+02, 3.3695e+01
3.3577e+02, 4.7894e+01
3.3702e+02, 5.0939e+01
3.3828e+02, 5.3294e+01
3.3953e+02, 5.4715e+01
3.4079e+02, 5.5023e+01
3.4183e+02, 5.4392e+01
3.4287e+02, 5.3026e+01
3.4391e+02, 5.1026e+01
3.4495e+02, 4.8517e+01
3.4911e+02, 3.6546e+01
3.5119e+02, 3.0823e+01
3.5327e+02, 2.5882e+01
3.5535e+02, 2.1763e+01
3.5743e+02, 1.8385e+01
3.5887e+02, 1.6424e+01
