ebin, xs
1.0000e-05, 1.1057e+02
1.0625e-05, 1.0727e+02
1.1250e-05, 1.0425e+02
1.1875e-05, 1.0147e+02
1.2500e-05, 9.8900e+01
1.3750e-05, 9.4298e+01
1.5000e-05, 9.0283e+01
1.6250e-05, 8.6741e+01
1.7500e-05, 8.3586e+01
1.8750e-05, 8.0752e+01
2.0000e-05, 7.8188e+01
2.1875e-05, 7.4762e+01
2.3750e-05, 7.1750e+01
2.5625e-05, 6.9075e+01
2.7500e-05, 6.6679e+01
2.9375e-05, 6.4515e+01
3.1250e-05, 6.2550e+01
3.3125e-05, 6.0754e+01
3.5000e-05, 5.9104e+01
3.8750e-05, 5.6172e+01
4.2500e-05, 5.3636e+01
4.6250e-05, 5.1416e+01
5.0000e-05, 4.9450e+01
5.3125e-05, 4.7974e+01
5.6250e-05, 4.6622e+01
5.9375e-05, 4.5379e+01
6.2500e-05, 4.4230e+01
6.8750e-05, 4.2171e+01
7.5000e-05, 4.0376e+01
8.1250e-05, 3.8792e+01
8.7500e-05, 3.7381e+01
9.3750e-05, 3.6113e+01
1.0000e-04, 3.4966e+01
1.0625e-04, 3.3922e+01
1.1250e-04, 3.2967e+01
1.1875e-04, 3.2087e+01
1.2500e-04, 3.1275e+01
1.3750e-04, 2.9819e+01
1.5000e-04, 2.8550e+01
1.6250e-04, 2.7430e+01
1.7500e-04, 2.6432e+01
1.8750e-04, 2.5536e+01
2.0000e-04, 2.4725e+01
2.1875e-04, 2.3642e+01
2.3750e-04, 2.2689e+01
2.5625e-04, 2.1843e+01
2.7500e-04, 2.1085e+01
2.9375e-04, 2.0401e+01
3.1250e-04, 1.9780e+01
3.3125e-04, 1.9212e+01
3.5000e-04, 1.8690e+01
3.8750e-04, 1.7763e+01
4.2500e-04, 1.6961e+01
4.6250e-04, 1.6259e+01
5.0000e-04, 1.5637e+01
5.3125e-04, 1.5170e+01
5.6250e-04, 1.4743e+01
5.9375e-04, 1.4350e+01
6.2500e-04, 1.3986e+01
6.8750e-04, 1.3335e+01
7.5000e-04, 1.2768e+01
8.1250e-04, 1.2267e+01
8.7500e-04, 1.1821e+01
9.3750e-04, 1.1420e+01
