ebin, xs
1.0000e-05, 1.2086e-03
1.0625e-05, 1.1725e-03
1.1250e-05, 1.1395e-03
1.1875e-05, 1.1091e-03
1.2500e-05, 1.0810e-03
1.3750e-05, 1.0307e-03
1.5000e-05, 9.8680e-04
1.6250e-05, 9.4808e-04
1.7500e-05, 9.1360e-04
1.8750e-05, 8.8262e-04
2.0000e-05, 8.5459e-04
2.1875e-05, 8.1714e-04
2.3750e-05, 7.8422e-04
2.5625e-05, 7.5499e-04
2.7500e-05, 7.2880e-04
2.9375e-05, 7.0515e-04
3.1250e-05, 6.8367e-04
3.3125e-05, 6.6404e-04
3.5000e-05, 6.4601e-04
3.8750e-05, 6.1395e-04
4.2500e-05, 5.8624e-04
4.6250e-05, 5.6197e-04
5.0000e-05, 5.4049e-04
5.3125e-05, 5.2435e-04
5.6250e-05, 5.0958e-04
5.9375e-05, 4.9599e-04
6.2500e-05, 4.8343e-04
6.8750e-05, 4.6093e-04
7.5000e-05, 4.4131e-04
8.1250e-05, 4.2399e-04
8.7500e-05, 4.0857e-04
9.3750e-05, 3.9471e-04
1.0000e-04, 3.8218e-04
1.0625e-04, 3.7077e-04
1.1250e-04, 3.6032e-04
1.1875e-04, 3.5071e-04
1.2500e-04, 3.4183e-04
1.3750e-04, 3.2592e-04
1.5000e-04, 3.1205e-04
1.6250e-04, 2.9981e-04
1.7500e-04, 2.8890e-04
1.8750e-04, 2.7910e-04
2.0000e-04, 2.7024e-04
2.1875e-04, 2.5840e-04
2.3750e-04, 2.4799e-04
2.5625e-04, 2.3874e-04
2.7500e-04, 2.3046e-04
2.9375e-04, 2.2298e-04
3.1250e-04, 2.1619e-04
3.3125e-04, 2.0998e-04
3.5000e-04, 2.0428e-04
3.8750e-04, 1.9414e-04
4.2500e-04, 1.8538e-04
4.6250e-04, 1.7770e-04
5.0000e-04, 1.7091e-04
5.3125e-04, 1.6581e-04
5.6250e-04, 1.6113e-04
6.2500e-04, 1.5286e-04
6.8750e-04, 1.4575e-04
7.5000e-04, 1.3954e-04
8.1250e-04, 1.3407e-04
8.7500e-04, 1.2919e-04
9.3750e-04, 1.2481e-04
1.0000e-03, 1.2084e-04
1.0625e-03, 1.1724e-04
1.1250e-03, 1.1393e-04
1.2500e-03, 1.0808e-04
1.3750e-03, 1.0305e-04
1.5000e-03, 9.8665e-05
1.6250e-03, 9.4793e-05
1.7500e-03, 9.1344e-05
1.8750e-03, 8.8246e-05
2.0000e-03, 8.5443e-05
2.1875e-03, 8.1698e-05
2.3750e-03, 7.8406e-05
2.5625e-03, 7.5482e-05
2.7500e-03, 7.2862e-05
3.1250e-03, 6.8349e-05
3.5000e-03, 6.4582e-05
3.8750e-03, 6.1376e-05
4.2500e-03, 5.8605e-05
5.0000e-03, 5.4029e-05
5.6250e-03, 5.0937e-05
6.2500e-03, 4.8322e-05
7.5000e-03, 4.4110e-05
8.7500e-03, 4.0836e-05
1.0000e-02, 3.8197e-05
1.2500e-02, 3.4163e-05
1.5000e-02, 3.1186e-05
1.7500e-02, 2.8873e-05
2.0000e-02, 2.7009e-05
2.5300e-02, 2.4018e-05
3.1475e-02, 2.1540e-05
3.7650e-02, 1.9700e-05
5.0000e-02, 1.7105e-05
6.2500e-02, 1.5307e-05
7.5000e-02, 1.3979e-05
8.7500e-02, 1.2946e-05
1.0000e-01, 1.2113e-05
1.2500e-01, 1.0840e-05
1.5000e-01, 9.9004e-06
1.7500e-01, 9.1689e-06
2.0000e-01, 8.5794e-06
2.7500e-01, 7.3212e-06
3.5000e-01, 6.4940e-06
4.2500e-01, 5.8999e-06
5.0000e-01, 5.4477e-06
6.2500e-01, 4.8758e-06
7.5000e-01, 4.4496e-06
8.7500e-01, 4.1191e-06
1.0000e+00, 3.8564e-06
1.2500e+00, 3.4521e-06
1.5000e+00, 3.1507e-06
1.7500e+00, 2.9169e-06
2.0000e+00, 2.7295e-06
2.7500e+00, 2.3288e-06
3.5000e+00, 2.0656e-06
4.2500e+00, 1.8756e-06
5.0000e+00, 1.7299e-06
6.2500e+00, 1.5480e-06
7.5000e+00, 1.4133e-06
8.7500e+00, 1.3086e-06
1.0000e+01, 1.2246e-06
1.2500e+01, 1.0960e-06
1.5000e+01, 1.0019e-06
2.0000e+01, 9.1736e-07
2.5000e+01, 8.5286e-07
3.0000e+01, 8.0111e-07
5.0000e+01, 7.6325e-07
6.0000e+01, 7.5040e-07
1.0000e+02, 7.8386e-07
2.0000e+02, 8.3018e-07
2.7500e+02, 9.0313e-07
3.5000e+02, 9.5857e-07
5.0000e+02, 1.0406e-06
7.5000e+02, 1.1338e-06
1.0000e+03, 1.2002e-06
1.2500e+03, 1.3356e-06
1.5000e+03, 1.4464e-06
2.0000e+03, 1.6213e-06
2.7500e+03, 1.8150e-06
3.5000e+03, 1.9616e-06
5.0000e+03, 2.1785e-06
6.2500e+03, 2.3142e-06
7.5000e+03, 2.4250e-06
1.0000e+04, 2.6006e-06
1.2500e+04, 3.3655e-06
1.5000e+04, 3.9910e-06
1.7500e+04, 4.5199e-06
2.0000e+04, 4.9781e-06
2.7500e+04, 6.0706e-06
3.5000e+04, 6.8980e-06
4.2500e+04, 7.5642e-06
5.0000e+04, 8.1218e-06
6.2500e+04, 8.8874e-06
7.5000e+04, 9.5129e-06
1.0000e+05, 1.0500e-05
1.2500e+05, 1.1459e-05
1.5000e+05, 1.2243e-05
1.7500e+05, 1.2906e-05
2.0000e+05, 1.3480e-05
2.2500e+05, 1.3987e-05
2.5000e+05, 1.4440e-05
2.7500e+05, 1.4849e-05
3.0000e+05, 1.5223e-05
3.2500e+05, 1.5568e-05
3.5000e+05, 1.5886e-05
