ebin, xs
1.0000e-05, 2.6570e+01
1.0625e-05, 2.5777e+01
1.1250e-05, 2.5050e+01
1.1875e-05, 2.4382e+01
1.2500e-05, 2.3765e+01
1.3750e-05, 2.2659e+01
1.5000e-05, 2.1694e+01
1.6250e-05, 2.0843e+01
1.7500e-05, 2.0085e+01
1.8750e-05, 1.9404e+01
2.0000e-05, 1.8788e+01
2.1875e-05, 1.7965e+01
2.3750e-05, 1.7241e+01
2.5625e-05, 1.6598e+01
2.7500e-05, 1.6022e+01
2.9375e-05, 1.5503e+01
3.1250e-05, 1.5030e+01
3.3125e-05, 1.4599e+01
3.5000e-05, 1.4202e+01
3.7500e-05, 1.3721e+01
4.0000e-05, 1.3285e+01
4.2500e-05, 1.2888e+01
4.6250e-05, 1.2355e+01
5.0000e-05, 1.1882e+01
5.3125e-05, 1.1528e+01
5.6250e-05, 1.1203e+01
5.9375e-05, 1.0904e+01
6.2500e-05, 1.0628e+01
6.8750e-05, 1.0133e+01
7.5000e-05, 9.7020e+00
8.0000e-05, 9.3939e+00
8.7500e-05, 8.9823e+00
9.3750e-05, 8.6777e+00
1.0000e-04, 8.4022e+00
1.0625e-04, 8.1513e+00
1.1250e-04, 7.9216e+00
1.1875e-04, 7.7104e+00
1.2500e-04, 7.5151e+00
1.3750e-04, 7.1654e+00
1.5000e-04, 6.8603e+00
1.6000e-04, 6.6425e+00
1.7500e-04, 6.3514e+00
1.8750e-04, 6.1361e+00
2.0000e-04, 5.9412e+00
2.1875e-04, 5.6809e+00
2.3750e-04, 5.4520e+00
2.5625e-04, 5.2488e+00
2.7500e-04, 5.0667e+00
2.9750e-04, 4.8713e+00
3.2000e-04, 4.6969e+00
3.5000e-04, 4.4911e+00
3.8750e-04, 4.2683e+00
4.2500e-04, 4.0756e+00
4.6250e-04, 3.9069e+00
5.0000e-04, 3.7575e+00
5.3125e-04, 3.6454e+00
5.6250e-04, 3.5426e+00
5.9375e-04, 3.4482e+00
6.2500e-04, 3.3608e+00
6.4000e-04, 3.3212e+00
6.8750e-04, 3.2044e+00
7.4612e-04, 3.0760e+00
7.5000e-04, 3.0680e+00
7.6320e-04, 3.0414e+00
7.7640e-04, 3.0154e+00
8.0280e-04, 2.9654e+00
8.7500e-04, 2.8404e+00
9.2093e-04, 2.7687e+00
1.0000e-03, 2.6570e+00
1.0625e-03, 2.5776e+00
1.1250e-03, 2.5050e+00
1.1875e-03, 2.4382e+00
1.2500e-03, 2.3764e+00
1.3750e-03, 2.2659e+00
1.5000e-03, 2.1694e+00
1.6250e-03, 2.0843e+00
1.7500e-03, 2.0085e+00
1.8750e-03, 1.9403e+00
2.0000e-03, 1.8787e+00
2.1875e-03, 1.7964e+00
2.3750e-03, 1.7240e+00
2.5625e-03, 1.6598e+00
2.7500e-03, 1.6022e+00
2.9375e-03, 1.5502e+00
3.1250e-03, 1.5030e+00
3.3125e-03, 1.4598e+00
3.5000e-03, 1.4202e+00
3.7500e-03, 1.3720e+00
4.0000e-03, 1.3284e+00
4.2500e-03, 1.2888e+00
4.6250e-03, 1.2354e+00
5.0000e-03, 1.1882e+00
5.3125e-03, 1.1527e+00
5.6250e-03, 1.1202e+00
5.9375e-03, 1.0903e+00
6.2500e-03, 1.0627e+00
6.8750e-03, 1.0133e+00
7.5000e-03, 9.7013e-01
8.0000e-03, 9.3932e-01
8.7500e-03, 8.9816e-01
9.3750e-03, 8.6771e-01
1.0000e-02, 8.4015e-01
1.0625e-02, 8.1507e-01
1.1250e-02, 7.9210e-01
