ebin, xs
1.0000e-05, 5.7485e+01
1.0625e-05, 5.5769e+01
1.1250e-05, 5.4198e+01
1.1875e-05, 5.2752e+01
1.2500e-05, 5.1416e+01
1.3750e-05, 4.9024e+01
1.5000e-05, 4.6936e+01
1.6250e-05, 4.5095e+01
1.7500e-05, 4.3455e+01
1.8750e-05, 4.1981e+01
2.0000e-05, 4.0648e+01
2.1875e-05, 3.8867e+01
2.3750e-05, 3.7301e+01
2.5625e-05, 3.5911e+01
2.7500e-05, 3.4665e+01
2.9375e-05, 3.3540e+01
3.1250e-05, 3.2519e+01
3.3125e-05, 3.1585e+01
3.5000e-05, 3.0727e+01
3.8750e-05, 2.9203e+01
4.2500e-05, 2.7884e+01
4.6250e-05, 2.6730e+01
5.0000e-05, 2.5708e+01
5.3125e-05, 2.4941e+01
5.6250e-05, 2.4238e+01
5.9375e-05, 2.3591e+01
6.2500e-05, 2.2994e+01
6.8750e-05, 2.1924e+01
7.5000e-05, 2.0991e+01
8.1250e-05, 2.0167e+01
8.7500e-05, 1.9434e+01
9.3750e-05, 1.8775e+01
1.0000e-04, 1.8178e+01
1.0625e-04, 1.7636e+01
1.1250e-04, 1.7139e+01
1.1875e-04, 1.6682e+01
1.2500e-04, 1.6259e+01
1.3750e-04, 1.5503e+01
1.5000e-04, 1.4843e+01
1.6250e-04, 1.4260e+01
1.7500e-04, 1.3742e+01
1.8750e-04, 1.3276e+01
2.0000e-04, 1.2854e+01
2.1875e-04, 1.2291e+01
2.3750e-04, 1.1796e+01
2.5625e-04, 1.1356e+01
2.7500e-04, 1.0962e+01
2.9375e-04, 1.0606e+01
3.1250e-04, 1.0283e+01
3.3125e-04, 9.9879e+00
3.5000e-04, 9.7167e+00
3.8750e-04, 9.2346e+00
4.2500e-04, 8.8177e+00
4.6250e-04, 8.4527e+00
5.0000e-04, 8.1295e+00
5.3125e-04, 7.8868e+00
5.6250e-04, 7.6646e+00
5.9375e-04, 7.4602e+00
6.2500e-04, 7.2713e+00
6.8750e-04, 6.9329e+00
7.5000e-04, 6.6377e+00
8.1250e-04, 6.3773e+00
8.7500e-04, 6.1453e+00
9.3750e-04, 5.9369e+00
1.0000e-03, 5.7484e+00
1.0625e-03, 5.5768e+00
