ebin, xs
1.0000e-05, 1.6486e+04
1.0625e-05, 1.5993e+04
1.1250e-05, 1.5543e+04
1.1875e-05, 1.5128e+04
1.2500e-05, 1.4745e+04
1.3750e-05, 1.4059e+04
1.5000e-05, 1.3460e+04
1.6250e-05, 1.2932e+04
1.7500e-05, 1.2462e+04
1.8750e-05, 1.2039e+04
2.0000e-05, 1.1657e+04
2.1875e-05, 1.1146e+04
2.3750e-05, 1.0697e+04
2.5625e-05, 1.0298e+04
2.7500e-05, 9.9412e+03
2.9375e-05, 9.6186e+03
3.1250e-05, 9.3256e+03
3.3125e-05, 9.0578e+03
3.5000e-05, 8.8119e+03
3.8750e-05, 8.3746e+03
4.2500e-05, 7.9966e+03
4.6250e-05, 7.6656e+03
5.0000e-05, 7.3725e+03
5.3117e-05, 7.1529e+03
5.6234e-05, 6.9518e+03
5.6445e-05, 6.9388e+03
5.7202e-05, 6.8928e+03
5.7959e-05, 6.8476e+03
5.9473e-05, 6.7599e+03
6.2500e-05, 6.5941e+03
6.8750e-05, 6.2873e+03
7.5000e-05, 6.0196e+03
8.1250e-05, 5.7834e+03
8.7500e-05, 5.5730e+03
9.3750e-05, 5.3841e+03
1.0000e-04, 5.2131e+03
1.0625e-04, 5.0574e+03
1.1250e-04, 4.9149e+03
1.1875e-04, 4.7838e+03
1.2500e-04, 4.6627e+03
1.3750e-04, 4.4457e+03
1.5000e-04, 4.2564e+03
1.6250e-04, 4.0894e+03
1.7500e-04, 3.9406e+03
1.8750e-04, 3.8070e+03
2.0000e-04, 3.6861e+03
2.1875e-04, 3.5246e+03
2.3750e-04, 3.3825e+03
2.5625e-04, 3.2564e+03
2.7500e-04, 3.1434e+03
2.9375e-04, 3.0414e+03
3.1250e-04, 2.9488e+03
3.3125e-04, 2.8641e+03
3.5000e-04, 2.7863e+03
3.8750e-04, 2.6480e+03
4.2500e-04, 2.5285e+03
4.6250e-04, 2.4238e+03
5.0000e-04, 2.3311e+03
5.3117e-04, 2.2616e+03
5.6234e-04, 2.1980e+03
5.6445e-04, 2.1939e+03
5.7202e-04, 2.1793e+03
5.7959e-04, 2.1651e+03
5.9473e-04, 2.1373e+03
6.2500e-04, 2.0849e+03
6.8750e-04, 1.9878e+03
7.5000e-04, 1.9032e+03
8.1250e-04, 1.8285e+03
8.7500e-04, 1.7619e+03
9.3750e-04, 1.7021e+03
1.0000e-03, 1.6481e+03
1.0625e-03, 1.5988e+03
1.1250e-03, 1.5537e+03
1.1875e-03, 1.5123e+03
1.2500e-03, 1.4740e+03
1.3750e-03, 1.4053e+03
1.5000e-03, 1.3454e+03
1.6250e-03, 1.2926e+03
1.7500e-03, 1.2455e+03
1.8750e-03, 1.2032e+03
2.0000e-03, 1.1650e+03
2.1875e-03, 1.1139e+03
2.3750e-03, 1.0690e+03
2.5625e-03, 1.0290e+03
2.7500e-03, 9.9329e+02
2.9375e-03, 9.6102e+02
3.1250e-03, 9.3169e+02
3.3125e-03, 9.0489e+02
3.5000e-03, 8.8027e+02
3.8750e-03, 8.3649e+02
4.2500e-03, 7.9864e+02
4.6250e-03, 7.6549e+02
5.0000e-03, 7.3614e+02
5.3117e-03, 7.1414e+02
5.6234e-03, 6.9400e+02
5.6445e-03, 6.9270e+02
5.6641e-03, 6.9150e+02
5.7373e-03, 6.8706e+02
5.8105e-03, 6.8270e+02
5.9570e-03, 6.7422e+02
6.2500e-03, 6.5817e+02
6.8750e-03, 6.2742e+02
7.5000e-03, 6.0060e+02
8.1250e-03, 5.7692e+02
8.7500e-03, 5.5581e+02
9.3750e-03, 5.3686e+02
1.0000e-02, 5.1971e+02
1.0625e-02, 5.0410e+02
1.1250e-02, 4.8981e+02
1.1875e-02, 4.7666e+02
1.2500e-02, 4.6451e+02
1.3750e-02, 4.4274e+02
