ebin, xs
1.0000e-05, 2.2892e+00
1.0625e-05, 2.2208e+00
1.1250e-05, 2.1583e+00
1.1875e-05, 2.1007e+00
1.2500e-05, 2.0475e+00
1.3750e-05, 1.9522e+00
1.5000e-05, 1.8691e+00
1.6250e-05, 1.7958e+00
1.7500e-05, 1.7305e+00
1.8750e-05, 1.6718e+00
2.0000e-05, 1.6187e+00
2.1875e-05, 1.5478e+00
2.3750e-05, 1.4854e+00
2.5625e-05, 1.4300e+00
2.7500e-05, 1.3804e+00
2.9375e-05, 1.3356e+00
3.1250e-05, 1.2950e+00
3.3125e-05, 1.2578e+00
3.5000e-05, 1.2236e+00
3.8750e-05, 1.1629e+00
4.2500e-05, 1.1104e+00
4.6250e-05, 1.0644e+00
5.0000e-05, 1.0238e+00
5.3125e-05, 9.9319e-01
5.6250e-05, 9.6521e-01
5.9375e-05, 9.3946e-01
6.2500e-05, 9.1567e-01
6.8750e-05, 8.7306e-01
7.5000e-05, 8.3589e-01
8.1250e-05, 8.0310e-01
8.7500e-05, 7.7389e-01
9.3750e-05, 7.4764e-01
1.0000e-04, 7.2390e-01
1.0625e-04, 7.0229e-01
1.1250e-04, 6.8250e-01
1.1875e-04, 6.6430e-01
1.2500e-04, 6.4748e-01
1.3750e-04, 6.1735e-01
1.5000e-04, 5.9107e-01
1.6250e-04, 5.6788e-01
1.7500e-04, 5.4722e-01
1.8750e-04, 5.2866e-01
2.0000e-04, 5.1188e-01
2.1875e-04, 4.8945e-01
2.3750e-04, 4.6973e-01
2.5625e-04, 4.5222e-01
2.7500e-04, 4.3653e-01
2.9375e-04, 4.2237e-01
3.1250e-04, 4.0950e-01
3.3125e-04, 3.9774e-01
3.5000e-04, 3.8694e-01
3.8750e-04, 3.6774e-01
4.2500e-04, 3.5115e-01
4.6250e-04, 3.3661e-01
5.0000e-04, 3.2374e-01
5.3125e-04, 3.1407e-01
5.6250e-04, 3.0523e-01
5.9375e-04, 2.9708e-01
6.2500e-04, 2.8956e-01
6.8750e-04, 2.7609e-01
7.5000e-04, 2.6433e-01
8.1250e-04, 2.5396e-01
8.7500e-04, 2.4472e-01
9.3750e-04, 2.3643e-01
1.0000e-03, 2.2892e-01
1.0625e-03, 2.2208e-01
1.1250e-03, 2.1583e-01
1.1875e-03, 2.1007e-01
1.2500e-03, 2.0475e-01
1.3750e-03, 1.9522e-01
1.5000e-03, 1.8691e-01
1.6250e-03, 1.7958e-01
1.7500e-03, 1.7305e-01
1.8750e-03, 1.6718e-01
2.0000e-03, 1.6187e-01
2.1875e-03, 1.5478e-01
2.3750e-03, 1.4854e-01
2.5625e-03, 1.4300e-01
2.7500e-03, 1.3804e-01
2.9375e-03, 1.3356e-01
3.1250e-03, 1.2950e-01
3.3125e-03, 1.2578e-01
3.5000e-03, 1.2236e-01
3.8750e-03, 1.1629e-01
4.2500e-03, 1.1104e-01
4.6250e-03, 1.0644e-01
5.0000e-03, 1.0237e-01
5.3125e-03, 9.9318e-02
5.6250e-03, 9.6519e-02
5.9375e-03, 9.3945e-02
6.2500e-03, 9.1566e-02
6.8750e-03, 8.7305e-02
7.5000e-03, 8.3588e-02
8.1250e-03, 8.0308e-02
8.7500e-03, 7.7387e-02
9.3750e-03, 7.4763e-02
1.0000e-02, 7.2388e-02
1.0625e-02, 7.0227e-02
1.1250e-02, 6.8248e-02
1.1875e-02, 6.6428e-02
1.2500e-02, 6.4746e-02
1.3750e-02, 6.1732e-02
1.5000e-02, 5.9104e-02
1.6250e-02, 5.6785e-02
1.7500e-02, 5.4719e-02
1.8750e-02, 5.2864e-02
2.0000e-02, 5.1185e-02
2.1325e-02, 4.9570e-02
2.2650e-02, 4.8098e-02
2.3975e-02, 4.6751e-02
2.5300e-02, 4.5511e-02
2.6844e-02, 4.4183e-02
2.8387e-02, 4.2965e-02
3.1475e-02, 4.0804e-02
3.4563e-02, 3.8938e-02
3.7650e-02, 3.7307e-02
4.0738e-02, 3.5865e-02
4.3825e-02, 3.4578e-02
4.6913e-02, 3.3420e-02
5.0000e-02, 3.2371e-02
5.3125e-02, 3.1405e-02
5.6250e-02, 3.0520e-02
5.9375e-02, 2.9706e-02
6.2500e-02, 2.8955e-02
6.8750e-02, 2.7608e-02
7.5000e-02, 2.6432e-02
8.1250e-02, 2.5394e-02
8.7500e-02, 2.4470e-02
9.3750e-02, 2.3639e-02
1.0000e-01, 2.2888e-02
1.0625e-01, 2.2205e-02
1.1250e-01, 2.1579e-02
1.1875e-01, 2.1004e-02
1.2500e-01, 2.0473e-02
1.3750e-01, 1.9521e-02
1.5000e-01, 1.8690e-02
1.6250e-01, 1.7956e-02
1.7500e-01, 1.7302e-02
1.8750e-01, 1.6715e-02
2.0000e-01, 1.6185e-02
2.1875e-01, 1.5476e-02
2.3750e-01, 1.4852e-02
2.5625e-01, 1.4297e-02
2.7500e-01, 1.3801e-02
2.9375e-01, 1.3352e-02
3.1250e-01, 1.2945e-02
3.3125e-01, 1.2574e-02
3.5000e-01, 1.2234e-02
3.8750e-01, 1.1628e-02
4.2500e-01, 1.1102e-02
5.0000e-01, 1.0237e-02
6.2500e-01, 9.1549e-03
7.5000e-01, 8.3549e-03
8.7500e-01, 7.7366e-03
1.0000e+00, 7.2379e-03
1.2500e+00, 6.4704e-03
1.5000e+00, 5.9045e-03
1.7500e+00, 5.4666e-03
2.0000e+00, 5.1129e-03
2.3750e+00, 4.6906e-03
2.7500e+00, 4.3586e-03
3.1250e+00, 4.0869e-03
3.5000e+00, 3.8602e-03
4.2500e+00, 3.5005e-03
5.0000e+00, 3.2257e-03
6.2500e+00, 2.8824e-03
7.5000e+00, 2.6285e-03
8.7500e+00, 2.4315e-03
1.0000e+01, 2.2725e-03
1.2500e+01, 2.0285e-03
1.5000e+01, 1.8482e-03
1.7500e+01, 1.7080e-03
2.0000e+01, 1.5948e-03
2.3750e+01, 1.4594e-03
2.7500e+01, 1.3525e-03
3.1250e+01, 1.2652e-03
3.5000e+01, 1.1922e-03
4.2500e+01, 1.0759e-03
5.0000e+01, 9.8646e-04
6.2500e+01, 8.7429e-04
7.5000e+01, 7.9087e-04
8.7500e+01, 7.2563e-04
1.0000e+02, 6.7270e-04
1.1250e+02, 6.2855e-04
1.2500e+02, 5.9099e-04
1.5000e+02, 5.3000e-04
1.7500e+02, 4.8216e-04
2.0000e+02, 4.4324e-04
2.3750e+02, 3.9637e-04
2.7500e+02, 3.5910e-04
3.1250e+02, 3.2849e-04
3.5000e+02, 3.0277e-04
4.2500e+02, 2.6168e-04
5.0000e+02, 2.3005e-04
6.2500e+02, 1.9056e-04
