ebin, xs
1.0000e-05, 9.2768e+03
1.0625e-05, 8.9998e+03
1.1250e-05, 8.7462e+03
1.1875e-05, 8.5129e+03
1.2500e-05, 8.2974e+03
1.3750e-05, 7.9112e+03
1.5000e-05, 7.5744e+03
1.6250e-05, 7.2772e+03
1.7500e-05, 7.0125e+03
1.8750e-05, 6.7747e+03
2.0000e-05, 6.5595e+03
2.1875e-05, 6.2721e+03
2.3750e-05, 6.0194e+03
2.5625e-05, 5.7950e+03
2.7500e-05, 5.5939e+03
2.9375e-05, 5.4124e+03
3.1250e-05, 5.2475e+03
3.3125e-05, 5.0968e+03
3.5000e-05, 4.9584e+03
3.8750e-05, 4.7123e+03
4.2500e-05, 4.4996e+03
4.6250e-05, 4.3133e+03
5.0000e-05, 4.1484e+03
5.3125e-05, 4.0245e+03
5.6250e-05, 3.9111e+03
5.9375e-05, 3.8067e+03
6.2500e-05, 3.7103e+03
6.8750e-05, 3.5376e+03
7.5000e-05, 3.3869e+03
8.1250e-05, 3.2540e+03
8.7500e-05, 3.1356e+03
9.3750e-05, 3.0293e+03
1.0000e-04, 2.9330e+03
1.0625e-04, 2.8454e+03
1.1250e-04, 2.7652e+03
1.1875e-04, 2.6914e+03
1.2500e-04, 2.6232e+03
1.3750e-04, 2.5011e+03
1.5000e-04, 2.3946e+03
1.6250e-04, 2.3006e+03
1.7500e-04, 2.2168e+03
1.8750e-04, 2.1416e+03
2.0000e-04, 2.0735e+03
2.1875e-04, 1.9826e+03
2.3750e-04, 1.9027e+03
2.5625e-04, 1.8316e+03
2.7500e-04, 1.7680e+03
2.9375e-04, 1.7106e+03
3.1250e-04, 1.6584e+03
3.3125e-04, 1.6107e+03
3.5000e-04, 1.5669e+03
3.8750e-04, 1.4891e+03
4.2500e-04, 1.4217e+03
4.6250e-04, 1.3628e+03
5.0000e-04, 1.3106e+03
5.3125e-04, 1.2714e+03
5.6250e-04, 1.2355e+03
5.9375e-04, 1.2024e+03
6.2500e-04, 1.1719e+03
6.8750e-04, 1.1172e+03
7.5000e-04, 1.0695e+03
8.1250e-04, 1.0274e+03
8.7500e-04, 9.8990e+02
9.3750e-04, 9.5621e+02
1.0000e-03, 9.2572e+02
1.0625e-03, 8.9797e+02
1.1250e-03, 8.7255e+02
1.1875e-03, 8.4917e+02
1.2500e-03, 8.2756e+02
1.3750e-03, 7.8884e+02
1.5000e-03, 7.5506e+02
1.6250e-03, 7.2525e+02
1.7500e-03, 6.9868e+02
1.8750e-03, 6.7481e+02
2.0000e-03, 6.5321e+02
2.1875e-03, 6.2434e+02
2.3750e-03, 5.9895e+02
2.5625e-03, 5.7640e+02
2.7500e-03, 5.5618e+02
2.9375e-03, 5.3793e+02
3.1250e-03, 5.2134e+02
3.3125e-03, 5.0618e+02
3.5000e-03, 4.9224e+02
3.8750e-03, 4.6746e+02
4.2500e-03, 4.4601e+02
4.6250e-03, 4.2720e+02
5.0000e-03, 4.1054e+02
5.3125e-03, 3.9803e+02
5.6250e-03, 3.8656e+02
5.9375e-03, 3.7601e+02
6.2500e-03, 3.6626e+02
6.8750e-03, 3.4877e+02
7.5000e-03, 3.3350e+02
8.1250e-03, 3.2000e+02
8.7500e-03, 3.0795e+02
9.3750e-03, 2.9713e+02
1.0000e-02, 2.8733e+02
1.0625e-02, 2.7840e+02
1.1250e-02, 2.7022e+02
1.1875e-02, 2.6269e+02
1.2500e-02, 2.5573e+02
1.3750e-02, 2.4325e+02
1.5000e-02, 2.3232e+02
1.6250e-02, 2.2265e+02
1.7500e-02, 2.1403e+02
1.8750e-02, 2.0627e+02
2.0000e-02, 1.9924e+02
2.1325e-02, 1.9246e+02
2.2650e-02, 1.8628e+02
2.3975e-02, 1.8062e+02
2.5300e-02, 1.7540e+02
2.6844e-02, 1.6980e+02
2.8387e-02, 1.6467e+02
2.9931e-02, 1.5993e+02
3.1475e-02, 1.5555e+02
3.3791e-02, 1.4954e+02
3.6106e-02, 1.4409e+02
3.8422e-02, 1.3914e+02
4.0738e-02, 1.3460e+02
4.3053e-02, 1.3044e+02
4.5369e-02, 1.2659e+02
4.7684e-02, 1.2303e+02
5.0000e-02, 1.1972e+02
5.3125e-02, 1.1560e+02
5.6250e-02, 1.1183e+02
5.9375e-02, 1.0836e+02
6.2500e-02, 1.0517e+02
6.5625e-02, 1.0221e+02
6.8750e-02, 9.9473e+01
7.5000e-02, 9.4524e+01
8.1250e-02, 9.0168e+01
8.7500e-02, 8.6315e+01
9.3750e-02, 8.2886e+01
1.0000e-01, 7.9819e+01
1.0625e-01, 7.7062e+01
1.1250e-01, 7.4576e+01
1.1875e-01, 7.2329e+01
1.2500e-01, 7.0292e+01
1.3125e-01, 6.8445e+01
1.3750e-01, 6.6770e+01
1.4375e-01, 6.5250e+01
1.5000e-01, 6.3873e+01
1.5625e-01, 6.2632e+01
1.6250e-01, 6.1521e+01
1.7500e-01, 5.9631e+01
1.8750e-01, 5.8147e+01
2.0000e-01, 5.7047e+01
2.1264e-01, 5.6317e+01
2.2529e-01, 5.5979e+01
2.3477e-01, 5.5984e+01
2.4425e-01, 5.6221e+01
2.5374e-01, 5.6706e+01
2.6322e-01, 5.7459e+01
2.7270e-01, 5.8510e+01
2.8218e-01, 5.9895e+01
2.9167e-01, 6.1662e+01
3.0115e-01, 6.3871e+01
3.0800e-01, 6.5784e+01
3.1485e-01, 6.8000e+01
3.2169e-01, 7.0567e+01
3.2854e-01, 7.3546e+01
3.3539e-01, 7.7007e+01
3.4224e-01, 8.1030e+01
3.4566e-01, 8.3285e+01
3.4909e-01, 8.5721e+01
3.5251e-01, 8.8356e+01
3.5594e-01, 9.1209e+01
3.6121e-01, 9.6077e+01
3.6647e-01, 1.0161e+02
3.6911e-01, 1.0466e+02
3.7174e-01, 1.0793e+02
3.7438e-01, 1.1142e+02
3.7701e-01, 1.1516e+02
3.7964e-01, 1.1918e+02
3.8228e-01, 1.2350e+02
3.8491e-01, 1.2815e+02
3.8755e-01, 1.3315e+02
3.9018e-01, 1.3856e+02
3.9281e-01, 1.4441e+02
3.9545e-01, 1.5075e+02
3.9808e-01, 1.5763e+02
4.0098e-01, 1.6591e+02
4.0388e-01, 1.7502e+02
4.0678e-01, 1.8508e+02
4.0967e-01, 1.9621e+02
4.1257e-01, 2.0857e+02
4.1547e-01, 2.2235e+02
4.1837e-01, 2.3776e+02
4.1981e-01, 2.4615e+02
4.2126e-01, 2.5505e+02
4.2271e-01, 2.6450e+02
4.2416e-01, 2.7454e+02
4.2561e-01, 2.8523e+02
4.2706e-01, 2.9661e+02
4.2851e-01, 3.0874e+02
4.2996e-01, 3.2169e+02
4.3140e-01, 3.3552e+02
4.3285e-01, 3.5032e+02
4.3430e-01, 3.6618e+02
4.3575e-01, 3.8317e+02
4.3720e-01, 4.0142e+02
4.3865e-01, 4.2103e+02
4.4010e-01, 4.4211e+02
4.4155e-01, 4.6482e+02
4.4299e-01, 4.8928e+02
4.4444e-01, 5.1566e+02
4.4602e-01, 5.4682e+02
4.4760e-01, 5.8069e+02
