ebin, xs
1.0000e-05, 7.7610e-03
1.0625e-05, 7.5293e-03
1.1250e-05, 7.3172e-03
1.1875e-05, 7.1220e-03
1.2500e-05, 6.9417e-03
1.3750e-05, 6.6186e-03
1.5000e-05, 6.3368e-03
1.6250e-05, 6.0882e-03
1.7500e-05, 5.8668e-03
1.8750e-05, 5.6679e-03
2.0000e-05, 5.4879e-03
2.1875e-05, 5.2474e-03
2.3750e-05, 5.0360e-03
2.5625e-05, 4.8483e-03
2.7500e-05, 4.6801e-03
2.9375e-05, 4.5282e-03
3.1250e-05, 4.3903e-03
3.3125e-05, 4.2642e-03
3.5000e-05, 4.1484e-03
3.8750e-05, 3.9426e-03
4.2500e-05, 3.7646e-03
4.6250e-05, 3.6088e-03
5.0000e-05, 3.4708e-03
5.3125e-05, 3.3672e-03
5.6250e-05, 3.2723e-03
5.9375e-05, 3.1851e-03
6.2500e-05, 3.1044e-03
6.8750e-05, 2.9599e-03
7.5000e-05, 2.8339e-03
8.1250e-05, 2.7227e-03
8.7500e-05, 2.6237e-03
9.3750e-05, 2.5347e-03
1.0000e-04, 2.4543e-03
1.0625e-04, 2.3810e-03
1.1250e-04, 2.3139e-03
1.1875e-04, 2.2522e-03
1.2500e-04, 2.1951e-03
1.3750e-04, 2.0930e-03
1.5000e-04, 2.0039e-03
1.6250e-04, 1.9253e-03
1.7500e-04, 1.8552e-03
1.8750e-04, 1.7923e-03
2.0000e-04, 1.7354e-03
2.1875e-04, 1.6594e-03
2.3750e-04, 1.5925e-03
2.5625e-04, 1.5332e-03
2.7500e-04, 1.4800e-03
2.9375e-04, 1.4320e-03
3.1250e-04, 1.3883e-03
3.3125e-04, 1.3485e-03
3.5000e-04, 1.3119e-03
3.8750e-04, 1.2468e-03
4.2500e-04, 1.1905e-03
4.6250e-04, 1.1412e-03
5.0000e-04, 1.0976e-03
5.3125e-04, 1.0648e-03
5.6250e-04, 1.0348e-03
6.2500e-04, 9.8170e-04
6.8750e-04, 9.3601e-04
7.5000e-04, 8.9616e-04
