ebin, xs
1.0000e-05, 1.2531e+03
1.0625e-05, 1.2157e+03
1.1250e-05, 1.1814e+03
1.1875e-05, 1.1499e+03
1.2500e-05, 1.1208e+03
1.3750e-05, 1.0686e+03
1.5000e-05, 1.0231e+03
1.6250e-05, 9.8301e+02
1.7500e-05, 9.4725e+02
1.8750e-05, 9.1513e+02
2.0000e-05, 8.8607e+02
2.1875e-05, 8.4725e+02
2.3750e-05, 8.1312e+02
2.5625e-05, 7.8280e+02
2.7500e-05, 7.5565e+02
2.9375e-05, 7.3113e+02
3.1250e-05, 7.0886e+02
3.3125e-05, 6.8851e+02
3.5000e-05, 6.6981e+02
3.8750e-05, 6.3658e+02
4.2500e-05, 6.0784e+02
4.6250e-05, 5.8268e+02
5.0000e-05, 5.6040e+02
5.3125e-05, 5.4367e+02
5.6250e-05, 5.2836e+02
5.9375e-05, 5.1426e+02
6.2500e-05, 5.0124e+02
6.8750e-05, 4.7792e+02
7.5000e-05, 4.5757e+02
8.1250e-05, 4.3962e+02
8.7500e-05, 4.2363e+02
9.3750e-05, 4.0926e+02
1.0000e-04, 3.9627e+02
1.0625e-04, 3.8444e+02
1.1250e-04, 3.7361e+02
1.1875e-04, 3.6364e+02
1.2500e-04, 3.5444e+02
1.3750e-04, 3.3794e+02
1.5000e-04, 3.2356e+02
1.6250e-04, 3.1086e+02
1.7500e-04, 2.9956e+02
1.8750e-04, 2.8940e+02
2.0000e-04, 2.8021e+02
2.1875e-04, 2.6793e+02
2.3750e-04, 2.5714e+02
2.5625e-04, 2.4755e+02
2.7500e-04, 2.3897e+02
2.9375e-04, 2.3121e+02
3.1250e-04, 2.2417e+02
3.3125e-04, 2.1773e+02
3.5000e-04, 2.1182e+02
3.8750e-04, 2.0131e+02
4.2500e-04, 1.9223e+02
4.6250e-04, 1.8427e+02
5.0000e-04, 1.7723e+02
5.3125e-04, 1.7194e+02
5.6250e-04, 1.6709e+02
5.9375e-04, 1.6264e+02
6.2500e-04, 1.5852e+02
6.8750e-04, 1.5114e+02
7.5000e-04, 1.4471e+02
8.1250e-04, 1.3903e+02
8.7500e-04, 1.3398e+02
9.3750e-04, 1.2944e+02
1.0000e-03, 1.2533e+02
1.0625e-03, 1.2159e+02
1.1250e-03, 1.1816e+02
1.1875e-03, 1.1501e+02
1.2500e-03, 1.1210e+02
1.3750e-03, 1.0689e+02
1.5000e-03, 1.0234e+02
1.6250e-03, 9.8324e+01
1.7500e-03, 9.4749e+01
1.8750e-03, 9.1538e+01
2.0000e-03, 8.8633e+01
2.1875e-03, 8.4752e+01
2.3750e-03, 8.1340e+01
2.5625e-03, 7.8310e+01
2.7500e-03, 7.5595e+01
2.9375e-03, 7.3145e+01
3.1250e-03, 7.0919e+01
3.3125e-03, 6.8885e+01
3.5000e-03, 6.7017e+01
3.8750e-03, 6.3695e+01
4.2500e-03, 6.0823e+01
4.6250e-03, 5.8308e+01
5.0000e-03, 5.6081e+01
5.3125e-03, 5.4409e+01
5.6250e-03, 5.2878e+01
5.9375e-03, 5.1471e+01
6.2500e-03, 5.0170e+01
6.8750e-03, 4.7840e+01
7.5000e-03, 4.5807e+01
8.1250e-03, 4.4013e+01
8.7500e-03, 4.2415e+01
9.3750e-03, 4.0979e+01
1.0000e-02, 3.9681e+01
1.0625e-02, 3.8500e+01
1.1250e-02, 3.7419e+01
1.1875e-02, 3.6425e+01
1.2500e-02, 3.5507e+01
1.3750e-02, 3.3863e+01
1.5000e-02, 3.2427e+01
1.6250e-02, 3.1159e+01
1.7500e-02, 3.0030e+01
1.8750e-02, 2.9016e+01
2.0000e-02, 2.8099e+01
2.1325e-02, 2.7217e+01
2.2650e-02, 2.6414e+01
2.3975e-02, 2.5678e+01
2.5300e-02, 2.5003e+01
2.6844e-02, 2.4280e+01
2.8387e-02, 2.3618e+01
3.1475e-02, 2.2442e+01
3.4563e-02, 2.1426e+01
3.7650e-02, 2.0536e+01
4.0738e-02, 1.9750e+01
4.3825e-02, 1.9050e+01
4.6913e-02, 1.8420e+01
5.0000e-02, 1.7849e+01
5.3125e-02, 1.7324e+01
5.6250e-02, 1.6844e+01
5.9375e-02, 1.6403e+01
6.2500e-02, 1.5997e+01
6.8750e-02, 1.5268e+01
7.5000e-02, 1.4631e+01
8.1250e-02, 1.4069e+01
8.7500e-02, 1.3569e+01
9.3750e-02, 1.3121e+01
1.0000e-01, 1.2715e+01
1.0625e-01, 1.2347e+01
1.1250e-01, 1.2010e+01
1.1875e-01, 1.1701e+01
1.2500e-01, 1.1417e+01
1.3750e-01, 1.0907e+01
1.5000e-01, 1.0462e+01
1.6250e-01, 1.0070e+01
1.7500e-01, 9.7215e+00
1.8750e-01, 9.4094e+00
2.0000e-01, 9.1288e+00
2.1875e-01, 8.7544e+00
2.3750e-01, 8.4254e+00
2.5625e-01, 8.1344e+00
2.7500e-01, 7.8747e+00
2.9375e-01, 7.6412e+00
3.1250e-01, 7.4299e+00
3.3125e-01, 7.2377e+00
3.5000e-01, 7.0631e+00
3.8750e-01, 6.7536e+00
4.2500e-01, 6.4871e+00
5.0000e-01, 6.0542e+00
6.2500e-01, 5.5287e+00
7.5000e-01, 5.1556e+00
8.7500e-01, 4.8800e+00
1.0000e+00, 4.6703e+00
1.2500e+00, 4.3809e+00
1.5000e+00, 4.2077e+00
1.7500e+00, 4.1135e+00
2.0000e+00, 4.0786e+00
2.3750e+00, 4.1178e+00
2.7500e+00, 4.2585e+00
3.1250e+00, 4.5060e+00
3.5000e+00, 4.8821e+00
3.6875e+00, 5.1312e+00
3.8750e+00, 5.4336e+00
4.0625e+00, 5.8001e+00
4.2500e+00, 6.2475e+00
4.4375e+00, 6.7993e+00
4.6250e+00, 7.4896e+00
4.8125e+00, 8.3697e+00
5.0000e+00, 9.5107e+00
5.1107e+00, 1.0356e+01
5.2214e+00, 1.1383e+01
5.3320e+00, 1.2641e+01
5.4427e+00, 1.4212e+01
5.5534e+00, 1.6215e+01
5.6641e+00, 1.8792e+01
5.7194e+00, 2.0409e+01
5.7748e+00, 2.2309e+01
5.8301e+00, 2.4560e+01
5.8854e+00, 2.7258e+01
5.9278e+00, 2.9704e+01
5.9701e+00, 3.2567e+01
6.0124e+00, 3.5952e+01
6.0547e+00, 3.9997e+01
6.0970e+00, 4.4880e+01
6.1393e+00, 5.0838e+01
6.1817e+00, 5.8264e+01
6.2240e+00, 6.7742e+01
6.2533e+00, 7.5925e+01
6.2826e+00, 8.5869e+01
6.3119e+00, 9.8125e+01
6.3412e+00, 1.1348e+02
6.3558e+00, 1.2265e+02
6.3705e+00, 1.3307e+02
6.3851e+00, 1.4497e+02
6.3998e+00, 1.5866e+02
6.4144e+00, 1.7455e+02
6.4291e+00, 1.9314e+02
6.4437e+00, 2.1511e+02
