ebin, xs
1.0000e-05, 8.4310e+00
1.0625e-05, 8.1793e+00
1.1250e-05, 7.9489e+00
1.1875e-05, 7.7369e+00
1.2500e-05, 7.5410e+00
1.3750e-05, 7.1901e+00
1.5000e-05, 6.8840e+00
1.6250e-05, 6.6139e+00
1.7500e-05, 6.3734e+00
1.8750e-05, 6.1573e+00
2.0000e-05, 5.9618e+00
2.1875e-05, 5.7006e+00
2.3750e-05, 5.4710e+00
2.5625e-05, 5.2670e+00
2.7500e-05, 5.0843e+00
2.9375e-05, 4.9194e+00
3.1250e-05, 4.7696e+00
3.3125e-05, 4.6326e+00
3.5000e-05, 4.5069e+00
3.7500e-05, 4.3541e+00
4.0000e-05, 4.2158e+00
4.2500e-05, 4.0900e+00
4.6250e-05, 3.9207e+00
5.0000e-05, 3.7709e+00
5.3125e-05, 3.6583e+00
5.6250e-05, 3.5553e+00
5.9375e-05, 3.4605e+00
6.2500e-05, 3.3729e+00
6.8750e-05, 3.2160e+00
7.5000e-05, 3.0791e+00
8.0000e-05, 2.9814e+00
8.7500e-05, 2.8508e+00
9.3750e-05, 2.7542e+00
1.0000e-04, 2.6668e+00
1.0625e-04, 2.5872e+00
1.1250e-04, 2.5143e+00
1.1875e-04, 2.4473e+00
1.2500e-04, 2.3854e+00
1.3750e-04, 2.2744e+00
1.5000e-04, 2.1777e+00
1.6000e-04, 2.1086e+00
1.7500e-04, 2.0163e+00
1.8750e-04, 1.9480e+00
2.0000e-04, 1.8862e+00
2.1875e-04, 1.8036e+00
2.3750e-04, 1.7310e+00
2.5625e-04, 1.6666e+00
2.7500e-04, 1.6088e+00
2.9750e-04, 1.5469e+00
3.2000e-04, 1.4916e+00
3.5000e-04, 1.4263e+00
3.8750e-04, 1.3557e+00
4.2500e-04, 1.2946e+00
4.6250e-04, 1.2411e+00
5.0000e-04, 1.1938e+00
5.3125e-04, 1.1582e+00
5.6250e-04, 1.1256e+00
5.9375e-04, 1.0957e+00
6.2500e-04, 1.0680e+00
6.4000e-04, 1.0555e+00
6.9500e-04, 1.0129e+00
7.5000e-04, 9.7521e-01
8.1250e-04, 9.3706e-01
8.7500e-04, 9.0308e-01
9.3750e-04, 8.7256e-01
1.0000e-03, 8.4495e-01
1.0625e-03, 8.1981e-01
1.1250e-03, 7.9680e-01
1.1875e-03, 7.7563e-01
1.2500e-03, 7.5607e-01
1.2800e-03, 7.4719e-01
1.3900e-03, 7.1714e-01
1.5000e-03, 6.9046e-01
1.6250e-03, 6.6349e-01
1.7500e-03, 6.3947e-01
1.8750e-03, 6.1789e-01
2.0000e-03, 5.9836e-01
2.1400e-03, 5.7856e-01
2.2800e-03, 5.6061e-01
2.4200e-03, 5.4424e-01
2.5600e-03, 5.2923e-01
2.7500e-03, 5.1072e-01
2.9375e-03, 4.9424e-01
3.1250e-03, 4.7927e-01
3.3125e-03, 4.6559e-01
3.5000e-03, 4.5302e-01
3.8750e-03, 4.3067e-01
4.2500e-03, 4.1135e-01
4.6250e-03, 3.9442e-01
5.0000e-03, 3.7943e-01
5.1200e-03, 3.7499e-01
5.4025e-03, 3.6511e-01
5.6850e-03, 3.5598e-01
6.2500e-03, 3.3961e-01
6.8750e-03, 3.2391e-01
7.5000e-03, 3.1020e-01
8.1250e-03, 2.9811e-01
8.7500e-03, 2.8734e-01
9.3750e-03, 2.7765e-01
1.0000e-02, 2.6889e-01
1.0625e-02, 2.6092e-01
1.1250e-02, 2.5361e-01
1.1875e-02, 2.4689e-01
1.2500e-02, 2.4068e-01
1.3750e-02, 2.2955e-01
1.5000e-02, 2.1984e-01
1.6250e-02, 2.1126e-01
1.7500e-02, 2.0362e-01
1.8750e-02, 1.9674e-01
2.0000e-02, 1.9052e-01
2.1325e-02, 1.8452e-01
2.2650e-02, 1.7905e-01
2.3975e-02, 1.7404e-01
2.5300e-02, 1.6941e-01
2.7230e-02, 1.6328e-01
2.9159e-02, 1.5776e-01
3.1089e-02, 1.5276e-01
3.3019e-02, 1.4819e-01
3.4948e-02, 1.4401e-01
3.6878e-02, 1.4015e-01
4.0738e-02, 1.3328e-01
4.3053e-02, 1.2961e-01
4.5369e-02, 1.2623e-01
5.0000e-02, 1.2018e-01
5.0600e-02, 1.1945e-01
5.2088e-02, 1.1772e-01
5.3575e-02, 1.1606e-01
5.6550e-02, 1.1293e-01
6.2500e-02, 1.0736e-01
6.8750e-02, 1.0231e-01
7.5000e-02, 9.7913e-02
8.1250e-02, 9.4032e-02
8.7500e-02, 9.0576e-02
9.3750e-02, 8.7473e-02
1.0000e-01, 8.4666e-02
1.0625e-01, 8.2111e-02
1.1250e-01, 7.9772e-02
1.1875e-01, 7.7621e-02
1.2500e-01, 7.5635e-02
1.3750e-01, 7.2081e-02
1.5000e-01, 6.8981e-02
1.6250e-01, 6.6245e-02
1.7500e-01, 6.3810e-02
1.8750e-01, 6.1625e-02
2.0000e-01, 5.9648e-02
2.1875e-01, 5.7005e-02
2.3750e-01, 5.4682e-02
2.5625e-01, 5.2623e-02
2.7500e-01, 5.0783e-02
2.9375e-01, 4.9118e-02
3.1250e-01, 4.7603e-02
3.3125e-01, 4.6220e-02
3.5000e-01, 4.4953e-02
3.8750e-01, 4.2702e-02
4.2500e-01, 4.0754e-02
5.0000e-01, 3.7535e-02
6.2500e-01, 3.3535e-02
7.5000e-01, 3.0586e-02
8.7500e-01, 2.8293e-02
1.0000e+00, 2.6443e-02
1.2500e+00, 2.3625e-02
1.5000e+00, 2.1547e-02
1.7500e+00, 1.9932e-02
2.0000e+00, 1.8628e-02
2.3750e+00, 1.7082e-02
2.7500e+00, 1.5861e-02
3.1250e+00, 1.4871e-02
3.5000e+00, 1.4042e-02
4.0000e+00, 1.3126e-02
4.2500e+00, 1.2738e-02
5.0000e+00, 1.1736e-02
6.0000e+00, 1.0742e-02
6.2500e+00, 1.0677e-02
6.8750e+00, 1.0594e-02
