ebin, xs
1.0000e-05, 1.2550e+04
1.0625e-05, 1.2175e+04
1.1250e-05, 1.1832e+04
1.1875e-05, 1.1516e+04
1.2500e-05, 1.1225e+04
1.3750e-05, 1.0702e+04
1.5000e-05, 1.0246e+04
1.6250e-05, 9.8441e+03
1.7500e-05, 9.4859e+03
1.8750e-05, 9.1641e+03
2.0000e-05, 8.8730e+03
2.1875e-05, 8.4840e+03
2.3750e-05, 8.1421e+03
2.5625e-05, 7.8384e+03
2.7500e-05, 7.5663e+03
2.9375e-05, 7.3206e+03
3.1250e-05, 7.0975e+03
3.3125e-05, 6.8935e+03
3.5000e-05, 6.7062e+03
3.8750e-05, 6.3732e+03
4.2500e-05, 6.0852e+03
4.6250e-05, 5.8331e+03
5.0000e-05, 5.6098e+03
5.3125e-05, 5.4421e+03
5.6250e-05, 5.2886e+03
5.9375e-05, 5.1474e+03
6.2500e-05, 5.0169e+03
6.8750e-05, 4.7831e+03
7.5000e-05, 4.5791e+03
8.1250e-05, 4.3991e+03
8.7500e-05, 4.2388e+03
9.3750e-05, 4.0948e+03
1.0000e-04, 3.9645e+03
1.0625e-04, 3.8458e+03
1.1250e-04, 3.7372e+03
1.1875e-04, 3.6373e+03
1.2500e-04, 3.5449e+03
1.3750e-04, 3.3795e+03
1.5000e-04, 3.2351e+03
1.6250e-04, 3.1078e+03
1.7500e-04, 2.9943e+03
1.8750e-04, 2.8923e+03
2.0000e-04, 2.8001e+03
2.1875e-04, 2.6768e+03
2.3750e-04, 2.5684e+03
2.5625e-04, 2.4721e+03
2.7500e-04, 2.3859e+03
2.9375e-04, 2.3080e+03
3.1250e-04, 2.2372e+03
3.3125e-04, 2.1725e+03
3.5000e-04, 2.1130e+03
3.8750e-04, 2.0073e+03
4.2500e-04, 1.9159e+03
4.6250e-04, 1.8358e+03
5.0000e-04, 1.7648e+03
5.3125e-04, 1.7115e+03
5.6250e-04, 1.6627e+03
5.9375e-04, 1.6178e+03
6.2500e-04, 1.5762e+03
6.8750e-04, 1.5018e+03
7.5000e-04, 1.4368e+03
8.1250e-04, 1.3795e+03
8.7500e-04, 1.3284e+03
9.3750e-04, 1.2824e+03
1.0000e-03, 1.2408e+03
1.0625e-03, 1.2029e+03
1.1250e-03, 1.1682e+03
1.1875e-03, 1.1363e+03
1.2500e-03, 1.1067e+03
1.3750e-03, 1.0537e+03
1.5000e-03, 1.0075e+03
1.6250e-03, 9.6658e+02
1.7500e-03, 9.3012e+02
1.8750e-03, 8.9733e+02
2.0000e-03, 8.6763e+02
2.1875e-03, 8.2789e+02
2.3750e-03, 7.9289e+02
2.5625e-03, 7.6176e+02
2.7500e-03, 7.3383e+02
2.9375e-03, 7.0858e+02
3.1250e-03, 6.8560e+02
3.3125e-03, 6.6457e+02
3.5000e-03, 6.4523e+02
3.6875e-03, 6.2736e+02
3.8750e-03, 6.1078e+02
4.2500e-03, 5.8092e+02
4.6250e-03, 5.5470e+02
5.0000e-03, 5.3143e+02
5.3125e-03, 5.1391e+02
5.6250e-03, 4.9785e+02
5.9375e-03, 4.8305e+02
6.2500e-03, 4.6935e+02
6.8750e-03, 4.4475e+02
7.5000e-03, 4.2322e+02
8.1250e-03, 4.0417e+02
8.7500e-03, 3.8715e+02
9.3750e-03, 3.7183e+02
1.0000e-02, 3.5795e+02
1.0625e-02, 3.4530e+02
1.1250e-02, 3.3371e+02
1.1875e-02, 3.2304e+02
1.2500e-02, 3.1317e+02
1.3125e-02, 3.0402e+02
1.3750e-02, 2.9549e+02
1.5000e-02, 2.8006e+02
1.6250e-02, 2.6644e+02
1.7500e-02, 2.5431e+02
1.8750e-02, 2.4343e+02
2.0000e-02, 2.3360e+02
2.1325e-02, 2.2418e+02
2.2650e-02, 2.1562e+02
2.3975e-02, 2.0782e+02
2.5300e-02, 2.0068e+02
2.6844e-02, 1.9307e+02
2.8387e-02, 1.8614e+02
2.9931e-02, 1.7980e+02
3.1475e-02, 1.7397e+02
3.3019e-02, 1.6861e+02
3.4563e-02, 1.6366e+02
3.6106e-02, 1.5908e+02
3.7650e-02, 1.5483e+02
4.0738e-02, 1.4719e+02
4.3825e-02, 1.4050e+02
4.6913e-02, 1.3463e+02
5.0000e-02, 1.2945e+02
5.3125e-02, 1.2482e+02
5.6250e-02, 1.2070e+02
5.9375e-02, 1.1704e+02
6.2500e-02, 1.1377e+02
6.5625e-02, 1.1086e+02
6.8750e-02, 1.0826e+02
7.1875e-02, 1.0594e+02
7.5000e-02, 1.0387e+02
8.1250e-02, 1.0038e+02
8.7500e-02, 9.7613e+01
9.3750e-02, 9.5473e+01
1.0000e-01, 9.3875e+01
1.0469e-01, 9.2991e+01
1.0938e-01, 9.2352e+01
1.1406e-01, 9.1939e+01
1.1875e-01, 9.1737e+01
1.2500e-01, 9.1778e+01
1.3125e-01, 9.2155e+01
1.3750e-01, 9.2853e+01
1.4375e-01, 9.3865e+01
1.5000e-01, 9.5187e+01
1.5625e-01, 9.6822e+01
1.6250e-01, 9.8776e+01
1.6875e-01, 1.0106e+02
1.7500e-01, 1.0369e+02
1.8125e-01, 1.0669e+02
1.8594e-01, 1.0920e+02
1.9062e-01, 1.1194e+02
1.9531e-01, 1.1492e+02
2.0000e-01, 1.1818e+02
2.0756e-01, 1.2404e+02
2.1511e-01, 1.3074e+02
2.2267e-01, 1.3842e+02
2.2645e-01, 1.4268e+02
2.3022e-01, 1.4723e+02
2.3400e-01, 1.5211e+02
2.3778e-01, 1.5735e+02
2.4156e-01, 1.6297e+02
2.4534e-01, 1.6901e+02
2.4911e-01, 1.7552e+02
2.5289e-01, 1.8253e+02
2.5667e-01, 1.9009e+02
2.6045e-01, 1.9826e+02
2.6491e-01, 2.0879e+02
2.6938e-01, 2.2037e+02
2.7384e-01, 2.3315e+02
2.7831e-01, 2.4731e+02
2.8277e-01, 2.6305e+02
