ebin, xs
1.0000e-05, 1.4984e+00
1.0625e-05, 1.4536e+00
1.1250e-05, 1.4127e+00
1.1875e-05, 1.3750e+00
1.2500e-05, 1.3402e+00
1.3750e-05, 1.2778e+00
1.5000e-05, 1.2234e+00
1.6250e-05, 1.1754e+00
1.7500e-05, 1.1327e+00
1.8750e-05, 1.0943e+00
2.0000e-05, 1.0595e+00
2.1810e-05, 1.0146e+00
2.1875e-05, 1.0131e+00
2.2051e-05, 1.0090e+00
2.2227e-05, 1.0050e+00
2.2578e-05, 9.9718e-01
2.3281e-05, 9.8201e-01
2.4688e-05, 9.5363e-01
2.6094e-05, 9.2758e-01
2.7500e-05, 9.0355e-01
2.9375e-05, 8.7424e-01
3.1250e-05, 8.4761e-01
3.3125e-05, 8.2327e-01
3.5000e-05, 8.0091e-01
3.7500e-05, 7.7376e-01
4.0000e-05, 7.4919e-01
4.2500e-05, 7.2682e-01
4.6250e-05, 6.9673e-01
5.0000e-05, 6.7009e-01
5.3125e-05, 6.5009e-01
5.6250e-05, 6.3177e-01
5.9375e-05, 6.1492e-01
6.2500e-05, 5.9935e-01
6.8750e-05, 5.7146e-01
7.5000e-05, 5.4713e-01
8.0000e-05, 5.2975e-01
8.7241e-05, 5.0729e-01
8.7500e-05, 5.0654e-01
8.8281e-05, 5.0430e-01
8.9063e-05, 5.0208e-01
9.0625e-05, 4.9773e-01
9.3750e-05, 4.8937e-01
1.0000e-04, 4.7383e-01
1.0625e-04, 4.5968e-01
1.1250e-04, 4.4673e-01
1.1875e-04, 4.3481e-01
1.2500e-04, 4.2380e-01
1.3750e-04, 4.0408e-01
1.5000e-04, 3.8688e-01
1.6000e-04, 3.7459e-01
1.7448e-04, 3.5871e-01
1.7500e-04, 3.5818e-01
1.7656e-04, 3.5659e-01
1.7813e-04, 3.5502e-01
1.8125e-04, 3.5195e-01
1.8750e-04, 3.4603e-01
2.0000e-04, 3.3505e-01
2.1740e-04, 3.2136e-01
2.3480e-04, 3.0922e-01
2.5220e-04, 2.9837e-01
2.6960e-04, 2.8858e-01
2.7500e-04, 2.8573e-01
2.8625e-04, 2.8006e-01
2.9750e-04, 2.7471e-01
3.2000e-04, 2.6488e-01
3.4896e-04, 2.5365e-01
3.5000e-04, 2.5327e-01
3.5234e-04, 2.5243e-01
3.5469e-04, 2.5159e-01
3.5937e-04, 2.4995e-01
3.6875e-04, 2.4675e-01
3.8750e-04, 2.4070e-01
4.2500e-04, 2.2984e-01
4.6250e-04, 2.2032e-01
5.0000e-04, 2.1190e-01
5.3125e-04, 2.0557e-01
5.6250e-04, 1.9978e-01
5.9375e-04, 1.9445e-01
6.2500e-04, 1.8953e-01
6.4000e-04, 1.8730e-01
6.9500e-04, 1.7973e-01
7.5000e-04, 1.7302e-01
8.1250e-04, 1.6623e-01
8.7500e-04, 1.6018e-01
9.3750e-04, 1.5475e-01
1.0000e-03, 1.4984e-01
1.0625e-03, 1.4536e-01
1.1250e-03, 1.4127e-01
1.1875e-03, 1.3750e-01
1.2500e-03, 1.3402e-01
1.2800e-03, 1.3244e-01
1.3900e-03, 1.2709e-01
1.5000e-03, 1.2234e-01
1.6250e-03, 1.1754e-01
1.7500e-03, 1.1327e-01
1.8750e-03, 1.0942e-01
2.0000e-03, 1.0595e-01
2.1400e-03, 1.0243e-01
2.2800e-03, 9.9231e-02
2.4200e-03, 9.6318e-02
2.5600e-03, 9.3647e-02
2.7500e-03, 9.0355e-02
2.9375e-03, 8.7423e-02
3.1250e-03, 8.4760e-02
3.3125e-03, 8.2327e-02
3.5000e-03, 8.0091e-02
3.8750e-03, 7.6118e-02
4.2500e-03, 7.2682e-02
4.6250e-03, 6.9673e-02
5.0000e-03, 6.7010e-02
5.1200e-03, 6.6220e-02
5.4025e-03, 6.4465e-02
5.6850e-03, 6.2842e-02
6.2500e-03, 5.9933e-02
6.8750e-03, 5.7143e-02
7.5000e-03, 5.4709e-02
8.1250e-03, 5.2564e-02
8.7500e-03, 5.0653e-02
9.3750e-03, 4.8937e-02
1.0000e-02, 4.7384e-02
1.0625e-02, 4.5971e-02
1.1250e-02, 4.4678e-02
1.1875e-02, 4.3488e-02
1.2500e-02, 4.2388e-02
1.3750e-02, 4.0417e-02
1.5000e-02, 3.8697e-02
1.6250e-02, 3.7177e-02
1.7500e-02, 3.5823e-02
1.8750e-02, 3.4606e-02
2.0000e-02, 3.3506e-02
2.1325e-02, 3.2447e-02
2.2650e-02, 3.1484e-02
2.3975e-02, 3.0602e-02
2.5300e-02, 2.9791e-02
2.6844e-02, 2.8924e-02
2.8387e-02, 2.8129e-02
3.1475e-02, 2.6717e-02
3.4563e-02, 2.5494e-02
3.7650e-02, 2.4425e-02
4.0738e-02, 2.3479e-02
4.3825e-02, 2.2636e-02
4.6913e-02, 2.1877e-02
5.0000e-02, 2.1189e-02
5.0600e-02, 2.1063e-02
5.2088e-02, 2.0760e-02
5.3575e-02, 2.0469e-02
5.6550e-02, 1.9924e-02
6.2500e-02, 1.8955e-02
6.8750e-02, 1.8075e-02
7.5000e-02, 1.7305e-02
8.1250e-02, 1.6625e-02
8.7500e-02, 1.6019e-02
9.3750e-02, 1.5475e-02
1.0000e-01, 1.4982e-02
1.0625e-01, 1.4534e-02
1.1250e-01, 1.4125e-02
1.1875e-01, 1.3749e-02
1.2500e-01, 1.3402e-02
