ebin, xs
1.0000e-05, 1.0523e+03
1.0625e-05, 1.0209e+03
1.1250e-05, 9.9210e+02
1.1875e-05, 9.6564e+02
1.2500e-05, 9.4119e+02
1.3750e-05, 8.9739e+02
1.5000e-05, 8.5919e+02
1.6250e-05, 8.2548e+02
1.7500e-05, 7.9545e+02
1.8750e-05, 7.6848e+02
2.0000e-05, 7.4408e+02
2.1875e-05, 7.1147e+02
2.3750e-05, 6.8281e+02
2.5625e-05, 6.5736e+02
2.7500e-05, 6.3455e+02
2.9375e-05, 6.1396e+02
3.1250e-05, 5.9526e+02
3.3125e-05, 5.7817e+02
3.5000e-05, 5.6247e+02
3.8750e-05, 5.3456e+02
4.2500e-05, 5.1043e+02
4.6250e-05, 4.8930e+02
5.0000e-05, 4.7059e+02
5.3125e-05, 4.5654e+02
5.6250e-05, 4.4368e+02
5.9375e-05, 4.3185e+02
6.2500e-05, 4.2091e+02
6.8750e-05, 4.0132e+02
7.5000e-05, 3.8424e+02
8.1250e-05, 3.6916e+02
8.7500e-05, 3.5573e+02
9.3750e-05, 3.4367e+02
1.0000e-04, 3.3276e+02
1.0625e-04, 3.2282e+02
1.1250e-04, 3.1373e+02
1.1875e-04, 3.0536e+02
1.2500e-04, 2.9763e+02
1.3750e-04, 2.8378e+02
1.5000e-04, 2.7170e+02
1.6250e-04, 2.6104e+02
1.7500e-04, 2.5154e+02
1.8750e-04, 2.4301e+02
2.0000e-04, 2.3529e+02
2.1875e-04, 2.2498e+02
2.3750e-04, 2.1592e+02
2.5625e-04, 2.0787e+02
2.7500e-04, 2.0066e+02
2.9375e-04, 1.9415e+02
3.1250e-04, 1.8823e+02
3.3125e-04, 1.8283e+02
3.5000e-04, 1.7786e+02
3.8750e-04, 1.6904e+02
4.2500e-04, 1.6141e+02
4.6250e-04, 1.5472e+02
5.0000e-04, 1.4881e+02
5.3125e-04, 1.4437e+02
5.6250e-04, 1.4030e+02
5.9375e-04, 1.3656e+02
6.2500e-04, 1.3310e+02
6.8750e-04, 1.2690e+02
7.5000e-04, 1.2150e+02
8.1250e-04, 1.1673e+02
8.7500e-04, 1.1249e+02
9.3750e-04, 1.0867e+02
1.0000e-03, 1.0522e+02
1.0625e-03, 1.0208e+02
1.1250e-03, 9.9202e+01
1.1875e-03, 9.6555e+01
1.2500e-03, 9.4110e+01
1.3750e-03, 8.9730e+01
1.5000e-03, 8.5909e+01
1.6250e-03, 8.2538e+01
1.7500e-03, 7.9535e+01
1.8750e-03, 7.6838e+01
2.0000e-03, 7.4397e+01
2.1875e-03, 7.1136e+01
2.3750e-03, 6.8270e+01
2.5625e-03, 6.5724e+01
2.7500e-03, 6.3443e+01
2.9375e-03, 6.1384e+01
3.1250e-03, 5.9513e+01
3.3125e-03, 5.7804e+01
3.5000e-03, 5.6233e+01
3.8750e-03, 5.3442e+01
4.2500e-03, 5.1028e+01
4.6250e-03, 4.8914e+01
5.0000e-03, 4.7043e+01
5.3125e-03, 4.5637e+01
5.6250e-03, 4.4350e+01
5.9375e-03, 4.3166e+01
6.2500e-03, 4.2072e+01
6.8750e-03, 4.0112e+01
7.5000e-03, 3.8402e+01
8.1250e-03, 3.6894e+01
8.7500e-03, 3.5550e+01
9.3750e-03, 3.4342e+01
1.0000e-02, 3.3250e+01
1.0625e-02, 3.2256e+01
1.1250e-02, 3.1346e+01
1.1875e-02, 3.0509e+01
1.2500e-02, 2.9736e+01
1.3750e-02, 2.8350e+01
1.5000e-02, 2.7140e+01
1.6250e-02, 2.6073e+01
1.7500e-02, 2.5121e+01
1.8750e-02, 2.4266e+01
2.0000e-02, 2.3493e+01
2.1325e-02, 2.2749e+01
2.2650e-02, 2.2071e+01
2.3975e-02, 2.1450e+01
2.5300e-02, 2.0879e+01
2.6844e-02, 2.0268e+01
2.8387e-02, 1.9707e+01
2.9931e-02, 1.9191e+01
3.1475e-02, 1.8713e+01
3.4563e-02, 1.7855e+01
3.7650e-02, 1.7103e+01
4.0738e-02, 1.6438e+01
4.3825e-02, 1.5844e+01
4.6913e-02, 1.5309e+01
5.0000e-02, 1.4825e+01
5.3125e-02, 1.4379e+01
5.6250e-02, 1.3971e+01
5.9375e-02, 1.3596e+01
6.2500e-02, 1.3250e+01
6.8750e-02, 1.2629e+01
7.5000e-02, 1.2085e+01
8.1250e-02, 1.1605e+01
8.7500e-02, 1.1177e+01
9.3750e-02, 1.0793e+01
1.0000e-01, 1.0445e+01
1.0625e-01, 1.0128e+01
1.1250e-01, 9.8386e+00
1.1875e-01, 9.5723e+00
1.2500e-01, 9.3268e+00
1.3750e-01, 8.8859e+00
1.5000e-01, 8.4994e+00
1.6250e-01, 8.1581e+00
1.7500e-01, 7.8539e+00
1.8750e-01, 7.5807e+00
2.0000e-01, 7.3341e+00
2.1875e-01, 7.0038e+00
2.3750e-01, 6.7123e+00
2.5625e-01, 6.4532e+00
2.7500e-01, 6.2208e+00
2.9375e-01, 6.0108e+00
3.1250e-01, 5.8199e+00
3.3125e-01, 5.6452e+00
3.5000e-01, 5.4846e+00
3.6875e-01, 5.3364e+00
3.8750e-01, 5.1998e+00
4.2500e-01, 4.9529e+00
5.0000e-01, 4.5434e+00
6.2500e-01, 4.0297e+00
7.5000e-01, 3.6479e+00
8.7500e-01, 3.3507e+00
1.0000e+00, 3.1102e+00
1.1250e+00, 2.9095e+00
1.2500e+00, 2.7393e+00
1.5000e+00, 2.4644e+00
1.7500e+00, 2.2508e+00
2.0000e+00, 2.0786e+00
2.3750e+00, 1.8739e+00
2.7500e+00, 1.7144e+00
3.1250e+00, 1.5863e+00
3.5000e+00, 1.4820e+00
3.8750e+00, 1.3960e+00
4.2500e+00, 1.3250e+00
5.0000e+00, 1.2187e+00
5.6250e+00, 1.1604e+00
6.2500e+00, 1.1266e+00
6.8750e+00, 1.1181e+00
7.5000e+00, 1.1390e+00
8.1250e+00, 1.1978e+00
8.4375e+00, 1.2466e+00
8.7500e+00, 1.3137e+00
9.0625e+00, 1.4044e+00
9.3750e+00, 1.5276e+00
9.6875e+00, 1.6954e+00
9.8438e+00, 1.8027e+00
1.0000e+01, 1.9339e+00
1.0141e+01, 2.0757e+00
1.0281e+01, 2.2420e+00
1.0422e+01, 2.4495e+00
1.0562e+01, 2.7101e+00
1.0703e+01, 3.0459e+00
1.0773e+01, 3.2531e+00
1.0844e+01, 3.4953e+00
1.0914e+01, 3.7812e+00
1.0984e+01, 4.1246e+00
1.1055e+01, 4.5495e+00
1.1125e+01, 5.0909e+00
1.1175e+01, 5.5774e+00
1.1225e+01, 6.1804e+00
1.1275e+01, 6.9471e+00
1.1326e+01, 7.9544e+00
1.1351e+01, 8.5871e+00
1.1376e+01, 9.3374e+00
1.1401e+01, 1.0240e+01
1.1426e+01, 1.1344e+01
1.1451e+01, 1.2719e+01
1.1476e+01, 1.4466e+01
1.1501e+01, 1.6729e+01
1.1514e+01, 1.8115e+01
1.1527e+01, 1.9711e+01
1.1545e+01, 2.2511e+01
1.1563e+01, 2.5971e+01
1.1582e+01, 3.0229e+01
1.1600e+01, 3.5418e+01
1.1619e+01, 4.1637e+01
1.1637e+01, 4.8917e+01
1.1655e+01, 5.7182e+01
1.1674e+01, 6.6215e+01
1.1701e+01, 7.9899e+01
1.1723e+01, 9.0680e+01
1.1745e+01, 9.9591e+01
1.1768e+01, 1.0548e+02
1.1790e+01, 1.0753e+02
1.1807e+01, 1.0637e+02
1.1823e+01, 1.0303e+02
1.1840e+01, 9.7782e+01
1.1857e+01, 9.1062e+01
1.1911e+01, 6.4669e+01
1.1938e+01, 5.2358e+01
1.1952e+01, 4.6947e+01
1.1966e+01, 4.2108e+01
1.1982e+01, 3.7118e+01
1.1998e+01, 3.2911e+01
1.2014e+01, 2.9418e+01
1.2030e+01, 2.6553e+01
1.2047e+01, 2.4220e+01
1.2063e+01, 2.2335e+01
1.2079e+01, 2.0816e+01
1.2095e+01, 1.9598e+01
1.2111e+01, 1.8625e+01
1.2127e+01, 1.7851e+01
1.2160e+01, 1.6770e+01
1.2192e+01, 1.6152e+01
1.2225e+01, 1.5872e+01
1.2252e+01, 1.5843e+01
1.2279e+01, 1.5974e+01
1.2334e+01, 1.6655e+01
1.2389e+01, 1.7851e+01
1.2444e+01, 1.9580e+01
1.2499e+01, 2.1922e+01
1.2553e+01, 2.5027e+01
1.2581e+01, 2.6940e+01
1.2608e+01, 2.9145e+01
1.2635e+01, 3.1699e+01
1.2663e+01, 3.4669e+01
1.2698e+01, 3.9195e+01
1.2733e+01, 4.4791e+01
1.2767e+01, 5.1820e+01
1.2785e+01, 5.6028e+01
1.2802e+01, 6.0811e+01
1.2820e+01, 6.6284e+01
1.2837e+01, 7.2576e+01
1.2855e+01, 7.9862e+01
1.2872e+01, 8.8355e+01
1.2889e+01, 9.8323e+01
1.2907e+01, 1.1010e+02
1.2924e+01, 1.2410e+02
1.2942e+01, 1.4082e+02
1.2962e+01, 1.6403e+02
1.2982e+01, 1.9259e+02
1.2999e+01, 2.2287e+02
1.3017e+01, 2.5879e+02
1.3034e+01, 3.0100e+02
1.3051e+01, 3.4982e+02
1.3069e+01, 4.0522e+02
1.3086e+01, 4.6652e+02
1.3104e+01, 5.3239e+02
1.3121e+01, 6.0064e+02
1.3148e+01, 7.0493e+02
1.3176e+01, 7.9411e+02
1.3189e+01, 8.2855e+02
1.3203e+01, 8.5410e+02
1.3216e+01, 8.6962e+02
1.3230e+01, 8.7435e+02
1.3247e+01, 8.6517e+02
1.3263e+01, 8.4016e+02
1.3282e+01, 7.9645e+02
1.3300e+01, 7.3928e+02
1.3319e+01, 6.7291e+02
1.3337e+01, 6.0178e+02
1.3374e+01, 4.6093e+02
1.3392e+01, 3.9700e+02
1.3410e+01, 3.3972e+02
1.3432e+01, 2.8262e+02
1.3453e+01, 2.3512e+02
1.3474e+01, 1.9631e+02
1.3495e+01, 1.6501e+02
1.3516e+01, 1.3987e+02
1.3538e+01, 1.1970e+02
1.3559e+01, 1.0342e+02
1.3580e+01, 9.0203e+01
1.3600e+01, 8.0114e+01
1.3619e+01, 7.1641e+01
1.3639e+01, 6.4455e+01
1.3658e+01, 5.8317e+01
1.3678e+01, 5.3028e+01
1.3697e+01, 4.8442e+01
1.3717e+01, 4.4437e+01
1.3737e+01, 4.0918e+01
1.3776e+01, 3.5051e+01
1.3815e+01, 3.0386e+01
1.3854e+01, 2.6612e+01
1.3893e+01, 2.3513e+01
1.3929e+01, 2.1132e+01
1.3965e+01, 1.9100e+01
1.4001e+01, 1.7351e+01
1.4037e+01, 1.5836e+01
1.4073e+01, 1.4515e+01
1.4108e+01, 1.3357e+01
1.4180e+01, 1.1430e+01
1.4252e+01, 9.9020e+00
1.4324e+01, 8.6706e+00
1.4396e+01, 7.6647e+00
1.4467e+01, 6.8337e+00
1.4539e+01, 6.1372e+00
1.4611e+01, 5.5451e+00
1.4683e+01, 5.0379e+00
1.4754e+01, 4.6009e+00
1.4826e+01, 4.2222e+00
1.4898e+01, 3.8919e+00
1.5041e+01, 3.3464e+00
1.5185e+01, 2.9177e+00
1.5329e+01, 2.5747e+00
1.5472e+01, 2.2962e+00
1.5616e+01, 2.0689e+00
1.5785e+01, 1.8484e+00
1.5955e+01, 1.6663e+00
1.6125e+01, 1.5158e+00
1.6294e+01, 1.3902e+00
1.6464e+01, 1.2844e+00
1.6633e+01, 1.1947e+00
1.6973e+01, 1.0523e+00
1.7312e+01, 9.4650e-01
1.7651e+01, 8.6917e-01
1.7990e+01, 8.0856e-01
1.8330e+01, 7.6389e-01
1.8643e+01, 7.3445e-01
1.8956e+01, 7.1421e-01
1.9269e+01, 7.0200e-01
1.9582e+01, 6.9792e-01
2.0000e+01, 7.0544e-01
2.0337e+01, 7.2313e-01
2.0675e+01, 7.5313e-01
2.1012e+01, 7.9802e-01
2.1350e+01, 8.6211e-01
2.1687e+01, 9.5213e-01
2.1856e+01, 1.0089e+00
2.2024e+01, 1.0760e+00
2.2193e+01, 1.1575e+00
2.2362e+01, 1.2557e+00
2.2530e+01, 1.3749e+00
2.2699e+01, 1.5208e+00
2.2848e+01, 1.6784e+00
2.2997e+01, 1.8708e+00
2.3146e+01, 2.1089e+00
2.3295e+01, 2.4062e+00
2.3443e+01, 2.7849e+00
2.3518e+01, 3.0162e+00
