ebin, xs
1.0000e-05, 8.5069e+03
1.0625e-05, 8.2529e+03
1.1250e-05, 8.0204e+03
1.1875e-05, 7.8065e+03
1.2500e-05, 7.6088e+03
1.3750e-05, 7.2547e+03
1.5000e-05, 6.9458e+03
1.6250e-05, 6.6733e+03
1.7500e-05, 6.4306e+03
1.8750e-05, 6.2125e+03
2.0000e-05, 6.0153e+03
2.1875e-05, 5.7517e+03
2.3750e-05, 5.5200e+03
2.5625e-05, 5.3142e+03
2.7500e-05, 5.1298e+03
2.9375e-05, 4.9634e+03
3.1250e-05, 4.8122e+03
3.3125e-05, 4.6740e+03
3.5000e-05, 4.5471e+03
3.8750e-05, 4.3215e+03
4.2500e-05, 4.1264e+03
4.6250e-05, 3.9556e+03
5.0000e-05, 3.8043e+03
5.3125e-05, 3.6908e+03
5.6250e-05, 3.5868e+03
5.9375e-05, 3.4911e+03
6.2500e-05, 3.4027e+03
6.8750e-05, 3.2443e+03
7.5000e-05, 3.1062e+03
8.1250e-05, 2.9843e+03
8.7500e-05, 2.8758e+03
9.3750e-05, 2.7783e+03
1.0000e-04, 2.6900e+03
1.0625e-04, 2.6097e+03
1.1250e-04, 2.5362e+03
1.1875e-04, 2.4685e+03
1.2500e-04, 2.4060e+03
1.3750e-04, 2.2940e+03
1.5000e-04, 2.1964e+03
1.6250e-04, 2.1102e+03
1.7500e-04, 2.0334e+03
1.8750e-04, 1.9645e+03
2.0000e-04, 1.9021e+03
2.1875e-04, 1.8187e+03
2.3750e-04, 1.7454e+03
2.5625e-04, 1.6804e+03
2.7500e-04, 1.6221e+03
2.9375e-04, 1.5694e+03
3.1250e-04, 1.5216e+03
3.3125e-04, 1.4779e+03
3.5000e-04, 1.4378e+03
3.8750e-04, 1.3664e+03
4.2500e-04, 1.3047e+03
4.6250e-04, 1.2507e+03
5.0000e-04, 1.2029e+03
5.3125e-04, 1.1669e+03
5.6250e-04, 1.1340e+03
5.9375e-04, 1.1038e+03
6.2500e-04, 1.0758e+03
6.8750e-04, 1.0257e+03
7.5000e-04, 9.8204e+02
8.1250e-04, 9.4350e+02
8.7500e-04, 9.0916e+02
9.3750e-04, 8.7831e+02
1.0000e-03, 8.5040e+02
1.0625e-03, 8.2500e+02
1.1250e-03, 8.0173e+02
1.1875e-03, 7.8034e+02
1.2500e-03, 7.6056e+02
1.3750e-03, 7.2514e+02
1.5000e-03, 6.9424e+02
1.6250e-03, 6.6697e+02
1.7500e-03, 6.4269e+02
1.8750e-03, 6.2087e+02
2.0000e-03, 6.0113e+02
2.1875e-03, 5.7475e+02
2.3750e-03, 5.5157e+02
2.5625e-03, 5.3097e+02
2.7500e-03, 5.1252e+02
2.9375e-03, 4.9587e+02
3.1250e-03, 4.8073e+02
3.3125e-03, 4.6690e+02
3.5000e-03, 4.5419e+02
3.8750e-03, 4.3160e+02
4.2500e-03, 4.1207e+02
4.6250e-03, 3.9496e+02
5.0000e-03, 3.7981e+02
5.3125e-03, 3.6843e+02
5.6250e-03, 3.5801e+02
5.9375e-03, 3.4843e+02
6.2500e-03, 3.3957e+02
6.8750e-03, 3.2370e+02
7.5000e-03, 3.0986e+02
8.1250e-03, 2.9764e+02
8.7500e-03, 2.8674e+02
9.3750e-03, 2.7696e+02
1.0000e-02, 2.6811e+02
1.0625e-02, 2.6005e+02
1.1250e-02, 2.5268e+02
1.1875e-02, 2.4589e+02
1.2500e-02, 2.3962e+02
1.3750e-02, 2.2839e+02
1.5000e-02, 2.1858e+02
1.6250e-02, 2.0991e+02
1.7500e-02, 2.0219e+02
1.8750e-02, 1.9525e+02
2.0000e-02, 1.8897e+02
2.1325e-02, 1.8292e+02
2.2650e-02, 1.7742e+02
2.3975e-02, 1.7237e+02
2.5300e-02, 1.6773e+02
2.6844e-02, 1.6276e+02
2.8387e-02, 1.5820e+02
2.9931e-02, 1.5400e+02
3.1475e-02, 1.5011e+02
3.4563e-02, 1.4313e+02
3.7650e-02, 1.3700e+02
4.0738e-02, 1.3158e+02
4.3825e-02, 1.2674e+02
4.6913e-02, 1.2239e+02
5.0000e-02, 1.1844e+02
5.3125e-02, 1.1480e+02
5.6250e-02, 1.1147e+02
5.9375e-02, 1.0840e+02
6.2500e-02, 1.0558e+02
6.8750e-02, 1.0050e+02
7.5000e-02, 9.6062e+01
8.1250e-02, 9.2137e+01
8.7500e-02, 8.8639e+01
9.3750e-02, 8.5497e+01
1.0000e-01, 8.2653e+01
1.0625e-01, 8.0064e+01
1.1250e-01, 7.7694e+01
1.1875e-01, 7.5517e+01
