ebin, xs
1.0000e-05, 4.1258e+02
1.0625e-05, 4.0026e+02
1.1250e-05, 3.8899e+02
1.1875e-05, 3.7861e+02
1.2500e-05, 3.6903e+02
1.3750e-05, 3.5185e+02
1.5000e-05, 3.3687e+02
1.6250e-05, 3.2366e+02
1.7500e-05, 3.1188e+02
1.8750e-05, 3.0131e+02
2.0000e-05, 2.9174e+02
2.1810e-05, 2.7937e+02
2.1875e-05, 2.7896e+02
2.2051e-05, 2.7784e+02
2.2227e-05, 2.7674e+02
2.2578e-05, 2.7458e+02
2.3281e-05, 2.7040e+02
2.4688e-05, 2.6259e+02
2.6094e-05, 2.5541e+02
2.7500e-05, 2.4880e+02
2.9375e-05, 2.4073e+02
3.1250e-05, 2.3339e+02
3.3125e-05, 2.2669e+02
3.5000e-05, 2.2053e+02
3.7500e-05, 2.1306e+02
4.0000e-05, 2.0629e+02
4.2500e-05, 2.0013e+02
4.6250e-05, 1.9185e+02
5.0000e-05, 1.8451e+02
5.3125e-05, 1.7900e+02
5.6250e-05, 1.7396e+02
5.9375e-05, 1.6932e+02
6.2500e-05, 1.6503e+02
6.8750e-05, 1.5735e+02
7.5000e-05, 1.5065e+02
8.0000e-05, 1.4587e+02
8.7241e-05, 1.3969e+02
8.7500e-05, 1.3948e+02
8.8281e-05, 1.3886e+02
8.9063e-05, 1.3825e+02
9.0625e-05, 1.3705e+02
9.3750e-05, 1.3475e+02
1.0000e-04, 1.3047e+02
1.0625e-04, 1.2657e+02
1.1250e-04, 1.2301e+02
1.1875e-04, 1.1973e+02
1.2500e-04, 1.1670e+02
1.3750e-04, 1.1127e+02
1.5000e-04, 1.0653e+02
1.6000e-04, 1.0315e+02
1.7448e-04, 9.8773e+01
1.7500e-04, 9.8627e+01
1.7656e-04, 9.8189e+01
1.7813e-04, 9.7758e+01
1.8125e-04, 9.6911e+01
1.8750e-04, 9.5282e+01
2.0000e-04, 9.2257e+01
2.1740e-04, 8.8488e+01
2.3480e-04, 8.5147e+01
2.5219e-04, 8.2157e+01
2.6959e-04, 7.9462e+01
2.7500e-04, 7.8677e+01
2.8625e-04, 7.7115e+01
2.9750e-04, 7.5643e+01
3.2000e-04, 7.2935e+01
3.4896e-04, 6.9843e+01
3.5000e-04, 6.9740e+01
3.5234e-04, 6.9507e+01
3.5469e-04, 6.9277e+01
3.5937e-04, 6.8824e+01
3.6875e-04, 6.7943e+01
3.8750e-04, 6.6279e+01
4.2500e-04, 6.3288e+01
4.6250e-04, 6.0668e+01
5.0000e-04, 5.8348e+01
5.3125e-04, 5.6606e+01
5.6250e-04, 5.5011e+01
5.9375e-04, 5.3544e+01
6.2500e-04, 5.2188e+01
6.4000e-04, 5.1573e+01
6.9500e-04, 4.9491e+01
7.5000e-04, 4.7641e+01
8.1250e-04, 4.5772e+01
8.7500e-04, 4.4107e+01
9.3750e-04, 4.2612e+01
1.0000e-03, 4.1259e+01
1.0625e-03, 4.0027e+01
1.1250e-03, 3.8899e+01
