ebin, xs
1.0000e-05, 5.7991e+02
1.0625e-05, 5.6260e+02
1.1250e-05, 5.4675e+02
1.1875e-05, 5.3217e+02
1.2500e-05, 5.1869e+02
1.3750e-05, 4.9455e+02
1.5000e-05, 4.7350e+02
1.6250e-05, 4.5492e+02
1.7500e-05, 4.3837e+02
1.8750e-05, 4.2351e+02
2.0000e-05, 4.1006e+02
2.1875e-05, 3.9209e+02
2.3750e-05, 3.7630e+02
2.5625e-05, 3.6227e+02
2.7500e-05, 3.4970e+02
2.9375e-05, 3.3836e+02
3.1250e-05, 3.2805e+02
3.3125e-05, 3.1863e+02
3.5000e-05, 3.0998e+02
3.8750e-05, 2.9460e+02
4.2500e-05, 2.8130e+02
4.6250e-05, 2.6965e+02
5.0000e-05, 2.5935e+02
5.3125e-05, 2.5160e+02
5.6250e-05, 2.4451e+02
5.9375e-05, 2.3799e+02
6.2500e-05, 2.3197e+02
6.8750e-05, 2.2117e+02
7.5000e-05, 2.1175e+02
8.1250e-05, 2.0345e+02
8.7500e-05, 1.9605e+02
9.3750e-05, 1.8940e+02
1.0000e-04, 1.8338e+02
1.0625e-04, 1.7791e+02
1.1250e-04, 1.7290e+02
1.1875e-04, 1.6828e+02
1.2500e-04, 1.6402e+02
1.3750e-04, 1.5639e+02
1.5000e-04, 1.4973e+02
1.6250e-04, 1.4386e+02
1.7500e-04, 1.3862e+02
1.8750e-04, 1.3392e+02
2.0000e-04, 1.2967e+02
2.1875e-04, 1.2399e+02
2.3750e-04, 1.1899e+02
2.5625e-04, 1.1456e+02
2.7500e-04, 1.1058e+02
2.9375e-04, 1.0700e+02
3.1250e-04, 1.0374e+02
3.3125e-04, 1.0076e+02
3.5000e-04, 9.8021e+01
3.8750e-04, 9.3157e+01
4.2500e-04, 8.8952e+01
4.6250e-04, 8.5270e+01
5.0000e-04, 8.2009e+01
5.3125e-04, 7.9561e+01
5.6250e-04, 7.7319e+01
5.9375e-04, 7.5256e+01
6.2500e-04, 7.3351e+01
6.8750e-04, 6.9937e+01
7.5000e-04, 6.6959e+01
8.1250e-04, 6.4332e+01
8.7500e-04, 6.1992e+01
9.3750e-04, 5.9889e+01
1.0000e-03, 5.7987e+01
1.0625e-03, 5.6256e+01
1.1250e-03, 5.4671e+01
1.1875e-03, 5.3212e+01
1.2500e-03, 5.1865e+01
1.3750e-03, 4.9451e+01
1.5000e-03, 4.7345e+01
1.6250e-03, 4.5487e+01
1.7500e-03, 4.3832e+01
1.8750e-03, 4.2346e+01
